Spp,species_name,Plant no. ,Segment,Mid-point distance (cm),Cum. Length,Displ. Weight (g),Displ. Weight (mg),Arch. vol (cm-3),Wood mass (g),Wood mass (mg),Diam. 1 (mm),Diam. 2 (mm),X-sectional area (mm2),Density,leaf_size,specific_leaf_area
Acasua,Acacia suaveolens,1,b3,21,81,0.5671,567.1,568.2364729,0.3799,379.9,6.18,5.72,27.76351092,0.67,,
Acasua,Acacia suaveolens,2,tt,4,4,0.0914,91.4,91.58316633,0.0481,48.1,1.88,3.72,5.492760596,0.53,,
Acasua,Acacia suaveolens,2,b1,9,17,0.1121,112.1,112.3246493,0.0638,63.8,3.04,2.12,5.061734083,0.57,,
Acasua,Acacia suaveolens,2,b2,15.5,41.5,0.2245,224.5,224.9498998,0.1328,132.8,3.88,3.68,11.21422914,0.59,,
Acasua,Acacia suaveolens,2,b3,21,78,0.862,862,863.7274549,0.5331,533.1,6.08,7.8,37.2467225,0.62,,
Acasua,Acacia suaveolens,3,tt,2.5,2.5,0.0589,58.9,59.01803607,0.0287,28.7,1.62,2.14,2.722818353,0.49,,
Acasua,Acacia suaveolens,3,b1,8,13,0.1652,165.2,165.5310621,0.0974,97.4,2.48,3.38,6.583521565,0.59,,
Acasua,Acacia suaveolens,3,b2,17,38,0.1702,170.2,170.5410822,0.1092,109.2,3.22,3.2,8.092742676,0.64,,
Acasua,Acacia suaveolens,3,b3,10.5,65.5,0.6356,635.6,636.8737475,0.3998,399.8,6.48,5.92,30.12913018,0.63,,
Acasua,Acacia suaveolens,4,tt,6,6,0.0428,42.8,42.88577154,0.0196,19.6,1.24,2.62,2.551601553,0.46,,
Acasua,Acacia suaveolens,4,b1,9,21,0.069,69,69.13827655,0.0365,36.5,2.42,1.74,3.307154586,0.53,,
Acasua,Acacia suaveolens,4,b2,24,54,0.4392,439.2,440.0801603,0.282,282,5,4.42,17.35729941,0.64,,
Acasua,Acacia suaveolens,4,b3,15.5,93.5,1.3856,1385.6,1388.376754,0.9026,902.6,8.36,8.34,54.75984491,0.65,,
Isoane,Isopogon anethifolius,1,tt,3.5,3.5,0.0942,94.2,94.38877756,0.0478,47.8,2.48,2.5,4.869468613,0.51,,
Isoane,Isopogon anethifolius,1,b1,5,12,0.5292,529.2,530.260521,0.2793,279.3,4.26,4.18,13.98542802,0.53,,
Isoane,Isopogon anethifolius,1,b2,12.5,29.5,0.5637,563.7,564.8296593,0.3126,312.6,4.86,4.88,18.62713116,0.55,,
Isoane,Isopogon anethifolius,1,b3,14,56,0.9629,962.9,964.8296593,0.5444,544.4,6.92,7.08,38.47948346,0.56,,
Isoane,Isopogon anethifolius,2,tt,9,9,0.1219,121.9,122.1442886,0.058,58,2.18,2.56,4.38315007,0.47,,
Isoane,Isopogon anethifolius,2,b1,6,24,0.3638,363.8,364.5290581,0.1912,191.2,3.82,4,12.00088394,0.52,,
Isoane,Isopogon anethifolius,2,b2,25,55,0.6437,643.7,644.98998,0.3332,333.2,5.38,5.48,23.15542281,0.52,,
Isoane,Isopogon anethifolius,2,b3,7,87,1.1752,1175.2,1177.55511,0.6716,671.6,7.56,8.08,47.97588973,0.57,,
Isoane,Isopogon anethifolius,3,tt,3.5,3.5,0.0868,86.8,86.9739479,0.0405,40.5,2.18,2.36,4.040716471,0.47,,
Isoane,Isopogon anethifolius,3,b1,5.5,12.5,0.2364,236.4,236.8737475,0.1089,108.9,3.52,3.38,9.344353189,0.46,,
Isoane,Isopogon anethifolius,3,b2,17,35,0.3054,305.4,306.012024,0.1531,153.1,3.62,3.78,10.74707431,0.5,,
Isoane,Isopogon anethifolius,3,b3,12.5,64.5,0.6292,629.2,630.4609218,0.3523,352.3,5.82,5.92,27.06042248,0.56,,
Isoane,Isopogon anethifolius,4,tt,5,5,0.0928,92.8,92.98597194,0.0499,49.9,2.08,2.16,3.528636869,0.54,,
Isoane,Isopogon anethifolius,4,b1,7,17,0.2174,217.4,217.8356713,0.1188,118.8,3.28,3.58,9.222459394,0.55,,
Isoane,Isopogon anethifolius,4,b2,17,41,0.5214,521.4,522.4448898,0.2863,286.3,5.28,5.42,22.47621048,0.55,,
Isoane,Isopogon anethifolius,4,b3,23,81,0.8559,855.9,857.6152305,0.4639,463.9,7.86,6.98,43.08914236,0.54,,
Lepsqu,Leptospermum squarrosum,1,tt,7,7,0.0678,67.8,67.93587174,0.0223,22.3,1.78,1.76,2.460495366,0.33,,
Lepsqu,Leptospermum squarrosum,1,b1,12,26,0.1082,108.2,108.4168337,0.0555,55.5,2.08,2.12,3.463291741,0.51,,
Lepsqu,Leptospermum squarrosum,1,b2,35,73,0.3874,387.4,388.1763527,0.2067,206.7,3.86,4.28,12.97540598,0.53,,
Lepsqu,Leptospermum squarrosum,1,b3,23,131,1.5632,1563.2,1566.332665,0.8793,879.3,9.22,8.72,63.1447557,0.56,,
Lepsqu,Leptospermum squarrosum,2,tt,3.25,3.25,0.027,27,27.05410822,0.009,9,1.14,1.24,1.110238844,0.33,,
Lepsqu,Leptospermum squarrosum,2,b1,15,21.5,0.0507,50.7,50.80160321,0.0249,24.9,1.56,1.68,2.058371507,0.49,,
Lepsqu,Leptospermum squarrosum,2,b2,13,49.5,0.3437,343.7,344.3887776,0.1863,186.3,4.44,4.28,14.92507838,0.54,,
Lepsqu,Leptospermum squarrosum,2,b3,30,92.5,1.198,1198,1200.400802,0.7332,733.2,7.36,8.34,48.20962422,0.61,,
Lepsqu,Leptospermum squarrosum,3,tt,8,8,0.031,31,31.06212425,0.0109,10.9,1.56,1.22,1.494769785,0.35,,
Lepsqu,Leptospermum squarrosum,3,b1,8,24,0.0719,71.9,72.04408818,0.0338,33.8,2,1.92,3.015928947,0.47,,
Lepsqu,Leptospermum squarrosum,3,b2,10,42,0.2539,253.9,254.4088176,0.1391,139.1,3.82,4.02,12.06088836,0.55,,
Lepsqu,Leptospermum squarrosum,3,b3,44,96,0.737,737,738.4769539,0.4009,400.9,5.92,6,27.89734276,0.54,,
Lepsqu,Leptospermum squarrosum,4,tt,6,6,0.0262,26.2,26.25250501,0.0122,12.2,1.04,1.32,1.078194599,0.46,,
Lepsqu,Leptospermum squarrosum,4,b1,15,27,0.0959,95.9,96.09218437,0.0503,50.3,2.04,2.3,3.685088183,0.52,,
Lepsqu,Leptospermum squarrosum,4,b2,12,54,0.3882,388.2,388.9779559,0.2126,212.6,4.58,4.62,16.61871098,0.55,,
Lepsqu,Leptospermum squarrosum,4,b3,11,77,0.9832,983.2,985.1703407,0.5485,548.5,6.82,6.28,33.63828918,0.56,,
Pulsti,Pultenaea stipularis,1,tt,3,3,0.0317,31.7,31.76352705,0.021,21,1.68,1.58,2.084760885,0.66,,
Pulsti,Pultenaea stipularis,1,b1,11,17,0.1797,179.7,180.0601202,0.1024,102.4,2.72,2.6,5.554335812,0.57,,
Pulsti,Pultenaea stipularis,1,b2,16,44,0.3654,365.4,366.1322645,0.248,248,4.3,4.28,14.4544678,0.68,,
Pulsti,Pultenaea stipularis,1,b3,10.5,70.5,0.4981,498.1,499.0981964,0.366,366,5.24,4.56,18.76661788,0.73,,
Pulsti,Pultenaea stipularis,2,tt,9,9,0.0582,58.2,58.31663327,0.0297,29.7,1.88,1.94,2.864504182,0.51,,
Pulsti,Pultenaea stipularis,2,b1,13.5,31.5,0.3241,324.1,324.749499,0.2235,223.5,3.72,4,11.68672467,0.69,,
Pulsti,Pultenaea stipularis,2,b2,19.5,64.5,0.9891,989.1,991.0821643,0.7221,722.1,6.84,6.66,35.77834209,0.73,,
Pulsti,Pultenaea stipularis,2,b3,20,104,1.3683,1368.3,1371.042084,1.0226,1022.6,8.64,8.6,58.35822513,0.75,,
Pulsti,Pultenaea stipularis,3,tt,13,13,0.0746,74.6,74.749499,0.0492,49.2,2.38,2.46,4.598349167,0.66,,
Pulsti,Pultenaea stipularis,3,b1,8.5,34.5,0.3235,323.5,324.1482966,0.217,217,4.08,3.98,12.75360954,0.67,,
Pulsti,Pultenaea stipularis,3,b2,12,55,0.5474,547.4,548.496994,0.3881,388.1,5.7,5.48,24.53269703,0.71,,
Pulsti,Pultenaea stipularis,3,b3,22.5,89.5,0.9475,947.5,949.3987976,0.6977,697.7,6.48,6.88,35.01493508,0.73,,
Pulsti,Pultenaea stipularis,4,tt,11,11,0.0856,85.6,85.77154309,0.0478,47.8,2.46,2.44,4.714273936,0.56,,
Pulsti,Pultenaea stipularis,4,b1,12.5,34.5,0.2158,215.8,216.2324649,0.1386,138.6,3.64,3.36,9.605733698,0.64,,
Pulsti,Pultenaea stipularis,4,b2,16,63,0.7185,718.5,719.9398798,0.5185,518.5,6.18,6.38,30.96699295,0.72,,
Pulsti,Pultenaea stipularis,4,b3,17,96,1.086,1086,1088.176353,0.823,823,6.98,7.22,39.58061168,0.76,,
Corgum,Corymbia gummifera,1,tt,7.5,7.5,0.0493,49.3,49.3987976,0.0386,38.6,1.78,1.96,2.740097112,0.78,,
Corgum,Corymbia gummifera,1,b1,5.5,20.5,0.3009,300.9,301.503006,0.1833,183.3,4.12,3.94,12.74921131,0.61,,
Corgum,Corymbia gummifera,1,b2,12,38,0.5785,578.5,579.6593186,0.3389,338.9,4.72,4.92,18.23883031,0.58,,
Corgum,Corymbia gummifera,1,b3,8.5,58.5,1.8345,1834.5,1838.176353,1.0862,1086.2,9.78,8.52,65.4437732,0.59,,
Corgum,Corymbia gummifera,2,tt,16.5,16.5,0.1206,120.6,120.8416834,0.0712,71.2,2.6,2.4,4.90088454,0.59,,
Corgum,Corymbia gummifera,2,b1,7,40,0.5443,544.3,545.3907816,0.338,338,5.38,5.7,24.08502008,0.62,,
Corgum,Corymbia gummifera,2,b2,13.5,60.5,0.7157,715.7,717.1342685,0.4456,445.6,6.78,5.44,28.96799754,0.62,,
Corgum,Corymbia gummifera,2,b3,7.5,81.5,1.8973,1897.3,1901.102204,1.1064,1106.4,9.98,9.26,72.58241419,0.58,,
Corgum,Corymbia gummifera,3,tt,8.5,8.5,0.0381,38.1,38.17635271,0.0232,23.2,2,1.98,3.110176727,0.61,,
Corgum,Corymbia gummifera,3,b1,8,25,0.3806,380.6,381.3627255,0.1993,199.3,4.24,4.3,14.31937932,0.52,,
Corgum,Corymbia gummifera,3,b2,7.5,40.5,0.3945,394.5,395.2905812,0.2375,237.5,4.54,4.66,16.6161977,0.6,,
Corgum,Corymbia gummifera,3,b3,17,65,1.3907,1390.7,1393.486974,0.7595,759.5,8.42,7.96,52.63989819,0.55,,
Corgum,Corymbia gummifera,4,tt,10,10,0.0912,91.2,91.38276553,0.0511,51.1,2.1,1.98,3.265685563,0.56,,
Corgum,Corymbia gummifera,4,b1,8.5,28.5,0.2977,297.7,298.2965932,0.1798,179.8,4.08,3.92,12.56134407,0.6,,
Corgum,Corymbia gummifera,4,b2,5.5,42.5,1.6782,1678.2,1681.563126,0.6793,679.3,6.04,6.44,30.5501036,0.4,,
Corgum,Corymbia gummifera,4,b3,24,72,3.4327,3432.7,3439.579158,1.376,1376,9.92,10.1,78.69061279,0.4,,
Perlan,Persoonia lanceolata,1,tt,17,17,0.1263,126.3,126.5531062,0.0639,63.9,2,2.16,3.392920066,0.5,,
Perlan,Persoonia lanceolata,1,b1,2.5,36.5,0.3489,348.9,349.5991984,0.1862,186.2,4.98,4.48,17.52254718,0.53,,
Perlan,Persoonia lanceolata,1,b2,17,56,0.9956,995.6,997.5951904,0.5509,550.9,7.3,7.54,43.22988571,0.55,,
Perlan,Persoonia lanceolata,1,b3,21,94,3.0711,3071.1,3077.254509,1.8815,1881.5,10.94,11.28,96.92064664,0.61,,
Perlan,Persoonia lanceolata,2,tt,9,9,0.1142,114.2,114.4288577,0.0585,58.5,1.9,1.98,2.954667891,0.51,,
Perlan,Persoonia lanceolata,2,b1,10.5,28.5,0.2184,218.4,218.8376754,0.1239,123.9,2.96,3,6.974335691,0.57,,
Perlan,Persoonia lanceolata,2,b2,19,58,0.6276,627.6,628.8577154,0.3843,384.3,5.18,6.52,26.52572341,0.61,,
Perlan,Persoonia lanceolata,2,b3,14,91,1.8152,1815.2,1818.837675,1.1631,1163.1,8.62,8.48,57.41072079,0.64,,
Perlan,Persoonia lanceolata,3,tt,12,12,0.0614,61.4,61.52304609,0.0287,28.7,1.54,1.64,1.983601601,0.47,,
Perlan,Persoonia lanceolata,3,b1,11,35,0.3223,322.3,322.9458918,0.1769,176.9,4,3.82,12.00088394,0.55,,
Perlan,Persoonia lanceolata,3,b2,18,64,1.4174,1417.4,1420.240481,0.8282,828.2,6.66,7.46,39.02140819,0.58,,
Perlan,Persoonia lanceolata,3,b3,19,101,2.6371,2637.1,2642.38477,1.6258,1625.8,10.5,10.4,85.76547944,0.62,,
Perlan,Persoonia lanceolata,4,tt,14,14,0.115,115,115.2304609,0.069,69,2.62,2.5,5.14435797,0.6,,
Perlan,Persoonia lanceolata,4,b1,11,39,0.3761,376.1,376.8537074,0.2151,215.1,4.24,4.24,14.11957402,0.57,,
Perlan,Persoonia lanceolata,4,b2,10,60,1.1706,1170.6,1172.945892,0.6842,684.2,6.96,7.26,39.68585504,0.58,,
Perlan,Persoonia lanceolata,4,b3,15,85,2.915,2915,2920.841683,1.6786,1678.6,10.78,11.44,96.85781478,0.57,,
Dilret,Dillwynia retorta,1,tt,6,6,0.0099,9.9,9.919839679,0.0053,5.3,1.12,0.86,0.756495511,0.53,,
Dilret,Dillwynia retorta,1,b1,11.5,23.5,0.0398,39.8,39.87975952,0.0249,24.9,1.52,1.58,1.886212229,0.62,,
Dilret,Dillwynia retorta,1,b2,18,53,0.1209,120.9,121.1422846,0.0868,86.8,2.58,2.46,4.984765063,0.72,,
Dilret,Dillwynia retorta,1,b3,17.5,88.5,0.5962,596.2,597.3947896,0.4809,480.9,5.12,5.64,22.67978568,0.8,,
Dilret,Dillwynia retorta,2,tt,6,6,0.0058,5.8,5.811623246,0.0049,4.9,0.88,0.8,0.552920307,0.84,,
Dilret,Dillwynia retorta,2,b1,25,37,0.1096,109.6,109.8196393,0.0809,80.9,2.34,2.36,4.337282818,0.74,,
Dilret,Dillwynia retorta,2,b2,8.5,70.5,0.1242,124.2,124.4488978,0.0936,93.6,2.8,2.78,6.113539304,0.75,,
Dilret,Dillwynia retorta,2,b3,18,97,0.4983,498.3,499.2985972,0.3866,386.6,5.02,5.14,20.26547173,0.77,,
Dilret,Dillwynia retorta,3,tt,3,3,0.0044,4.4,4.408817635,0.0024,2.4,0.66,0.76,0.393955719,0.54,,
Dilret,Dillwynia retorta,3,b1,13.5,19.5,0.076,76,76.15230461,0.0566,56.6,2.26,2.08,3.691999686,0.74,,
Dilret,Dillwynia retorta,3,b2,22,55,0.334,334,334.6693387,0.2559,255.9,4.24,4.54,15.11860049,0.76,,
Dilret,Dillwynia retorta,3,b3,12,89,0.485,485,485.9719439,0.3713,371.3,5.98,4.92,23.1076706,0.76,,
Dilret,Dillwynia retorta,4,tt,6.5,6.5,0.0066,6.6,6.613226453,0.0063,6.3,1.6,0.96,1.206371579,0.95,,
Dilret,Dillwynia retorta,4,b1,8.5,21.5,0.056,56,56.11222445,0.0374,37.4,1.68,1.68,2.216707776,0.67,,
Dilret,Dillwynia retorta,4,b2,16,46,0.1209,120.9,121.1422846,0.0839,83.9,2.7,3.02,6.404136624,0.69,,
Dilret,Dillwynia retorta,4,b3,9,71,0.2082,208.2,208.6172345,0.1597,159.7,3.48,3.46,9.456822206,0.77,,
Anghis,Angophora hispida,1,tt,6.5,6.5,0.2123,212.3,212.7254509,0.0996,99.6,3.22,3.18,8.042163034,0.47,,
Anghis,Angophora hispida,1,b1,9,22,0.4327,432.7,433.5671343,0.2536,253.6,4.3,4.36,14.72464477,0.58,,
Anghis,Angophora hispida,1,b2,9.5,40.5,0.7845,784.5,786.0721443,0.4254,425.4,5.94,6.1,28.45811705,0.54,,
Anghis,Angophora hispida,1,b3,11,61,1.9631,1963.1,1967.034068,1.0291,1029.1,8.52,8.34,55.80788022,0.52,,
Anghis,Angophora hispida,2,tt,9,9,0.1724,172.4,172.745491,0.1178,117.8,2.48,2.56,4.98633586,0.68,,
Anghis,Angophora hispida,2,b1,3.5,21.5,0.2922,292.2,292.7855711,0.1965,196.5,4.14,4.26,13.85159617,0.67,,
Anghis,Angophora hispida,2,b2,7.5,32.5,1.2055,1205.5,1207.915832,0.7351,735.1,6.76,7.38,39.18257189,0.61,,
Anghis,Angophora hispida,2,b3,9,49,1.9281,1928.1,1931.963928,1.1135,1113.5,9.36,9.82,72.19002927,0.58,,
Anghis,Angophora hispida,3,tt,9,9,0.0133,13.3,13.32665331,0.00586,5.86,1.56,2.64,3.234583796,0.44,,
Anghis,Angophora hispida,3,b1,6.5,24.5,0.3428,342.8,343.4869739,0.1935,193.5,3.54,4.3,11.95533084,0.56,,
Anghis,Angophora hispida,3,b2,15.5,46.5,1.8737,1873.7,1877.45491,1.0519,1051.9,8.24,8.26,53.45608396,0.56,,
Anghis,Angophora hispida,3,b3,22,84,3.3481,3348.1,3354.809619,1.7174,1717.4,11.8,12.2,113.0659196,0.51,,
Anghis,Angophora hispida,4,tt,5,5,0.1241,124.1,124.3486974,0.0738,73.8,2.18,2.6,4.45163679,0.59,,
Anghis,Angophora hispida,4,b1,6.25,16.25,0.2451,245.1,245.5911824,0.1712,171.2,3.7,3.52,10.22902568,0.7,,
Anghis,Angophora hispida,4,b2,12.5,35,0.6597,659.7,661.0220441,0.4388,438.8,4.92,5.26,20.32547615,0.66,,
Anghis,Angophora hispida,4,b3,21,68.5,3.1329,3132.9,3139.178357,1.9628,1962.8,10.92,11.28,96.74346081,0.63,,
Acamyr,Acacia myrtifolia,,,,,,,,,,,,,,582.22,5.48
Phyphy,Phyllota phylicoides,,,,,,,,,,,,,,10.78,7.49
Grespe,Grevillea speciosa,,,,,,,,,,,,,,116.33,5.06
Petpul,Petrophile pulchella,,,,,,,,,,,,,,507.78,3.89
Lamfor,Lambertia formosa,,,,,,,,,,,,,,157.78,4.29
Epapul,Epacris pulchella,,,,,,,,,,,,,,8.02,10.91
Pulell,Pultenaea elliptica,,,,,,,,,,,,,,20.67,8.62
Banobl,Banksia oblongifolia,,,,,,,,,,,,,,1318.3,3.37
Hakdac,Hakea dactyloides,,,,,,,,,,,,,,531.44,3.31
Perlev,Persoonia levis,,,,,,,,,,,,,,2552.7,5.46
Bosobc,Bossiaea obcordata,,,,,,,,,,,,,,16.6,9.37
Lepatt,Leucopogon attenuatus,,,,,,,,,,,,,,42.89,6.19
Acasua,Acacia suaveolens,,,,,,,,,,,,,,375.78,4.4
Isoane,Isopogon anethifolius,,,,,,,,,,,,,,299.22,3.43
Lepsqu,Leptospermum squarrosum,,,,,,,,,,,,,,37.78,5.57
Pulsti,Pultenaea stipularis,,,,,,,,,,,,,,31.5918,
Corgum,Corymbia gummifera,,,,,,,,,,,,,,2269.6,4.61
Perlan,Persoonia lanceolata,,,,,,,,,,,,,,791.5,
Dilret,Dillwynia retorta,,,,,,,,,,,,,,6.39,8.31
Anghis,Angophora hispida,,,,,,,,,,,,,,2047.9,4.41
