species_name,voucher_specimen,generalised_collection_location,arborteum_row,planting_year,genome_size_2C_picograms,cv_sample,cv_solanum_standard,context
Eucalyptus mackintii,DN 1737,"Bruthen, VIC",141,1997,1.12952464,3.87,2.55,"voucher DN 1737: collected at Bruthen, VIC and planted in arboretum row 141 in 1997"
Eucalyptus pumila,DN 636,"Pokolbin, NSW",53,1994,1.12952464,3.65,2.81,"voucher DN 636: collected at Pokolbin, NSW and planted in arboretum row 53 in 1994"
Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,2015,1.131004367,4.71,3.25,"voucher DN 5868: collected at Pulpit Rock, NSW and planted in arboretum row 292 in 2015"
Eucalyptus gregoriensis,DN 2447,"Gordon Creek, NT",171,1999,1.132487976,3.65,2.37,"voucher DN 2447: collected at Gordon Creek, NT and planted in arboretum row 171 in 1999"
Eucalyptus gregsoniana,DN 1756,"Wog Wog, NSW",142,1997,1.132983377,2.49,2.13,"voucher DN 1756: collected at Wog Wog, NSW and planted in arboretum row 142 in 1997"
Eucalyptus campanulata,DN 1248,"Drake, NSW",196,2000,1.133975482,2.43,2.52,"voucher DN 1248: collected at Drake, NSW and planted in arboretum row 196 in 2000"
Eucalyptus tenella,DN 763,"Rylstone, NSW",47,1994,1.133975482,4.09,2.66,"voucher DN 763: collected at Rylstone, NSW and planted in arboretum row 47 in 1994"
Eucalyptus albida,DN 3437,"Pingaring, WA",227,2001,1.135964912,3.41,2.86,"voucher DN 3437: collected at Pingaring, WA and planted in arboretum row 227 in 2001"
Eucalyptus diversicolor,DN 4629,"Warren National Park, WA",260,2004,1.135964912,3.07,2.32,"voucher DN 4629: collected at Warren National Park, WA and planted in arboretum row 260 in 2004"
Eucalyptus amygdalina,DN 6722,"Cape Tourville, TAS",330,2015,1.136463361,4.92,3.44,"voucher DN 6722: collected at Cape Tourville, TAS and planted in arboretum row 330 in 2015"
Eucalyptus caliginosa,DN 2943,"Guyra, NSW",194,2000,1.136463361,2.72,1.97,"voucher DN 2943: collected at Guyra, NSW and planted in arboretum row 194 in 2000"
Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,2015,1.136962248,3.39,3.17,"voucher DN 6794: collected at Ku-Ring-Gai Chase, NSW and planted in arboretum row 293 in 2015"
Eucalyptus arenicola,DN 6786,"Holey Plains, VIC",163,2015,1.137961336,3.9,2.81,"voucher DN 6786: collected at Holey Plains, VIC and planted in arboretum row 163 in 2015"
Eucalyptus erosa,DN 2118,"Mt Moffat, QLD",150,1998,1.138461538,3.18,2.95,"voucher DN 2118: collected at Mt Moffat, QLD and planted in arboretum row 150 in 1998"
Eucalyptus obliqua,DN 804,"Kangaroo Island, SA",72,1995,1.138461538,3.81,2.66,"voucher DN 804: collected at Kangaroo Island, SA and planted in arboretum row 72 in 1995"
Eucalyptus laevopinea,DN 649,"Wollomombi, NSW",57,1994,1.138962181,3.49,2.98,"voucher DN 649: collected at Wollomombi, NSW and planted in arboretum row 57 in 1994"
Eucalyptus consideniana,DN 611,"Sassafras, NSW",51,1994,1.139463264,3.19,2.62,"voucher DN 611: collected at Sassafras, NSW and planted in arboretum row 51 in 1994"
Eucalyptus crucis subsp. praecipua,DN 1561,"Wardagga Hill, WA",207,2002,1.139463264,2.56,2.29,"voucher DN 1561: collected at Wardagga Hill, WA and planted in arboretum row 207 in 2002"
Eucalyptus piperita subsp. piperita,DN 627,"Blackheath, NSW",307,2010,1.139964789,2.48,2.4,"voucher DN 627: collected at Blackheath, NSW and planted in arboretum row 307 in 2010"
Eucalyptus virginea,DN 4635,"Mt Lindesay, WA",209,2006,1.139964789,2.92,2.02,"voucher DN 4635: collected at Mt Lindesay, WA and planted in arboretum row 209 in 2006"
Eucalyptus subtilior,DN 676,"Stanthorpe, QLD",166,1999,1.140466755,3.04,2.35,"voucher DN 676: collected at Stanthorpe, QLD and planted in arboretum row 166 in 1999"
Eucalyptus approximans,DN 2090,"Barren Mountain, NSW",307,2010,1.140969163,3.1,2.32,"voucher DN 2090: collected at Barren Mountain, NSW and planted in arboretum row 307 in 2010"
Eucalyptus pachycalyx subsp. pachycalyx,DN 1307,"Watsonville, QLD",141,1997,1.140969163,3.35,2.23,"voucher DN 1307: collected at Watsonville, QLD and planted in arboretum row 141 in 1997"
Eucalyptus apodophylla,DN 2456,"Pine Creek, NT",308,2010,1.142479047,3.81,2.47,"voucher DN 2456: collected at Pine Creek, NT and planted in arboretum row 308 in 2010"
Eucalyptus conferruminata subsp. conferruminata,DN 3570,"Quoin Head, WA",230,2001,1.14298323,2.66,1.72,"voucher DN 3570: collected at Quoin Head, WA and planted in arboretum row 230 in 2001"
Eucalyptus eugenioides,DN 1235,"Curricabark, NSW",92,1996,1.14298323,3.44,2.64,"voucher DN 1235: collected at Curricabark, NSW and planted in arboretum row 92 in 1996"
Eucalyptus neglecta,DN 3797,"Buckland Valley, VIC",241,2002,1.14298323,4.17,2.92,"voucher DN 3797: collected at Buckland Valley, VIC and planted in arboretum row 241 in 2002"
Eucalyptus recurva,DN 1755,"Mongarlowe, NSW",246,2002,1.14298323,3.51,2.74,"voucher DN 1755: collected at Mongarlowe, NSW and planted in arboretum row 246 in 2002"
Eucalyptus triflora,DN 6303,"Endrick River, NSW",247,2013,1.143487859,3.79,2.61,"voucher DN 6303: collected at Endrick River, NSW and planted in arboretum row 247 in 2013"
Eucalyptus arenacea,DN 1588,"Pinnaroo, SA",137,1997,1.143992933,2.94,2.01,"voucher DN 1588: collected at Pinnaroo, SA and planted in arboretum row 137 in 1997"
Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,2013,1.143992933,3.81,3.11,"voucher DN 6197: collected at Bolivia Hill, NSW and planted in arboretum row 283 in 2013"
Eucalyptus planchoniana,DN 663,"Gibraltar Range Nat. Park, NSW",55,1994,1.143992933,3.3,2.59,"voucher DN 663: collected at Gibraltar Range Nat. Park, NSW and planted in arboretum row 55 in 1994"
Eucalyptus howittiana,DN 2526,"Valley of Lagoons, QLD",169,1999,1.144498453,3.71,2.69,"voucher DN 2526: collected at Valley of Lagoons, QLD and planted in arboretum row 169 in 1999"
Eucalyptus microcodon,DN 5010,"Binna Burra, QLD",306,2010,1.144498453,3.49,2.66,"voucher DN 5010: collected at Binna Burra, QLD and planted in arboretum row 306 in 2010"
Eucalyptus spectatrix,DN 1751,"Dr George Mountain, NSW",141,1997,1.145004421,3.53,3.02,"voucher DN 1751: collected at Dr George Mountain, NSW and planted in arboretum row 141 in 1997"
Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,2013,1.145510836,4.17,2.95,"voucher DN 6197: collected at Bolivia Hill, NSW and planted in arboretum row 283 in 2013"
Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,2013,1.146017699,3.34,3.02,"voucher DN 6197: collected at Bolivia Hill, NSW and planted in arboretum row 283 in 2013"
Eucalyptus reducta,DN 1300,"Paluma, QLD",95,1996,1.146525011,4.24,2.53,"voucher DN 1300: collected at Paluma, QLD and planted in arboretum row 95 in 1996"
Eucalyptus caesia subsp. 'Boyagin',DN 5542,"Boyagin Rock, WA",312,2011,1.147032772,3.76,2.05,"voucher DN 5542: collected at Boyagin Rock, WA and planted in arboretum row 312 in 2011"
Eucalyptus imitans,DN 615,"Nowra, NSW",59,1994,1.147540984,4.79,3,"voucher DN 615: collected at Nowra, NSW and planted in arboretum row 59 in 1994"
Eucalyptus olida,DN 661,"Gibraltar National Park, NSW",195,2000,1.147540984,2.88,2.53,"voucher DN 661: collected at Gibraltar National Park, NSW and planted in arboretum row 195 in 2000"
Eucalyptus oreades,DN 628,"Katoomba, NSW",198,2000,1.147540984,2.25,2.2,"voucher DN 628: collected at Katoomba, NSW and planted in arboretum row 198 in 2000"
Eucalyptus tindaliae,DN 2109,"Mt Tibrogargan, QLD",159,1998,1.147540984,3.34,2.96,"voucher DN 2109: collected at Mt Tibrogargan, QLD and planted in arboretum row 159 in 1998"
Eucalyptus agglomerata,DN 2928,"Peregrine Point, NSW",192,2000,1.148049645,2.56,2.07,"voucher DN 2928: collected at Peregrine Point, NSW and planted in arboretum row 192 in 2000"
Eucalyptus gittinsii subsp. illucida,DN 252,"Mt Misery, WA",18,1993,1.148049645,4.05,3.01,"voucher DN 252: collected at Mt Misery, WA and planted in arboretum row 18 in 1993"
Eucalyptus youmanii,DN 654,"Armidale, NSW",166,1999,1.149068323,2.69,1.98,"voucher DN 654: collected at Armidale, NSW and planted in arboretum row 166 in 1999"
Eucalyptus expressa,DN 5265,"Parsons Creek, NSW",306,2010,1.14957834,5.62,3.17,"voucher DN 5265: collected at Parsons Creek, NSW and planted in arboretum row 306 in 2010"
Eucalyptus nebulosa,DN 6742,"Lake Pieman, TAS",potted,,1.14957834,3.19,1.91,"voucher DN 6742: collected at Lake Pieman, TAS and planted in arboretum row potted in "
Eucalyptus ralla,DN 614,"Nowra, NSW",59,1994,1.14957834,3.22,2.86,"voucher DN 614: collected at Nowra, NSW and planted in arboretum row 59 in 1994"
Eucalyptus lirata,DN 1917,"Mt Elizabeth Station, WA",305,2010,1.15008881,4.33,2.28,"voucher DN 1917: collected at Mt Elizabeth Station, WA and planted in arboretum row 305 in 2010"
Eucalyptus sturgissiana,DN 1757,"Sassafras, NSW",146,1997,1.15008881,2.92,2.39,"voucher DN 1757: collected at Sassafras, NSW and planted in arboretum row 146 in 1997"
Eucalyptus burdettiana,DN 2246,"East Mt Barren, WA",173,1999,1.153161175,2.88,2.21,"voucher DN 2246: collected at East Mt Barren, WA and planted in arboretum row 173 in 1999"
Eucalyptus pilularis,DN 644,"Kempsey, NSW",165,1999,1.153161175,3.34,2.25,"voucher DN 644: collected at Kempsey, NSW and planted in arboretum row 165 in 1999"
Eucalyptus macrandra ,DN 4430,"Gairdner River, WA",264,2004,1.153674833,2.98,2.4,"voucher DN 4430: collected at Gairdner River, WA and planted in arboretum row 264 in 2004"
Eucalyptus selachiana,DN 1176,"Coburn Station, WA",63,1995,1.153674833,3.52,2.59,"voucher DN 1176: collected at Coburn Station, WA and planted in arboretum row 63 in 1995"
Eucalyptus oblonga,DN 622,"Royal National Park, NSW",194,2000,1.155734047,3.49,1.86,"voucher DN 622: collected at Royal National Park, NSW and planted in arboretum row 194 in 2000"
Eucalyptus platyphylla,CSIRO 12966,"Mareeba, QLD",156,1999,1.155734047,3.36,2.7,"voucher CSIRO 12966: collected at Mareeba, QLD and planted in arboretum row 156 in 1999"
Eucalyptus longifolia,DN 1750,"Eden, NSW",144,1997,1.157283289,3.36,3.25,"voucher DN 1750: collected at Eden, NSW and planted in arboretum row 144 in 1997"
Eucalyptus mcquoidii,DN 3569,"Quoin Head, WA",220,2001,1.157800626,2.44,1.98,"voucher DN 3569: collected at Quoin Head, WA and planted in arboretum row 220 in 2001"
Eucalyptus pachycalyx subsp. banyabba,DN 2098,"Banyabba Nature Reserve, NSW",151,1998,1.157800626,3.34,3.51,"voucher DN 2098: collected at Banyabba Nature Reserve, NSW and planted in arboretum row 151 in 1998"
Eucalyptus williamsiana,DN 660,"Gibraltar Range Nat. Park, NSW",61,1994,1.157800626,3.6,3.41,"voucher DN 660: collected at Gibraltar Range Nat. Park, NSW and planted in arboretum row 61 in 1994"
Eucalyptus rubida subsp. rubida,DN 6319,"Jingera, NSW",283,2013,1.158836689,3.74,3.16,"voucher DN 6319: collected at Jingera, NSW and planted in arboretum row 283 in 2013"
Eucalyptus sparsifolia,DN 629,"Faulconbridge, NSW",51,1994,1.159355416,4.11,2.79,"voucher DN 629: collected at Faulconbridge, NSW and planted in arboretum row 51 in 1994"
Eucalyptus aurifodina,DN 6104,"Meldon, VIC",281,2013,1.160394265,5.36,2.51,"voucher DN 6104: collected at Meldon, VIC and planted in arboretum row 281 in 2013"
Eucalyptus sinuosa,DN 5057,"Hammersley River, WA",300,2010,1.160394265,4.73,3.4,"voucher DN 5057: collected at Hammersley River, WA and planted in arboretum row 300 in 2010"
Eucalyptus parramattensis subsp. parramattensis,DN 1763,"Thirlmere, NSW",143,1997,1.160914388,3.18,2.19,"voucher DN 1763: collected at Thirlmere, NSW and planted in arboretum row 143 in 1997"
Eucalyptus sieberi,DN 1749,"Mt Imlay, NSW",141,1997,1.160914388,3.47,2.52,"voucher DN 1749: collected at Mt Imlay, NSW and planted in arboretum row 141 in 1997"
Eucalyptus blaxlandii,DN 6284,"Kanangra Walls, NSW",241,2013,1.161434978,3.46,2.59,"voucher DN 6284: collected at Kanangra Walls, NSW and planted in arboretum row 241 in 2013"
Eucalyptus gittinsii subsp. gittinsii,DN 3533,"Murchison River, WA",228,2001,1.161434978,4.94,2.78,"voucher DN 3533: collected at Murchison River, WA and planted in arboretum row 228 in 2001"
Eucalyptus rudis subsp. rudis,DN 1131,"Pallinup River, WA",69,1995,1.161434978,4.14,3.02,"voucher DN 1131: collected at Pallinup River, WA and planted in arboretum row 69 in 1995"
Eucalyptus bensonii,DN 773,"Wollemi, NSW",57,1994,1.161956034,3.86,2.94,"voucher DN 773: collected at Wollemi, NSW and planted in arboretum row 57 in 1994"
Eucalyptus megacornuta,DN 3578,"Desmond, WA",233,2001,1.161956034,2.32,2.34,"voucher DN 3578: collected at Desmond, WA and planted in arboretum row 233 in 2001"
Eucalyptus lehmannii subsp. lehmannii,DN 222,"Cape Riche, WA",85,1996,1.164044944,3.88,2.76,"voucher DN 222: collected at Cape Riche, WA and planted in arboretum row 85 in 1996"
Eucalyptus lehmannii subsp. parallela ,DN 3704,"No Tree Hill, WA",220,2001,1.164044944,2.74,3.04,"voucher DN 3704: collected at No Tree Hill, WA and planted in arboretum row 220 in 2001"
Eucalyptus macarthurii,DN 6282,"Boyd Plateau, NSW",243,2013,1.164044944,3.08,2.52,"voucher DN 6282: collected at Boyd Plateau, NSW and planted in arboretum row 243 in 2013"
Eucalyptus apiculata,DN 772,"Wollemi National Park, NSW",152,1998,1.164568345,2.83,2.04,"voucher DN 772: collected at Wollemi National Park, NSW and planted in arboretum row 152 in 1998"
Eucalyptus conferruminata subsp. recherche ,DN 4610,"Woody Island, WA",267,2004,1.164568345,2.71,2.28,"voucher DN 4610: collected at Woody Island, WA and planted in arboretum row 267 in 2004"
Eucalyptus rubida subsp. barbigarorum,DN 2939,"Glen Innes, NSW",193,2000,1.164568345,2.95,2.78,"voucher DN 2939: collected at Glen Innes, NSW and planted in arboretum row 193 in 2000"
Eucalyptus muelleriana,DN 1753,"Bodalla, NSW",142,1997,1.165092218,3.31,2.73,"voucher DN 1753: collected at Bodalla, NSW and planted in arboretum row 142 in 1997"
Eucalyptus ovata subsp. ovata ,DN 1717,"Port Macdonnell, SA",145,1997,1.165092218,2.72,2.27,"voucher DN 1717: collected at Port Macdonnell, SA and planted in arboretum row 145 in 1997"
Eucalyptus badjensis,DN 1767,"Mother Woila, NSW",144,1997,1.165616562,3.14,2.59,"voucher DN 1767: collected at Mother Woila, NSW and planted in arboretum row 144 in 1997"
Eucalyptus kruseana,DN 337,"Cardunia Rocks, WA",45,1994,1.165616562,4.12,2.54,"voucher DN 337: collected at Cardunia Rocks, WA and planted in arboretum row 45 in 1994"
Eucalyptus odontocarpa,DN 1199,"Lake Auld, WA",183,2000,1.165616562,4.03,3.11,"voucher DN 1199: collected at Lake Auld, WA and planted in arboretum row 183 in 2000"
Eucalyptus squamosa,DN 2072,"Glenbrook, NSW",158,1998,1.165616562,3.45,3.23,"voucher DN 2072: collected at Glenbrook, NSW and planted in arboretum row 158 in 1998"
Eucalyptus conveniens,DN 3516,"Badgingarra, WA",227,2001,1.166141378,5.39,2.62,"voucher DN 3516: collected at Badgingarra, WA and planted in arboretum row 227 in 2001"
Eucalyptus kitsoniana ,DN 4314,"Cape Otway, VIC",262,2004,1.166141378,2.57,2.09,"voucher DN 4314: collected at Cape Otway, VIC and planted in arboretum row 262 in 2004"
Eucalyptus camphora subsp. camphora,DN 762,"Coxs Creek, NSW",154,1998,1.167192429,2.79,2.3,"voucher DN 762: collected at Coxs Creek, NSW and planted in arboretum row 154 in 1998"
Eucalyptus prava,DN 671,"Mt Norman, QLD",52,1994,1.167192429,3.46,3.07,"voucher DN 671: collected at Mt Norman, QLD and planted in arboretum row 52 in 1994"
Eucalyptus hallii,DN 716,"Goodwood, QLD",58,1994,1.167718665,3.54,2.67,"voucher DN 716: collected at Goodwood, QLD and planted in arboretum row 58 in 1994"
Eucalyptus wilcoxii,DN 1768,"Mother Woila, NSW",208,2002,1.167718665,2.83,2.4,"voucher DN 1768: collected at Mother Woila, NSW and planted in arboretum row 208 in 2002"
Eucalyptus crucis subsp. lanceolata,DN 5456,"Billyacatting Hill, WA",316,2011,1.168772563,3.74,2.63,"voucher DN 5456: collected at Billyacatting Hill, WA and planted in arboretum row 316 in 2011"
Eucalyptus talyuberlup,DN 4804,"Kalgan River, WA",211,2006,1.168772563,2.36,2.07,"voucher DN 4804: collected at Kalgan River, WA and planted in arboretum row 211 in 2006"
Eucalyptus camaldulensis subsp. arida,DN 5571,"Murchison House Station, WA",310,2011,1.169828365,5.46,3.08,"voucher DN 5571: collected at Murchison House Station, WA and planted in arboretum row 310 in 2011"
Eucalyptus conspicua,DN 1747,"Narrabarba, NSW",262,2004,1.169828365,3.31,2.57,"voucher DN 1747: collected at Narrabarba, NSW and planted in arboretum row 262 in 2004"
Eucalyptus cupularis,DN 1938,"Halls Creek, WA",136,1997,1.169828365,4.29,3.38,"voucher DN 1938: collected at Halls Creek, WA and planted in arboretum row 136 in 1997"
Eucalyptus eudesmioides ,DN 279,"Bunjil, WA",25,1993,1.170886076,4.95,2.33,"voucher DN 279: collected at Bunjil, WA and planted in arboretum row 25 in 1993"
Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,2015,1.170886076,3.43,2.55,"voucher DN 6795: collected at Lake Macquarie, NSW and planted in arboretum row 292 in 2015"
Eucalyptus alligatrix subsp. miscella,DN 776,"Rylstone, NSW",48,1994,1.171415649,3.66,3.02,"voucher DN 776: collected at Rylstone, NSW and planted in arboretum row 48 in 1994"
Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,2015,1.171415649,3.6,2.95,"voucher DN 6791: collected at Nowra, NSW and planted in arboretum row 293 in 2015"
Eucalyptus relicta,DN 3550,"Whicher Range, WA",239,2001,1.171945701,2.59,1.97,"voucher DN 3550: collected at Whicher Range, WA and planted in arboretum row 239 in 2001"
Eucalyptus yarraensis,DN 1728,"Dandenong Creek, VIC",138,1997,1.171945701,2.86,2.23,"voucher DN 1728: collected at Dandenong Creek, VIC and planted in arboretum row 138 in 1997"
Eucalyptus perriniana,DN 584,"Nunniong Plateau, VIC",197,2000,1.172476234,2.23,2.12,"voucher DN 584: collected at Nunniong Plateau, VIC and planted in arboretum row 197 in 2000"
Eucalyptus flindersii,DN 5230,"Pualco Hill, SA",303,2010,1.173007246,3.98,2.54,"voucher DN 5230: collected at Pualco Hill, SA and planted in arboretum row 303 in 2010"
Eucalyptus bigalerita,DN 1350,"Daly Waters, NT",89,1996,1.174070716,5.04,3.1,"voucher DN 1350: collected at Daly Waters, NT and planted in arboretum row 89 in 1996"
Eucalyptus cladocalyx subsp. crassa,DN 1053,"Kangaroo Island, SA",75,1995,1.174070716,3.56,2.84,"voucher DN 1053: collected at Kangaroo Island, SA and planted in arboretum row 75 in 1995"
Eucalyptus stricta,DN 5252,"Kings Tableland, NSW",306,2010,1.174070716,4.26,2.62,"voucher DN 5252: collected at Kings Tableland, NSW and planted in arboretum row 306 in 2010"
Eucalyptus bancroftii,DN 1241,"Wells Crossing, NSW",95,1996,1.176203451,2.97,2.6,"voucher DN 1241: collected at Wells Crossing, NSW and planted in arboretum row 95 in 1996"
Eucalyptus parramattensis subsp. decadens,DN 641,"Williamtown, NSW",56,1994,1.176203451,4.23,2.99,"voucher DN 641: collected at Williamtown, NSW and planted in arboretum row 56 in 1994"
Eucalyptus conferta,DN 6781,"Vaughan, VIC",163,2015,1.176737846,3.92,2.92,"voucher DN 6781: collected at Vaughan, VIC and planted in arboretum row 163 in 2015"
Eucalyptus cornuta,DN 3748,"Bremer Bay, WA",230,2001,1.176737846,3.44,2.78,"voucher DN 3748: collected at Bremer Bay, WA and planted in arboretum row 230 in 2001"
Eucalyptus ceratocorys,DN 2232,"Koorda, WA",175,1999,1.177272727,2.85,2.52,"voucher DN 2232: collected at Koorda, WA and planted in arboretum row 175 in 1999"
Eucalyptus retusa,DN 4801,"Point Hood, WA",210,2006,1.177272727,2.83,2.2,"voucher DN 4801: collected at Point Hood, WA and planted in arboretum row 210 in 2006"
Eucalyptus aggregata,DN 1224,Rydal NSW,92,1996,1.177808095,2.81,2.39,voucher DN 1224: collected at Rydal NSW and planted in arboretum row 92 in 1996
Eucalyptus dalrympleana subsp. 'Tasmania',DN 6736,"Derwent River, TAS",330,2015,1.177808095,4.27,2.95,"voucher DN 6736: collected at Derwent River, TAS and planted in arboretum row 330 in 2015"
Eucalyptus elliptica,DN 6228,"Apsley Falls, NSW",273,2013,1.178343949,2.18,2.19,"voucher DN 6228: collected at Apsley Falls, NSW and planted in arboretum row 273 in 2013"
Eucalyptus chloroclada,DN 6148,"Nymagee, NSW",243,2013,1.178880291,3.85,2.48,"voucher DN 6148: collected at Nymagee, NSW and planted in arboretum row 243 in 2013"
Eucalyptus strzeleckii,DN 1725,"Gellibrand Lower, VIC",142,1997,1.178880291,3.12,2.62,"voucher DN 1725: collected at Gellibrand Lower, VIC and planted in arboretum row 142 in 1997"
Eucalyptus discreta,DN 1091,"Cape Arid Nat. Park, WA",64,1995,1.179417122,3.12,2.71,"voucher DN 1091: collected at Cape Arid Nat. Park, WA and planted in arboretum row 64 in 1995"
Eucalyptus dorrigoensis,DN 6798,"Dorrigo, NSW",331,2015,1.179417122,3.77,2.5,"voucher DN 6798: collected at Dorrigo, NSW and planted in arboretum row 331 in 2015"
Eucalyptus pyrocarpa,DN 2093,"Coast Range, NSW",308,2010,1.179417122,3.72,2.66,"voucher DN 2093: collected at Coast Range, NSW and planted in arboretum row 308 in 2010"
Eucalyptus educta,DN 335,"Callion, WA",12,1993,1.180492252,4.27,3.05,"voucher DN 335: collected at Callion, WA and planted in arboretum row 12 in 1993"
Eucalyptus luehmanniana,DN 6793,"Royal National Park, NSW",292,2015,1.180492252,3.35,2.48,"voucher DN 6793: collected at Royal National Park, NSW and planted in arboretum row 292 in 2015"
Eucalyptus viminalis subsp. cygnetensis,DN 941,"Mikkira Station, SA",75,1995,1.181030552,3.47,2.66,"voucher DN 941: collected at Mikkira Station, SA and planted in arboretum row 75 in 1995"
Eucalyptus pachycalyx subsp. waajensis,DN 1265,"Cracow, QLD",162,1998,1.182108626,3.46,2.23,"voucher DN 1265: collected at Cracow, QLD and planted in arboretum row 162 in 1998"
Eucalyptus leucophloia subsp. euroa,DN 1332,"Mt Isa, QLD",82,1998,1.182648402,4.95,3.13,"voucher DN 1332: collected at Mt Isa, QLD and planted in arboretum row 82 in 1998"
Eucalyptus websteriana subsp. norsemanica,DN 138,"Norseman, WA",14,1993,1.182648402,3.38,2.64,"voucher DN 138: collected at Norseman, WA and planted in arboretum row 14 in 1993"
Eucalyptus wilcoxii,DN 1768,"Mother Woila, NSW",144,1997,1.182648402,3.38,2.62,"voucher DN 1768: collected at Mother Woila, NSW and planted in arboretum row 144 in 1997"
Eucalyptus deanei,DN 633,"Perrys Crossing, NSW",156,1998,1.183188671,3.27,2.26,"voucher DN 633: collected at Perrys Crossing, NSW and planted in arboretum row 156 in 1998"
Eucalyptus cladocalyx subsp. cladocalyx,DN 3182,"Coomunga, SA",229,2001,1.183729433,3.96,2.89,"voucher DN 3182: collected at Coomunga, SA and planted in arboretum row 229 in 2001"
Eucalyptus sp. Truslove,DN 3897,"Grass Patch, WA",204,2002,1.183729433,3.09,2.55,"voucher DN 3897: collected at Grass Patch, WA and planted in arboretum row 204 in 2002"
Eucalyptus cadens,DN 1772,"Wangaratta, VIC",137,1997,1.18427069,3.3,2.59,"voucher DN 1772: collected at Wangaratta, VIC and planted in arboretum row 137 in 1997"
"Eucalyptus gillenii 
",DN 2689,"Dean Range, WA",182,2000,1.18427069,4.55,3.53,"voucher DN 2689: collected at Dean Range, WA and planted in arboretum row 182 in 2000"
Eucalyptus arcana,DN 1800,"Carpenter Rocks, SA",145,1997,1.184812443,3.12,2.59,"voucher DN 1800: collected at Carpenter Rocks, SA and planted in arboretum row 145 in 1997"
Eucalyptus kartzoffiana,DN 1765,"Araluen, NSW",141,1997,1.184812443,3.1,2.61,"voucher DN 1765: collected at Araluen, NSW and planted in arboretum row 141 in 1997"
Eucalyptus brandiana,DN 5514,"Fitzgerald River, WA",313,2011,1.185354691,3.16,2.17,"voucher DN 5514: collected at Fitzgerald River, WA and planted in arboretum row 313 in 2011"
Eucalyptus erythrocorys,DN 5540,"Murchison House Station, WA",319,2011,1.185354691,5.92,2.46,"voucher DN 5540: collected at Murchison House Station, WA and planted in arboretum row 319 in 2011"
Eucalyptus orbifolia,DN 2774,"Diemals Station, WA",186,2000,1.185354691,1.73,2.13,"voucher DN 2774: collected at Diemals Station, WA and planted in arboretum row 186 in 2000"
Eucalyptus rigidula,DN 244,"Corrigin, WA",45,1994,1.185354691,3.08,2.72,"voucher DN 244: collected at Corrigin, WA and planted in arboretum row 45 in 1994"
Eucalyptus brookeriana,DN 1988,"Brookeriana Forest Reserve, TAS",153,1998,1.185897436,2.74,2.19,"voucher DN 1988: collected at Brookeriana Forest Reserve, TAS and planted in arboretum row 153 in 1998"
Eucalyptus cinerea subsp. triplex,DN 569,"Beechworth, VIC",56,1994,1.185897436,3.88,2.74,"voucher DN 569: collected at Beechworth, VIC and planted in arboretum row 56 in 1994"
Eucalyptus nova-anglica,DN 656,"Guyra, NSW",57,1994,1.185897436,3.35,2.66,"voucher DN 656: collected at Guyra, NSW and planted in arboretum row 57 in 1994"
Eucalyptus infera,DN 1254,"Durikai State Forest, QLD",90,1996,1.186440678,2.82,2.08,"voucher DN 1254: collected at Durikai State Forest, QLD and planted in arboretum row 90 in 1996"
Eucalyptus nicholii,DN 651,"Hillgrove, NSW",49,1994,1.186440678,3.58,2.49,"voucher DN 651: collected at Hillgrove, NSW and planted in arboretum row 49 in 1994"
Eucalyptus camaldulensis subsp. camaldulensis,DN 5156,"Currency Creek, SA",303,2010,1.188618632,3.07,2.19,"voucher DN 5156: collected at Currency Creek, SA and planted in arboretum row 303 in 2010"
Eucalyptus camaldulensis subsp. obtusa ,DN 4231,"Durack River, WA",244,2002,1.188618632,3.69,2.82,"voucher DN 4231: collected at Durack River, WA and planted in arboretum row 244 in 2002"
Eucalyptus latens,DN 5518,"Moich Creek, WA",311,2011,1.189164371,2.91,2.42,"voucher DN 5518: collected at Moich Creek, WA and planted in arboretum row 311 in 2011"
Eucalyptus scoparia,DN 672,"Mt Norman, QLD",72,1995,1.189164371,4.43,2.65,"voucher DN 672: collected at Mt Norman, QLD and planted in arboretum row 72 in 1995"
Eucalyptus dalrympleana subsp. heptantha,DN 2941,"Guyra, NSW",194,2000,1.189710611,2.24,1.82,"voucher DN 2941: collected at Guyra, NSW and planted in arboretum row 194 in 2000"
Eucalyptus denticulata,DN 1743,"Errinundra Plateau, VIC",146,1997,1.189710611,3.43,2.84,"voucher DN 1743: collected at Errinundra Plateau, VIC and planted in arboretum row 146 in 1997"
Eucalyptus fulgens,DN 1729,"Tynong, VIC",146,1997,1.189710611,3.74,2.9,"voucher DN 1729: collected at Tynong, VIC and planted in arboretum row 146 in 1997"
Eucalyptus archeri,DN 1990,"Breona, TAS",potted,,1.190257353,4.15,2.54,"voucher DN 1990: collected at Breona, TAS and planted in arboretum row potted in "
