sort,order,TRIP,SITE,PLANT GROUP,REP,SPECIES,SPECIES_sheet2,species_name_edited,root/leaf,COMMENT,LAB NUMBER,xylem sap,%C_leaf,del C_leaf,%N_leaf,%N-2_leaf,Del N_leaf,xylem delN root,xylem delN shoot,%C_root,del C_root,%N_root,%N-2_root,Del N_root
173,246,2,Alice Springs,P,,G. striata,G. striata,Grevillea striata,leaf,,460,,48.221,-25.36,1.1819,,1.92,,,,,,,
174,166,1,Alice Springs,P,,Hakea suberia,Hakea suberia,Hakea suberia,root,,124,,,,,,,,,43.6057,-24.72,0.4439,,2.49
175,167,1,Alice Springs,P,,Hakea suberia,Hakea suberia,Hakea suberia,root,,125,,,,,,,,,44.1096,-24.91,0.8829,,1.39
176,156,1,Alice Springs,G,1,Cen cil,Cen cil,Cenchrus ciliaris,leaf, grove outer edge ,79,,36.6266,-12.11,1.3645,,4.85,,,15.0139,-13.02,0.2936,,5.32
177,157,1,Alice Springs,G,2,Cen cil,Cen cil,Cenchrus ciliaris,leaf, grove outer edge ,87,,38.1417,-12.92,1.9211,,6.27,,,17.6958,-13.21,0.3034,,5.31
178,127,1,Alice Springs,G,4,Cen cil,Cen cil,Cenchrus ciliaris,leaf,grove,388,,38.5749,-13.52,2.034978139,,5.12,,,28.8428,-13.47,0.5287,,1.16
179,124,1,Alice Springs,G,1,Cenc cil,Cenc cil,Cenchrus ciliaris,leaf,grove,394,,36.6885,-13.72,1.824288017,,8.34,,,20.7909,-12.41,0.287848373,,4.55
180,125,1,Alice Springs,G,2,Cenc cil,Cenc cil,Cenchrus ciliaris,leaf,grove,384,,35.4955,-12.71,1.739468742,,5.3,,,31.0023,-13.04,0.3425,,4.21
181,126,1,Alice Springs,G,3,Cenc cil,Cenc cil,Cenchrus ciliaris,leaf,grove,398,,35.7786,-12.03,1.242364355,,3.85,,,19.7674,-14.06,0.2728,,4.34
182,140,1,Alice Springs,G,3,Cen cil,Cen cil,Cenchrus ciliaris,leaf,I/Grove,386,,37.4885,-13.29,1.544,,7.68,,,27.3757,-12.88,0.569557676,,2.48
183,141,1,Alice Springs,G,4,Cen cil,Cen cil,Cenchrus ciliaris,leaf,I/Grove,396,,37.1629,-13.24,1.368291178,,5.74,,,27.0172,-12.47,0.625265188,,1.53
184,142,1,Alice Springs,G,5,Cen cil,Cen cil,Cenchrus ciliaris,leaf,I/Grove,63,,37.4335,-12.02,2.0038,,7.03,,,20.0109,-12.62,0.34430532,,4.58
185,143,1,Alice Springs,G,6,Cen cil,Cen cil,Cenchrus ciliaris,leaf,I/Grove,97,,37.3737,-12.15,1.5233,,6.98,,,17.6122,-11.74,0.374436001,,4.58
196,133,1,Alice Springs,G,2,Thyr,Thyr,Thyridolepis sp.,leaf,grove,118,,39.5798,-12.84,2.1833,,4.49,,,42.6268,-12.41,0.5899,,2
197,135,1,Alice Springs,G,4,Thyr,Thyr,Thyridolepis sp.,leaf,grove,119,,37.6534,-12.53,1.7191,,3,,,42.3954,-12.98,0.5571,,
198,132,1,Alice Springs,G,1,Thyr,Thyr,Thyridolepis sp.,leaf,grove,363,,41.9001,-13.7,1.722663252,,5.51,,,41.9161,-12.93,0.569402319,,1.88
199,134,1,Alice Springs,G,3,Thyr,Thyr,Thyridolepis sp.,leaf,grove,383,,40.3928,-13.28,2.021183981,,4.28,,,41.1893,-12.82,0.713007351,,0.54
200,149,1,Alice Springs,G,2,Thyr,Thyr,Thyridolepis sp.,leaf,I/Grove,361,,40.49,-13.34,1.20876523,,4.76,,,42.8922,-12.46,0.6484,,3.38
201,151,1,Alice Springs,G,4,Thyr,Thyr,Thyridolepis sp.,leaf,I/Grove,382,,39.8685,-13.58,0.795304034,,1.92,,,43.0377,-12.01,0.5816,,1.45
202,148,1,Alice Springs,G,1,Thyr,,Thyridolepis sp.,leaf,I/Grove,351,,39.145,-13.09,1.1,,,,,42.8819,-12.31,0.4318,,1.82
203,150,1,Alice Springs,G,3,Thyr,Thyr,Thyridolepis sp.,leaf,I/Grove,392,,39.5136,-13.82,1.414328773,,4.13,,,42.1639,-12.49,0.5924,,2.97
212,248,2,Alice Springs,Mistletoe,2,,,mistletoe on Acacia aneura,leaf,on aneura 2,407,,46.2097,-28.78,1.7376,,2.6,,,,,,,
213,249,2,Alice Springs,Mistletoe,1,Misteloe,Misteloe,Misteloe,,On 6-7m mulga,457,,44.2818,-29.25,1.4972,,2.83,,,,,,,
214,250,2,Alice Springs,Mulga Fern,,,,Cheilanthes sieberi,leaf,,419,,51.6832,-27.34,0.6869,,0.74,,,,,,,
215,257,2,Alice Springs,Mistletoe,,mistletoe on Acacia,Sh,mistletoe on Acacia,leaf,,440,,44.2681,-29.34,1.9977,,1.51,,,,,,,
216,64,1,,,,Euc.,,Eucalyptus sp.,leaf,,56,,48.0708,-31.01,0.8648,,-0.71,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
