genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Melicope,bonwickii,tree,32,NA,capsule or follicle,"Sulphur-crested Cockatoo, Metallic Starling, Lewin's Honeyeater & Silvereye",4,6,4,6,3,6,Melicope bonwickii,011111000000,000011111100
Melicope,broadbentiana,tree,9,NA,capsule or follicle,Golden Bowerbird (bower decoration),9,12,5,6,3,5,Melicope broadbentiana,111111111001,111111111111
Melicope,elleryana,tree,35,0.6,capsule or follicle,"Figbird, Victoria's Riflebird, Spotted Catbird, Satin Bowerbird, Tooth-billed Bowerbird, Olive-backed Oriole & fruit-doves",10,13,NA,NA,2,7,Melicope elleryana,111100000001,000111111111
Melicope,erythrococca,tree,25,0.6,cocci,King Parrot,4,4,NA,NA,3,3,Melicope erythrococca,000000001100,011100000000
Melicope,fellii,tree,28,NA,capsule,NA,8,10,NA,NA,5,5,Melicope fellii,000000100000,000011100000
Melicope,jonesii,tree,35,NA,capsule or follicle,NA,6,9,NA,NA,4,4,Melicope jonesii,100000000011,001111000000
Melicope,octandra,tree,27,0.76,cocci,NA,NA,4,NA,NA,NA,NA,Melicope octandra,100000011111,001111000000
Melicope,peninsularis,tree,10,NA,capsule,NA,10,16,16,17,4,5,Melicope peninsularis,010000000000,000110000000
Melicope,rubra,tree,10,NA,capsule,Macleay's Honeyeater,15,30,20,25,4,8,Melicope rubra,111000001111,011111110000
Melicope,vitiflora,tree,40,NA,capsule or follicle,"Sulphur-crested Cockatoo, Emerald Dove & Giant White-tailed Rat",5,7,NA,NA,3,5,Melicope vitiflora,000000011111,111111111000
Melicope,xanthozyloides,tree,21,NA,capsule,Brown Cuckoo-dove & Black-faced Cuckoo-shrike,3,5,NA,NA,3,3,Melicope xanthozyloides,111100000011,000111110000
Microcitrus,australasica,tree,10,0.1,berry,NA,20,100,NA,NA,NA,NA,Microcitrus australasica,011110000000,000011110000
Microcitrus,australis,tree,NA,NA,NA,NA,65,65,65,65,NA,NA,Microcitrus australis,NA,NA
Micromelum,minutum,tree,9,NA,berry,Rose-crowned Fruit-dove & Wompoo Fruit-dove,7,10,6,7,6,6,Micromelum minutum,111111000001,110000111111
Murraya,ovatifoliolata,shrub,4,NA,berry,NA,10,13,10,10,NA,NA,Murraya ovatifoliolata,111000001111,111111110011
Murraya,paniculata,tree,8,NA,berry,NA,7,20,7,12,9,9,Murraya paniculata,110000111111,000011111100
Pentaceras,australis,tree,18,0.45,NA,NA,40,40,NA,NA,NA,NA,Pentaceras australis,000001111100,111110000011
