genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Boronia ledifolia,BorLed,2,BorLed_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.59,0.24325,0.654906284,1.007777778,0.66,16898.1,124.93783,-1134.43132,Boronia ledifolia
Boronia ledifolia,BorLed,3,BorLed_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.99,0.404595,0.629759478,1.022083333,0.643666667,20847.35,143.7948,-3251.230413,Boronia ledifolia
Boronia ledifolia,BorLed,4,BorLed_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.84,0.671165,0.667398119,1.0965625,0.73184375,16291.75,139.35187,4931.238511,Boronia ledifolia
Boronia ledifolia,BorLed,5,BorLed_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.73,0.685195,0.615110906,1.082,0.66555,14190.64,120.28391,2247.507016,Boronia ledifolia
Eriostemon australasius,EriAus,1,EriAus_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.64,0.751232,0.608701216,1.042,0.634266667,11327.35,100.03703,2053.958483,Eriostemon australasius
Eriostemon australasius,EriAus,2,EriAus_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.26,0.968652,0.675144033,1.056521739,0.713304348,14222.46,109.13953,2616.716698,Eriostemon australasius
Eriostemon australasius,EriAus,3,EriAus_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.01,0.7349255,0.640209219,1.0925,0.699428571,21506.56,167.73466,1938.492513,Eriostemon australasius
Eriostemon australasius,EriAus,4,EriAus_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.72,1.1045395,0.606570713,0.99875,0.6058125,11839.06,84.83737,6932.724246,Eriostemon australasius
Eriostemon australasius,EriAus,5,EriAus_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.05,0.762103,0.632933105,1.06,0.670909091,19298.07,147.6095,536.0140714,Eriostemon australasius
Hakea dactyloides,HakDac,1,HakDac_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,6.59,0.804538,0.561455866,1.130892857,0.634946429,7516.04,93.18794,6071.030105,Hakea dactyloides
Hakea dactyloides,HakDac,2,HakDac_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,6.21,1.398308,0.582893226,1.187727273,0.692318182,6281.8,72.91924,7103.267852,Hakea dactyloides
Hakea dactyloides,HakDac,3,HakDac_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.58,1.1370492,0.602398524,1.084,0.653,11942.09,114.18885,7218.288261,Hakea dactyloides
Hakea dactyloides,HakDac,4,HakDac_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,5.01,0.9886067,0.581330405,1.098965517,0.638862069,8667.74,88.30573,5509.338078,Hakea dactyloides
Hakea dactyloides,HakDac,5,HakDac_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.92,0.9114166,0.574239957,1.15125,0.66109375,12942.18,112.62229,6373.291818,Hakea dactyloides
Lambertia formosa,LamFor,1,LamFor_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.19,1.1989258,0.514368932,1.103571429,0.567642857,9414.39,74.12051,4195.428806,Lambertia formosa
Lambertia formosa,LamFor,2,LamFor_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.94,1.904011,0.534816202,1.154324324,0.617351351,8944.28,82.96638,3364.272557,Lambertia formosa
Lambertia formosa,LamFor,3,LamFor_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.12,1.7035456,0.494234537,1.1165625,0.55184375,11043.38,60.72678,4691.815316,Lambertia formosa
Lambertia formosa,LamFor,4,LamFor_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.49,0.797995,0.514958449,1.06962963,0.550814815,8870.78,78.65728,5401.200127,Lambertia formosa
