species_name,photosynthetic pathway
Thyridolepis mitchelliana,NA
Thyridolepis multiculmis,NA
Thyridolepis xerophila,NA
Tragus australianus,NA
Triodia acutispicula,NA
Triodia aeria,NA
Triodia angusta,NA
Triodia aristiglumis,NA
Triodia aurita,NA
Triodia basedowii,NA
Triodia biflora,NA
Triodia bitextura,NA
Triodia brizoides,NA
Triodia bromoides,NA
Triodia bunglensis,NA
Triodia bunicola,NA
Triodia burbidgeana,NA
Triodia bynoei,NA
Triodia claytonii,NA
Triodia compacta,NA
Triodia concinna,NA
Triodia contorta,NA
Triodia cunninghamii,NA
Triodia danthonioides,NA
Triodia desertorum,NA
Triodia dielsii,NA
Triodia epactia,NA
Triodia fissura,NA
Triodia fitzgeraldii,NA
Triodia helmsii,NA
Triodia hubbardii,NA
Triodia inaequiloba,NA
Triodia integra,NA
Triodia intermedia,NA
Triodia inutilis,NA
Triodia irritans,NA
Triodia lanata,NA
Triodia lanigera,NA
Triodia latzii,NA
Triodia longiceps,NA
Triodia longiloba,NA
Triodia longipalea,NA
Triodia marginata,NA
Triodia melvillei,NA
Triodia microstachya,NA
Triodia mitchellii,NA
Triodia molesta,NA
Triodia pascoeana,NA
Triodia plectrachnoides,NA
Triodia plurinervata,NA
Triodia procera,NA
Triodia prona,NA
Triodia pungens,NA
Triodia racemigera,NA
Triodia radonensis,NA
Triodia rigidissima,NA
Triodia roscida,NA
Triodia salina,NA
Triodia scariosa,NA
Triodia schinzii,NA
Triodia secunda,NA
Triodia spicata,NA
Triodia stenostachya,NA
Triodia tomentosa,NA
Triodia triaristata,NA
Triodia triticoides,NA
Triodia uniaristata,NA
Triodia vella,NA
Triodia wiseana,NA
Tripogon loliiformis,NA
Triraphis mollis,NA
Trisetum spicatum,NA
Trisetum spicatum subsp. australiense,NA
Uranthoecium truncatum,NA
Urochloa argentea,NA
Urochloa atrisola,NA
Urochloa distachya,NA
Urochloa foliosa,NA
Urochloa gilesii,NA
Urochloa gilesii var. gilesii,NA
Urochloa gilesii var. nothochthona,NA
Urochloa holosericea,NA
Urochloa holosericea subsp. holosericea,NA
Urochloa holosericea subsp. velutina,NA
Urochloa kurzii,NA
Urochloa occidentalis,NA
Urochloa occidentalis var. ciliata,NA
Urochloa piligera,NA
Urochloa polyphylla,NA
Urochloa praetervisa,NA
Urochloa pubigera,NA
Urochloa reptans,NA
Urochloa subquadripara,NA
Urochloa whiteana,NA
Walwhalleya proluta,NA
Walwhalleya pungens,NA
Walwhalleya subxerophila,NA
Whiteochloa airoides,NA
Whiteochloa biciliata,NA
Whiteochloa capillipes,NA
Whiteochloa cymbiformis,NA
Whiteochloa multiciliata,NA
Whiteochloa semitonsa,NA
Xerochloa barbata,NA
Xerochloa imberbis,NA
Yakirra australiensis,NA
Yakirra australiensis var. intermedia,NA
Yakirra majuscula,NA
Yakirra muelleri,NA
Yakirra nulla,NA
Yakirra pauciflora,NA
Yakirra websteri,NA
Zoysia macrantha,NA
Zoysia macrantha subsp. macrantha,NA
Zoysia macrantha subsp. walshii,NA
Zoysia matrella,NA
Zygochloa paradoxa,NA
