genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names,Serotinous,regen_strategy
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus ravida,silver-topped gimlet,Obligate seeder,no,no,no,WA,O,C,G(2)m,E. salubris var. glauca,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,?Eucalyptus jimberlanica,Norseman gimlet,Obligate seeder,no,no,no,WA,O,C,G(2)m,Dubious species (possibly = E. ravida - E. tortilis intergrade),NA,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus campaspe,silver gimlet,Obligate seeder,no,no,no,WA,O,C,G(3)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus tortilis,NA,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus terebra,Balladonia gimlet,Obligate seeder,no,no,no,WA,O,C,G(2)m,E. sp. G in Brooker & Kleinig 1990,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus diptera,two-winged gimlet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Contortae (gimlets),NA,Eucalyptus creta,large-fruited gimlet,Obligate seeder,no,no,no,WA,O,C,G(2)m,E. sp. H in Brooker & Kleinig 1990,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Obliquae,NA,Eucalyptus grossa,coarse-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Stricklandianae,NA,Eucalyptus stricklandii,Stricklands blackbutt,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Stricklandianae,NA,Eucalyptus carnei,Carnes blackbutt,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus armillata,flanged mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. erythronema var. marginata,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus erythronema subsp. erythronema,red-flowered mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus erythronema subsp. inornata,yellow-flowered mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus dielsii,cap-fruited mallet,Obligate seeder,no,no,no,WA,O,C,G(3)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus cerasiformis,cherry-fruited mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Elongatae,NA,Eucalyptus cylindriflora,goldfields white mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Clinatae,NA,Eucalyptus vegrandis subsp. vegrandis,Ongerup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Clinatae,NA,Eucalyptus vegrandis subsp. recondita,Cranbrook mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. recondita ms in Brooker & Kleinig 1990,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Clinatae,NA,Eucalyptus cernua,nodding mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Clinatae,NA,Eucalyptus proxima,nodding mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Clinatae,NA,Eucalyptus vesiculosa,Corackerup marlock,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus nutans,red-flowered moort,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus platypus subsp. platypus,moort,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus platypus subsp. congregata,oval-leaved moort,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus utilis,coastal moort,Obligate seeder,no,no,no,WA,O,C,G(5)m,E. platypus var. heterophylla (but not as to type),Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus spathulata subsp. salina,Salt River mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus spathulata subsp. spathulata,swamp mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus orthostemon,swamp mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. vegrandis subsp. Fine leaf (White 452),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus suggrandis subsp. suggrandis,large-flowered swamp mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,"E. verruculosa ms in Brooker & Kleinig 1990, E. spathulata var. grandifolia",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus suggrandis subsp. promiscua,large-flowered swamp mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus alipes,Hyden mallet,Obligate seeder,no,no,no,WA,O,C,G(3)m,"E. suggrandis subsp. alipes, E. sp. Lort River (Nicolle 5480 & French)",Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus mimica subsp. continens,hooded mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,E. continens ms in Brooker & Kleinig 1990,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus mimica subsp. mimica,Newdegate mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus steedmanii,Steedmans mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus goniocarpa,lake King mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus eremophila,tall sand mallet,Obligate seeder,no,no,no,WA,O,C,G(3)m,E. eremophila var. pterocarpa,NA,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus tenera,"sand mallee, glazed mallee",Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. depauperata, E. sp. E of Brooker & Kleinig 1990",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,?Eucalyptus tephroclada,Holleton mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Dubious species (possibly = E. tenera),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Abundae,Eucalyptus incerata,Mount Day mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus stowardii,fluted horn mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus diminuta,spring mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,E. sargentii subsp. fallens,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus sargentii subsp. sargentii,salt river gum,Obligate seeder,no,no,no,WA,O,C,G(3)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus sargentii subsp. onesis,Mortlock River yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. sargentii subsp. onesia,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus astringens subsp. astringens,brown mallet,Obligate seeder,no,no,no,WA,O,C,G(3)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus astringens subsp. redacta,coastal brown mallet,Obligate seeder,no,no,no,WA,O,C,G(4)m,E. astringens subsp. Desmond (Nicolle 3585 & French),Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus thamnoides,brown mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. thamnoides subsp. megista,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus sporadica,Burngup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,E. sp. F in Brooker & Kleinig 1990,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus aspratilis,granite rock yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. occidentalis var. stenantha,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus occidentalis,"flat-topped yate, swamp yate",combination resprouter,yes,yes,yes,WA,O,C,G(3)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Pedicellatae,Eucalyptus x calyerup,NA,Regenerative strategy uncertain or variable,NA,NA,NA,WA,O,C,G(1)m,E. occidentalis x E. platypus subsp. platypus hybrid,NA,NA
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Annulatae,Eucalyptus protensa,NA,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Annulatae,Eucalyptus extensa,yellow mallet,Obligate seeder,no,no,no,WA,O,C,G(3)m,"E. sp. Tarin Rock (Nicolle 3739 & French), E. extensa subsp. dasyphloia ms",Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Erectae,subser. Annulatae,Eucalyptus annulata,open-fruited mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,NA,Eucalyptus macrandra,"river yate, long-flowered yate",Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. olivacea ms in Brooker & Kleinig 1990, E. sp. (Pingaring)",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,NA,Eucalyptus cornuta,yate,combination resprouter,yes,yes,yes,WA,O,C,G(5)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,NA,Eucalyptus x missilis,bullet bush,Regenerative strategy uncertain or variable,NA,NA,NA,WA,O,C,- (1)m,E. cornuta x E. angulosa hybrid,NA,NA
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Liberae,Eucalyptus talyuberlup,Stirling Range yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Liberae,Eucalyptus burdettiana,Burdetts mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Liberae,Eucalyptus newbeyi,Newbeys yate,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Liberae,Eucalyptus megacornuta,warty yate,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus mcquoidii,Quoin Head marlock,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus sinuosa,octopus mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus retusa,Point Hood yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,"E. sp. Bremer Bay (Sandiford PERTH 01137484), E. jinungurdu ms",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus lehmannii subsp. parallela,bushy yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(6)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus lehmannii subsp. lehmannii,bushy yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus arborella,Twertup yate,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus conferruminata subsp. conferruminata,Bald Island marlock,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus conferruminata subsp. recherche,spider gum,Obligate seeder,no,no,no,WA,O,C,G(3)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus x bennettiae,Bennetts mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. lehmannii subsp. parallela x E. sporadica hybrid,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus wandoo subsp. wandoo,wandoo,combination resprouter,yes,yes,yes,WA,O,C,G(2)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus wandoo subsp. pulverea,wandoo,combination resprouter,yes,yes,yes,WA,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus capillosa,wheatbelt wandoo,Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. capillosa subsp. polyclada, E. nigrifunda",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus livida,mallee wandoo,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus arachnaea subsp. arachnaea,black-stemed mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. redunca var. melanophloia,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus arachnaea subsp. arrecta,black-stemmed mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus phaenophylla,common southern mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,"E. phaenophylla subsp. interjacens, E. sparsicoma",NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus tumida,NA,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus histophylla,Dundas mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. luteola,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus flavida,yellow-flowered mallee,Regenerative strategy uncertain or variable,NA,NA,NA,WA,O,C,G(2)m,E. redunca var. oxymitra,NA,NA
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. cerina,Warralakin mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. subangusta,grey mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,?E. subangusta subsp. virescens,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. pusilla,ember mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta ?subsp. virescens,Narembeen mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Dubious subspecies (possibly E. arachnaea subsp. arachnaea x E. subangusta subsp. subangusta hybrid swarm),NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subtilis,narrow-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. microschema,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus xanthonema,Needilup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. xanthonema subsp. apposita,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus melanophitra,Pallinup River mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus praetermissa,Beaufort Inlet mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus hebetifolia,middle mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. medialis,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus clivicola,green mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus gardneri subsp. ravensthorpensis,Ravensthorpe blue mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus gardneri subsp. gardneri,blue mallet,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus densa,narrow-leaved blue mallet,Obligate seeder,no,no,no,WA,O,C,G(1)m,NA,NA,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus improcera ms,narrow-leaved blue mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. densa subsp. improcera,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus pluricaulis subsp. pluricaulis,blue-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus pluricaulis subsp. porphyrea,purple-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus varia,NA,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. varia subsp. salsuginosa,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus redunca,black marlock,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus x abdita,NA,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. arachnaea x E. pluricaulis subsp. pluricaulis hybrid swarm,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Levispermae (wandoo group),subser. Desmondenses,Eucalyptus desmondensis,Desmond mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,NA,ser. Dundasianae,NA,Eucalyptus dundasii,Dundas blackbutt,Obligate seeder,no,no,no,WA,O,C,G(2)m,NA,Yes,fire_killed
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Decurvae,NA,Eucalyptus doratoxylon,spearwood mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Decurvae,NA,Eucalyptus decurva,slender mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,- (1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Squamosae,NA,Eucalyptus pachycalyx ?subsp. pachycalyx,pumpkin bark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Squamosae,NA,Eucalyptus pachycalyx ?subsp. waajensis,Waaje pumpkin bark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,Dubious subspecies,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Squamosae,NA,Eucalyptus pachycalyx ?subsp. banyabba,Banyabba pumpkin bark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,Dubious subspecies,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Squamosae,NA,Eucalyptus squamosa,scaly bark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,NA,NA,epicormic lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Micrantherae,subser. Micrantherae,Eucalyptus micranthera,Alexander River mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Micrantherae,subser. Bakerianae,Eucalyptus jutsonii subsp. jutsonii,Jutsons mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,NA,ser. Micrantherae,subser. Bakerianae,Eucalyptus jutsonii subsp. kobela,Karara mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,NA,NA,lignotuber
