genus,subgenus,section,subsection,series,subseries,taxon,common_name,strategy_Nicolle,Resprouter,Epicormic,Lignotuber,distribution,observed_by_Nicolle,collected_by_Nicole,growing_at_CCA,alternate_names
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus suggrandis subsp. suggrandis ,large-flowered swamp mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,"E. verruculosa ms in Brooker & Kleinig 1990, E. spathulata var. grandifolia "
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus suggrandis subsp. promiscua ,large-flowered swamp mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus alipes ,Hyden mallet,Obligate seeder ,no,no,no,WA,O,C,G(3)m,"E. suggrandis subsp. alipes, E. sp. Lort River (Nicolle 5480 & French)"
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus mimica subsp. continens ,hooded mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,E. continens ms in Brooker & Kleinig 1990
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus mimica subsp. mimica ,Newdegate mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus steedmanii ,Steedmans mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus goniocarpa ,lake King mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus eremophila ,tall sand mallet,Obligate seeder ,no,no,no,WA,O,C,G(3)m,E. eremophila var. pterocarpa
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus tenera,"sand mallee, glazed mallee",Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. depauperata, E. sp. E of Brooker & Kleinig 1990"
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,?Eucalyptus tephroclada ,Holleton mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Dubious species (possibly = E. tenera)
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Abundae,Eucalyptus incerata ,Mount Day mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus stowardii ,fluted horn mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus diminuta ,spring mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,E. sargentii subsp. fallens
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus sargentii subsp. sargentii ,salt river gum,Obligate seeder ,no,no,no,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus sargentii subsp. onesis ,Mortlock River yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. sargentii subsp. onesia
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus astringens subsp. astringens ,brown mallet,Obligate seeder ,no,no,no,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus astringens subsp. redacta ,coastal brown mallet,Obligate seeder ,no,no,no,WA,O,C,G(4)m,E. astringens subsp. Desmond (Nicolle 3585 & French)
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus thamnoides ,brown mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. thamnoides subsp. megista
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus sporadica ,Burngup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,E. sp. F in Brooker & Kleinig 1990
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus aspratilis ,granite rock yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. occidentalis var. stenantha 
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,Eucalyptus occidentalis,"flat-topped yate, swamp yate",combination resprouter,yes,yes,yes,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Pedicellatae,[Eucalyptus x calyerup],,Regenerative strategy uncertain or variable,,,,WA,O,C,G(1)m ,E. occidentalis x E. platypus subsp. platypus hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Annulatae ,Eucalyptus protensa,,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Annulatae ,Eucalyptus extensa ,yellow mallet,Obligate seeder ,no,no,no,WA,O,C,G(3)m,"E. sp. Tarin Rock (Nicolle 3739 & French), E. extensa subsp. dasyphloia ms"
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Erectae,subser. Annulatae ,Eucalyptus annulata ,open-fruited mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,,Eucalyptus macrandra,"river yate, long-flowered yate",Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. olivacea ms in Brooker & Kleinig 1990, E. sp. (Pingaring)"
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,,Eucalyptus cornuta ,yate,combination resprouter,yes,yes,yes,WA,O,C,G(5)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,,[Eucalyptus x missilis],bullet bush,Regenerative strategy uncertain or variable,,,,WA,O,C,- (1)m ,E. cornuta x E. angulosa hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Liberae,Eucalyptus talyuberlup ,Stirling Range yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Liberae,Eucalyptus burdettiana ,Burdetts mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Liberae,Eucalyptus newbeyi ,Newbeys yate,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Liberae,Eucalyptus megacornuta ,warty yate,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus mcquoidii ,Quoin Head marlock,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus sinuosa ,octopus mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus retusa ,Point Hood yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,"E. sp. Bremer Bay (Sandiford PERTH 01137484), E. jinungurdu ms"
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus lehmannii subsp. parallela ,bushy yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(6)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus lehmannii subsp. lehmannii ,bushy yate,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus arborella ,Twertup yate,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus conferruminata subsp. conferruminata ,Bald Island marlock,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),Eucalyptus conferruminata subsp. recherche ,spider gum,Obligate seeder ,no,no,no,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Lehmannianae,subser. Conjunctae (bushy yates),[Eucalyptus x bennettiae],Bennetts mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m ,E. lehmannii subsp. parallela x E. sporadica hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus wandoo subsp. wandoo ,wandoo,combination resprouter,yes,yes,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus wandoo subsp. pulverea ,wandoo,combination resprouter,yes,yes,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus capillosa ,wheatbelt wandoo,Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. capillosa subsp. polyclada, E. nigrifunda "
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus livida ,mallee wandoo,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus arachnaea subsp. arachnaea ,black-stemed mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. redunca var. melanophloia
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus arachnaea subsp. arrecta ,black-stemmed mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus phaenophylla ,common southern mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(4)m,"E. phaenophylla subsp. interjacens, E. sparsicoma "
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus tumida,,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus histophylla ,Dundas mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. luteola 
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus flavida ,yellow-flowered mallee,Regenerative strategy uncertain or variable,,,,WA,O,C,G(2)m,E. redunca var. oxymitra 
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. cerina ,Warralakin mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. subangusta ,grey mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,?E. subangusta subsp. virescens 
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta subsp. pusilla ,ember mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subangusta ?subsp. virescens ,Narembeen mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,Dubious subspecies (possibly E. arachnaea subsp. arachnaea x E. subangusta subsp. subangusta hybrid swarm)
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus subtilis ,narrow-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. microschema
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus xanthonema ,Needilup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. xanthonema subsp. apposita
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus melanophitra ,Pallinup River mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus praetermissa ,Beaufort Inlet mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus hebetifolia ,middle mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,E. medialis
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus clivicola ,green mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus gardneri subsp. ravensthorpensis ,Ravensthorpe blue mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus gardneri subsp. gardneri ,blue mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus densa ,narrow-leaved blue mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus improcera ms ,narrow-leaved blue mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. densa subsp. improcera
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus pluricaulis subsp. pluricaulis ,blue-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus pluricaulis subsp. porphyrea ,purple-leaved mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus varia,,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. varia subsp. salsuginosa 
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,Eucalyptus redunca ,black marlock,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Levispermae,[Eucalyptus x abdita],,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m ,E. arachnaea x E. pluricaulis subsp. pluricaulis hybrid swarm
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Levispermae (wandoo group),subser. Desmondenses,Eucalyptus desmondensis ,Desmond mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Glandulosae ms,,ser. Dundasianae ,,Eucalyptus dundasii ,Dundas blackbutt,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Decurvae ,,Eucalyptus doratoxylon ,spearwood mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Decurvae ,,Eucalyptus decurva ,slender mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,- (1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Squamosae,,Eucalyptus pachycalyx ?subsp. pachycalyx ,pumpkin bark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Squamosae,,Eucalyptus pachycalyx ?subsp. waajensis ,Waaje pumpkin bark,combination resprouter,yes,yes,yes,Qld,O,C,G(1)m,Dubious subspecies
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Squamosae,,Eucalyptus pachycalyx ?subsp. banyabba ,Banyabba pumpkin bark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,Dubious subspecies
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Squamosae,,Eucalyptus squamosa ,scaly bark,combination resprouter,yes,yes,yes,NSW,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Micrantherae ,Eucalyptus micranthera ,Alexander River mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Bakerianae,Eucalyptus jutsonii subsp. jutsonii ,Jutsons mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Bakerianae,Eucalyptus jutsonii subsp. kobela ,Karara mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Bakerianae,Eucalyptus mannensis subsp. mannensis ,Mann Ranges mallee,Lignotuber resprouter,yes,no,yes,"WA,SA,NT",O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Bakerianae,Eucalyptus mannensis subsp. vespertina,,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. mannensis subsp. western in Brooker & Kleinig 1990
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Micrantherae,subser. Bakerianae,Eucalyptus bakeri ,Bakers mallee,Lignotuber resprouter,yes,no,yes,"Qld,NSW",O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Angustissimae (narrow-leaved oil mallees),,Eucalyptus cneorifolia ,Kangaroo Island narrow-leaved mallee,Lignotuber resprouter,yes,no,yes,SA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Angustissimae (narrow-leaved oil mallees),,Eucalyptus misella ,Field Road mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. sp. L in Brooker & Kleinig 1990
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Angustissimae (narrow-leaved oil mallees),,Eucalyptus foliosa,,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Angustissimae (narrow-leaved oil mallees),,Eucalyptus quaerenda ,Melaleuca mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. angustissima subsp. quaerenda
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Angustissimae (narrow-leaved oil mallees),,Eucalyptus angustissima ,broombush mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Salmonophloiae ,,Eucalyptus salmonophloia ,salmon gum,Stem resprouter ,yes,yes,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus recta ,Wongan Hills silver mallet,Obligate seeder ,no,no,no,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus rugulata ,Ironcaps silver mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus ornata ,silver mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus falcata ,silver mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,"E. argyphea, E. sp. J in Brooker & Kleinig 1990"
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus purpurata ,purple-crowned silver mallet,Obligate seeder ,no,no,no,WA,O,C,G(2)m,E. sp. Bandalup Hill (French 1101)
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus cooperiana ,many-flowered mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus petrensis ,limestone mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus opimiflora ,northern silver mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,"E. sp. Badgingarra (Nicolle 3515 & French), E. falcata subsp. opima ms"
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus dorrienii ,silver mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus ecostata ,coastal silver mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(5)m,"E. falcata var. ecostata, E. falcata subsp. Jerramungup (Canning CBG 038636)"
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus semiglobosa,,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,E. goniantha subsp. semiglobosa 
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus notactites ,southern limestone mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,"E. goniantha subsp. notactites, E. gonianatha subsp. sessile fruit in Brooker & Kleinig 1990"
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus goniantha subsp. goniantha ,Manypeaks mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus goniantha subsp. kynoura ,Point Hillier mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. sp. Point Hillier (Nicolle 3759 & French) 
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus kessellii subsp. eugnosta ,Jerdacuttup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus kessellii subsp. kesselli ,Kessells mallee,Regenerative strategy uncertain or variable,,,,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,Eucalyptus annettae ,Tookle Jenna mallet,Obligate seeder ,no,no,no,WA,O,C,G(1)m,E. sp. Point Malcolm (Nicolle 6011 & French)
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Rugatae,[Eucalyptus x balanopelex],,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m ,E. kessellii subsp. eugnosa x E. semiglobosa hybrid swarm
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,Eucalyptus obesa ,Ninety Mile Tank mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,Eucalyptus adesmophloia ,Wellstead mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m,E. decipiens subsp. adesmophloia 
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,Eucalyptus decipens ,redheart,Lignotuber resprouter,yes,no,yes,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,[Eucalyptus x communalis],,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m ,E. adesmophloia - E. obesa intergrade
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,[Eucalyptus x decipiens subsp. chalara],,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)m ,E. decipiens - E. adesmophloia intergrade
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,[Eucalyptus x balanites],Cadda Road mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,G(1)  ,E. decipiens x E. lane-poolei hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Falcatae,subser. Decipientes ,[Eucalyptus x phylacis],Meelup mallee,Lignotuber resprouter,yes,no,yes,WA,O,C,-, E. decipiens x E. virginea hybrid
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Brockwayanae ,,Eucalyptus brockwayi ,Dundas mahogany,Obligate seeder ,no,no,no,WA,O,C,G(3)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Subulatae ,subser. Spirales ,Eucalyptus delicata,,combination resprouter,yes,yes,yes,WA,O,C,G(2)m,
Eucalyptus,subg. Symphyomyrtus,sect. Bisectae,,ser. Subulatae ,subser. Spirales ,Eucalyptus longicornis ,red morrel,combination resprouter,yes,yes,yes,WA,O,C,G(3)m,
