Species,Population,Temp,CO2,Genotype,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Tleaf (deg C),TBlk (deg C),CO2R (umol mol-1),CO2S (umol mol-1),CiCa (ratio)
Waratah,Coastal,Amb,400,BWK236T8,57,6.680405942,0.061044505,203.5085116,1.286389733,2.110262357,27.80755234,28.11793709,400.6799622,392.0520935,0.519085384
Waratah,Coastal,Amb,400,BWK236T8,57,10.59876684,0.057938576,310.9615287,1.384321616,2.388401639,28.66446877,28.11794281,640.772522,627.0058594,0.495946767
Waratah,Coastal,Amb,400,BWK236T8,57,13.81922988,0.051164408,418.2444668,1.22053132,2.378266628,28.83984756,28.11597252,900.1472168,882.2639771,0.474058193
Waratah,Coastal,Amb,400,BWK236T8,57,16.5949453,0.046356307,565.7579195,1.071713414,2.29973036,28.86304665,28.11476517,1200.711426,1179.267822,0.479753546
Waratah,Coastal,Amb,400,BWK236T8,57,18.44593174,0.042484273,732.3462533,0.948182914,2.216292358,28.82709885,28.11465645,1499.691528,1475.868774,0.496213665
Waratah,Coastal,Amb,400,BWK236T8,57,19.67114042,0.040463357,842.9117843,0.882384876,2.163340571,28.72268867,28.11467934,1700.08313,1674.693237,0.503323096
Waratah,Coastal,Amb,400,BWK236T8,57,20.61105098,0.038233399,1048.446968,0.817382446,2.11969077,28.56604195,28.11679268,1999.883423,1973.200562,0.531343336
Waratah,Upland,Amb,640,NFK170T4,10,-0.671897776,0.218668177,53.5580462,4.25465047,2.04247247,28.21221161,28.117939,49.48536682,50.03646469,1.070380302
Waratah,Upland,Amb,640,NFK170T4,10,1.028205749,0.197546621,87.15806553,3.851550578,2.032301164,28.2563839,28.11647034,100.7518005,99.05939484,0.879856632
Waratah,Upland,Amb,640,NFK170T4,10,4.468614499,0.182382792,146.409803,3.554695505,2.021551357,28.11077499,28.11671448,199.5470734,193.3565369,0.757201206
Waratah,Upland,Amb,640,NFK170T4,10,7.573563217,0.165930634,204.9124062,3.246412108,2.019035998,27.96505737,28.11779022,299.9459839,289.723877,0.707267928
Waratah,Upland,Amb,640,NFK170T4,10,10.00915335,0.145556677,261.0027154,2.849628773,2.007650513,27.72257233,28.11956024,399.7772522,386.4397278,0.675403424
Waratah,Upland,Amb,640,NFK170T4,10,13.85921471,0.118763627,412.3062826,2.360032718,2.021031809,27.45649529,28.1195755,641.1557007,622.7489624,0.66207462
Waratah,Upland,Amb,640,NFK170T4,10,15.22191677,0.093268351,587.7454687,1.889074593,2.043391379,27.2496109,28.12160492,900.9524536,880.6798706,0.667376976
Waratah,Upland,Amb,640,NFK170T4,10,16.33321843,0.071079546,768.7910835,1.503557964,2.11680233,27.63548851,28.12098312,1199.710938,1177.981079,0.652634492
Waratah,Upland,Amb,640,NFK170T4,10,15.25063916,0.050645876,952.8094037,0.985284746,1.937205356,26.31123734,28.12656975,1500.46228,1480.410767,0.643611507
Waratah,Upland,Amb,640,NFK170T4,10,16.08185457,0.042952254,1025.263551,0.942435357,2.181070801,26.53087997,28.12812233,1701.395142,1680.185303,0.610208618
Waratah,Upland,Amb,640,NFK170T4,10,16.4271942,0.032581904,1108.632257,0.738920326,2.247568647,26.50501633,28.13015175,2001.30957,1979.831787,0.559962854
Waratah,Upland,Amb,400,NFK170T6,9,-0.467595902,0.021204119,82.97185763,0.436091908,2.028411653,29.64784241,28.10186958,49.12367249,49.65903091,1.670831188
Waratah,Upland,Amb,400,NFK170T6,9,0.073338793,0.027648075,92.07338619,0.634619161,2.273338223,29.24817467,28.11718941,100.0717621,99.90758514,0.921585544
Waratah,Upland,Amb,400,NFK170T6,9,1.10248939,0.025170344,122.0770547,0.629898307,2.474341536,29.8971405,28.11487961,200.6452179,199.17099,0.612925882
Waratah,Upland,Amb,400,NFK170T6,9,2.020497448,0.024386737,154.5331406,0.614380619,2.490248061,29.93555832,28.11247253,299.8885193,297.2438354,0.51988678
Waratah,Upland,Amb,400,NFK170T6,9,3.150958742,0.024707784,179.8966953,0.606363272,2.426736674,29.54394531,28.11404228,400.9429016,396.8711853,0.453287369
Waratah,Upland,Amb,400,NFK170T6,9,5.572720122,0.023710686,238.4235533,0.573176819,2.386192336,29.55395508,28.11558914,641.281189,634.1550903,0.375970416
Waratah,Upland,Amb,400,NFK170T6,9,7.796545637,0.02239921,307.1868099,0.529593219,2.332313586,29.60993767,28.11561775,900.5992432,890.6737671,0.344892621
Waratah,Upland,Amb,400,NFK170T6,9,9.188791146,0.01935132,394.06021,0.466259709,2.370166036,30.28469086,28.10110664,1200.624756,1188.928711,0.331441411
Waratah,Upland,Amb,400,NFK170T6,9,10.72403563,0.022357569,676.4547246,0.493028621,2.176287348,28.76454353,28.11771202,1501.276733,1487.517456,0.454754142
Waratah,Upland,Amb,400,NFK170T6,9,11.53634348,0.018609096,640.4790664,0.469888955,2.484810323,30.05252266,28.11422157,1699.973877,1685.175415,0.380066704
Waratah,Upland,Amb,400,NFK170T6,9,11.4115489,0.018789307,960.8460753,0.388664056,2.042458413,27.73918152,28.11955833,2001.787354,1987.160156,0.483527245
Waratah,Upland,Elv,640,NFK174T7,14,-0.719060479,0.044168055,73.89877927,1.635950027,3.651505517,33.86683273,32.06636047,50.50025558,51.2618103,1.441595192
Waratah,Upland,Elv,640,NFK174T7,14,0.127028401,0.027537639,86.23163424,1.016054391,3.618231906,33.60228348,32.06668091,99.4654007,99.19225311,0.869338396
Waratah,Upland,Elv,640,NFK174T7,14,1.198728485,0.020095881,93.54307906,0.756938263,3.685295326,33.5447197,32.06672668,200.030365,198.4129028,0.471456633
Waratah,Upland,Elv,640,NFK174T7,14,1.930911766,0.016332559,94.78507492,0.624460182,3.736907969,33.46157455,32.06782532,299.4530945,296.9161072,0.319231839
Waratah,Upland,Elv,640,NFK174T7,14,2.194267386,0.013328682,116.812354,0.515414816,3.776773618,33.37817001,32.06822205,400.1173096,397.241333,0.294058911
Waratah,Upland,Elv,640,NFK174T7,14,2.843105898,0.010616489,181.000011,0.41989884,3.85870296,33.46079254,32.06773758,640.5415649,636.8125,0.284228106
Waratah,Upland,Elv,640,NFK174T7,14,4.40913578,0.008779447,59.36168171,0.350208044,3.886115842,33.38877106,32.06859207,901.2439575,895.5808716,0.066282883
Waratah,Upland,Elv,640,NFK174T7,14,4.814260352,0.008415428,230.3319339,0.340271556,3.940389511,33.46373367,32.06991577,1200.430176,1194.171021,0.19288019
Waratah,Upland,Elv,640,NFK174T7,14,6.062316789,0.007469235,136.1802806,0.308094947,4.018968566,33.68584442,32.0676384,1499.379517,1491.560425,0.091300546
Waratah,Upland,Elv,640,NFK174T7,14,6.849374198,0.006960653,54.67991041,0.289154669,4.045437559,33.79323578,32.06866074,1699.32312,1690.525269,0.032344923
Waratah,Upland,Elv,640,NFK174T7,14,6.801238672,0.006389684,211.0067181,0.268405497,4.086929104,33.98986053,32.07011032,2000.295288,1991.499756,0.105953675
Waratah,Upland,Elv,640,RJ2769T5,153,-0.665321856,0.072707199,62.33078634,2.424122525,3.316675184,32.35469055,32.06965256,49.79154587,50.44262695,1.235676849
Waratah,Upland,Elv,640,RJ2769T5,153,0.196586942,0.065066638,90.14995,2.205927728,3.362909919,32.47006607,32.06941605,100.8480072,100.3469162,0.898382864
Waratah,Upland,Elv,640,RJ2769T5,153,2.22318787,0.05840365,125.929763,1.991881205,3.37502355,32.48458099,32.07028961,200.0056763,196.8701324,0.639659056
Waratah,Upland,Elv,640,RJ2769T5,153,4.262443827,0.053038242,151.3707539,1.782804763,3.321794053,32.2470665,32.068573,299.9236755,294.1846619,0.514543324
Waratah,Upland,Elv,640,RJ2769T5,153,5.808865879,0.048474334,182.7665994,1.598771249,3.256061686,31.94919014,32.07184982,400.4266968,392.7090149,0.465399552
Waratah,Upland,Elv,640,RJ2769T5,153,9.164740746,0.042125819,252.5471822,1.369008782,3.203291566,31.59413338,32.07293701,640.2677612,628.2485962,0.401986067
Waratah,Upland,Elv,640,RJ2769T5,153,11.54706504,0.038656903,369.4163542,1.229783796,3.135014111,31.18140411,32.07349014,900.3694458,885.2197876,0.41731597
Waratah,Upland,Elv,640,RJ2769T5,153,14.28815902,0.035019424,477.960195,1.157971582,3.251958946,31.74281502,32.07325363,1200.811646,1182.039429,0.404352159
Waratah,Upland,Elv,640,RJ2769T5,153,15.30577171,0.03166286,641.1713881,1.046930339,3.24863433,31.71638298,32.06403351,1498.807983,1478.599365,0.433634291
Waratah,Upland,Elv,640,RJ2769T5,153,15.55534862,0.030979296,807.6246344,0.952112966,3.027893333,30.18055153,32.07862473,1700.829834,1680.262939,0.480653721
Waratah,Upland,Elv,640,RJ2769T5,153,16.5271565,0.028984702,983.9911554,0.908121355,3.085999115,30.11153793,32.0799675,2001.176514,1979.209351,0.497163756
Waratah,Upland,Elv,640,RJ2769T7,167,-0.724318057,0.110747259,58.60160634,3.352436766,3.054684956,34.09991074,32.06598282,49.85312653,50.5185318,1.160002167
Waratah,Upland,Elv,640,RJ2769T7,167,0.413462366,0.109464956,87.94988359,3.277144556,3.019830909,33.91123199,32.0667305,99.69745636,98.81338501,0.890060426
Waratah,Upland,Elv,640,RJ2769T7,167,3.524973018,0.107324088,133.2999431,3.209622824,3.016134034,33.75200653,32.06509399,200.6560364,195.6764221,0.681226393
Waratah,Upland,Elv,640,RJ2769T7,167,6.458048141,0.104753694,178.5121548,3.020982479,2.909606055,33.0212326,32.06752014,300.2510071,291.4522705,0.612491899
Waratah,Upland,Elv,640,RJ2769T7,167,9.039523056,0.102365383,227.9564263,2.976764504,2.932164333,32.80644989,32.06818771,400.6127625,388.3884277,0.586928987
Waratah,Upland,Elv,640,RJ2769T7,167,14.08514856,0.090118898,340.1621654,2.827106239,3.146612208,33.36896896,32.07254028,640.8208618,621.8277588,0.547035993
Waratah,Upland,Elv,640,RJ2769T7,167,17.94820686,0.086419538,498.3040792,2.777834949,3.217365262,33.65724182,32.07120132,899.9457397,875.5091553,0.569159187
Waratah,Upland,Elv,640,RJ2769T7,167,20.4166185,0.080694625,706.3219505,2.622530912,3.244454954,33.81781769,32.06915283,1199.140137,1170.984863,0.603186235
Waratah,Upland,Elv,640,RJ2769T7,167,22.36758126,0.072839134,901.2712099,2.44341378,3.336696554,34.24769592,32.06658936,1499.501465,1468.38147,0.61378547
Waratah,Upland,Elv,640,RJ2769T7,167,22.16979232,0.066942725,1051.235261,2.306427995,3.418726763,34.54357529,32.06855392,1699.47168,1668.281616,0.630130579
Waratah,Upland,Elv,640,RJ2769T7,167,22.83716289,0.062951977,1284.955599,2.154496676,3.392656676,34.41539764,32.06350708,1999.599487,1967.136841,0.65321109
