name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity,plant_height_duplicate,maximum height (m)_filtered
Dracophyllum secundum,shrub,Jul - Sep,1,NA,NA,NA,NA,1
Prostanthera denticulata,Shrub,Sep - Oct,1,NA,NA,NA,NA,1
Aegiceras corniculatum,shrub,Jun - Nov,2,NA,NA,NA,NA,2
Banksia ericifolia,shrub,Apr - Aug,3,anemochory,yes,NA,NA,3
Banksia marginata,shrub,Feb - Jul,5,anemochory,yes,NA,NA,5
Hakea teretifolia,shrub,Jan - Apr,3,anemochory,yes,NA,NA,3
Banksia robur,shrub,Jan - Jul,2,anemochory,yes,NA,NA,2
Allocasuarina distyla,shrub,Jul - Sep,3,anemochory,yes,NA,Duplicate of Barlow_1981_0109,NA
Hakea propinqua,shrub,Jun - Oct,2,anemochory,yes,NA,NA,2
Hakea gibbosa,shrub,Jun - Sep,2,anemochory,yes,NA,NA,2
Hakea sericea,shrub,Jun - Sep,3,anemochory,yes,NA,NA,3
Xylomelum pyriforme,shrub,Oct - Nov,5,anemochory,yes,NA,Duplicate of Barlow_1981_4299,NA
Hakea dactyloides,shrub,Sep - Nov,3,anemochory,yes,NA,NA,3
Banksia asplenifolia,shrub,NA,2,anemochory,yes,NA,NA,2
Lomatia myricoides,shrub,Dec - Jan,4,anemochory,no,NA,NA,4
Bursaria spinosa,shrub,Jan - Apr,2,anemochory,no,NA,NA,2
Lomatia silaifolia,shrub,Nov - Feb,1,anemochory,no,NA,NA,1
Ceratopetalum gummiferum,shrub,Oct - Nov,4,anemochory,no,NA,NA,4
Telopea speciosissima,shrub,Sep - Oct,4,anemochory,no,NA,NA,4
Olearia microphylla,Shrub,Aug - Nov,1,anemochory,NA,NA,NA,1
Doryanthes exelsa,Shrub,Aug - Nov,2,anemochory,NA,NA,NA,2
Helichrysum elatum,Shrub,Aug - Oct,1,anemochory,NA,NA,NA,1
Cassinia aculeata,Shrub,Dec - MAr,2,anemochory,NA,NA,NA,2
Calytix tetragona,Shrub,Jul - Dec,2,anemochory,NA,NA,NA,2
Cassinia aureonitens,Shrub,Oct - Dec,2,anemochory,NA,NA,NA,2
Helichrysum diosmifolium,Shrub,Oct - Dec,2,anemochory,NA,NA,NA,2
Cassinia denticulata,Shrub,Oct - Nov,2,anemochory,NA,NA,NA,2
Cassinia compacta,Shrub,Spring- summer,2,anemochory,NA,NA,NA,2
Boronia parviflora,shrub,All year,1,ballistic + ant,no,NA,NA,1
Boronia serrulata,shrub,Aug - Nov,1,ballistic + ant,no,NA,NA,1
Eriostemon buxifolius,shrub,Aug - Nov,1,ballistic + ant,no,NA,NA,1
Phebalium squamulosum,shrub,Aug - Nov,2,ballistic + ant,no,NA,NA,2
Boronia pinnata,shrub,Aug - Oct,1,ballistic + ant,no,NA,NA,1
Boronia mollis,shrub,Aug - Oct,2,ballistic + ant,no,NA,NA,2
Eriostemon australasius,shrub,Aug - Oct,2,ballistic + ant,no,NA,NA,2
Ziera smithii,shrub,Aug - Oct,2,ballistic + ant,no,NA,NA,2
Crowea saligna,shrub,Feb - Jun,1,ballistic + ant,no,NA,NA,1
Philotheca salsolifolia,shrub,Jul - Dec,1,ballistic + ant,no,NA,NA,1
Ziera laevigata,shrub,Jul - Oct,0.6,ballistic + ant,no,NA,NA,0.6
Boronia ledifolia,shrub,Jul - Sep,1,ballistic + ant,no,NA,NA,1
Acacia myrtifolia,shrub,May - Aug,1,ballistic + ant,no,NA,NA,1
Ziera pilosa,shrub,May - Oct,0.6,ballistic + ant,no,NA,NA,0.6
Correa reflexa,shrub,May - Sep,0.8,ballistic + ant,no,NA,NA,0.8
Boronia floribunda,shrub,Sep - Nov,1,ballistic + ant,no,NA,NA,1
Poranthera ericifolia,shrub,Sep - Nov,0.2,ballistic + ant,no,NA,NA,0.2
Boronia fraseri,shrub,Sep - Oct,2,ballistic + ant,no,NA,NA,2
Olax stricta,shrub,All year,1,endozoochory,no,NA,NA,1
Persoonia lanceolata,shrub,All year,2,endozoochory,no,NA,NA,2
Wilkiea huegeliana,shrub,Dec - Feb,4,endozoochory,no,NA,NA,4
Muellerina celastroides,shrub,Dec - Feb,NA,endozoochory,no,NA,NA,NA
Persoonia linearis,shrub,Dec - Jul,5,endozoochory,no,NA,Duplicate of Barlow_1981_3306,NA
Leptomeria acida,shrub,Feb - Apr,2,endozoochory,no,NA,NA,2
Persoonia pinifolia,shrub,Mar - MAy,2,endozoochory,no,NA,Duplicate of Barlow_1981_3337,NA
Persoonia hirsuta,shrub,Nov - Jan,NA,endozoochory,no,NA,NA,NA
Citriobatus pauciflorus,shrub,Sep - Dec,1,endozoochory,no,NA,NA,1
Tasmannia insipida,shrub,Sep - Dec,2,endozoochory,no,NA,NA,2
Persoonia levis,shrub,Sep - Dec,2.5,endozoochory,no,NA,NA,2.5
Persoonia isophylla,shrub,NA,2,endozoochory,no,NA,NA,2
Exocarpus cupressiformis,shrub,NA,8,endozoochory,no,NA,Duplicate of Barlow_1981_1542,NA
Myoporum insulare,Shrub,Oct - Mar,2,endozoochory,NA,NA,NA,2
Myoporum acuminatum,Shrub,Aug - Oct,2,endozoochory,NA,NA,NA,2
Leucopogon setiger,shrub,Aug - Oct,0.8,endozoochory,NA,NA,NA,0.8
Polyscias sambucifolius,Shrub,Dec - Jan,3,endozoochory,NA,NA,NA,3
Astroloma humifusum,shrub,Feb - Jun,0.2,endozoochory,NA,NA,NA,0.2
Styphelia triflora,Shrub,Jul - Oct,2,endozoochory,NA,NA,NA,2
Leucopogon ericoides,shrub,Jul - Oct,0.8,endozoochory,NA,NA,NA,0.8
Acrotriche divaricata,shrub,Jul - Sep,2,endozoochory,NA,NA,NA,2
Rapana variabilis,shrub,Jul - Sep,3,endozoochory,NA,NA,NA,3
Monotoca elliptica,Shrub,Jul - Sep,4,endozoochory,NA,NA,NA,4
Styphelia longifolia,Shrub,May - Jun,2,endozoochory,NA,NA,NA,2
Austromyrtus tenuifolia,Shrub,Nov - Dec,1.5,endozoochory,NA,NA,NA,1.5
Wikstroemia indica,Shrub,Nov - Dec,1.5,endozoochory,NA,NA,NA,1.5
Ampera xiphoclada,shrub,All year,0.4,myrmecochory,no,NA,NA,0.4
Bossiaea heterophylla,shrub,Apr - Jun,1,myrmecochory,no,NA,NA,1
Monotoca scoparia,Shrub,Apr - Sep,1,myrmecochory,no,NA,NA,1
Dillwynia sericea ssp B,shrub,Aug - Dec,1,myrmecochory,no,NA,NA,1
Aotus ericoides,shrub,Aug - Nov,1,myrmecochory,no,NA,NA,1
Gompholobium grandiflorum,shrub,Aug - Nov,1,myrmecochory,no,NA,NA,1
Gompholobium latifolium,shrub,Aug - Nov,1,myrmecochory,no,NA,NA,1
Platylobium formosum,shrub,Aug - Nov,1,myrmecochory,no,NA,NA,1
Grevillea buxifolia,shrub,Aug - Nov,2,myrmecochory,no,NA,NA,2
Ricinocarpus pinifolius,shrub,Aug - Nov,2,myrmecochory,no,NA,NA,2
Pultenaea daphnoides,shrub,Aug - Nov,3,myrmecochory,no,NA,NA,3
Gompholobium glabratum,shrub,Aug - Nov,0.3,myrmecochory,no,NA,NA,0.3
Bossiaea ensata,shrub,Aug - Nov,0.5,myrmecochory,no,NA,NA,0.5
Daviesia alata,shrub,Aug - Nov,0.5,myrmecochory,no,NA,NA,0.5
Micrantheum ericoides,shrub,Aug - Nov,0.5,myrmecochory,no,NA,NA,0.5
Pultenaea linophylla,shrub,Aug - Nov,0.8,myrmecochory,no,NA,NA,0.8
Bossiaea scolopendria,shrub,Aug - Oct,1,myrmecochory,no,NA,NA,1
Phyllota phylicoides,shrub,Aug - Oct,1,myrmecochory,no,NA,NA,1
Eriostemon myoporoides,shrub,Aug - Oct,2,myrmecochory,no,NA,NA,2
Pultenaea stipularis,shrub,Aug - Oct,2,myrmecochory,no,NA,NA,2
Acacia paradoxa,shrub,Aug - Oct,3,myrmecochory,no,NA,NA,3
Pultenaea flexilis,shrub,Aug - Oct,3,myrmecochory,no,NA,NA,3
Bossiaea obcordata,shrub,Aug - Oct,0.5,myrmecochory,no,NA,NA,0.5
Acacia floribunda,shrub,Aug - Sep,4,myrmecochory,no,NA,NA,4
Acacia linifolia,shrub,Jan - Apr,4,myrmecochory,no,NA,NA,4
Hovea linearis,shrub,Jul - Aug,1,myrmecochory,no,NA,NA,1
Bauera rubioides,shrub,Jul - Dec,2,myrmecochory,no,NA,NA,2
Dillwynia retorta,shrub,Jul - Dec,2,myrmecochory,no,NA,NA,2
Grevillea sericea,shrub,Jul - Nov,2,myrmecochory,no,NA,Duplicate of Barlow_1981_2317,NA
Tetratheca ericifolia,shrub,Jul - Nov,0.4,myrmecochory,no,NA,NA,0.4
Dillwynia floribunda,shrub,Jul - Oct,1,myrmecochory,no,NA,NA,1
Acacia oxycedrus,shrub,Jul - Oct,3,myrmecochory,no,NA,NA,3
Dodonaea triquetra,shrub,Jul - Oct,3,myrmecochory,no,NA,Duplicate of Barlow_1981_1287,NA
Grevillea linearifolia,shrub,Jul - Oct,3,myrmecochory,no,NA,NA,3
Tetratheca glandulosa,shrub,Jul - Oct,0.5,myrmecochory,no,NA,NA,0.5
Cryptandra amara,shrub,Jun - Aug,0.3,myrmecochory,no,NA,NA,0.3
Acacia longifolia,shrub,Jun - Nov,4,myrmecochory,no,NA,NA,4
Grevillea speciosa,shrub,Jun - Sep,2,myrmecochory,no,NA,NA,2
Cryptandra ericoides,shrub,Mar - Apr,0.5,myrmecochory,no,NA,NA,0.5
Acacia suaveolens,shrub,Mar - Aug,3,myrmecochory,no,NA,NA,3
Acacia terminalis,shrub,Mar - Jul,3,myrmecochory,no,NA,NA,3
Comesperma sphaerocarpum,shrub,Nov - Feb,0.2,myrmecochory,no,NA,NA,0.2
Grevillea caleyi,shrub,Oct - Dec,3,myrmecochory,no,NA,NA,3
Maytenus silvestris,shrub,Oct - Jan,3,myrmecochory,no,NA,NA,3
Pomaderris aspera,shrub,Oct - Nov,3,myrmecochory,no,NA,NA,3
Comesperma ericinum,shrub,Sep - Dec,1,myrmecochory,no,NA,NA,1
Pultenaea elliptica,shrub,Sep - Dec,1,myrmecochory,no,NA,NA,1
Lasiopetalum ferrugineum,shrub,Sep - Nov,1,myrmecochory,no,NA,NA,1
Styphelia tubiflora,Shrub,Apr - Aug,1,myrmecochory,NA,NA,NA,1
Dampiera stricta,Shrub,Aug - Dec,0.6,myrmecochory,NA,NA,Duplicate of Barlow_1981_1093,NA
Hibbertia aspera,Shrub,Aug - Dec,0.6,myrmecochory,NA,NA,NA,0.6
Hibbertia serpyllifolia,Shrub,Aug - Oct,0.3,myrmecochory,NA,NA,NA,0.3
Leucopogon amplexicaulis,shrub,Aug - Oct,0.3,myrmecochory,NA,NA,NA,0.3
Leucopogon esquamatus,shrub,Aug - Sep,0.6,myrmecochory,NA,NA,NA,0.6
Hibbertia cistiflora,Shrub,Aug - Sep,0.8,myrmecochory,NA,NA,NA,0.8
Platysace linearifolia,Shrub,Dec - Apr,1.5,myrmecochory,NA,NA,NA,1.5
Platysace stephensonii,Shrub,Dec - Jul,0.3,myrmecochory,NA,NA,NA,0.3
Hibbertia bracteata,Shrub,Jul - Dec,1,myrmecochory,NA,NA,NA,1
Pimelea linifolia,Shrub,Jul - Oct,1,myrmecochory,NA,NA,NA,1
Hemigenia purpurea,Shrub,Jun - Jan,1,myrmecochory,NA,NA,NA,1
Baeckea ramossissima,Shrub,Jun - Jan,0.2,myrmecochory,NA,NA,NA,0.2
Brachyloma daphnoides,Shrub,Jun - Nov,1,myrmecochory,NA,NA,NA,1
Hibbertia riparia,Shrub,May - Dec,0.6,myrmecochory,NA,NA,NA,0.6
Leucopogon microphyllus,shrub,May - Nov,0.8,myrmecochory,NA,NA,NA,0.8
Hibbertia linearis,Shrub,May - Oct,0.5,myrmecochory,NA,NA,NA,0.5
Leucopogon appressus,shrub,Nov - Feb,0.8,myrmecochory,NA,NA,NA,0.8
Pimelea latifolia hirsuta,Shrub,Sep - Mar,0.5,myrmecochory,NA,NA,NA,0.5
Acacia hispidula,shrub,All year,2,NA,no,NA,NA,2
Grevillea mucronulata,shrub,Apr - Oct,1,NA,no,NA,NA,1
Acacia falcata,shrub,Apr - Jul,2,NA,no,NA,NA,2
Pultenaea polifolia,shrub,Aug  - Oct,0.6,NA,no,NA,NA,0.6
Lasiopetalum rufum,shrub,Aug - Nov,1,NA,no,NA,NA,1
Pultenaea retusa,shrub,Aug - Nov,1,NA,no,NA,NA,1
Howittia trilocularis,shrub,Aug - Nov,2,NA,no,NA,NA,2
Tetratheca thymifolia,shrub,Aug - Nov,0.5,NA,no,NA,NA,0.5
Pultenaea rosmarinifolia,shrub,Aug - Oct,1,NA,no,NA,NA,1
Rulingia dasyphylla,shrub,Aug - Oct,2,NA,no,NA,NA,2
Lasiopetalum joyceae,shrub,Aug - Oct,0.8,NA,no,NA,NA,0.8
Indigofera australis,shrub,Aug - Sep,1,NA,no,NA,NA,1
Acacia stricta,shrub,Aug - Sep,2,NA,no,NA,NA,2
Hovea purpurea,shrub,Aug - Sep,3,NA,no,NA,NA,3
Acacia longissima,shrub,Dec - Jan,2,NA,no,NA,NA,2
Crowea exalata,shrub,Dec - Jun,0.6,NA,no,NA,NA,0.6
Boronia rigens,shrub,Jul - Oct,0.4,NA,no,NA,NA,0.4
Acacia echinula,shrub,Jun - Aug,2,NA,no,NA,NA,2
Grevillea baueri,shrub,Jun - Dec,1,NA,no,NA,NA,1
Acacia trinervata,shrub,Mar - Jun,2,NA,no,NA,NA,2
Monotaxis linifolia,shrub,Oct - Jan,0.3,NA,no,NA,NA,0.3
Dodonaea pinnata,shrub,Sep - Dec,1,NA,no,NA,NA,1
Boronia polygalifolia,shrub,Sep - Feb,0.2,NA,no,NA,NA,0.2
Oxylobium ilicifolium,shrub,Sep - Nov,2,NA,no,NA,NA,2
Pultenaea microphylla,shrub,Sep - Nov,0.5,NA,no,NA,NA,0.5
Poranthera corymbosa,shrub,Sep - Nov,0.6,NA,no,NA,NA,0.6
Eriostemon hispidulus,shrub,Sep - Oct,1,NA,no,NA,NA,1
Pultenaea hispidula,shrub,Sep - Oct,1,NA,no,NA,NA,1
Asterolasia correifolia,shrub,Sep - Oct,2,NA,no,NA,NA,2
Lasiopetalum macrophyllum,shrub,Sep - Oct,2,NA,no,NA,NA,2
Pomaderris elliptica,shrub,Sep - Oct,2,NA,no,NA,NA,2
Pomaderris ferruginea,shrub,Sep - Oct,2,NA,no,NA,NA,2
Pomaderris intermedia,shrub,Sep - Oct,2,NA,no,NA,NA,2
Pultenaea paludosa,shrub,Sep - Oct,0.4,NA,no,NA,NA,0.4
Comesperma defoliatum,shrub,Summer,0.6,NA,no,NA,NA,0.6
Hibbertia diffusa,Shrub,Aug - Feb,0.5,NA,NA,NA,NA,0.5
Daviesia acicularis,shrub,Aug - Nov,1,NA,NA,NA,NA,1
Daviesia corymbosa,shrub,Aug - Nov,1,NA,NA,NA,NA,1
Daviesia ulicifolia,shrub,Aug - Nov,1,NA,NA,NA,NA,1
Logania albiflora,shrub,Aug - Oct,2,NA,NA,NA,NA,2
Platysace lanceolata,Shrub,Dec - Apr,1.5,NA,NA,NA,NA,1.5
Mirbelia speciosa,shrub,Jul - Aug,1,NA,NA,NA,NA,1
Hibbertia fasciculata,Shrub,Jul - Dec,1,NA,NA,NA,NA,1
Chloanthes stoechadis,shrub,Jul - Oct,0.5,NA,NA,NA,NA,0.5
Leucopogon parviflorus,Shrub,Jul - Sep,0.5,NA,NA,NA,NA,0.5
Haloragodendron lucasii,Shrub,Nov,1,NA,NA,NA,Duplicate of Barlow_1981_2638,NA
Leptospermum rotundifoliu,Shrub,Nov - Dec,2,NA,NA,NA,NA,2
Astrotricha longifolia,shrub,Oct - Dec,2,NA,NA,NA,NA,2
Pimelea curviflora,Shrub,Sep - Jan,1.5,NA,NA,NA,Duplicate of Barlow_1981_3470,NA
Hibbertia empetrifolia,Shrub,Sep - Mar,0.3,NA,NA,NA,NA,0.3
Acacia parramattensis,shrub/tree,Oct - Feb,4,myrmecochory,no,NA,NA,4
Commelina cyanea,Trailer,Jan - Feb,0.1,NA,NA,NA,NA,0.1
Hibbertia scandens,Trailer,All year,NA,endozoochory,NA,NA,NA,NA
Hibbertia dentata,Trailer,Aug - Nov,NA,myrmecochory,NA,NA,NA,NA
Eucalyptus haemastoma,Tree,Nov - Mar,12,NA,NA,NA,Duplicate of CPBR_2002_429,NA
Backhousia myrtifolia,Tree,Nov -Dec,10,NA,NA,NA,NA,10
Brachychiton acerifolius,tree,Dec - Jan,20,NA,no,NA,NA,20
Brachychiton populneus,tree,Nov - Jan,15,NA,no,NA,NA,15
Glochidion ferdinandi,tree,Oct,6,NA,no,NA,NA,6
Callicoma serratifolia,tree,Oct - Dec,4,NA,no,NA,NA,4
Eucalyptus agglomerata,Tree,Apr - Jul,8,NA,NA,NA,NA,8
Eucalyptus sideroxylon,Tree,Apr - Oct,15,NA,NA,NA,NA,15
Eucalyptus umbra,Tree,Aug - Jan,8,NA,NA,NA,NA,8
Eucalyptus pellita,Tree,Aug - NOv,10,NA,NA,NA,NA,10
Eucalyptus racemosa,Tree,Aug - Nov,15,NA,NA,NA,NA,15
Eucalyptus squamosa,Tree,Aug - Oct,8,NA,NA,NA,NA,8
Eucalyptus capitellata,Tree,Dec - Feb,15,NA,NA,NA,NA,15
Angophora bakeri,Tree,Dec - Jan,15,NA,NA,NA,NA,15
Tristaniopsis laurina,Tree,Dec - Jan,15,NA,NA,NA,NA,15
Eucalyptus punctata,Tree,Dec - MAr,10,NA,NA,NA,NA,10
Eucalyptus botyroides,Tree,Dec - Mar,15,NA,NA,NA,NA,15
Eucalyptus gummifera,Tree,Feb - Mar,15,NA,NA,NA,NA,15
Melaleuca quinquenervia,Tree,Feb - May,8,NA,NA,NA,NA,8
Eucalyptus camfieldii,Tree,irregular,4,NA,NA,NA,NA,4
Eucalyptus notabilis,Tree,Jan,10,NA,NA,NA,NA,10
Eucalyptus saligna,Tree,Jan  - Apr,25,NA,NA,NA,NA,25
Eucalyptus oblonga,Tree,Jan - Apr,8,NA,NA,NA,NA,8
Eucalyptus globoidea,Tree,Jan - Jun,8,NA,NA,NA,NA,8
Eucalyptus viminalis,Tree,Jan - May,30,NA,NA,NA,NA,30
Eucalyptus paniculata,Tree,May - Aug,15,NA,NA,NA,NA,15
Eucalyptus maculata,Tree,May - Sep,20,NA,NA,NA,NA,20
Angophora costata,Tree,Nov - Dec,25,NA,NA,NA,NA,25
Melaleuca styphelioides,Tree,Nov - Dec,8,NA,NA,NA,NA,8
Eucalyptus piperita,Tree,Nov - Feb,25,NA,NA,NA,NA,25
Eucalyptus resinifera,Tree,Nov - Jan,15,NA,NA,NA,NA,15
Eucalyptus eximia,Tree,Oct,20,NA,NA,NA,Duplicate of CPBR_2002_050,NA
Angophora floribunda,Tree,Oct - Dec,20,NA,NA,NA,NA,20
Syncarpia glomulifera,Tree,Oct - Dec,25,NA,NA,NA,NA,25
Eucalyptus sieberi,Tree,Sep - Jan,20,NA,NA,NA,NA,20
Eucalyptus pilularis,Tree,Sep - Mar,25,NA,NA,NA,NA,25
Melaleuca armillaris,Tree,Sep - Nov,5,NA,NA,NA,NA,5
Callistemon salignus,Tree,Sep - Oct,6,NA,NA,NA,NA,6
Pittosporum undulatum,tree,Aug - Sep,4,NA,no,NA,NA,4
Pittosporum revolutum,tree,Sep - Oct,3,NA,no,NA,NA,3
Acacia melanoxylon,tree,Aug -Nov,30,NA,no,NA,NA,30
Casuarina cunninghamiana,tree,All year,25,anemochory,NA,NA,NA,25
Casuarina glauca,tree,May - Aug,20,anemochory,NA,NA,Duplicate of Barlow_1981_0653,NA
Banksia serrata,tree,Dec - Jun,4,anemochory,yes,NA,NA,4
Banksia integrifolia,tree,Jan - Jun,15,anemochory,yes,NA,NA,15
Allocasuarina littoralis,tree,May - Jun,12,anemochory,yes,NA,NA,12
Allocasuarina torulosa,tree,Sep - Dec,20,anemochory,yes,NA,Duplicate of Barlow_1981_0165,NA
Hakea salicifolia,tree,Sep - Nov,4,anemochory,yes,NA,NA,4
Ceratopetalum apetalum,tree,Nov  - Dec,25,anemochory,no,NA,NA,25
Stenocarpus salignus,tree,Oct - Jan,15,anemochory,no,NA,NA,15
Hymenosporum flavum,tree,Oct - Nov,4,anemochory,no,NA,NA,4
Phebalium dentatum,tree,Aug - Sep,3,ballistic + ant,no,NA,NA,3
Polyosma cunninghamii,tree,Apr - Oct,8,endozoochory,no,NA,NA,8
Omalanthus populifolius,tree,Aug - Dec,3,endozoochory,no,NA,NA,3
Alphitonia excelsa,tree,Dec - Mar,10,endozoochory,no,NA,NA,10
Endiandra sieberi,tree,Jun - Oct,15,endozoochory,no,NA,NA,15
Synoum glandulosum,tree,Mar - Jul,3,endozoochory,no,NA,NA,3
Abrophyllum ornans,tree,Nov - Jan,8,endozoochory,no,NA,NA,8
Melia azedarach,tree,Oct - Dec,10,endozoochory,no,NA,NA,10
Elaeocarpus reticulatus,tree,Oct - Dec,5,endozoochory,no,NA,NA,5
Guioa semiglauca,tree,Oct - Nov,12,endozoochory,no,NA,NA,12
Cryptocarya glaucescens,tree,Oct - Nov,25,endozoochory,no,NA,NA,25
Cryptocarya microneura,tree,Sep - Nov,20,endozoochory,no,NA,NA,20
Schizomeria ovata,tree,Sep - Oct,20,endozoochory,no,NA,NA,20
Ficus rubiginosa,tree,NA,30,endozoochory,no,NA,NA,30
Ficus obliqua,tree,NA,40,endozoochory,no,NA,NA,40
Ficus macrophylla,tree,NA,50,endozoochory,no,NA,NA,50
Ficus coronata,tree,NA,NA,endozoochory,no,NA,NA,NA
Notelaea longifolia,tree,Apr - Jul,3,endozoochory,NA,NA,NA,3
Livistona australis,Tree,Aug - Oct,8,endozoochory,NA,NA,NA,8
Trema aspera,tree,Dec - Feb,NA,endozoochory,NA,NA,NA,NA
Syzygium coolminianum,Tree,Dec - Mar,8,endozoochory,NA,NA,NA,8
Trochocarpa laurina,Tree,Jan - Apr,3,endozoochory,NA,NA,NA,3
Acmena smithii,Tree,Nov - Feb,20,endozoochory,NA,NA,NA,20
Clerodendrum tomentosum,tree,Oct - Nov,3,endozoochory,NA,NA,NA,3
Rhodamnia rubescens (tri),Tree,Sep - Oct,25,endozoochory,NA,NA,NA,25
Acacia elata,tree,Dec - Feb,20,myrmecochory,no,NA,NA,20
Acacia implexa,tree,Jan - Mar,4,myrmecochory,no,NA,NA,4
Acacia decurrens,tree,Jul - Sep,4,myrmecochory,no,NA,NA,4
Acacia filicifolia,tree,Aug - Sep,4,NA,no,NA,NA,4
Acacia schinoides,tree,Dec - Mar,6,NA,no,NA,NA,6
Acacia prominens,tree,Jul -  Oct,15,NA,no,NA,NA,15
Acacia binervia,tree,Sep - Oct,4,NA,no,NA,NA,4
Avicennia marina,tree,Feb - Apr,4,NA,NA,NA,NA,4
Gymnostachys anceps,Tussock,Oct - Dec,1,endozoochory,NA,NA,NA,1
Smilax glyciphylla,Twiner,Oct - Dec,NA,NA,NA,NA,NA,NA
Smilax australis,Twiner,Sep,NA,NA,NA,NA,NA,NA
Polymeria calycina,Vine,Oct - Apr,NA,NA,NA,NA,NA,NA
Calystegia soldanella,Vine,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,Vine,Aug - Sep,NA,anemochory,NA,NA,NA,NA
Marsdenia suaveolens,vine,Nov - Dec,NA,anemochory,NA,NA,NA,NA
Parsonsia straminea,Vine,Nov - Jan,NA,anemochory,NA,NA,NA,NA
Hybanthus vernonii,Woody herb,Sep - Dec,0.3,myrmecochory,NA,NA,NA,0.3
Hybanthus monopetalus,Woody herb,Sep- Dec,0.3,NA,NA,NA,NA,0.3
Caleana major,NA,NA,NA,NA,NA,NA,NA,NA
Calochilus campestris,NA,NA,NA,NA,NA,NA,NA,NA
Corybas pruinosus,NA,NA,NA,NA,NA,NA,NA,NA
Cryptostylis subulata,NA,NA,NA,NA,NA,NA,NA,NA
Thelymitra ixioides,NA,NA,NA,NA,NA,NA,NA,NA
Macrozamia communis,NA,NA,NA,endozoochory,NA,NA,NA,NA
