Ort,Site,latitude,Typ,Species,art#,#,dec/ev,de,Höhe,Umf,leaf type,age,sample wt,sample area,SLA,SLA,m2/kg,,N [mg/g],N(mg/g),N [mg/g],sample#,d13C,d13C,d13C,,delta,delta,delta,art,rainfall,15N,15N,15N
13,Victoria River,15.58,0.0,Adansonia gregorii,7,4,deciduous,2,15,1000,"24k E Kunnamurra,very yg",0,2.74,122.98,4.49,,,,27.19,,,133,-26.7,,,,19.42,,,Ad/yg,803,5.82,,
13,Victoria River,15.58,2.0,Atalaya hemiglauca,9,1,evergreen,1,10,50,"shade of A.g.1, old leaves",3,3.26,199.23,,,6.11,,,,14.53,134,,,-28.2,,,,20.99,Ata/old,803,,,2.08
13,Victoria River,15.58,1.0,Erythrophleum chlorostachys ,18,1,deciduous,2,7.2,25,"rocky slope, young",1,3.19,373.18,,11.70,,,,33.28,,135,-24.4,,,,,17.02,,Ery/d/yg,803,,0.48,
13,Victoria River,15.58,1.0,Erythrophleum chlorostachys ,18,2,deciduous,2,6.3,30,"rocky slope,y.,brown,poor",3,1.71,142.79,,8.35,,,,35.99,,136,-23.0,,,,,15.56,,Ery/d/yg,803,,0.05,
13,Victoria River,15.58,1.0,Erythrophleum chlorostachys ,18,3,deciduous,2,6.5,37,"rocky slope,y.,brown,poor",3,2.11,167.11,,7.92,,,,31.96,,137,-23.8,,,,,16.39,,Ery/d/yg,803,,0.48,
13,Victoria River,15.58,2.0,Eucalyptus miniata,24,1,evergreen,1,10.5,85,"rocky slope, old lvs, brown",3,3.18,140.54,,,4.42,,,,8.52,138,,,-29.0,,,,21.83,E.m/e/old,803,,,-0.71
13,Victoria River,15.58,2.0,Eucalyptus miniata,24,2,evergreen,1,12.6,75,"rocky slope,old green",3,3.42,135.51,,,3.96,,,,11.99,139,,,-27.0,,,,19.73,E.m/e/old,803,,,2.07
13,Victoria River,15.58,2.0,Eucalyptus miniata,24,3,evergreen,1,13.4,118,"near A.g.2,young lvs",1,3.39,142.09,4.19,,,,10.37,,,140,-28.1,,,,20.89,,,E.m/e/yg,803,0.34,,
13,Victoria River,15.58,2.0,Eucalyptus miniata,24,4,evergreen,1,9.5,45,"rocky slope, old green",3,3.34,144.96,,,4.34,,,,8.46,141,,,-28.6,,,,21.41,E.m/e/old,803,,,-1.30
13,Victoria River,15.58,2.0,Eucalyptus tectifica,30,1,evergreen,1,13.4,145,slope base old leaves,3,3.28,127.22,,,3.88,,,,9.34,142,,,-25.6,,,,18.27,E.t/e/old,803,,,1.04
14,Kidman Springs 1,16.12,5.0,Acacia holosericea,4,1,evergreen,1,2.5,18,old leaves,3,3.29,117.63,,,3.58,,,,19.48,143,,,-27.9,,,,20.68,Ac.H/ev/old,590,,,-1.15
14,Kidman Springs 1,16.12,2.0,Carissa lanceolata,13,1,evergreen,1,3,30,old leaves,3,3.13,140.04,,,4.47,,,,12.84,144,,,-28.9,,,,21.73,Car/ev/old,590,,,4.25
14,Kidman Springs 1,16.12,2.0,Eucalyptus pruinosa,28,1,evergreen,1,10.7,83,old leaves,3,3.45,149.06,,,4.32,,,,9.73,145,,,-29.0,,,,21.83,E.pru/e/old,590,,,4.31
14,Kidman Springs 1,16.12,2.0,Eucalyptus pruinosa,28,2,evergreen,1,8,35,old leaves,3,3.27,123.99,,,3.79,,,,10.46,146,,,-28.1,,,,20.89,E.Pru/e/old,590,,,2.53
14,Kidman Springs 1,16.12,2.0,Eucalyptus pruinosa,28,3,evergreen,1,9,52,old leaves,3,3.41,147.31,,,4.32,,,,11.70,147,,,-27.7,,,,20.47,E.pru/e/old,590,,,2.26
14,Kidman Springs 1,16.12,2.0,Eucalyptus terminalis,31,1,evergreen,1,7.8,45,old leaves,3,3.53,125.57,,,3.56,,,,8.78,148,,,-25.8,,,,18.48,E.ter/e/old,590,,,0.21
14,Kidman Springs 1,16.12,2.0,Eucalyptus terminalis,31,2,evergreen,1,8.7,52,old leaves,3,3.59,145.74,,,4.06,,,,9.23,149,,,-28.3,,,,21.10,E.ter/e/old,590,,,-0.33
14,Kidman Springs 1,16.12,2.0,Eucalyptus terminalis,31,3,evergreen,1,8.1,53,old leaves,3,3.25,129.23,,,3.98,,,,9.00,150,,,-26.8,,,,19.52,E.ter/e/old,590,,,1.08
14,Kidman Springs 1,16.12,2.0,Hakea aborescens,39,1,evergreen,1,4,28,old leaves,3,3.18,79.14,,,2.49,,,,5.66,151,,,-26.5,,,,19.21,Hak/old,590,,,1.98
14,Kidman Springs 1,16.12,2.0,Lysiphyllum cunningamii,43,1,evergreen,1,5.2,55,"old leaves, Caeslp.",3,3.16,226.86,,,7.18,,,,13.17,152,,,-27.7,,,,20.47,Lys/old,590,,,2.72
15,Kidman Springs 2,16.08,2.0,Eucalyptus tectifica,30,1,evergreen,1,13.2,105,old leaves,3,3.64,138.78,,,3.81,,,,12.46,153,,,-28.1,,,,20.89,E.tec/e/old,590,,,1.94
15,Kidman Springs 2,16.08,2.0,Eucalyptus tectifica,30,2,evergreen,1,12.4,107,old leaves,3,3.29,141.77,,,4.31,,,,10.18,154,,,-24.5,,,,17.12,E.tec/e/old,590,,,2.21
15,Kidman Springs 2,16.08,2.0,Eucalyptus tectifica,30,3,evergreen,1,9.5,66,old leaves,3,3.32,107.68,,,3.24,,,,10.24,155,,,-25.2,,,,17.85,E.tec/e/old,590,,,6.67
16,Kidman Springs 3,16.08,2.0,Eucalyptus brevifolia,20,1,evergreen,1,6,33,expanding leaves,1,3.46,122.13,,3.53,,,,8.81,,157,,-26.1,,,,18.79,,E.b/e/med,590,,16.39,
16,Kidman Springs 3,16.08,2.0,Eucalyptus brevifolia,20,2,evergreen,1,8,63,old leaves,3,3.34,109.73,,,3.29,,,,7.30,158,,,-26.8,,,,19.52,E.b./e/old,590,,,13.54
16,Kidman Springs 3,16.08,2.0,Eucalyptus brevifolia,20,3,evergreen,1,6.7,60,old leaves,3,3.13,106.12,,,3.39,,,,8.51,159,,,-26.3,,,,19.00,E.b./e/old,590,,,8.41
16,Kidman Springs 3,16.08,2.0,Eucalyptus pruinosa,28,1,evergreen,1,7,52,old leaves,3,3.25,145.82,,,4.49,,,,13.25,160,,,-26.9,,,,19.63,E.p/e/old,590,,,8.79
16,Kidman Springs 3,16.08,2.0,Melaleuca?,46,1,evergreen,1,6.3,52,old leaves,3,3.31,54.73,,,1.65,,,,10.24,156,,,-27.4,,,,20.15,Mela/old,590,,,8.20
17,Mt. Sanford 1,17.30,2.0,Eucalyptus brevifolia,20,1,evergreen,1,5.5,35,old  leaves,3,3.28,127.32,,,3.88,,,,12.21,161,,,-27.3,,,,20.05,E.b/e/old,472,,,9.84
17,Mt. Sanford 1,17.30,2.0,Eucalyptus terminalis,31,1,evergreen,1,6,50,old  leaves,3,3.18,117.84,,,3.71,,,,9.92,162,,,-27.5,,,,20.26,E.ter/e/old,472,,,9.56
17,Mt. Sanford 1,17.30,2.0,Eucalyptus terminalis,31,2,evergreen,1,7.2,52,old  leaves,3,3.49,121.89,,,3.49,,,,10.59,163,,,-26.8,,,,19.52,E.ter/e/old,472,,,5.13
17,Mt. Sanford 1,17.30,2.0,Eucalyptus terminalis,31,3,evergreen,1,5.5,86,old  leaves,3,3.45,124.08,,,3.60,,,,12.65,164,,,-26.8,,,,19.52,E.ter/e/old,,,,4.03
17,Mt. Sanford 1,17.30,2.0,Grevillea dimidiata,37,1,evergreen,1,0.5,3,young expanded leaves,1,3.36,100.67,,3.00,,,,7.73,,165,,-29.0,,,,21.83,,Gre/yg,472,,1.12,
17,Mt. Sanford 1,17.30,3.0,Hakea leucoptera,41,1,evergreen,1,5.5,35,old leaves,3,3.25,22.13,,,0.68,,,,5.34,166,,,-26.8,,,,19.52,Hak/old,472,,,-2.26
17,Mt. Sanford 1,17.30,2.0,Terminalia arostrata,50,1,evergreen,1,6.5,55,old leaves,3,3.18,139.91,,,4.40,,,,10.68,167,,,-27.6,,,,20.36,Ter/old,472,,,3.35
17,Mt. Sanford 1,17.30,5.0,Ventilago viminalis,52,1,evergreen,1,2.5,30,old leaves,3,3.34,69.53,,,2.08,,,,15.01,168,,,-27.1,,,,19.84,Ven/old,472,,,-0.35
18,Mt. Sanford 2,17.30,2.0,Eucalyptus brevifolia,20,1,evergreen,1,8,95,old leaves,3,3.37,115.05,,,3.41,,,,7.75,169,,,-28.4,,,,21.20,E.b./e/old,472,,,1.74
18,Mt. Sanford 2,17.30,2.0,Eucalyptus brevifolia,20,2,evergreen,1,6,50,expanded leaves,2to3,3.35,120.99,,,3.61,,,,7.54,170,,,-27.3,,,,20.05,E.b/e/med,472,,,6.31
18,Mt. Sanford 2,17.30,2.0,Eucalyptus brevifolia,20,3,evergreen,1,6,45,expanded leaves,2to3,3.25,91.63,,,2.82,,,,8.57,171,,,-26.0,,,,18.69,E.b./e/med,472,,,4.53
18,Mt. Sanford 2,17.30,2.0,Eucalyptus terminalis,31,1,evergreen,1,7,60,old leaves,3,3.18,104.29,,,3.28,,,,8.14,172,,,-27.2,,,,19.94,E.ter/e/old,472,,,5.59
18,Mt. Sanford 2,17.30,2.0,Lysiphyllum cunninghamii,43,1,evergreen,1,8.7,120,old leaves,3,3.12,313.21,,,10.04,,,,24.59,173,,,-24.8,,,,17.43,E.ter/e/old,472,,,4.04
18,Mt. Sanford 2,17.30,2.0,Terminalia canescens,51,1,evergreen,1,7,59,old leaves,3,3.24,168.78,,,5.21,,,,9.58,174,,,-27.8,,,,20.57,E.ter/e/old,472,,,8.34
19,Tennant Creek 1,17.73,2.0,Eucalyptus papuana,26,1,evergreen,1,8,66,old leaves,3,3.24,118.47,,,3.66,,,,7.79,175,,,-27.6,,,,20.36,E.pap/e/old,485,,,6.73
19,Tennant Creek 1,17.73,2.0,Eucalyptus papuana,26,2,evergreen,1,6,64,old leaves,3,3.16,90.31,,,2.86,,,,8.76,176,,,-28.0,,,,20.78,E.pap/e/old,485,,,0.63
19,Tennant Creek 1,17.73,2.0,Eucalyptus papuana,26,3,evergreen,1,6,50,old leaves,3,3.32,91.67,,,2.76,,,,5.74,177,,,-28.5,,,,21.31,E.pep/e/old,485,,,4.48
19,Tennant Creek 1,17.73,2.0,Eucalyptus setosa,29,1,evergreen,1,11,105,old leaves,3,3.03,100.82,,,3.33,,,,8.01,178,,,-27.5,,,,20.26,E.set/e/old,485,,,4.18
19,Tennant Creek 1,17.73,2.0,Eucalyptus setosa,29,2,evergreen,1,7,114,old leaves,3,3.14,114.19,,,3.64,,,,7.93,179,,,-27.3,,,,20.05,E.set/e/old,485,,,-0.15
19,Tennant Creek 1,17.73,2.0,Eucalyptus setosa,29,3,evergreen,1,9,99,old leaves,3,3.27,119.81,,,3.66,,,,6.77,180,,,-27.4,,,,20.15,E.set/e/old,485,,,-1.14
20,Tennant Creek 2,20.35,5.0,Acacia aneura,1,1,evergreen,1,6,15,old leaves,3,3.22,42.86,,,1.33,,,,20.52,181,,,-27.2,,,,19.94,Ac an,342,,,9.48
21,Tennant Creek 3,21.13,2.0,Eucalyptus terminalis/opaca,32,1,evergreen,1,7,59,old leaves,3,3.28,117.21,,,3.57,,,,9.65,185,,,-28.0,,,,20.78,Eter/eold,342,,,3.57
21,Tennant Creek 3,21.13,2.0,Eucalyptus terminalis/opaca,32,2,evergreen,1,8,65,old leaves,3,3.14,94.19,,,3.00,,,,8.38,186,,,-25.7,,,,18.37,Eter/e/old,342,,,1.63
21,Tennant Creek 3,21.13,2.0,Eucayptus papuana,26,1,evergreen,1,7,41,expanding leaves,1,3.46,100.12,,2.89,,,,11.04,,182,,-26.0,,,,18.69,,Epap/e/old,342,,0.89,
21,Tennant Creek 3,21.13,2.0,Eucayptus papuana,26,2,evergreen,1,8,48,old leaves,3,3.24,91.98,,,2.84,,,,11.94,183,,,-26.8,,,,19.52,Epap/e/old,342,,,3.72
21,Tennant Creek 3,21.13,2.0,Eucayptus papuana,26,3,evergreen,1,7,30,old leaves,3,3.32,100.35,,,3.02,,,,11.72,184,,,-26.3,,,,19.00,Epap/e/old,342,,,0.77
22,Sandy Blight Jct,23.22,5.0,Acacia coriacea,2,1,evergreen,1,2.5,33,old leaves,3,3.38,28.35,,,0.84,,,,17.37,187,,,-24.6,,,,17.22,Ac.cor/e/old,329,,,5.78
22,Sandy Blight Jct,23.22,2.0,Eucalyptus terminalis,31,1,evergreen,1,7,67,old leaves,3,3.23,93.52,,,2.90,,,,8.64,188,,,-27.1,,,,19.84,Eter/e/old,329,,,3.30
22,Sandy Blight Jct,23.22,2.0,Eucalyptus terminalis,31,2,evergreen,1,5,65,old leaves,3,3.05,90.56,,,2.97,,,,13.44,189,,,-26.5,,,,19.21,Eter/e/old,329,,,3.90
22,Sandy Blight Jct,23.22,2.0,Eucalyptus terminalis,31,3,evergreen,1,6,55,expand/old,0/3,3.31,111.17,4.05,,3.36,,10.22,,11.15,190/191,,-24.1,-25.2,,16.70,,17.85,Eter/e/old,329,5.85,,5.72
22,Sandy Blight Jct,23.22,3.0,Hakea divaricata,40,1,evergreen,1,1.5,15,old leaves,3,3.15,27.89,,,0.89,,,,5.78,192,,,-24.8,,,,17.43,Hak/old,329,,,1.97
23,Kintore,23.37,5.0,Acacia coriacea,2,1,evergreen,1,1.6,18,old leaves,3,3.35,31.54,,,0.94,,,,16.92,193,,,-27.5,,,,20.26,Ac.cor/e.old,329,,,3.66
23,Kintore,23.37,2.0,Eucalyptus terminalis,31,1,evergreen,1,7,79,old leaves,3,3.18,102.64,,,3.23,,,,11.82,194,,,-25.6,,,,18.27,Eter/e/old,329,,,3.40
23,Kintore,23.37,2.0,Eucalyptus terminalis,31,3,evergreen,1,5.5,56,expanding leaves,1,3.04,103.31,,3.40,,,,14.05,,197,,-26.3,,,,19.00,,Eter/e/yg,329,,2.65,
23,Kintore,23.37,2.0,Eucalyptus terminalis,31,2,evergreen,1,10,62,red/old,0/3,3.36,110.47,3.24,,3.29,,10.82,,11.64,195/196,-26.6,,-27.6,,19.31,,20.36,Eter/e/old,329,3.81,,4.22
23,Kintore,23.37,3.0,Hakea divaricata,40,1,evergreen,1,1.5,15,old leaves,3,3.11,26.45,,,0.85,,,,7.55,198,,,-27.0,,,,19.73,Hak/old,329,,,3.49
24,Tylers Pass,23.67,2.0,Eucalyptus terminalis,31,2,evergreen,1,6,40,old leaves,3,3.14,126.62,,,4.03,,,,11.74,201,,,-24.8,,,,17.43,Eter/e/old,216,,,-0.51
24,Tylers Pass,23.67,2.0,Eucalyptus terminalis,31,1,evergreen,1,5,35,red/expanded,0/3,3.22,98.51,2.70, ,3.06,,17.33, ,11.84,199/200,-23.9, ,-25.3,,16.49, ,17.95,Eter/e/med,216,-2.06, ,-2.27
24,Tylers Pass,23.67,2.0,Eucalyptus terminalis,31,3,evergreen,1,7,119,red/old,3,3.26,147.03,2.73,,4.51,,11.61,,11.30,202/203,-24.1,,-26.3,,16.70,,19.00,Eter/e/old,216,1.89,,-1.02
25,Lake Hopkins,20.37,4.0,Allocasuarina decaisneana,8,1,evergreen,1,13,202,old leaves,3,3.22,30.52,,,0.95,,,,9.30,204,,,-24.2,,,,16.81,Cas/old,245,,,2.08
25,Lake Hopkins,20.37,3.0,Grevillea juncifolia,36,1,evergeen,1,3,49,old leaves,3,3.35,35.68,,,1.07,,,,10.05,205,,,-23.4,,,,15.97,Grev/old,245,,,
26,Giles,25.03,5.0,Acacia aneura,1,1,evergreen,1,3.5,23,old leaves,3,3.17,30.02,,,0.95,,,,19.64,206,,,-25.7,,,,18.37,Ac.an/old,245,,,1.52
26,Giles,25.03,2.0,Eucalyptus terminalis,31,1,evergreen,1,,,old leaves,3,3.11,106.67,,,3.43,,,,10.95,207,,,-25.2,,,,17.85,Eter/e/old,245,,,9.43
26,Giles,25.03,2.0,Eucalyptus terminalis,31,3,evergreen,1,,,old leaves,3,3.18,102.84,,,3.23,,,,8.95,210,,,-26.4,,,,19.10,Eter/e/old,245,,,7.95
26,Giles,25.03,2.0,Eucalyptus terminalis,31,2,evergreen,1,,,red/old,0/3,3.08,92.35,2.99,,3.00,,10.68,,13.30,208/209,-22.6,,-26.3,,15.14,,19.00,Eter/e/old,245,11.23,,10.33
27,Giles Jct,25.13,4.0,Allocasuarina decaisneana,8,1,evergreen,1,7,96,old leaves,3,3.18,28.83,,,0.91,,,,9.30,211,,,-25.0,,,,17.64,Cas/old,245,,,-1.68
27,Giles Jct,25.13,2.0,Eucalyptus terminalis,31,1,evergreen,1,8,93,old leaves,3,3.11,99.37,,,3.20,,,,11.64,212,,,-26.3,,,,19.00,E.ter/old,245,,,2.11
27,Giles Jct,25.13,2.0,Eucalyptus terminalis,31,2,evergreen,1,7.5,80,old leaves,3,3.31,96.93,,,2.93,,,,9.34,213,,,-26.8,,,,19.52,E.ter/old,245,,,3.41
27,Giles Jct,25.13,2.0,Eucalyptus terminalis,31,3,evergreen,1,6,32,old leaves,3,3.12,95.97,,,3.08,,,,9.51,214,,,-26.5,,,,19.21,Eter/old,245,,,2.13
27,Giles Jct,25.13,3.0,Grevillea juncifolia,36,1,evergreen,1,2,15,old leaves,3,3.07,35.34,,,1.15,,,,8.05,215,,,-23.0,,,,15.56,gev/old,245,,,4.16
28,Mt. Miller,25.06,5.0,Acacia aneura,1,1,evergreen,1,4.5,46,old leaves,3,3.11,37.18,,,1.20,,,,16.55,216,,,-23.8,,,,16.39,ac.an/old,310,,,1.74
28,Mt. Miller,25.06,2.0,Eucalyptus gummiphylla,23,1,evergreen,1,4,19,old leaves,3,3.24,100.52,,,3.10,,,,12.34,217,,,-25.1,,,,17.75,Eucgum/old,310,,,3.68
28,Mt. Miller,25.06,2.0,Eucalyptus terminalis,31,1,evergreen,1,10,111,old leaves,3,3.26,83.21,,,2.55,,,,7.16,218,,,-26.7,,,,19.42,Eter/old,310,,,5.24
28,Mt. Miller,25.06,2.0,Eucalyptus terminalis,31,2,evergreen,1,15,2.02,expanding leaves,1,3.15,122.74,,3.90,,,,11.06,,219,,-26.3,,,,19.00,,Eter/med,310,,5.76,
28,Mt. Miller,25.06,2.0,Eucalyptus terminalis,31,3,evergreen,1,12,75,red/expanding,0/1,3.16,88.08,2.65,2.79,,,9.20,7.79,,220/221,-25.6,-26.4,,,18.27,19.10,,Eter/med,310,3.44,3.00,
29,Olgas,25.30,5.0,Acacia aneura,1,1,evergreen,1,3,23,sandplain dry,3,3.06,25.75,,,0.84,,,,17.65,223,,,-26.5,,,,19.21,Acan/old,310,,,4.03
29,Olgas,25.30,5.0,Acacia aneura,1,2,evergreen,1,4,28,sandplain dry,3,3.17,25.76,,,0.81,,,,18.12,224,,,-25.5,,,,18.16,Acan/old,310,,,3.75
29,Olgas,25.30,5.0,Acacia aneura,1,3,evergreen,1,4,38,sandplain dry,3,3.24,26.49,,,0.82,,,,19.90,225,,,-24.7,,,,17.33,Acan/old,310,,,6.51
29,Olgas,25.30,4.0,Allocasuarina decaisneana,8,1,evergreen,1,13,147,"sanddunes, old leaf",3,3.07,28.74,,,0.94,,,,11.56,222,,,-25.3,,,,17.95,Cas/old,310,,,1.46
29,Olgas,25.30,2.0,Eucalyptus terminalis,31,2,evergreen,1,6,44,"floodplain, old",3,3.27,105.99,,,3.24,,,,10.04,228,,,-25.7,,,,18.37,Eter/old,310,,,4.20
29,Olgas,25.30,2.0,Eucalyptus terminalis,31,3,evergreen,1,9,69,"floodplain,",3,3.39,90.61,,,2.67,,,,9.77,229,,,-26.2,,,,18.90,Eter/old,310,,,3.99
29,Olgas,25.30,2.0,Eucalyptus terminalis,31,5,evergreen,1,8,74,"sanddune,dry,old lv",3,3.13,82.93,,,2.65,,,,9.35,232,,,-26.7,,,,19.42,Eter/old,310,,,2.87
29,Olgas,25.30,2.0,Eucalyptus terminalis,31,1,evergreen,1,10,148,floodplain old leaves,3/1,3.26,107.67,4.80,,3.30,,13.60,,11.48,226/227,-25.4,,-26.4,,18.06,,19.10,Eter/old,310,2.74,,3.72
29,Olgas,25.30,2.0,Eucalyptus terminalis,31,4,evergreen,1,10,84,expanding/old,3/1,3.42,106.55,,3.68,3.12,,,13.42,12.92,230/231,,-23.0,-23.6,,,15.56,16.18,Eter/old,310,,5.93,5.54
30,Ayers Rock,25.33,5.0,Acacia aneura,1,1,evergreen,1,4,41,old leaves,3,3.19,42.95,,,1.35,,,,21.14,233,,,-26.6,,,,19.31,Acan/old,310,,,3.20
30,Ayers Rock,25.33,5.0,Acacia olgana,6,1,evergreen,1,8,86,old leaves,3,3.18,75.55,,,2.38,,,,19.65,234,,,-26.8,,,,19.52,Acan/old,310,,,7.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
column,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,plot#, ,,,J,Tree height,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,location,,,,K,tree circumference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,latitude degree.min,,,,L,leaf type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,functional type,"0.0:deciduous, -N2fixation",,,M,"leafage,1=yg,3=old",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1.0:deciduous,+N2fixation",,,N, sample weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2.0:evergreen,-N2fixation",,,O,sample area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3.0:spinescent,-N2fixation",,,PtoR,specificleaf area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0Allocasuarina,,,TtoV,nitrogen concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5.0:evergreen,+N2fixation",,,W,sample #,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0:cultivated trees,,,XtoZ,delta 13C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,species name,,,,ABtoAD ,,Cdiscrimination,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,species #,,,,AF,,rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,sample # of species,,,,AG-AI,,d15N,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,deciduous/evergreen, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,deciduous=2;evergreen=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"site,date of sampling",,,location,,,trees/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"Melville Island 1, 20.10.93",,,"11/46/02 S, 130/52/59 E",, ,760, ,, ,closed E.nesophila forest,,, , ,,,, ,, ,, ,, ,, ,, ,,, ,,
,"Melville Island 2,20.10.93",,,"11/46/02 S, 130/52/49 E",,,,,,,plantation,,,,,,,,,,,,,,,,,,,,,,,
,Darwin CSIRO,,,,,,,,,,horticulture plantation,,,,,,,,,,,,,,,,,,,,,,,
,"Kapalga B, 8.10.93",,,"12/41/34 S, 132/23/05 E",,,352,,, ,"burnt annually,closed forest",,,,,,,,,,,,,,,,,,,,,,,
,"Kapalga C, 8.10.93",,,"12/41/34 S, 132/23/05 E",,,430,,, ,unburnt since 15 yrs,,tall forest with grass understory,,,,,,,,,,,,,,,,,,,,,
,"Kapalga K, 29.10.93",,,,,,, ,,,bunt plot,,,,,,,,,,,,,,,,,,,,,,,
,"Kapalga M, 29.10.93",,,,,,,,,,unburnt,,,,,,,,,,,,,,,,,,,,,,,
,"Kapalga P, 29.10.93",,, ,,,,,,,burnt,,,,,,,,,,,,,,,,,,,,,,,
,"Kapalga Q, 8.10.93",,,"12/33/49 S, 132/18/27 E",,,,,,,"unburnt, dry slope",,open forest with grass understory,,,,,,,,,,,,,,,,,,,,,
,"Kapalga S, 29.10.93",,, ,,,,,,,unburnt,,,,,,,,,,,,,,,,,,,,,,,
,"Katherine 1, 14.10.93",,,"14/18/00 S, 132/05/29 E",,,176,,, ,open forest with grass understory,,,,,,,,,,,,,,,,,,,,,,,
,"Katherine 2, 14.10.93",,,"14/35/11 S, 132/09/38 E",,,136, ,, ,open forest with grass groundcover,,,,,,,,,,,,,,,,,,,,,,,
,"Victoria River, 14.10.93",,,"15/35/12 S,  131/06/58 E",,,,,,,rocky slope and slopebase savanna,,,,,,,,,,,,,,,,,,,,,,,
,"Kidman Springs1, 15.10.93",,,"16/07/48 S, 130/55/59 E",,,76,,, ,"open savanna,clay,grazed",,,,,,,,,,,,,,,,,,,,,,,
,"Kidman Springs2 ,15.10.93",,,"16/05/48 S, 130/53/26 E",,,156,,, ,"sand,open forest,grass",,,,,,,,,,,,,,,,,,,,,,,
,"Kidman Springs3, 15.10.93",,,,,,136,,, ,Spinifex laterite savanna,,,,,,,,,,,,,,,,,,,,,,,
,"Mt. Sanford 1, 16.10.93",,,"17/18/03 S,130/45/22 E",,,84,,, ,"red soil, clay+laterite",,,,,,,,,,,,,,,,,,,,,,,
,"Mt. Sanford 2, 16.10.93",,,"17/18/02 S, 130/45/22 E",,,48,,, ,spinifex sand,,,,,,,,,,,,,,,,,,,,,,,
,"Giles , 27.10.93",,,"25/02/47 S, 128/18/39 E",,,,,,,floodplain near creek,,,,,,,,,,,,,,,,,,,,,,,
,"Ayers Rock, 26.10.93",,,"25/20/44 S, 131/01/56E",,,Top,,,,shallow depression in sandstone,,,,,,,,,,,,,,,,,,,,,,,
,"Mt. Miller, 27.10.93",,,"25/04/17 S, 129/34/43 E",,,124 km west of Olgas,,,,"sandplain, spinifex",,,,,,,,,,,,,,,,,,,,,,,
,"Tennant Creek 3, 24.10.93",,,"21/08/43 S, 134/09/21 E",,,174 km S Tennan Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kintore, 28.10.93",,,"23/22/36 S, 129/22/44 E",,,20 km S Kintore next Mt Leisher,,,,Spinifex floodplain near creek,,,,,,,,,,,,,,,,,,,,,,,
,"Tennant Creek 1, 23.10.93",,,"17/44/30 S, 133/38/19 E",,,220 km N Tennant Creek,,,,Spinifex sand,,,,,,,,,,,,,,,,,,,,,,,
,"Giles Jct, 27.10.93",,,"25/08/48 S, 128/33/55 E",,,28 km SE Giles,,,,"sandplain, spinifex",,,,,,,,,,,,,,,,,,,,,,,
,"Sandy Blight Jct, 28.10.93",,,"23/13/19 S, 129/53/33 E",,,35 km E Sandy Blight,,,,Spnifex sandplain,,,,,,,,,,,,,,,,,,,,,,,
,"Tylers Pass, 29.10.93",,,"23/40/18 S, 132/21/55 E",,,60 km E Hermannsburg next Gosses Bluff,,,,Spinifex grassland with few trees hilltop,, (2 tree/ha),,,,,,,,,,,,,,,,,,,,,
,"Tennant  Creek 2, 24.10.93",,,"20/21/04 S, 134/14/14 E",,,75 km S Tennant Creek,,,,clay Floodplain,,,,,,,,,,,,,,,,,,,,,,,
,"Lake Hopkins,17.10.93",,,"23/22/36 S, 129/22/44 E",,,"ca 200 km S Kinton, E Lake Hopkins",,,,Spinifex Sanddunes,,,,,,,,,,,,,,,,,,,,,,,
,"Olgas, 26.10.93",,,"25/18/11 S, 130/41/50 E",,,Docker River Jct,,,,sanddunes and floodplain,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
