Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Rhagodia eremaea,R-,P-,NA,NA,NA,NA,NA
Rhagodia parabolica,R-,P-,NA,NA,NA,NA,NA
Rhagodia spinescens,R-,P-,NA,NA,NA,NA,NA
Rhyncharrhena linearis,R+,P-,NA,NA,NA,NA,NA
Ricinocarpos gloria-medii,R+,P-,NA,NA,NA,NA,NA
Rulingia magniflora,R+,P+,NA,NA,NA,NA,NA
Santalum acuminatum,R-,P-,NA,NA,NA,NA,NA
Santalum lanceolatum,R+,P-,NA,NA,NA,NA,NA
Sarcostemma viminale subsp. australe,R-,P-,NA,NA,NA,NA,NA
Sauropus ramosissimus,R+,P-,NA,NA,NA,NA,NA
Scaevola spinescens,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides nothosubsp. artemisioides,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides nothosubsp. coriacea,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides nothosubsp. sturtii,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. alicia,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. filifolia,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. helmsii,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. oligophylla,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. petiolaris,R+,P-,NA,NA,NA,NA,NA
Senna artemisioides subsp. quadrifolia,R+,P+,NA,NA,NA,NA,NA
Senna glutinosa subsp. glutinosa,R+,P+,NA,NA,NA,NA,NA
Senna glutinosa subsp. pruinosa,R+,P+,NA,NA,NA,NA,NA
Senna pleurocarpa var. pleurocarpa,R-,P+,NA,NA,NA,NA,NA
Solanum orbiculatum subsp. macrophyllum,R+,P+,NA,NA,NA,NA,NA
Solanum orbiculatum subsp. orbiculatum,R+,P+,NA,NA,NA,NA,NA
Spartothamnella puberula,R+,P-,NA,NA,NA,NA,NA
Spartothamnella teucriiflora,R+,P-,NA,NA,NA,NA,NA
Stylobasium spathulatum,R+,P-,NA,NA,NA,NA,VI
Tephrosia lasiochlaena,R-,P+,NA,NA,NA,NA,NA
Tephrosia phaeosperma,R+,P+,NA,NA,NA,NA,NA
Tephrosia virens,R-,P+,NA,NA,NA,NA,NA
Tinospora smilacina,R+,P-,NA,NA,NA,NA,NA
Ventilago viminalis,R+,P-,NA,NA,NA,NA,VI
Wedelia stirlingii,R+,P-,NA,NA,NA,NA,NA
ACANTHACEAE,NA,NA,NA,NA,NA,NA,NA
Acanthus,NA,NA,NA,NA,NA,NA,NA
Acanthus ebracteatus Vahl,NA,NA,NA,NA,NA,NA,NA
Acanthus ebracteatus Vahl subsp. ebarbatus R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Acanthus ilicifolius L.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Andrographis,NA,NA,NA,NA,NA,NA,NA
Andrographis paniculata (Burm.f.) Wall. ex Nees,NA,NA,NA,NA,NA,NA,NA
Asystasia,NA,NA,NA,NA,NA,NA,NA
Asystasia gangetica (L.) T.Anderson,NA,NA,NA,NA,NA,NA,NA
Asystasia gangetica (L.) T.Anderson subsp. gangetica,NA,NA,NA,NA,NA,NA,NA
Avicennia,NA,NA,NA,NA,NA,NA,NA
Avicennia integra N.C.Duke,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Avicennia marina (Forssk.) Vierh.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Avicennia marina (Forssk.) Vierh. subsp. eucalyptifolia (Valeton) J.Everett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Barleria,NA,NA,NA,NA,NA,NA,NA
Barleria cristata L.,NA,NA,NA,NA,NA,NA,NA
Barleria lupulina Lindl.,NA,NA,NA,NA,NA,NA,NA
Barleria prionitis L.,NA,NA,NA,NA,NA,NA,NA
Brunoniella,NA,NA,NA,NA,NA,NA,NA
Brunoniella acaulis (R.Br.) Bremek.,NA,NA,NA,NA,NA,NA,NA
Brunoniella acaulis (R.Br.) Bremek. subsp. acaulis,NA,NA,NA,NA,NA,NA,NA
Brunoniella australis (Cav.) Bremek.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Brunoniella linearifolia R.M.Barker,NA,NA,cowie 2021,NA,NA,NA,NA
Brunoniella sp. Daly River road (N.Byrnes 1275) R.M.Barker,NA,NA,I.D. Cowie,NA,NA,NA,NA
Dicliptera,NA,NA,NA,NA,NA,NA,NA
Dicliptera armata F.Muell.,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA
Dicliptera arnhemica R.M.Barker,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dicliptera australis (Nees) R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Dicliptera ciliata Decne.,NA,NA,JRS 2004,Seeder,None,NA,NA
Dicliptera spicata Decne.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA
Dipteracanthus,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus australasicus F.Muell.,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus australasicus F.Muell. subsp. australasicus,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Dipteracanthus australasicus F.Muell. subsp. dalyensis R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus bracteatus (R.Br.) Nees,NA,NA,NA,NA,NA,NA,NA
Dipteracanthus prostratus (Poir.) Nees,NA,NA,I.D. Cowie,NA,NA,NA,NA
Graptophyllum,NA,NA,NA,NA,NA,NA,NA
Graptophyllum spinigerum F.Muell.,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Harnieria,NA,NA,NA,NA,NA,NA,NA
Harnieria kempeana (F.Muell.) R.M.Barker,NA,NA,"Latz 2004, Liddle 2004",NA,NA,NA,NA
Harnieria kempeana (F.Muell.) R.M.Barker subsp. kempeana,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Hemigraphis alternata (Burm.f.) T.Anderson,NA,NA,NA,NA,NA,NA,NA
Hygrophila,NA,NA,NA,NA,NA,NA,NA
Hygrophila angustifolia R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA
Hygrophila triflora (Roxb.) Fosberg & Sachet,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Hypoestes,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda R.Br.,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda R.Br. var. angustifolia Benth.,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda R.Br. var. cinerea R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda R.Br. var. distans (Benth.) Ewart & O.B.Davies,NA,NA,NA,NA,NA,NA,NA
Hypoestes floribunda R.Br. var. varia R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Justicia carthagenensis Jacq.,NA,NA,NA,NA,NA,NA,NA
Nelsonia,NA,NA,NA,NA,NA,NA,NA
Nelsonia campestris R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA
Pseuderanthemum,NA,NA,NA,NA,NA,NA,NA
Pseuderanthemum variabile (R.Br.) Radlk.,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Rostellularia,NA,NA,NA,NA,NA,NA,NA
Rostellularia adscendens (R.Br.) R.M.Barker,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Rostellularia adscendens (R.Br.) R.M.Barker subsp. clementii (Domin) R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Rostellularia adscendens (R.Br.) R.M.Barker var. clementii (Domin) R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Rostellularia adscendens (R.Br.) R.M.Barker var. largiflorens R.M.Barker,NA,NA,NA,NA,NA,NA,NA
Rostellularia adscendens (R.Br.) R.M.Barker var. latifolia (Domin) R.M.Barker,NA,NA,NA,NA,NA,NA,NA
