Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Cyperus cunninghamii (C.B.Clarke) C.A.Gardner,NA,NA,NA,NA,NA,NA,NA
Cyperus cunninghamii (C.B.Clarke) C.A.Gardner subsp. cheradicus K.L.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus cunninghamii (C.B.Clarke) C.A.Gardner subsp. cunninghamii,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyperus cunninghamii (C.B.Clarke) C.A.Gardner subsp. uniflorus K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Cyperus cuspidatus Kunth,NA,NA,KNP plots,Seeder,None,NA,NA
Cyperus cyperinus (Retz.) J.V.Suringar,NA,NA,NA,NA,NA,NA,NA
Cyperus dactylotes Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus decompositus (R.Br.) F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus difformis L.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus digitatus Roxb.,NA,NA,NA,NA,NA,NA,NA
Cyperus eragrostis Lam.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cyperus exaltatus Retz.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus flaccidus R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus flavescens L.,NA,NA,NA,NA,NA,NA,NA
Cyperus flavidus Retz,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cyperus fucosus K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Cyperus gilesii Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus gymnocaulos Steudel,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Cyperus hamulosus M.Bieb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus haspan L.,NA,NA,NA,NA,NA,NA,NA
Cyperus haspan L. subsp. haspan,NA,NA,NA,NA,NA,NA,NA
Cyperus haspan L. subsp. juncoides (Lam.) Kuk.,NA,NA,NA,NA,NA,NA,NA
Cyperus holoschoenus R.Br.,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA
Cyperus imbricatus Retz.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cyperus involucratus Roth,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus iria L.,NA,NA,Latz 2004,Seeder,None,NA,NA
Cyperus ixiocarpus F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus javanicus Houtt.,NA,NA,NA,NA,NA,NA,NA
Cyperus kyllingia Endl.,NA,NA,NA,NA,NA,NA,NA
Cyperus laevigatus L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus latzii K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Cyperus laxus Griseb.,NA,NA,JRS 2004,Seeder,None,NA,NA
Cyperus leiocaulon Benth.,NA,NA,NA,NA,NA,NA,NA
Cyperus macrostachyos Lam.,NA,NA,NA,NA,NA,NA,NA
Cyperus malaccensis Lam.,NA,NA,NA,NA,NA,NA,NA
Cyperus metzii (Steud.) Kuk.,NA,NA,NA,NA,NA,NA,NA
Cyperus microcephalus R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus microcephalus R.Br. subsp. chersophilus K.L.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus microcephalus R.Br. subsp. microcephalus,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus microcephalus R.Br. subsp. saxicola K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Cyperus nervulosus (Kuk.) S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus nutans Vahl subsp. eleusinoides (Kunth) T.Koyama,NA,NA,NA,NA,NA,NA,NA
Cyperus orgadophilus K.L.Wilson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus oxycarpus S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus paniceus (Rottb.) Boeck.,NA,NA,NA,NA,NA,NA,NA
Cyperus pedunculatus (R.Br.) J.Kern,NA,NA,NA,NA,NA,NA,NA
Cyperus pilosus Vahl,NA,NA,NA,NA,NA,NA,NA
Cyperus platystylis R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Cyperus polystachyos Rottb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
NA,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyperus procerus Rottb.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus pulchellus R.Br.,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA
Cyperus pumilus L.,NA,NA,NA,NA,NA,NA,NA
Cyperus pygmaeus Rottb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus ramosus (Benth.) Kuk.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cyperus rigidellus (Benth.) J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus rotundus L.,NA,NA,NA,NA,NA,NA,NA
Cyperus sanguinolentus Vahl,NA,NA,NA,NA,NA,NA,NA
Cyperus scaber (R.Br.) Boeck.,NA,NA,NA,NA,NA,NA,NA
Cyperus scariosus R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus serotinus Rottb.,NA,NA,NA,NA,NA,NA,NA
Cyperus sesquiflorus (Torr.) Mattf. & Kuk.,NA,NA,NA,NA,NA,NA,NA
Cyperus sexflorus R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus sp. Edith River (M.Lazarides 124),NA,NA,NA,NA,NA,NA,NA
Cyperus sp. red base (C.R.Michell 3073),NA,NA,NA,NA,NA,NA,NA
Cyperus sphacelatus Rottb.,NA,NA,NA,NA,NA,NA,NA
Cyperus sporobolus R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Cyperus squarrosus L.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Cyperus stolonifer Retz.,NA,NA,NA,NA,NA,NA,NA
Cyperus tenuiculmis Boeck.,NA,NA,NA,NA,NA,NA,NA
Cyperus tenuispica Steudel,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus triceps (Rottb.) Endl.,NA,NA,NA,NA,NA,NA,NA
Cyperus unioloides R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus vaginatus R.Br.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyperus victoriensis C.B.Clarke,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",Resprouter,NA,NA,NA
Cyperus viscidulus K.L.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus zollingeri Steud.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Eleocharis,NA,NA,NA,NA,NA,NA,NA
Eleocharis acutangula (Roxb.) Schult.,NA,NA,NA,NA,NA,NA,NA
Eleocharis atropurpurea (Retz.) C.Presl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eleocharis brassii S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Eleocharis caespitosissima Baker,NA,NA,NA,NA,NA,NA,NA
Eleocharis dulcis (Burm.f. ) Trin. ex Hensch.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eleocharis geniculata (L.) Roem. & Schult.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eleocharis jacobsiana K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Eleocharis nuda C.B.Clarke,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eleocharis ochrostachys Steudel,NA,NA,NA,NA,NA,NA,NA
Eleocharis pallens S.T.Blake,NA,NA,Latz 2004,"Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Eleocharis papillosa Latz,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Underground storage organs (bulbs/tubers)",NA,NA
Eleocharis pusilla R.Br.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eleocharis retroflexa (Poir.) Urb.,NA,NA,NA,NA,NA,NA,NA
Eleocharis rivalis K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Eleocharis sanguinolenta K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Eleocharis setifolia (A.Rich.) J.Raynal,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eleocharis sphacelata R.Br.,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eleocharis spiralis (Rottb.) Roem. & Schult.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eleocharis sundaica J.Kern,NA,NA,NA,NA,NA,NA,NA
Eleocharis triquetra K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Fimbristylis,NA,NA,NA,NA,NA,NA,NA
Fimbristylis acicularis R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis acuminata Vahl,NA,NA,NA,NA,NA,NA,NA
Fimbristylis aestivalis (Retz.) Vahl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis ammobia Latz,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,Strictly serotinous,NA
Fimbristylis arnhemensis Latz,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis bisumbellata (Forssk.) Bubani,NA,NA,NA,NA,NA,NA,NA
Fimbristylis blakei Latz,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis caespitosa R.Br.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Fimbristylis caloptera Latz,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis cardiocarpa F.Muell.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis cephalophora F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis cinnamometorum (Vahl) Kunth,NA,NA,"KNP plots, Liddle 2004","Seeder, Resprouter",Root suckers or rhizomes,NA,NA
Fimbristylis clavata S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis compacta Turrill,NA,NA,NA,NA,NA,NA,NA
Fimbristylis complanata (Retz.) Link,NA,NA,"KNP plots, JRS 2004","Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Fimbristylis corynocarya F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis costiglumis Domin,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis cymosa R.Br.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis densa S.T.Blake,NA,NA,Yates 2003,Seeder,None,NA,NA
Fimbristylis denudata R.Br.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis depauperata R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis dichotoma Vahl,NA,NA,"KNP plots, Latz 2004, Liddle 2004","Seeder, Resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Fimbristylis dictyocolea S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis dipsacea (Rottb.) C.B.Clarke,NA,NA,NA,NA,NA,NA,NA
Fimbristylis distincta S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis dolera S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis dunlopii Latz,NA,NA,NA,NA,NA,NA,NA
Fimbristylis elegans S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis eremophila Latz,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Fimbristylis ferruginea Vahl,NA,NA,NA,NA,NA,NA,NA
Fimbristylis fimbristyloides (F.Muell.) Druce,NA,NA,NA,NA,NA,NA,NA
Fimbristylis furva R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis fusca (Nees) C.B.Clarke,NA,NA,NA,NA,NA,NA,NA
Fimbristylis insignis Thwaites,NA,NA,NA,NA,NA,NA,NA
Fimbristylis lanceolata C.B.Clarke,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Fimbristylis laxiglumis Latz,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis leucocolea Benth.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis littoralis Gaudich.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis littoralis Gaudich. var. littoralis,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis macassarensis Steudel,NA,NA,NA,NA,NA,NA,NA
Fimbristylis macrantha Boeck.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Fimbristylis merrillii J.Kern,NA,NA,NA,NA,NA,NA,NA
Fimbristylis microcarya F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis modesta S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis neilsonii F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis nuda Boeck.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis nutans (Retz.) Vahl,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis oxystachya F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis pachyptera S.T.Blake,NA,NA,Yates 2003,Seeder,None,NA,NA
Fimbristylis pallida S.T.Blake,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis pauciflora R.Br.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Fimbristylis phaeoleuca S.T.Blake,NA,NA,Yates 2003,Seeder,None,NA,NA
Fimbristylis pilifera W.Fitzg.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis polytrichoides (Retz.) R.Br.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis pterigosperma R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis pubisquama J.Kern,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis punctata R.Br.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Fimbristylis quinquangularis (M.Vahl) Kunth,NA,NA,NA,NA,NA,NA,NA
Fimbristylis rara R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis recta F.M.Bailey,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis rupestris Latz,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis schoenoides (Retz.) Vahl,NA,NA,NA,NA,NA,NA,NA
Fimbristylis schultzii Boeck.,NA,NA,Yates 2003,Seeder,None,NA,NA
Fimbristylis sericea R.Br.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis sieberiana Kunth,NA,NA,NA,NA,NA,NA,NA
Fimbristylis signata S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis simplex S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis simulans Latz,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis solidifolia F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis sp. A Kimberley Flora (A.S. George 13584) WA Herbarium,NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Beverley Springs (I.D.Cowie 4365),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Bradshaw (T.M.Orr 439),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Brian Creek (I.D.Cowie 9736) Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA
Fimbristylis sp. Charles Darwin (J.L.Egan 5300),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Connells Lagoon (A.Willson 180),NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis sp. Darwin (M.Lazarides 4251),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Kakadu (P.K.Latz 2780),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Latz sp. B (C.R.Dunlop 5354),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Latz sp. F (C.R.Michell 2619),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Magela Creek (C.R.Dunlop) K.G.Brennan & I.D.Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA
Fimbristylis sp. Montejinni (J.L.Egan 4329),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Mowla Bluff (A.C.Beauglehole 53039),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Nitmiluk (C.R.Michell 3482),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. Timber Creek (P.K.Latz 5471),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. minute (C.R.Michell 2352),NA,NA,NA,NA,NA,NA,NA
Fimbristylis sp. sand sheets (I.D.Cowie 9054) Cowie,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",NA,NA,NA,NA
Fimbristylis sphaerocephala Benth.,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis spiralis R.Br.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis squarrulosa F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis stenostachya S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Fimbristylis subaristata Benth.,NA,NA,NA,NA,NA,NA,NA
Fimbristylis tetragona R.Br.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Fimbristylis tomentosa Vahl,NA,NA,NA,NA,NA,NA,NA
Fimbristylis trachycarya F.Muell.,NA,NA,KNP plots,Seeder,None,NA,NA
Fimbristylis trigastrocarya F.Muell.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA
Fimbristylis tristachya R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fimbristylis velata R.Br.,NA,NA,Latz 2004,Seeder,None,NA,NA
Fimbristylis xyridis R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Fuirena,NA,NA,NA,NA,NA,NA,NA
Fuirena arenosa R.Br.,NA,NA,NA,NA,NA,NA,NA
Fuirena ciliaris (L.) Roxb.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA
Fuirena incrassata S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fuirena nudiflora S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Fuirena umbellata Rottb.,NA,NA,KNP plots,Seeder,None,NA,NA
Hypolytrum,NA,NA,NA,NA,NA,NA,NA
Hypolytrum nemorum (Vahl) Spreng.,NA,NA,JRS 2004,Seeder,None,NA,NA
Isolepis,NA,NA,NA,NA,NA,NA,NA
Isolepis australiensis (Maiden & Betche) K.L.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Isolepis congrua Nees,NA,NA,I.D. Cowie,NA,NA,NA,NA
Isolepis humillima (Benth.) K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Isolepis sp. Nourlangie (C.R.Dunlop 4739),NA,NA,NA,NA,NA,NA,NA
Lepidosperma,NA,NA,NA,NA,NA,NA,NA
Lepidosperma avium K.L.Wilson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Lepironia,NA,NA,NA,NA,NA,NA,NA
Lepironia articulata (Retz.) Domin,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Lipocarpha,NA,NA,NA,NA,NA,NA,NA
Lipocarpha chinensis (Osborn) J.Kern,NA,NA,NA,NA,NA,NA,NA
Lipocarpha microcephala (R.Br.) Kunth,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Mapania,NA,NA,NA,NA,NA,NA,NA
Mapania macrocephala (Gaudich) K.Schum. in Warb.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,NA,Dispersal reliant,NA
Rhynchospora,NA,NA,NA,NA,NA,NA,NA
Rhynchospora brownii Roem. & Schult.,NA,NA,KNP plots,Seeder,None,NA,NA
Rhynchospora corymbosa (L.) Britton,NA,NA,JRS 2004,Resprouter,Underground storage organs (bulbs/tubers),Dispersal reliant,NA
Rhynchospora exserta C.B.Clarke,NA,NA,Yates 2003,Seeder,None,NA,NA
Rhynchospora gracillima Thwaites,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Rhynchospora heterochaeta S.T.Blake,NA,NA,NA,NA,NA,NA,NA
Rhynchospora leae C.B.Clarke,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Rhynchospora longisetis R.Br.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Rhynchospora pterochaeta F.Muell.,NA,NA,KNP plots,Seeder,None,NA,NA
Rhynchospora rubra (Lour.) Makino,NA,NA,NA,NA,NA,NA,NA
Rhynchospora sp. Arnhem (P.K.Latz 2999),NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Rhynchospora sp. Koongarra (B.L.Rice 2486),NA,NA,NA,NA,NA,NA,NA
Rhynchospora sp. Wessel (P.K.Latz 3376),NA,NA,NA,NA,NA,NA,NA
Rhynchospora submarginata Kuk.,NA,NA,NA,NA,NA,NA,NA
Rhynchospora subtenuifolia Kuk.,NA,NA,NA,NA,NA,NA,NA
Rhynchospora wightiana Steudel,NA,NA,NA,NA,NA,NA,NA
Schoenoplectiella,NA,NA,NA,NA,NA,NA,NA
Schoenoplectiella blakei (Hayas.) Hayas.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Schoenoplectiella dissachantha (S.T.Blake) Lye,NA,NA,Latz 2004,Seeder,None,NA,NA
Schoenoplectiella laevis (S.T.Blake) Lye,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Schoenoplectiella lateriflora (J.F.Gmel.) Lye,NA,NA,Latz 2004,Seeder,None,NA,NA
Schoenoplectiella lateriflora (J.F.Gmel.) Lye var. lateriflora,NA,NA,I.D. Cowie,NA,NA,NA,NA
Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi,NA,NA,NA,NA,NA,NA,NA
Schoenoplectiella praelongata (Poir.) Lye,NA,NA,NA,NA,NA,NA,NA
Schoenoplectus,NA,NA,NA,NA,NA,NA,NA
Schoenoplectus subulatus (Vahl) Lye,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Schoenus,NA,NA,NA,NA,NA,NA,NA
Schoenus calostachyus (R.Br.) Poir.,NA,NA,NA,NA,NA,NA,NA
Schoenus centralis Latz,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Schoenus falcatus R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Schoenus punctatus R.Br.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Schoenus sp. Deaf Adder Gorge (C.R.Dunlop 4444),NA,NA,NA,NA,NA,NA,NA
Schoenus sp. Douglas Springs (C.R.Michell 2787),NA,NA,NA,NA,NA,NA,NA
Schoenus sparteus R.Br.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Scleria,NA,NA,NA,NA,NA,NA,NA
Scleria annularis Steud.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Scleria biflora Roxb.,NA,NA,NA,NA,NA,NA,NA
Scleria biflora Roxb. subsp. biflora,NA,NA,NA,NA,NA,NA,NA
Scleria brownii Kunth,NA,NA,"KNP plots, JRS 2004",Resprouter,Root suckers or rhizomes,NA,NA
Scleria caricina (R.Br.) Benth,NA,NA,NA,NA,NA,NA,NA
Scleria carphiformis Ridl.,NA,NA,NA,NA,NA,NA,NA
Scleria ciliaris Nees,NA,NA,JRS 2004,Resprouter,Root suckers or rhizomes,NA,NA
Scleria laxa R.Br.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Scleria levis Retz.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,NA,NA
Scleria lingulata C.B.Clarke,NA,NA,"KNP plots, JRS 2004",Resprouter,Root suckers or rhizomes,NA,NA
Scleria lithosperma (L.) Sw.,NA,NA,NA,NA,NA,NA,NA
Scleria lithosperma (L.) Sw. var. lithosperma,NA,NA,JRS 2004,Resprouter,Root suckers or rhizomes,NA,NA
Scleria mikawana Makino,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Scleria pergracilis (Nees) Kunth,NA,NA,NA,NA,NA,NA,NA
Scleria poaeformis Retz.,NA,NA,NA,NA,NA,NA,NA
Scleria polycarpa Boeck.,NA,NA,"KNP plots, JRS 2004",Resprouter,Root suckers or rhizomes,NA,NA
Scleria psilorrhiza C.B.Clarke,NA,NA,NA,NA,NA,NA,NA
Scleria pygmaea R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA
Scleria rugosa R.Br.,NA,NA,"KNP plots, JRS 2004",Seeder,Epicormic shoots,NA,NA
Scleria sp. Jabiru (L.A.Craven 6342),NA,NA,NA,NA,NA,NA,NA
Scleria sp. McMinns Lagoon (M.M.J.van Balgooy 1272),NA,NA,NA,NA,NA,NA,NA
Scleria sp. Oenpelli (P.K.Latz 3049),NA,NA,NA,NA,NA,NA,NA
Scleria sp. Wilton River (P.K.Latz 2756A),NA,NA,NA,NA,NA,NA,NA
Scleria sphacelata F.Muell.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,NA,NA
Scleria terrestris (L.) Fasset,NA,NA,NA,NA,NA,NA,NA
Scleria tricuspidata S.T.Blake,NA,NA,KNP plots,Seeder,None,NA,NA
Thoracostachyum,NA,NA,NA,NA,NA,NA,NA
Thoracostachyum sumatranum (Miq.) Kurz,NA,NA,NA,NA,NA,NA,NA
Tricostularia,NA,NA,NA,NA,NA,NA,NA
Tricostularia undulata (Thwaites) J.Kern,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Websteria,NA,NA,NA,NA,NA,NA,NA
Websteria confervoides (Poir.) S.S.Hooper,NA,NA,NA,NA,NA,NA,NA
DENNSTAEDTIACEAE,NA,NA,NA,NA,NA,NA,NA
Histiopteris,NA,NA,NA,NA,NA,NA,NA
Histiopteris incisa (Thunb.) T.J.Sm.,NA,NA,JRS 2004,Resprouter,Root suckers or rhizomes,Dispersal reliant,NA
Microlepia,NA,NA,NA,NA,NA,NA,NA
Microlepia speluncae (L.) T.Moore,NA,NA,JRS 2004,Resprouter,Root suckers or rhizomes,NA,NA
Pteridium,NA,NA,NA,NA,NA,NA,NA
