name_original,raw_trait_value ,trait ,units,SITE_ID
Patersonia glabrata,44.2,SLA,cm2/g,Challenger Track KCNP_3
Patersonia glabrata,55,water content leaf,%,Challenger Track KCNP_3
Patersonia glabrata,0.68,lamina thickness ,mm,Challenger Track KCNP_3
Patersonia glabrata,1.81,force of fracture,N,Challenger Track KCNP_3
Patersonia glabrata,2758,toughness leaf,Nm-1,Challenger Track KCNP_3
Patersonia glabrata,47.5,carbon content leaf,% dry weight,Challenger Track KCNP_3
Patersonia glabrata,0.77,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Patersonia glabrata,63.5,C:N ratio leaf,ratio,Challenger Track KCNP_3
Persoonia lanceolata,888,area leaf,mm2,Challenger Track KCNP_3
Persoonia lanceolata,48.2,SLA,cm2/g,Challenger Track KCNP_3
Persoonia lanceolata,56.9,water content leaf,%,Challenger Track KCNP_3
Persoonia lanceolata,0.6,lamina thickness ,mm,Challenger Track KCNP_3
Persoonia lanceolata,1.1,force of fracture,N,Challenger Track KCNP_3
Persoonia lanceolata,1721,toughness leaf,Nm-1,Challenger Track KCNP_3
Persoonia lanceolata,47.2,carbon content leaf,% dry weight,Challenger Track KCNP_3
Persoonia lanceolata,0.67,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Persoonia lanceolata,70.2,C:N ratio leaf,ratio,Challenger Track KCNP_3
Pultenaea elliptica,18.1,area leaf,mm2,Challenger Track KCNP_3
Pultenaea elliptica,102.3,SLA,cm2/g,Challenger Track KCNP_3
Pultenaea elliptica,54.2,water content leaf,%,Challenger Track KCNP_3
Pultenaea elliptica,0.3,lamina thickness ,mm,Challenger Track KCNP_3
Pultenaea elliptica,0.17,force of fracture,N,Challenger Track KCNP_3
Pultenaea elliptica,516.6,toughness leaf,Nm-1,Challenger Track KCNP_3
Pultenaea elliptica,51.6,carbon content leaf,% dry weight,Challenger Track KCNP_3
Pultenaea elliptica,1.06,nitrogen content leaf,% dry weight,Challenger Track KCNP_3
Pultenaea elliptica,52.7,C:N ratio leaf,ratio,Challenger Track KCNP_3
Acacia floribunda,182.7,area leaf,mm2,Dyke KCNP_3
Acacia floribunda,99.5,SLA,cm2/g,Dyke KCNP_3
Acacia floribunda,43.2,water content leaf,%,Dyke KCNP_3
Acacia floribunda,0.29,lamina thickness ,mm,Dyke KCNP_3
Acacia floribunda,0.27,force of fracture,N,Dyke KCNP_3
Acacia floribunda,962,toughness leaf,Nm-1,Dyke KCNP_3
Acacia floribunda,46.4,carbon content leaf,% dry weight,Dyke KCNP_3
Acacia floribunda,2.8,nitrogen content leaf,% dry weight,Dyke KCNP_3
Acacia floribunda,16.51,C:N ratio leaf,ratio,Dyke KCNP_3
Breynia oblongifolia,330.2,area leaf,mm2,Dyke KCNP_3
Breynia oblongifolia,101.5,SLA,cm2/g,Dyke KCNP_3
Breynia oblongifolia,27.5,water content leaf,%,Dyke KCNP_3
Breynia oblongifolia,0.2,lamina thickness ,mm,Dyke KCNP_3
Breynia oblongifolia,0.1,force of fracture,N,Dyke KCNP_3
Breynia oblongifolia,434.4,toughness leaf,Nm-1,Dyke KCNP_3
Breynia oblongifolia,40.7,carbon content leaf,% dry weight,Dyke KCNP_3
Breynia oblongifolia,1.3,nitrogen content leaf,% dry weight,Dyke KCNP_3
Breynia oblongifolia,32.04,C:N ratio leaf,ratio,Dyke KCNP_3
Cissus hypoglauca,1805,area leaf,mm2,Dyke KCNP_3
Cissus hypoglauca,121.6,SLA,cm2/g,Dyke KCNP_3
Cissus hypoglauca,64.8,water content leaf,%,Dyke KCNP_3
Cissus hypoglauca,0.26,lamina thickness ,mm,Dyke KCNP_3
Cissus hypoglauca,0.32,force of fracture,N,Dyke KCNP_3
Cissus hypoglauca,1212,toughness leaf,Nm-1,Dyke KCNP_3
Cissus hypoglauca,45.8,carbon content leaf,% dry weight,Dyke KCNP_3
Cissus hypoglauca,1.4,nitrogen content leaf,% dry weight,Dyke KCNP_3
Cissus hypoglauca,33.42,C:N ratio leaf,ratio,Dyke KCNP_3
Citriobatus pauciflorus,48.8,area leaf,mm2,Dyke KCNP_3
Citriobatus pauciflorus,176.4,SLA,cm2/g,Dyke KCNP_3
Citriobatus pauciflorus,58.4,water content leaf,%,Dyke KCNP_3
Citriobatus pauciflorus,0.16,lamina thickness ,mm,Dyke KCNP_3
Citriobatus pauciflorus,0.05,force of fracture,N,Dyke KCNP_3
Citriobatus pauciflorus,311.3,toughness leaf,Nm-1,Dyke KCNP_3
Citriobatus pauciflorus,46,carbon content leaf,% dry weight,Dyke KCNP_3
Citriobatus pauciflorus,1.47,nitrogen content leaf,% dry weight,Dyke KCNP_3
Citriobatus pauciflorus,31.81,C:N ratio leaf,ratio,Dyke KCNP_3
Hibbertia dentata,859,area leaf,mm2,Dyke KCNP_3
Hibbertia dentata,127.1,SLA,cm2/g,Dyke KCNP_3
Hibbertia dentata,73.9,water content leaf,%,Dyke KCNP_3
Hibbertia dentata,0.45,lamina thickness ,mm,Dyke KCNP_3
Hibbertia dentata,0.32,force of fracture,N,Dyke KCNP_3
Hibbertia dentata,706,toughness leaf,Nm-1,Dyke KCNP_3
Hibbertia dentata,37,carbon content leaf,% dry weight,Dyke KCNP_3
Hibbertia dentata,1.4,nitrogen content leaf,% dry weight,Dyke KCNP_3
Hibbertia dentata,26.26,C:N ratio leaf,ratio,Dyke KCNP_3
Lepidosperma laterale,11476,area leaf,mm2,Dyke KCNP_3
Lepidosperma laterale,44.1,SLA,cm2/g,Dyke KCNP_3
Lepidosperma laterale,50.5,water content leaf,%,Dyke KCNP_3
Lepidosperma laterale,0.7,lamina thickness ,mm,Dyke KCNP_3
Lepidosperma laterale,3.8,force of fracture,N,Dyke KCNP_3
Lepidosperma laterale,5112,toughness leaf,Nm-1,Dyke KCNP_3
Lepidosperma laterale,45,carbon content leaf,% dry weight,Dyke KCNP_3
Lepidosperma laterale,0.6,nitrogen content leaf,% dry weight,Dyke KCNP_3
Lepidosperma laterale,75.39,C:N ratio leaf,ratio,Dyke KCNP_3
Livistona australis,878424,area leaf,mm2,Dyke KCNP_3
Livistona australis,98.6,SLA,cm2/g,Dyke KCNP_3
Livistona australis,61.5,water content leaf,%,Dyke KCNP_3
Livistona australis,0.18,lamina thickness ,mm,Dyke KCNP_3
Livistona australis,0.59,force of fracture,N,Dyke KCNP_3
Livistona australis,3312,toughness leaf,Nm-1,Dyke KCNP_3
Livistona australis,46.3,carbon content leaf,% dry weight,Dyke KCNP_3
Livistona australis,1.7,nitrogen content leaf,% dry weight,Dyke KCNP_3
Livistona australis,27.97,C:N ratio leaf,ratio,Dyke KCNP_3
Livistona australis,41.1,SLA,cm2/g,Dyke KCNP_3
Livistona australis,55.8,water content leaf,%,Dyke KCNP_3
Livistona australis,0.6,lamina thickness ,mm,Dyke KCNP_3
Livistona australis,2.7,force of fracture,N,Dyke KCNP_3
Livistona australis,4591,toughness leaf,Nm-1,Dyke KCNP_3
Livistona australis,49.6,carbon content leaf,% dry weight,Dyke KCNP_3
Livistona australis,1.2,nitrogen content leaf,% dry weight,Dyke KCNP_3
Livistona australis,43.08,C:N ratio leaf,ratio,Dyke KCNP_3
Macrozamia communis,367941,area leaf,mm2,Dyke KCNP_3
Pomaderris ferruginea,913,area leaf,mm2,Dyke KCNP_3
Pomaderris ferruginea,81.2,SLA,cm2/g,Dyke KCNP_3
Pomaderris ferruginea,30.8,water content leaf,%,Dyke KCNP_3
Pomaderris ferruginea,0.3,lamina thickness ,mm,Dyke KCNP_3
Pomaderris ferruginea,0.3,force of fracture,N,Dyke KCNP_3
Pomaderris ferruginea,867,toughness leaf,Nm-1,Dyke KCNP_3
Pomaderris ferruginea,46.9,carbon content leaf,% dry weight,Dyke KCNP_3
Pomaderris ferruginea,1.13,nitrogen content leaf,% dry weight,Dyke KCNP_3
Pomaderris ferruginea,41.48,C:N ratio leaf,ratio,Dyke KCNP_3
Pteridium esculentum,285807,area leaf,mm2,Dyke KCNP_3
Pteridium esculentum,94.5,SLA,cm2/g,Dyke KCNP_3
Pteridium esculentum,51,water content leaf,%,Dyke KCNP_3
Pteridium esculentum,0.31,lamina thickness ,mm,Dyke KCNP_3
Pteridium esculentum,0.39,force of fracture,N,Dyke KCNP_3
Pteridium esculentum,1284,toughness leaf,Nm-1,Dyke KCNP_3
Pteridium esculentum,43,carbon content leaf,% dry weight,Dyke KCNP_3
Pteridium esculentum,1.37,nitrogen content leaf,% dry weight,Dyke KCNP_3
Pteridium esculentum,31.71,C:N ratio leaf,ratio,Dyke KCNP_3
Pultenaea daphnoides,137.52,area leaf,mm2,Dyke KCNP_3
Pultenaea daphnoides,104.36,SLA,cm2/g,Dyke KCNP_3
Pultenaea daphnoides,65.38,water content leaf,%,Dyke KCNP_3
Pultenaea daphnoides,0.255,lamina thickness ,mm,Dyke KCNP_3
Pultenaea daphnoides,0.11,force of fracture,N,Dyke KCNP_3
Pultenaea daphnoides,412.7,toughness leaf,Nm-1,Dyke KCNP_3
Pultenaea daphnoides,48.8,carbon content leaf,% dry weight,Dyke KCNP_3
Pultenaea daphnoides,2.16,nitrogen content leaf,% dry weight,Dyke KCNP_3
Pultenaea daphnoides,22.67,C:N ratio leaf,ratio,Dyke KCNP_3
Pultenaea flexilis,48.3,area leaf,mm2,Dyke KCNP_3
Pultenaea flexilis,149.1,SLA,cm2/g,Dyke KCNP_3
Pultenaea flexilis,77.2,water content leaf,%,Dyke KCNP_3
Pultenaea flexilis,0.33,lamina thickness ,mm,Dyke KCNP_3
Pultenaea flexilis,0.21,force of fracture,N,Dyke KCNP_3
Pultenaea flexilis,649.4,toughness leaf,Nm-1,Dyke KCNP_3
Pultenaea flexilis,45.6,carbon content leaf,% dry weight,Dyke KCNP_3
Pultenaea flexilis,2.03,nitrogen content leaf,% dry weight,Dyke KCNP_3
Pultenaea flexilis,22.64,C:N ratio leaf,ratio,Dyke KCNP_3
Syncarpia glomulifera,2910.3,area leaf,mm2,Dyke KCNP_3
Syncarpia glomulifera,73.9,SLA,cm2/g,Dyke KCNP_3
Syncarpia glomulifera,37.3,water content leaf,%,Dyke KCNP_3
Syncarpia glomulifera,0.29,lamina thickness ,mm,Dyke KCNP_3
Syncarpia glomulifera,0.67,force of fracture,N,Dyke KCNP_3
Syncarpia glomulifera,2337.1,toughness leaf,Nm-1,Dyke KCNP_3
Syncarpia glomulifera,46.96,carbon content leaf,% dry weight,Dyke KCNP_3
Syncarpia glomulifera,1.03,nitrogen content leaf,% dry weight,Dyke KCNP_3
Syncarpia glomulifera,45.89,C:N ratio leaf,ratio,Dyke KCNP_3
Synoum glandulosum,1036.9,area leaf,mm2,Dyke KCNP_3
Synoum glandulosum,124,SLA,cm2/g,Dyke KCNP_3
Synoum glandulosum,64.4,water content leaf,%,Dyke KCNP_3
Synoum glandulosum,0.31,lamina thickness ,mm,Dyke KCNP_3
Synoum glandulosum,0.18,force of fracture,N,Dyke KCNP_3
Synoum glandulosum,554.7,toughness leaf,Nm-1,Dyke KCNP_3
Synoum glandulosum,46.65,carbon content leaf,% dry weight,Dyke KCNP_3
Synoum glandulosum,1.66,nitrogen content leaf,% dry weight,Dyke KCNP_3
Synoum glandulosum,28.16,C:N ratio leaf,ratio,Dyke KCNP_3
