genus,species,binomial,growth form ,min height (m) ,max height (m) ,extreme max height (m) ,extreme min leaf length (mm) ,min leaf length (mm) ,max leaf length (mm) ,extreme max leaf length (mm) ,extreme min leaf width (mm) ,min leaf width (mm) ,max leaf width (mm) ,extreme max leaf width (mm) ,seed shape,seed length min (mm) ,seed length max (mm) ,seed width min (mm) ,seed width max (mm) ,seed breadth min (mm) ,seed breadth max (mm) ,leaf type ,leaf shape 
Eremophila,aureivisca,Eremophila aureivisca,shrub,0.25,1,1.3,6,9,19,26,,1,1.5,,,,,,,,,simple,elliptic
Eremophila,phyllopoda,Eremophila phyllopoda,shrub,0.4,2.1,,,18,110,,,1.5,7,,,,,,,,,simple,elliptic
Eremophila,crenulata,Eremophila crenulata,shrub,1,1.5,1.8,15,17.5,30.5,38,,4.5,10,,,,,,,,,simple,elliptic
Eremophila,cuneifolia,Eremophila cuneifolia,shrub,0.4,1.5,,3.5,5,16,30,,3,14.5,20,,,,,,,,simple,elliptic
Eremophila,willsii,Eremophila willsii,shrub,0.45,1,1.5,5,10,30,49,2,4,11,16,,,,,,,,simple,elliptic
Eremophila,elderi,Eremophila elderi,shrub,0.5,1.5,,,29,53,62,,8,25,,,,,,,,,simple,elliptic
Eremophila,georgei,Eremophila georgei,shrub,0.3,2,,6,8,23,35,4,5.5,10,12,,,,,,,,simple,elliptic
Eremophila,metallicorum,Eremophila metallicorum,shrub,0.4,0.8,,,5.5,10.5,16,,0.7,2.1,,,,,,,,,simple,elliptic
Eremophila,granitica,Eremophila granitica,shrub,0.5,2,,8.5,10,15.5,18,2,3,7,,,,,,,,,simple,elliptic
Eremophila,appressa,Eremophila appressa,shrub,1,1.5,3,2.5,4.5,11,,,0.4,0.9,,,,,,,,,simple,elliptic
Eremophila,obliquisepala,Eremophila obliquisepala,shrub,0.2,0.5,,10.5,14,29,40,,4.5,9,,,,,,,,,simple,elliptic
Eremophila,conglomerata,Eremophila conglomerata,shrub,1,2.5,,3.5,4.5,8,9.2,2.8,3.5,6.5,,,,,,,,,simple,elliptic
Eremophila,attenuata,Eremophila attenuata,shrub,,1,,7,9.5,14,,,1,1.5,,,,,,,,,simple,elliptic
Eremophila,petrophila,Eremophila petrophila,shrub,,3.2,,,8,23,,,2,3,,,,,,,,,simple,elliptic
Eremophila,hughesii,Eremophila hughesii,shrub,,3,,18,20,50,61,,0.7,1.8,2.7,,,,,,,,simple,elliptic
Eremophila,shonae,Eremophila shonae,shrub,0.6,2.5,,,3,10,,,0.5,1.2,,,,,,,,,simple,elliptic
Eremophila,coacta,Eremophila coacta,shrub,1,3,,,28,44,,,0.7,1.7,,,,,,,,,simple,elliptic
Eremophila,arguta,Eremophila arguta,shrub,0.15,0.4,,,3.5,12,,,1.5,5.7,,,,,,,,,simple,elliptic
Eremophila,pallida,Eremophila pallida,shrub,,0.4,,3.5,4,11,,,2.5,7,,,,,,,,,simple,elliptic
Eremophila,viscimarginata,Eremophila viscimarginata,shrub,0.2,0.4,,3.5,4,10,,,2,5.5,,,,,,,,,simple,elliptic
Eremophila,oppositifolia,Eremophila oppositifolia,shrub,1,5,10,,29,120,,,0.7,7,,,,,,,,,simple,elliptic
Eremophila,rotundifolia,Eremophila rotundifolia,shrub,1,2,,,9.5,16.5,,,3.5,10,,,,,,,,,simple,elliptic
Eremophila,spathulata,Eremophila spathulata,shrub,0.6,1,1.5,13.54,17,30,39,,6,14,22,,,,,,,,simple,elliptic
Eremophila,tietkensii,Eremophila tietkensii,shrub,1,2,3,21,30,72,91,4,6,17,20.5,,,,,,,,simple,elliptic
Eremophila,mirabilis,Eremophila mirabilis,shrub,0.3,1.5,,,11,35,,,1.8,2.6,,,,,,,,,simple,elliptic
Eremophila,platycalyx,Eremophila platycalyx,shrub,,4,,,17,70,90,,2,14.5,,,,,,,,,simple,elliptic
Eremophila,macmillaniana,Eremophila macmillaniana,shrub,,4,,17.5,23.5,54,,5.5,14.7,16.5,,,,,,,,,simple,elliptic
Eremophila,polyclada,Eremophila polyclada,shrub,1,3,,15,20,40,80,,1,2.2,3.5,,,,,,,,simple,elliptic
Eremophila,bignoniiflora,Eremophila bignoniiflora,shrub,1.5,7,,68,110,160,200,2,4.5,9,14,,,,,,,,simple,elliptic
Eremophila,dalyana,Eremophila dalyana,tree; shrub,1,4,,10,13,50,70,,0.6,1.2,,,,,,,,,simple,elliptic
Eremophila,divaricata,Eremophila divaricata,shrub,0.5,1.5,,4.5,5,20,34,,1,4,,,,,,,,,simple,elliptic
Eremophila,christophorii,Eremophila christophorii,shrub,1,2.5,,,10.5,25,27.5,,2.5,6.5,8.5,,,,,,,,simple,elliptic
Eremophila,malacoides,Eremophila malacoides,shrub,0.4,1,,3.5,5,15,,,2.5,6,7.2,,,,,,,,simple,elliptic
Eremophila,resinosa,Eremophila resinosa,shrub,0.4,1,,,6,12,17,,2,2.5,,,,,,,,,simple,elliptic
Eremophila,delisseri,Eremophila delisseri,shrub,,1,,,3.5,9.5,,,1.8,3.5,5,,,,,,,,simple,elliptic
Eremophila,mackinlayi,Eremophila mackinlayi,shrub,0.2,1,,,10,30,36,,7,14,18,,,,,,,,simple,elliptic
Eremophila,fasciata,Eremophila fasciata,shrub,0.5,1,,,34,55,,,2.3,4,,,,,,,,,simple,elliptic
Eremophila,warnesii,Eremophila warnesii,shrub,0.3,0.5,,,12,30,,,10.5,22,,,,,,,,,simple,elliptic
Eremophila,macgillivrayii,Eremophila macgillivrayii,shrub,1,3,,28,32,52,82,3.5,4,5.5,6.1,,,,,,,,simple,elliptic
Eremophila,bowmanii,Eremophila bowmanii,shrub,0.25,2,3,,9,50,,,1.2,11.5,,,,,,,,,simple,elliptic
Eremophila,forrestii,Eremophila forrestii,shrub,0.5,2,,6,11,30,35,4.2,6.5,16,20,,,,,,,,simple,elliptic
Eremophila,glandulifera,Eremophila glandulifera,shrub,,1,,7.5,9.5,18,20,3,4,7,8.2,,,,,,,,simple,elliptic
Eremophila,compacta,Eremophila compacta,shrub,0.4,1.5,2,5.5,9,22,37,,2.5,7,10.5,,,,,,,,simple,elliptic
Eremophila,conferta,Eremophila conferta,shrub,4,1.5,2.5,9,12.5,25,32,4.5,6.5,13,15,,,,,,,,simple,elliptic
Eremophila,rhegos,Eremophila rhegos,shrub,0.8,1.5,12,16,24,30,,,4.5,9,,,,,,,,,simple,elliptic
Eremophila,congesta,Eremophila congesta,shrub,,,1.3,6.5,12,23,,,1,2.5,,,,,,,,,simple,elliptic
Eremophila,citrina,Eremophila citrina,shrub,0.5,1,,12,14,25,30,,2,4,,,,,,,,,simple,elliptic
Eremophila,pilosa,Eremophila pilosa,shrub,0.5,0.9,,10,14,25,35,3.7,4,9,10.5,,,,,,,,simple,elliptic
Eremophila,jucunda,Eremophila jucunda,shrub,0.25,1,1.8,6.5,8.5,20,22.5,1.6,2.5,5.5,7,,,,,,,,simple,elliptic
Eremophila,anomala,Eremophila anomala,shrub,0.2,0.4,,,8,17,,,1.5,4.5,,,,,,,,,simple,elliptic
Eremophila,muelleriana,Eremophila muelleriana,shrub,0.3,1,2.2,4.5,7.5,19,26,3.5,6,12,14,,,,,,,,simple,elliptic
Eremophila,revoluta,Eremophila revoluta,shrub,0.25,0.5,,1,3,5.5,8,,0.9,1.6,,,,,,,,,simple,elliptic
Eremophila,hispida,Eremophila hispida,shrub,0.3,0.4,,7.5,10,25,,,0.5,1,,,,,,,,,simple,elliptic
Eremophila,physocalyx,Eremophila physocalyx,shrub,1,3,,,13,30.5,32.5,,1.5,3,4,,,,,,,,simple,elliptic
Eremophila,lachnocalyx,Eremophila lachnocalyx,shrub,0.6,1.5,,,3.5,9.5,,,2.5,4,5.5,,,,,,,,simple,elliptic
Eremophila,lanata,Eremophila lanata,shrub,,0.3,,4,8,10,,,1.5,2.5,,,,,,,,,simple,elliptic
Eremophila,tenella,Eremophila tenella,shrub,1,3,,,14,25,,,1,2,,,,,,,,,simple,elliptic
Eremophila,humilis,Eremophila humilis,shrub,0.2,0.5,,,3,105,14,,0.5,1,,,,,,,,,simple,elliptic
Eremophila,graciliflora,Eremophila graciliflora,shrub,2,3,,,45,70,,,3.4,4.2,,,,,,,,,simple,elliptic
Eremophila,denticulata,Eremophila denticulata,shrub,1,2.5,,26,34,59,65,5.3,6.8,16,22,,,,,,,,simple,elliptic
Eremophila,splendens,Eremophila splendens,shrub,,1,,,25,32,,,11.5,14.5,,,,,,,,,simple,elliptic
Eremophila,decipiens,Eremophila decipiens,shrub,0.3,1,,12,15,46,52,,1.5,8.8,10,,,,,,,,simple,elliptic
Eremophila,purpurascens,Eremophila purpurascens,shrub,,1.5,,4.5,7.5,12,14,2,3,6,7.5,,,,,,,,simple,elliptic
Eremophila,galeata,Eremophila galeata,shrub,0.5,3.5,,15,32,62,75,9,10,20,24,,,,,,,,simple,elliptic
Eremophila,miniata,Eremophila miniata,tree; shrub,,5,,14,21,40,57,2,2.9,7.8,8.6,,,,,,,,simple,elliptic
Eremophila,lucida,Eremophila lucida,shrub,0.5,3.5,,42,54,85,115,7,7.5,15,20,,,,,,,,simple,elliptic
