accepted_name,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,euclid_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaflength_min2,leaflength_max2,leafwidth_min2,leafwidth_max2
Eucalyptus aequioperta,0.5,0.7,0.25,0.35,0.4,0.5,0.4,0.6,9,15,white_cream,NNNNYNNNNNNN,6,11,0.6,1.2,eucalyptus_aequioperta,2,9,cm,0.8,2.5,cm,60,110,6,12,NA,NA,NA,NA
Eucalyptus agglomerata,0.6,0.8,0.3,0.4,0.3,0.5,0.5,1,11,15,white_cream,YNNYYYYNNYYY,7,14,1.4,3,eucalyptus_agglomerata,3.5,10,cm,2,5.5,cm,70,140,14,30,NA,NA,NA,NA
Eucalyptus aggregata,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.5,7,7,white_cream,YYYYYNNNNYNY,5,12,1,2.5,eucalyptus_aggregata,4,7,cm,1.5,3,cm,50,120,10,25,NA,NA,NA,NA
Eucalyptus alaticaulis,0.45,0.9,0.25,0.5,0.5,1.1,0.5,1,7,7,white_cream,NA,12,30,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,30,2,4.5
Eucalyptus alatissima,3.2,4.5,1.5,3,1.4,2,2.5,4.5,3,3,red_brown,NNNNNNYNNYNN,5.5,13,1,3,eucalyptus_kingsmillii_subsp._alatissima,4,10,cm,1.5,4,cm,55,130,10,30,NA,NA,NA,NA
Eucalyptus alba,0.4,0.8,0.4,0.6,0.3,0.6,0.5,0.8,7,7,white_cream,NNNNNYYYYNNN,8,18.5,2.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18.5,2.5,4.5
Eucalyptus albens,0.8,1.8,0.3,0.6,0.6,1.4,0.5,1,7,7,white_cream,YYYYYYYYYYYY,7,16.5,1.7,4.3,eucalyptus_albens,5,10.5,cm,5,10,cm,70,165,17,43,NA,NA,NA,NA
Eucalyptus albida,0.6,1,0.5,NA,0.5,0.6,0.5,0.8,7,9,white_cream,YNNNNNNNNNYY,5,7.5,0.5,1.7,eucalyptus_albida,1.5,4,cm,1.3,3.5,cm,40,105,5,17,5,7.5,NA,NA
Eucalyptus albopurpurea,0.6,1,0.3,0.4,0.6,1,0.5,0.8,7,11,pink white_cream,YYYYYYYYYYYY,7,14,1.2,3,eucalyptus_albopurpurea,4,11,cm,2.3,4.7,cm,70,140,12,30,NA,NA,NA,NA
Eucalyptus alipes,1.3,2.1,0.5,0.7,0.7,1.5,0.6,1.1,3,3,white_cream,YYNNNNNNNNNY,3,7.5,0.4,1.1,eucalyptus_alipes,4.5,8,cm,0.5,0.8,cm,30,75,4,11,NA,NA,NA,NA
Eucalyptus alligatrix,0.4,0.6,0.2,0.5,0.3,0.5,0.4,0.8,3,7,white_cream,NNNYNNNNNNNN,4.8,20,0.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,20,0.7,4.7
Eucalyptus ammophila,0.8,NA,0.5,NA,0.3,0.5,0.6,0.9,7,7,white_cream,NNNNNNNNNNNN,6,13.5,1.3,2.5,eucalyptus_ammophila,6,8.5,cm,2.2,3.6,cm,65,135,15,30,6,NA,1.3,2.5
Eucalyptus amplifolia,0.8,1.2,0.3,0.5,0.2,0.5,0.4,0.6,7,15,white_cream,YNNNNYNNNNYY,7.5,25,1.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,25,1.3,7
Eucalyptus amygdalina,0.3,0.5,0.2,0.3,0.4,0.7,0.4,0.7,11,15,white_cream,YNNNNNYNNNYY,5.5,12,0.4,1.2,eucalyptus_amygdalina,2.8,5.5,cm,0.2,1.1,cm,55,120,4,12,NA,NA,NA,NA
Eucalyptus ancophila,0.6,0.7,0.3,0.5,0.5,0.8,0.5,0.7,7,7,white_cream,NNNNNNNNNNYN,9,20,1.8,4.8,eucalyptus_ancophila,NA,NA,NA,NA,NA,NA,90,200,18,48,NA,NA,NA,NA
Eucalyptus andrewsii,0.3,0.4,0.2,0.3,0.4,0.6,0.5,0.7,11,15,white_cream,NYNNNYYNNNNY,9,17,1,3.2,eucalyptus_andrewsii_subsp._andrewsii,4.5,10,cm,2.5,4.5,cm,90,170,10,32,NA,NA,NA,NA
Eucalyptus angophoroides,0.7,0.9,0.3,0.6,0.4,0.5,0.5,0.9,7,7,white_cream,YYYNNNNNNNNY,8,25,1.4,4.3,eucalyptus_angophoroides,1.7,7,cm,1.5,5.5,cm,80,250,14,43,NA,NA,NA,NA
Eucalyptus angularis,NA,NA,NA,NA,NA,NA,NA,NA,9,11,NA,NNNNNNNNNNNN,5.5,10,1.5,1.7,eucalyptus_angularis,NA,NA,NA,NA,NA,NA,55,100,15,17,NA,NA,NA,NA
Eucalyptus angulosa,1.5,2.7,0.6,1.2,1.2,2.2,1,2.5,3,7,pink white_cream yellow_orange,NNNYNNNYYYYY,5,14,1.7,5,eucalyptus_angulosa,4.5,9,cm,2.5,4,cm,50,140,17,50,NA,NA,NA,NA
Eucalyptus angustissima,0.5,0.7,0.3,0.5,0.3,0.5,0.5,0.8,7,7,white_cream,YNNNNNNNNYNN,7,11.5,0.15,0.3,eucalyptus_angustissima,4.5,8,cm,0.3,0.4,cm,55,115,1.5,4,7,NA,NA,0.3
Eucalyptus annettae,1.4,1.6,1.4,1.6,1.2,1.6,1.5,2,7,7,white_cream yellow_orange,NNNNNNNYNNNY,9,13,2,5,eucalyptus_annettae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,2,5
Eucalyptus annulata,1.2,2.6,0.5,0.7,NA,NA,0.8,1.2,7,7,white_cream,NNNNNNNYYYNN,6,11.5,0.7,1.7,eucalyptus_annulata,4,7.5,cm,1.3,2,cm,60,115,7,17,NA,NA,NA,NA
Eucalyptus annuliformis,1.1,1.7,0.5,0.8,0.9,1.2,1,1.4,7,7,white_cream,NNNNNNYNNNNN,4,6.5,1,1.7,eucalyptus_annuliformis,5,7,cm,2,3.5,cm,40,65,10,17,NA,NA,NA,NA
Eucalyptus apiculata,0.5,0.8,0.4,NA,0.7,1,0.6,1,7,7,white_cream,YNYNNNNNNYNY,3.5,11,0.3,0.7,eucalyptus_apiculata,NA,16,cm,0.8,2,cm,35,110,3,7,NA,NA,NA,NA
Eucalyptus apodophylla,0.3,0.7,0.3,0.55,0.3,0.5,0.4,0.6,7,7,white_cream,NNNNNYYYYYNN,7,20,3.6,9,eucalyptus_apodophylla,7,15,cm,4,9,cm,70,200,30,90,NA,NA,3.6,NA
Eucalyptus apothalassica,0.5,0.6,0.3,NA,0.4,0.6,0.4,0.6,11,15,white_cream,NNNNNNNNNYNN,5,13,0.9,2.5,eucalyptus_apothalassica,6.5,14,cm,2,4.2,cm,50,140,9,30,NA,13,NA,2.5
Eucalyptus approximans,0.5,NA,0.3,NA,0.6,0.8,0.5,0.8,7,7,white_cream,NNNNNNNNNNNN,5.5,12,0.5,1.6,eucalyptus_approximans_subsp._approximans,6.5,14,cm,1,2,cm,55,120,5,16,NA,NA,NA,NA
Eucalyptus aquilina,2.8,3.2,2.3,3.8,2,2.9,3.5,5,3,3,white_cream,NNNNNYNNNNNN,7,13.5,1.2,2.5,eucalyptus_aquilina,NA,NA,NA,NA,NA,NA,70,135,12,25,NA,NA,NA,NA
Eucalyptus arachnaea,1.2,2,0.2,0.4,0.4,0.8,0.4,0.5,9,15,white_cream,YYNNYNNNNNNN,6,12,1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,1,2.2
Eucalyptus arborella,NA,NA,NA,NA,NA,NA,NA,NA,11,15,green,YNYYNNNNNNNN,4,7,0.7,1.5,eucalyptus_arborella,NA,NA,NA,NA,NA,NA,40,70,7,15,NA,NA,NA,NA
Eucalyptus arcana,0.5,0.6,0.4,NA,0.1,NA,0.5,0.8,7,7,white_cream,YYNNNNNNNNNN,8,15,1.7,3,eucalyptus_splendens_subsp._arcana,4.5,12,cm,1.3,5.5,cm,80,150,17,30,NA,NA,NA,NA
Eucalyptus archeri,0.5,0.7,0.3,0.4,0.5,0.8,0.5,0.8,3,3,white_cream,YYYYYNNNNNYY,4,9,0.9,3,eucalyptus_archeri,1.3,4,cm,0.9,3.2,cm,40,90,9,30,NA,NA,NA,NA
Eucalyptus arenacea,0.5,0.6,0.3,0.5,0.4,0.9,0.7,1.2,9,15,white_cream,YNNNNNYYYYYY,7,12,1.5,4,eucalyptus_arenacea,3.5,8.5,cm,3,4,cm,70,120,15,40,NA,NA,NA,NA
Eucalyptus arenicola,0.3,0.4,0.3,0.4,0.4,0.6,0.5,0.8,11,25,white_cream,NNNNNNNNYYYN,8,13,0.7,1.8,eucalyptus_arenicola,6,9,cm,1.4,2.7,cm,NA,NA,NA,NA,8,13,0.7,1.8
Eucalyptus argillacea,0.6,1,0.4,0.6,0.6,1,0.4,0.6,7,7,white_cream,NNNYNNNNNNNN,5,14,1.2,3.5,eucalyptus_argillacea,NA,NA,NA,NA,NA,NA,50,140,12,45,NA,NA,NA,3.5
Eucalyptus argophloia,0.4,0.6,0.3,0.4,0.3,0.5,0.5,0.7,7,7,white_cream,NNNNYYNNNNNN,6.5,14,0.7,1.5,eucalyptus_argophloia,4.5,9,cm,0.4,1.4,cm,65,140,7,20,NA,NA,NA,1.5
Eucalyptus argutifolia,0.7,1.1,0.4,0.6,0.6,1.1,0.7,0.8,7,9,white_cream,YNNNNNNNNNNN,7.3,12,1.2,3,eucalyptus_argutifolia,4,7,cm,3,5.5,cm,73,120,12,30,NA,NA,NA,NA
Eucalyptus aridimontana,0.5,0.6,0.3,0.4,0.4,0.9,0.4,0.6,7,11,white_cream,NNNNNNNNNNNN,7,14,0.7,2,eucalyptus_aridimontana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,0.7,2
Eucalyptus armillata,2,3,0.9,1.5,0.8,1.5,1,1.8,3,3,red_brown white_cream,YYNNNNNNNYYY,3,8.5,0.5,1.5,eucalyptus_armillata,NA,NA,NA,NA,NA,NA,30,110,5,15,NA,8.5,NA,NA
Eucalyptus aromaphloia,0.4,0.5,0.3,0.4,0.3,0.4,0.4,0.7,7,7,white_cream,YYYNNNNNNNNN,7.5,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,20,1,2
Eucalyptus articulata,0.7,0.9,0.3,0.5,0.7,0.9,0.4,0.7,7,7,white_cream,NNNNNNYNNNNN,6,12,1,1.5,eucalyptus_articulata,6,12,cm,1,1.5,cm,60,120,10,15,NA,NA,NA,NA
Eucalyptus aspersa,0.8,1.1,0.3,0.4,0.4,0.8,0.4,0.7,7,7,white_cream,NNNNNNNNNNNN,5.5,12,1,2,eucalyptus_aspersa,2,7.5,cm,1.4,3,cm,45,120,8,20,5.5,NA,1,NA
Eucalyptus aspratilis,2,3,0.5,0.7,1,1.5,0.7,1.2,7,7,white_cream,NNNNYNYYNNNN,5.5,10.5,1,2.2,eucalyptus_aspratilis,2.5,7,cm,1.5,2.5,cm,55,105,10,22,NA,NA,NA,NA
Eucalyptus assimilans,1.5,1.5,0.7,0.7,0.9,1.2,0.8,0.9,7,7,NA,NA,7,18,1.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,1.5,4
Eucalyptus astringens,1,2,0.3,0.7,0.7,1.2,0.6,1,7,7,pink white_cream,NNNNNNYYYYYN,5,14,1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,1,2.5
Eucalyptus atrata,0.6,0.8,0.4,0.5,0.4,0.8,0.5,0.8,7,7,white_cream,YYNNNNNNYNNY,8,15,1.4,3.4,eucalyptus_atrata,8,19,cm,3.5,8,cm,80,175,14,34,NA,15,NA,NA
Eucalyptus aurifodina,0.6,NA,0.3,NA,0.3,0.5,0.5,0.9,9,15,white_cream,NNNYNNNNNNNN,4,8.5,1.4,3,eucalyptus_aurifodina,5,8.5,cm,2,4,cm,NA,NA,NA,NA,4,8.5,1.4,3
Eucalyptus badjensis,0.4,0.5,0.3,0.4,0.3,0.5,0.4,0.6,3,3,white_cream,YYYNNNNNNNNY,8.5,20,1,2,eucalyptus_badjensis,3.5,8,cm,0.8,2,cm,85,200,10,20,NA,NA,NA,NA
Eucalyptus baeuerlenii,0.7,1,0.4,0.6,0.5,1,0.8,1.2,3,3,white_cream,NNYYYNNNYNNN,7,17.5,0.6,3,eucalyptus_baeuerlenii,3.5,9.5,cm,1.3,2.8,cm,70,175,6,30,NA,NA,NA,NA
Eucalyptus baileyana,0.5,0.8,0.3,0.5,0.9,1.5,0.8,1.7,7,7,white_cream,YNNYNNNNNYYY,9,16.5,1,2.5,eucalyptus_baileyana,6,15,cm,2.5,7.5,cm,90,165,10,25,NA,NA,NA,NA
Eucalyptus baiophylla,0.8,1.3,0.4,0.7,0.5,0.9,0.5,0.8,7,9,white_cream,NNNNNNNNNYNN,4.7,9.8,0.4,1,eucalyptus_baiophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,9.8,0.4,1
Eucalyptus bakeri,0.8,1.1,0.2,0.4,0.3,0.4,0.4,0.5,7,15,white_cream,NNNNNYYYYYNY,4,10.5,0.5,1.5,eucalyptus_bakeri,5,8,cm,0.3,0.5,cm,40,105,5,15,NA,NA,NA,NA
Eucalyptus balladoniensis,1.6,2.5,0.9,1.1,0.7,1.1,1,1.4,7,7,white_cream,NNNYNNYYNYYN,7,13.5,1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13.5,1,2.7
Eucalyptus bancroftii,1,2,0.4,0.7,0.4,0.7,0.6,0.9,7,15,white_cream,NNNNNNNNNNYN,10,26,2,5,eucalyptus_bancroftii,10,15,cm,3,7,cm,100,260,20,50,NA,NA,NA,NA
Eucalyptus banksii,0.4,0.7,0.4,0.5,0.3,0.6,0.6,1.1,7,7,white_cream,NNYNNYNNYNNN,10,19,1.5,3,eucalyptus_banksii,3.5,8.5,cm,3,6.5,cm,100,190,15,30,NA,NA,NA,NA
Eucalyptus barberi,0.7,1.1,0.4,0.6,0.5,1,0.6,0.9,7,7,white_cream,NNNNNNNYYNYY,5,14,1,3.5,eucalyptus_barberi,3,8,cm,1,3,cm,50,140,10,35,NA,NA,NA,NA
Eucalyptus baudiniana,0.5,0.8,0.3,0.4,0.4,0.6,0.3,0.4,7,15,white_cream,NNNNNNNNNNYN,4.5,9.5,0.5,1.5,eucalyptus_baudiniana,NA,NA,NA,NA,NA,NA,45,95,5,15,NA,NA,NA,NA
Eucalyptus baueriana,0.3,0.6,0.3,0.4,0.3,0.6,0.3,0.7,7,7,white_cream,YNNNYNNYYNYY,5,10.5,2,6,eucalyptus_baueriana,3.5,6,cm,3.9,8,cm,53,105,20,52,5,NA,NA,6
Eucalyptus baxteri,0.5,1,0.4,0.6,0.4,1.2,0.7,1.8,9,15,white_cream,YYYYNYYYYYYY,6,15,1.5,5.5,eucalyptus_baxteri,2.5,10.5,cm,1.3,7.5,cm,60,150,15,55,NA,NA,NA,NA
Eucalyptus beaniana,0.4,0.7,0.2,0.4,0.4,0.6,0.3,0.6,7,7,white_cream,NNNNNNNNYNNN,7,13,0.9,2.3,eucalyptus_beaniana,5.5,9,cm,0.4,0.6,cm,70,170,9,23,NA,13,NA,NA
Eucalyptus beardiana,1.9,2.2,0.7,0.9,0.6,1,0.9,1.3,9,9,white_cream,NNNNYNNNNNNN,5.5,13,0.7,1.5,eucalyptus_beardiana,2,9,cm,0.5,3.5,cm,60,150,7,15,5.5,13,NA,NA
Eucalyptus behriana,0.3,0.7,0.2,0.4,0.3,0.6,0.3,0.5,7,7,white_cream,YYNYYNYNYYYY,4.5,13,1.3,5,eucalyptus_behriana,5,10.5,cm,2.5,6.5,cm,45,130,13,50,NA,NA,NA,NA
Eucalyptus bensonii,0.5,1,0.3,0.4,0.5,0.7,0.8,1.2,7,11,white_cream,YNNNNNNNNNYN,6,12,1.9,3.7,eucalyptus_bensonii,4,7,cm,3,4,cm,60,120,19,37,NA,NA,NA,NA
Eucalyptus benthamii,0.3,0.5,0.2,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,NNYYYNYNYNNN,8,23,1.2,2.7,eucalyptus_benthamii,3,9,cm,2,4,cm,80,230,12,27,NA,NA,NA,NA
Eucalyptus beyeriana,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.6,7,7,white_cream,YNNYYNNYYYYN,7,14,0.7,2,eucalyptus_beyeriana,5.5,9,cm,1,1.5,cm,NA,NA,NA,NA,7,14,0.7,2
Eucalyptus bigalerita,0.6,1.2,0.6,1.1,0.6,0.9,0.8,1.2,7,7,white_cream,NNNNNYYYYNNN,9,15,7,15,eucalyptus_bigalerita,7,18,cm,6.5,16,cm,60,190,50,150,9,15,7,NA
Eucalyptus blakelyi,0.8,1.4,0.3,0.6,0.2,0.5,0.4,0.8,7,15,white_cream,YYNNNNYYYYYY,6,20,0.7,4.5,eucalyptus_blakelyi,4,10,cm,3.3,7,cm,60,200,7,45,NA,NA,NA,NA
Eucalyptus blaxellii,0.4,0.8,0.25,0.5,0.4,0.6,0.4,0.6,7,7,white_cream,NNNNYNYNYYNN,6,10,0.5,1,eucalyptus_blaxellii,7,10.5,cm,0.4,0.7,cm,60,100,5,10,NA,NA,NA,NA
Eucalyptus blaxlandii,0.6,NA,0.3,0.4,0.4,0.6,0.7,1.3,9,15,white_cream,NNYNNNNNNYYN,6,12,1.3,2.7,eucalyptus_blaxlandii,4,8,cm,1.5,4,cm,60,120,13,27,NA,NA,NA,NA
Eucalyptus boliviana,0.5,0.6,1,1.5,0.5,0.6,1,1.5,7,7,white_cream,NNNNNNNNNNNN,8,16,3,5,eucalyptus_boliviana,6.5,11,cm,3,6.5,cm,80,160,25,50,NA,NA,3,NA
Eucalyptus bosistoana,0.6,0.8,0.3,0.5,0.4,0.8,0.4,0.8,7,7,white_cream,YYYYNNYNNNYY,5.8,20,0.7,2.7,eucalyptus_bosistoana,3,7,cm,1.8,3.3,cm,58,200,7,27,NA,NA,NA,NA
Eucalyptus botryoides,0.7,1.4,0.4,0.6,0.6,1.3,0.5,0.9,7,11,white_cream,YYYNNNNNNNNY,10,22,2,7,eucalyptus_botryoides,6.5,11.5,cm,2.4,5.8,cm,100,220,20,70,NA,NA,NA,NA
Eucalyptus brachyandra,0.25,0.4,0.2,0.25,0.2,0.3,0.2,0.3,3,7,white_cream,NNNNNNNYYYYN,3.3,9.7,0.9,4.5,eucalyptus_brachyandra,2.5,8,cm,1.5,6,cm,33,97,9,60,NA,NA,NA,4.5
Eucalyptus brachycalyx,0.5,1,0.3,0.6,0.4,0.8,0.5,0.8,7,11,white_cream,YYYYNNNNNYYY,5,11,0.5,2,eucalyptus_brachycalyx,3.5,8.2,cm,1,3.8,cm,50,110,5,20,NA,NA,NA,NA
Eucalyptus brandiana,5,6.5,3,6,5.6,6.8,4.8,6,1,1,pink,YYNNNNNNNNNN,14,23.8,4.2,6.2,eucalyptus_brandiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,23.8,4.2,6.2
Eucalyptus brassiana,1,1.5,0.4,0.7,0.4,1,0.7,1.2,7,7,white_cream,NNNNNNNNNNNN,10,22,1,2.5,eucalyptus_brassiana,6,21.5,cm,3.5,7,cm,100,220,10,28,NA,NA,NA,2.5
Eucalyptus brevifolia,0.6,0.9,0.4,0.8,0.4,0.8,0.6,0.9,7,7,white_cream,NNYYYNNYNNNN,5,11,1.5,2.8,eucalyptus_brevifolia,4,7,cm,3,7,cm,50,110,9,50,NA,NA,1.5,2.8
Eucalyptus brevipes,0.7,0.8,0.3,0.5,0.6,0.7,0.4,0.7,7,7,white_cream,NNNNNNYYYNNN,7,12.5,0.7,1,eucalyptus_brevipes,5,8,cm,0.7,1.5,cm,63,125,7,10,7,NA,NA,NA
Eucalyptus brevistylis,0.3,NA,0.3,NA,0.6,1,0.6,0.9,9,13,white_cream,NYNYYNNNNNNN,5.3,9,1,3,eucalyptus_brevistylis,4,7,cm,2.5,6,cm,53,110,10,30,NA,9,NA,NA
Eucalyptus bridgesiana,0.5,0.8,0.3,0.5,0.3,0.7,0.4,0.8,7,7,white_cream,YYYNYNNNNNNN,12,20,1.5,2.5,eucalyptus_bridgesiana,2.5,10,cm,2,8,cm,120,200,15,25,NA,NA,NA,NA
Eucalyptus brockwayi,0.6,0.8,0.3,0.4,0.4,0.6,0.4,0.7,11,15,white_cream,NNYYNYNNNNNN,7,15,0.8,1.8,eucalyptus_brockwayi,2,7,cm,0.5,2.7,cm,70,150,8,18,NA,NA,NA,NA
Eucalyptus brookeriana,0.6,1,0.3,0.6,0.4,0.8,0.5,0.7,7,7,white_cream,YYYYYNNNYNYY,6.5,16,1.3,5.5,eucalyptus_brookeriana,3,11.5,cm,2,5,cm,65,160,13,55,NA,NA,NA,NA
Eucalyptus broviniensis,0.5,0.6,0.5,NA,0.3,0.5,0.6,1.1,7,7,white_cream,NNNNNNNNNNNN,10,15,2.5,4.5,eucalyptus_broviniensis,6,12,cm,4,7,cm,100,150,25,45,NA,NA,NA,NA
Eucalyptus brownii,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.3,11,15,white_cream,YNNNYNNYYYNN,6,17,1,3.6,eucalyptus_brownii,4,9,cm,1.4,3.2,cm,60,170,10,36,NA,NA,NA,NA
Eucalyptus buprestium,0.5,0.6,0.3,0.5,1.8,2.6,1.7,2.6,9,15,white_cream,NNNNNNNNYYYN,3,7.7,0.6,1,eucalyptus_buprestium,4.5,7,cm,1.5,2,cm,30,77,6,10,NA,NA,NA,NA
Eucalyptus burdettiana,2,5.8,0.4,1.3,1.9,2.7,2,2.5,7,11,green,NNYYNYNYNNNN,6.5,9.5,1,2.5,eucalyptus_burdettiana,3.5,8,cm,2.5,6,cm,57,95,10,30,6.5,NA,NA,2.5
Eucalyptus burgessiana,0.7,1.1,0.3,0.6,0.9,1.2,0.7,1.3,7,11,white_cream,NNNNYNNYYNYY,7,13,1.3,2.5,eucalyptus_burgessiana,NA,15,cm,NA,5,cm,70,130,13,25,NA,NA,NA,NA
Eucalyptus burracoppinensis,1.6,3,1.3,2,0.6,1.3,1.7,2.5,3,3,white_cream,NNNNNNNYYYYN,6,11.5,0.9,2.3,eucalyptus_burracoppinensis,7,10,cm,1.8,2.7,cm,60,115,9,23,NA,NA,NA,NA
Eucalyptus cadens,0.45,0.7,0.25,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,NNYYYNNNNNNN,5,13,0.9,2,eucalyptus_cadens,1.7,5.7,cm,0.5,3.5,cm,50,130,9,20,NA,NA,NA,NA
Eucalyptus caesia,1.7,3,1,1.3,1.5,3,1.8,2.8,3,3,pink,NNNNNYYYYNNN,8,20,1.5,4,eucalyptus_caesia_subsp._caesia,2.5,8,cm,2.5,6,cm,63,160,10,40,8,20,1.5,NA
Eucalyptus caesia,1.7,3,1,1.3,1.5,3,1.8,2.8,3,3,pink,NNNNNYYYYNNN,8,20,1.5,4,eucalyptus_caesia_subsp._magna,6,10,cm,5.5,8,cm,63,160,10,40,8,20,1.5,NA
Eucalyptus calcareana,0.7,1.3,0.5,0.6,0.5,1,0.6,0.9,7,9,white_cream,NNYYNNNNNNNN,7.5,14,1,2.5,eucalyptus_calcareana,6,10,cm,3.5,4.5,cm,65,140,10,25,7.5,NA,NA,NA
Eucalyptus calcicola,0.7,1.5,0.5,0.9,0.8,1.3,0.9,1.5,7,13,white_cream,YYYYYYNNNNNN,4.5,11,1.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,11,1.2,2.2
Eucalyptus caleyi,0.7,1,0.4,0.7,0.6,1.2,0.4,0.9,7,7,white_cream,NNNYNYYYYYYN,4.5,11,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,11,1.5,4.5
Eucalyptus caliginosa,0.5,0.6,0.2,0.4,0.4,0.6,0.6,0.8,7,11,white_cream,NNYNYYYNYYNN,5,18,1.3,3.5,eucalyptus_caliginosa,3.5,10,cm,1.3,4.5,cm,50,180,13,35,NA,NA,NA,NA
Eucalyptus calycogona,0.6,1.5,0.3,0.7,0.7,1.5,0.4,0.9,7,7,pink white_cream,NNNNYYYYYYYN,5,11,0.7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,0.7,2.5
Eucalyptus calyerup,2,3.3,0.5,0.8,0.8,1.4,0.8,1.2,7,7,white_cream,NNNNNNNNNYYY,3.8,7.7,1.5,4,eucalyptus_calyerup,4.5,6,cm,3,4,cm,38,77,15,40,NA,NA,NA,NA
Eucalyptus camaldulensis,0.4,1.8,0.3,0.7,0.2,0.7,0.3,1,7,11,white_cream,YYYYYYYYYYYY,8,30,0.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,30,0.7,4.2
Eucalyptus cambageana,0.4,0.5,0.2,0.4,0.3,0.6,0.5,0.6,7,7,white_cream,NNNNNNYYYNNN,7.5,16.5,1.2,3,eucalyptus_cambageana,7,14.5,cm,3,6.3,cm,75,165,12,40,NA,NA,NA,3
Eucalyptus cameronii,0.4,0.5,0.3,NA,0.4,0.5,0.4,0.6,9,15,white_cream,NNYNNNNNNNNN,5.5,13,0.8,2.6,eucalyptus_cameronii,2.5,7,cm,0.9,4,cm,40,130,8,26,5.5,NA,NA,NA
Eucalyptus camfieldii,0.6,1,0.3,0.4,0.4,0.5,0.7,0.9,9,15,white_cream,NYYNNYNYYYYY,6,11,1.8,4,eucalyptus_camfieldii,NA,NA,NA,NA,NA,NA,60,110,18,40,NA,NA,NA,NA
Eucalyptus campanulata,0.3,0.5,0.3,0.4,0.4,0.6,0.4,0.7,11,15,white_cream,NNNNNNNNNYYY,9,17.5,1.5,4,eucalyptus_andrewsii_subsp._campanulata,7,13,cm,3,5,cm,90,175,15,40,NA,NA,NA,NA
Eucalyptus campaspe,0.9,1.2,0.6,1,0.5,1,0.8,1.5,7,7,white_cream,NNNYNNNYNNNY,7,12,0.8,2.5,eucalyptus_campaspe,5,8,cm,1.5,3.5,cm,70,120,8,25,NA,NA,NA,NA
Eucalyptus camphora,0.4,0.8,0.25,0.5,0.2,0.6,0.4,0.7,7,7,white_cream,YYYYYYNNNNNN,5,15,1.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,1.5,6
Eucalyptus canaliculata,0.8,1.1,0.6,0.7,0.6,1,1,1.5,7,7,white_cream,NYNNNNNNNNNN,8,17,1.5,5,eucalyptus_canaliculata,6,18,cm,2,5,cm,80,170,15,50,NA,NA,NA,NA
Eucalyptus canescens,0.9,1.4,0.8,0.9,0.8,1.2,0.9,1.2,7,9,white_cream,NNNNNNNNNNNN,7.5,12.5,2,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,12.5,2,5.8
Eucalyptus canobolensis,0.6,NA,0.4,NA,0.5,0.6,0.5,0.8,3,3,white_cream,YYNNNNNNNNYY,6.5,19,1.1,3.7,eucalyptus_canobolensis,3,11,cm,3.5,11,cm,65,190,11,37,NA,NA,NA,NA
Eucalyptus capillosa,0.8,1.6,0.2,0.4,0.5,0.8,0.4,0.6,9,13,white_cream,YYNNNYNNNNNY,7,12.5,1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12.5,1,2.2
