species_name,leaf_length_min_GrassBase_2014,leaf_length_min_Metcalfe_2020_2,leaf_length_min_SAH_2014,leaf_length_min_Wheeler_2002,leaf_length_min_to_keep,original_name
Oplismenus compositus,20,20,NA,NA,omit,Oplismenus compositus
Oplismenus hirtellus,NA,10,NA,NA,keep,Oplismenus aemulus
Oplismenus hirtellus,NA,10,NA,NA,keep,Oplismenus hirtellus subsp. imbecillis
Oryza australiensis,100,100,NA,NA,omit,Oryza australiensis
Oryza rufipogon,200,180,NA,NA,keep,Oryza meridionalis
Oryza rufipogon,200,180,NA,NA,keep,Oryza rufipogon
Oryza sativa,NA,120,NA,NA,keep,Oryza sativa
Ottochloa gracillima,10,10,NA,NA,omit,Ottochloa gracillima
Ottochloa nodosa,15,15,NA,NA,omit,Ottochloa nodosa
Oxychloris scariosa,50,50,NA,NA,omit,Oxychloris scariosa
Panicum antidotale,NA,60,NA,NA,keep,Panicum antidotale
Panicum bombycinum,90,90,NA,NA,omit,Panicum bombycinum
Panicum chillagoanum,20,20,NA,NA,omit,Panicum chillagoanum
Panicum coloratum,NA,30,NA,NA,keep,Panicum coloratum
Panicum decompositum,70,70,NA,NA,omit,Panicum decompositum
Panicum decompositum,70,70,NA,NA,omit,Panicum decompositum var. tenuius
Panicum decompositum var. decompositum,70,70,NA,NA,omit,Panicum decompositum var. decompositum
Panicum effusum,50,50,NA,NA,omit,Panicum effusum
Panicum incomtum,300,60,NA,NA,keep,Panicum incomtum
Panicum lachnophyllum,15,15,NA,NA,omit,Panicum lachnophyllum
Panicum laevinode,50,50,NA,NA,omit,Panicum laevinode
Panicum larcomianum,90,90,NA,NA,omit,Panicum larcomianum
Panicum maximum,NA,60,NA,NA,keep,Megathyrsus maximus
Panicum maximum,NA,60,NA,NA,keep,Megathyrsus maximus var. maximus
Panicum maximum,NA,60,NA,NA,keep,Megathyrsus maximus var. maximus cv. Hamil
Panicum maximum,NA,60,NA,NA,keep,Megathyrsus maximus var. coloratus
Panicum maximum,NA,60,NA,NA,keep,Megathyrsus maximus var. pubiglumis
Panicum miliaceum,NA,100,NA,NA,keep,Panicum miliaceum
Panicum mindanaense,30,30,NA,NA,omit,Panicum mindanaense
Panicum mitchellii,100,100,NA,NA,omit,Panicum mitchellii
Panicum paludosum,70,70,NA,NA,omit,Panicum paludosum
Panicum pygmaeum,10,10,NA,NA,omit,Panicum pygmaeum
Panicum queenslandicum var. queenslandicum,100,100,NA,NA,omit,Panicum queenslandicum var. queenslandicum
Panicum robustum,NA,100,NA,NA,keep,Panicum robustum
Panicum seminudum,40,40,NA,NA,omit,Panicum seminudum
Panicum seminudum,40,40,NA,NA,omit,Panicum seminudum var. cairnsianum
Panicum seminudum var. seminudum,40,40,NA,NA,omit,Panicum seminudum var. seminudum
Panicum simile,30,30,NA,NA,omit,Panicum simile
Panicum trachyrhachis,120,120,NA,NA,omit,Panicum trachyrhachis
Panicum trichoides,NA,15,NA,NA,keep,Panicum trichoides
Paraneurachne muelleri,10,10,1,NA,omit,Paraneurachne muelleri
Paspalidium albovillosum,35,35,NA,NA,omit,Paspalidium albovillosum
Paspalidium aversum,80,80,NA,NA,omit,Paspalidium aversum
Paspalidium caespitosum,80,80,NA,NA,omit,Paspalidium caespitosum
Paspalidium clementii,50,50,NA,NA,omit,Paspalidium clementii
Paspalidium constrictum,60,60,NA,NA,omit,Paspalidium constrictum
Paspalidium criniforme,30,30,NA,NA,omit,Paspalidium criniforme
Paspalidium disjunctum,NA,70,NA,NA,keep,Paspalidium disjunctum
Paspalidium distans,80,50,NA,NA,keep,Paspalidium distans
Paspalidium flavidum,40,40,NA,NA,omit,Paspalidium flavidum
Paspalidium gausum,70,70,NA,NA,omit,Paspalidium gausum
Paspalidium globoideum,60,60,NA,NA,omit,Paspalidium globoideum
Paspalidium gracile,70,70,NA,NA,omit,Paspalidium gracile
Paspalidium jubiflorum,70,70,NA,NA,omit,Paspalidium jubiflorum
Paspalidium rarum,30,30,NA,NA,omit,Paspalidium rarum
Paspalidium retiglume,40,40,NA,NA,omit,Paspalidium retiglume
Paspalidium scabrifolium,NA,80,NA,NA,keep,Paspalidium scabrifolium
Paspalidium spartellum,10,10,NA,NA,omit,Paspalidium spartellum
Paspalidium udum,150,150,NA,NA,omit,Paspalidium udum
Paspalum conjugatum,NA,40,NA,NA,keep,Paspalum conjugatum
Paspalum dilatatum,NA,60,NA,NA,keep,Paspalum dilatatum
Paspalum distichum,NA,20,NA,NA,keep,Paspalum distichum
Paspalum longifolium,90,90,NA,NA,omit,Paspalum longifolium
Paspalum mandiocanum,NA,100,NA,NA,keep,Paspalum mandiocanum
Paspalum notatum,NA,20,NA,NA,keep,Paspalum notatum
Paspalum paniculatum,NA,80,NA,NA,keep,Paspalum paniculatum
Paspalum plicatulum,NA,80,NA,NA,keep,Paspalum plicatulum
Paspalum scrobiculatum,50,50,NA,NA,omit,Paspalum scrobiculatum
Paspalum urvillei,NA,200,NA,NA,keep,Paspalum urvillei
Paspalum vaginatum,NA,25,NA,NA,keep,Paspalum vaginatum
Pennisetum alopecuroides,NA,100,NA,NA,keep,Pennisetum alopecuroides
Pennisetum basedowii,NA,100,NA,NA,keep,Pennisetum basedowii
Pennisetum glaucum,NA,150,NA,NA,keep,Pennisetum glaucum
Pennisetum pedicellatum,NA,50,NA,NA,keep,Pennisetum pedicellatum subsp. pedicellatum
Pennisetum pedicellatum subsp. unispiculum,NA,50,NA,NA,keep,Pennisetum pedicellatum subsp. unispiculum
Pennisetum polystachion,NA,100,NA,NA,keep,Pennisetum polystachion
Pennisetum purpureum,NA,300,NA,NA,keep,Pennisetum purpureum
Pennisetum setaceum,NA,150,NA,NA,keep,Pennisetum setaceum
Pennisetum villosum,NA,70,NA,NA,keep,Pennisetum villosum
Perotis clarksonii,17,17,NA,NA,omit,Perotis clarksonii
Perotis indica,NA,10,NA,NA,keep,Perotis indica
Perotis rara,20,20,NA,NA,omit,Perotis rara
Phalaris canariensis,NA,50,NA,NA,keep,Phalaris canariensis
Pheidochloa gracilis,3,3,NA,NA,omit,Pheidochloa gracilis
Phragmites australis,200,200,20,NA,omit,Phragmites australis
Phragmites vallatoria,NA,200,NA,NA,keep,Phragmites vallatoria
Phyllostachys bambusoides,NA,75,NA,NA,keep,Phyllostachys bambusoides
Poa annua,5,5,NA,NA,omit,Poa annua
Poa labillardierei,150,150,NA,NA,omit,Poa labillardieri var. labillardieri
Pogonatherum crinitum,10,10,NA,NA,omit,Pogonatherum crinitum
Polytrias indica,NA,20,NA,NA,keep,Polytrias indica
Pseudoraphis paradoxa,10,10,NA,NA,omit,Pseudoraphis paradoxa
Pseudoraphis spinescens,30,30,NA,NA,omit,Pseudoraphis spinescens
Rottboellia cochinchinensis,NA,150,NA,NA,keep,Rottboellia cochinchinensis
Saccharum officinarum,NA,700,NA,NA,keep,Saccharum officinarum
Saccharum spontaneum,NA,500,NA,NA,keep,Saccharum spontaneum
Sacciolepis indica,20,20,NA,NA,omit,Sacciolepis indica
Sacciolepis myosuroides,30,30,NA,NA,omit,Sacciolepis myosuroides
Sarga angustum,NA,80,NA,NA,keep,Sarga angustum
Sarga leiocladum,NA,100,NA,NA,keep,Sarga leiocladum
Sarga plumosum,NA,150,NA,NA,keep,Sarga plumosum
Sarga timorense,NA,300,NA,NA,keep,Sarga timorense
Schizachyrium crinizonatum,20,20,NA,NA,omit,Schizachyrium crinizonatum
Schizachyrium dolosum,20,20,NA,NA,omit,Schizachyrium dolosum
Schizachyrium fragile,20,20,NA,NA,omit,Schizachyrium fragile
Schizachyrium occultum,15,15,NA,NA,omit,Schizachyrium occultum
Schizachyrium pachyarthron,15,15,NA,NA,omit,Schizachyrium pachyarthron
Schizachyrium perplexum,17,17,NA,NA,omit,Schizachyrium perplexum
Schizachyrium pseudeulalia,8,8,NA,NA,omit,Schizachyrium pseudeulalia
Sehima nervosum,50,50,NA,NA,omit,Sehima nervosum
Setaria apiculata,80,80,NA,NA,omit,Setaria apiculata
Setaria australiensis,100,100,NA,NA,omit,Setaria australiensis
Setaria barbata,NA,50,NA,NA,keep,Setaria barbata
Setaria dielsii,50,50,5,NA,omit,Setaria dielsii
Setaria italica,NA,80,NA,NA,keep,Setaria italica
Setaria oplismenoides,100,100,NA,NA,omit,Setaria oplismenoides
Setaria palmifolia,NA,50,NA,NA,keep,Setaria palmifolia
Setaria pumila,NA,30,NA,NA,keep,Setaria pumila
Setaria pumila,NA,30,NA,NA,keep,Setaria pumila subsp. pumila
Setaria pumila subsp. pallidefusca,NA,30,NA,NA,keep,Setaria pumila subsp. pallidefusca
Setaria queenslandica,70,70,NA,NA,omit,Setaria queenslandica
Setaria sphacelata,NA,100,NA,NA,keep,Setaria sphacelata
Setaria sphacelata,NA,100,NA,NA,keep,Setaria sphacelata var. sericea
Setaria sphacelata,NA,100,NA,NA,keep,Setaria sphacelata var. splendida
Setaria surgens,35,35,NA,NA,omit,Setaria surgens
Setaria verticillata,NA,50,NA,NA,keep,Setaria verticillata
Sorghum arundinaceum,NA,50,NA,NA,keep,Sorghum arundinaceum
Sorghum bicolor,NA,300,NA,NA,keep,Sorghum bicolor
Sorghum halepense,NA,200,NA,NA,keep,Sorghum halepense
Sorghum nitidum,300,300,NA,NA,omit,Sorghum nitidum
Sorghum nitidum,300,300,NA,NA,omit,Sorghum nitidum forma nitidum
Sorghum nitidum,300,300,NA,NA,omit,Sorghum nitidum forma aristatum
Sorghum propinquum,300,300,NA,NA,omit,Sorghum propinquum
Sorghum x almum,NA,300,NA,NA,keep,Sorghum x almum
Sorghum x drummondii,NA,150,NA,NA,keep,Sorghum x drummondii
Spinifex hirsutus,200,200,NA,100,omit,Spinifex hirsutus
Spinifex longifolius,150,150,NA,150,omit,Spinifex longifolius
Spinifex sericeus,NA,200,NA,NA,keep,Spinifex sericeus
Sporobolus actinocladus,15,15,3,NA,omit,Sporobolus actinocladus
Sporobolus africanus,NA,60,NA,NA,keep,Sporobolus africanus
Sporobolus australasicus,30,30,NA,NA,omit,Sporobolus australasicus
Sporobolus carolii,30,30,3,NA,omit,Sporobolus caroli
Sporobolus contiguus,30,30,NA,NA,omit,Sporobolus contiguus
Sporobolus coromandelianus,NA,20,NA,NA,keep,Sporobolus coromandelianus
Sporobolus creber,70,70,NA,NA,omit,Sporobolus creber
Sporobolus disjunctus,100,100,NA,NA,omit,Sporobolus disjunctus
Sporobolus elongatus,40,40,NA,NA,omit,Sporobolus elongatus
Sporobolus fertilis,NA,140,NA,NA,keep,Sporobolus fertilis
Sporobolus laxus,10,10,NA,NA,omit,Sporobolus laxus
Sporobolus lenticularis,50,50,NA,NA,omit,Sporobolus lenticularis
Sporobolus mitchellii,10,10,NA,NA,omit,Sporobolus mitchellii
Sporobolus natalensis,NA,250,NA,NA,keep,Sporobolus natalensis
Sporobolus pulchellus,10,10,NA,NA,omit,Sporobolus pulchellus
Sporobolus pyramidalis,NA,200,NA,NA,keep,Sporobolus pyramidalis
Sporobolus scabridus,60,60,NA,NA,omit,Sporobolus scabridus
Sporobolus sessilis,70,70,NA,NA,omit,Sporobolus sessilis
Sporobolus virginicus,20,20,NA,10,omit,Sporobolus virginicus
Stenotaphrum micranthum,30,30,NA,NA,omit,Stenotaphrum micranthum
Stenotaphrum secundatum,NA,20,NA,NA,keep,Stenotaphrum secundatum
Stipa ramosissima,350,350,NA,NA,omit,Austrostipa ramosissima
Stipa rudis,NA,200,NA,NA,keep,Austrostipa rudis subsp. rudis
Thaumastochloa brassii,10,10,NA,NA,omit,Thaumastochloa brassii
Thaumastochloa major,20,20,NA,NA,omit,Thaumastochloa major
Thaumastochloa monilifera,40,40,NA,NA,omit,Thaumastochloa monilifera
Thaumastochloa pubescens,20,20,NA,NA,omit,Thaumastochloa pubescens
Thaumastochloa rariflora,20,20,NA,NA,omit,Thaumastochloa rariflora
Thaumastochloa x heteromorpha,NA,15,NA,NA,keep,Thaumastochloa x heteromorpha
Themeda arguens,50,50,NA,NA,omit,Themeda arguens
Themeda avenacea,150,150,NA,NA,omit,Themeda avenacea
Themeda intermedia,400,400,NA,NA,omit,Themeda intermedia
Themeda quadrivalvis,NA,70,NA,NA,keep,Themeda quadrivalvis
Themeda triandra,100,100,NA,NA,omit,Themeda triandra
Thuarea involuta,15,15,NA,NA,omit,Thuarea involuta
Thyridolepis mitchelliana,10,10,2.5,NA,omit,Thyridolepis mitchelliana
Thyridolepis xerophila,15,15,1.3,NA,omit,Thyridolepis xerophila
Tragus australianus,20,20,NA,NA,omit,Tragus australianus
Triodia bitextura,100,100,NA,NA,omit,Triodia bitextura
Triodia claytonii,100,100,NA,NA,omit,Triodia claytonii
Triodia longiceps,100,100,NA,NA,omit,Triodia longiceps
Triodia mitchellii,300,300,NA,NA,omit,Triodia mitchellii
Triodia triaristata,200,200,NA,NA,omit,Triodia triaristata
Tripogon loliiformis,10,10,NA,NA,omit,Tripogon loliiformis
Triraphis mollis,50,50,NA,NA,omit,Triraphis mollis
Uranthoecium truncatum,40,40,3.5,NA,omit,Uranthoecium truncatum
Urochloa mosambicensis,NA,20,NA,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,20,NA,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,20,NA,NA,keep,Urochloa panicoides var. pubescens
Whiteochloa airoides,100,100,NA,NA,omit,Whiteochloa airoides
Whiteochloa semitonsa,60,60,NA,NA,omit,Whiteochloa semitonsa
Xerochloa imberbis,60,60,NA,NA,omit,Xerochloa imberbis
Yakirra australiensis,30,30,NA,NA,omit,Yakirra australiensis var. australiensis
Yakirra majuscula,NA,50,NA,NA,keep,Yakirra majuscula
Yakirra muelleri,20,20,NA,NA,omit,Yakirra muelleri
Yakirra pauciflora,40,40,NA,NA,omit,Yakirra pauciflora
Zea mexicana,NA,600,NA,NA,keep,Zea mexicana
Zoysia matrella,NA,20,NA,NA,keep,Zoysia matrella
