species_name,leaf_width_max_GrassBase_2014,leaf_width_max_Metcalfe_2020_2,leaf_width_max_SAH_2014,leaf_width_max_Wheeler_2002,leaf_width_max_to_keep,original_name
Iseilema vaginiflorum,6,6,NA,NA,omit,Iseilema vaginiflorum
Iseilema windersii,6,6,NA,NA,omit,Iseilema windersii
Leersia hexandra,16,16,NA,NA,omit,Leersia hexandra
Leptaspis banksii,40,40,NA,NA,omit,Leptaspis banksii
Leptaspis tararaensis,8,8,NA,NA,omit,Scrotochloa tararaensis
Leptaspis urceolata,60,60,NA,NA,omit,Scrotochloa urceolata
Leptochloa asthenes,NA,5,NA,NA,keep,Leptochloa decipiens subsp. asthenes
Leptochloa decipiens,3,5,NA,NA,keep,Leptochloa decipiens
Leptochloa decipiens,3,5,NA,NA,keep,Leptochloa decipiens subsp. decipiens
Leptochloa digitata,7,7,NA,NA,omit,Leptochloa digitata
Leptochloa divaricatissima,4,4,NA,NA,omit,Leptochloa divaricatissima
Leptochloa fusca,5,5,NA,NA,omit,Leptochloa fusca
Leptochloa fusca,5,5,NA,NA,omit,Leptochloa fusca subsp. fusca
Leptochloa fusca subsp. uninervia,NA,5,NA,NA,keep,Leptochloa fusca subsp. uninervia
Leptochloa ligulata,7,7,NA,NA,omit,Leptochloa ligulata
Leptochloa neesii,4,6,NA,NA,keep,Leptochloa neesii
Leptochloa panicea subsp. brachiata,7,14,NA,NA,keep,Leptochloa panicea subsp. brachiata
Lepturus copeanus,5,5,NA,NA,omit,Lepturus copeanus
Lepturus minutus,1.5,2.5,NA,NA,keep,Lepturus minutus
Lepturus repens,10,10,NA,NA,omit,Lepturus repens
Lepturus xerophilus,5.5,5.5,NA,NA,omit,Lepturus xerophilus
Lolium perenne,NA,6,8,NA,keep,Lolium perenne
Lophatherum gracile,50,50,NA,NA,omit,Lophatherum gracile
Melinis minutiflora,NA,11,NA,NA,keep,Melinis minutiflora
Melinis repens,NA,10,10,NA,omit,Melinis repens
Micraira subulifolia,1,1,NA,NA,omit,Micraira subulifolia
Microstegium nudum,NA,13,NA,NA,keep,Microstegium nudum
Mnesithea formosa,4,4,NA,NA,omit,Mnesithea formosa
Mnesithea pilosa,3,3,NA,NA,omit,Mnesithea pilosa
Neololeba atra,90,90,NA,NA,omit,Bambusa forbesii
Ophiuros exaltatus,40,40,NA,NA,omit,Ophiuros exaltatus
Oplismenus burmanni,NA,20,NA,NA,keep,Oplismenus burmannii
Oplismenus compositus,27,27,NA,NA,omit,Oplismenus compositus
Oplismenus hirtellus,NA,20,NA,NA,keep,Oplismenus aemulus
Oplismenus hirtellus,NA,20,NA,NA,keep,Oplismenus hirtellus subsp. imbecillis
Oryza australiensis,14,14,NA,NA,omit,Oryza australiensis
Oryza rufipogon,25,25,NA,NA,omit,Oryza meridionalis
Oryza rufipogon,25,25,NA,NA,omit,Oryza rufipogon
Oryza sativa,NA,22,NA,NA,keep,Oryza sativa
Ottochloa gracillima,7,7,NA,NA,omit,Ottochloa gracillima
Ottochloa nodosa,20,20,NA,NA,omit,Ottochloa nodosa
Oxychloris scariosa,3.5,3.5,NA,NA,omit,Oxychloris scariosa
Panicum antidotale,NA,15,NA,NA,keep,Panicum antidotale
Panicum bombycinum,4,4,NA,NA,omit,Panicum bombycinum
Panicum chillagoanum,5,5,NA,NA,omit,Panicum chillagoanum
Panicum coloratum,NA,10,NA,NA,keep,Panicum coloratum
Panicum decompositum,12,12,NA,NA,omit,Panicum decompositum
Panicum decompositum,12,12,NA,NA,omit,Panicum decompositum var. tenuius
Panicum decompositum var. decompositum,12,12,NA,NA,omit,Panicum decompositum var. decompositum
Panicum effusum,6,6,5,NA,omit,Panicum effusum
Panicum incomtum,20,25,NA,NA,keep,Panicum incomtum
Panicum lachnophyllum,9,9,NA,NA,omit,Panicum lachnophyllum
Panicum laevinode,8,8,6,NA,omit,Panicum laevinode
Panicum larcomianum,4,4,NA,NA,omit,Panicum larcomianum
Panicum maximum,NA,35,NA,NA,keep,Megathyrsus maximus
Panicum maximum,NA,35,NA,NA,keep,Megathyrsus maximus var. maximus
Panicum maximum,NA,35,NA,NA,keep,Megathyrsus maximus var. maximus cv. Hamil
Panicum maximum,NA,35,NA,NA,keep,Megathyrsus maximus var. coloratus
Panicum maximum,NA,35,NA,NA,keep,Megathyrsus maximus var. pubiglumis
Panicum miliaceum,NA,20,20,NA,omit,Panicum miliaceum
Panicum mindanaense,4.5,4.5,NA,NA,omit,Panicum mindanaense
Panicum mitchellii,14,14,NA,NA,omit,Panicum mitchellii
Panicum paludosum,15,15,NA,NA,omit,Panicum paludosum
Panicum pygmaeum,6,6,NA,NA,omit,Panicum pygmaeum
Panicum queenslandicum var. queenslandicum,4,4,NA,NA,omit,Panicum queenslandicum var. queenslandicum
Panicum robustum,NA,10,NA,NA,keep,Panicum robustum
Panicum seminudum,9,9,NA,NA,omit,Panicum seminudum
Panicum seminudum,9,9,NA,NA,omit,Panicum seminudum var. cairnsianum
Panicum seminudum var. seminudum,9,9,NA,NA,omit,Panicum seminudum var. seminudum
Panicum simile,3.5,3.5,NA,NA,omit,Panicum simile
Panicum trachyrhachis,7,7,NA,NA,omit,Panicum trachyrhachis
Panicum trichoides,NA,20,NA,NA,keep,Panicum trichoides
Paraneurachne muelleri,4,4,NA,NA,omit,Paraneurachne muelleri
Paspalidium albovillosum,4.5,4.5,NA,NA,omit,Paspalidium albovillosum
Paspalidium aversum,9,9,NA,NA,omit,Paspalidium aversum
Paspalidium caespitosum,4,4,NA,NA,omit,Paspalidium caespitosum
Paspalidium clementii,4.5,4.5,NA,NA,omit,Paspalidium clementii
Paspalidium constrictum,4,4,NA,NA,omit,Paspalidium constrictum
Paspalidium criniforme,3,3,NA,NA,omit,Paspalidium criniforme
Paspalidium disjunctum,NA,5,NA,NA,keep,Paspalidium disjunctum
Paspalidium distans,6.5,6.5,NA,NA,omit,Paspalidium distans
Paspalidium flavidum,8,8,NA,NA,omit,Paspalidium flavidum
Paspalidium gausum,9,9,NA,NA,omit,Paspalidium gausum
Paspalidium globoideum,6,6,NA,NA,omit,Paspalidium globoideum
Paspalidium gracile,4,4,3.5,NA,omit,Paspalidium gracile
Paspalidium jubiflorum,10,10,5,NA,omit,Paspalidium jubiflorum
Paspalidium rarum,3.5,3.5,NA,NA,omit,Paspalidium rarum
Paspalidium retiglume,5,5,NA,NA,omit,Paspalidium retiglume
Paspalidium scabrifolium,NA,8,NA,NA,keep,Paspalidium scabrifolium
Paspalidium spartellum,4,4,NA,NA,omit,Paspalidium spartellum
Paspalidium udum,11,11,NA,NA,omit,Paspalidium udum
Paspalum conjugatum,NA,15,NA,NA,keep,Paspalum conjugatum
Paspalum dilatatum,NA,12,NA,NA,keep,Paspalum dilatatum
Paspalum distichum,NA,7,5,NA,keep,Paspalum distichum
Paspalum longifolium,9,9,NA,NA,omit,Paspalum longifolium
Paspalum mandiocanum,NA,17,NA,NA,keep,Paspalum mandiocanum
Paspalum notatum,NA,10,NA,NA,keep,Paspalum notatum
Paspalum paniculatum,NA,30,NA,NA,keep,Paspalum paniculatum
Paspalum plicatulum,NA,7,NA,NA,keep,Paspalum plicatulum
Paspalum scrobiculatum,15,15,NA,NA,omit,Paspalum scrobiculatum
Paspalum urvillei,NA,25,NA,NA,keep,Paspalum urvillei
Paspalum vaginatum,NA,8,3,NA,keep,Paspalum vaginatum
Paspalum virgatum,NA,25,NA,NA,keep,Paspalum virgatum
Pennisetum alopecuroides,NA,6,NA,NA,keep,Pennisetum alopecuroides
Pennisetum basedowii,NA,7,NA,NA,keep,Pennisetum basedowii
Pennisetum glaucum,NA,70,NA,NA,keep,Pennisetum glaucum
Pennisetum pedicellatum,NA,15,NA,NA,keep,Pennisetum pedicellatum subsp. pedicellatum
Pennisetum pedicellatum subsp. unispiculum,NA,15,NA,NA,keep,Pennisetum pedicellatum subsp. unispiculum
Pennisetum polystachion,NA,16,NA,NA,keep,Pennisetum polystachion
Pennisetum purpureum,NA,40,NA,NA,keep,Pennisetum purpureum
Pennisetum setaceum,NA,3,NA,NA,keep,Pennisetum setaceum
Pennisetum villosum,NA,6,NA,NA,keep,Pennisetum villosum
Perotis clarksonii,3.5,3.5,NA,NA,omit,Perotis clarksonii
Perotis indica,NA,10,NA,NA,keep,Perotis indica
Perotis rara,4,4,NA,NA,omit,Perotis rara
Phalaris canariensis,NA,16,NA,NA,keep,Phalaris canariensis
Pheidochloa gracilis,0.4,0.4,NA,NA,omit,Pheidochloa gracilis
Phragmites australis,32,32,45,NA,omit,Phragmites australis
Phragmites vallatoria,NA,40,NA,NA,keep,Phragmites vallatoria
Phyllostachys bambusoides,NA,20,NA,NA,keep,Phyllostachys bambusoides
Poa annua,5,5,NA,NA,omit,Poa annua
Poa labillardierei,5,5,NA,NA,omit,Poa labillardieri var. labillardieri
Pogonatherum crinitum,3,3,NA,NA,omit,Pogonatherum crinitum
Polytrias indica,NA,5,NA,NA,keep,Polytrias indica
Pseudoraphis paradoxa,6,6,NA,NA,omit,Pseudoraphis paradoxa
Pseudoraphis spinescens,4,7,NA,NA,keep,Pseudoraphis spinescens
Rottboellia cochinchinensis,NA,30,NA,NA,keep,Rottboellia cochinchinensis
Saccharum officinarum,NA,60,NA,NA,keep,Saccharum officinarum
Saccharum spontaneum,NA,40,NA,NA,keep,Saccharum spontaneum
Sacciolepis indica,7,7,NA,NA,omit,Sacciolepis indica
Sacciolepis myosuroides,4.5,4.5,NA,NA,omit,Sacciolepis myosuroides
Sarga angustum,NA,5.6,NA,NA,keep,Sarga angustum
Sarga leiocladum,NA,3.5,NA,NA,keep,Sarga leiocladum
Sarga plumosum,NA,16,NA,NA,keep,Sarga plumosum
Sarga timorense,NA,70,NA,NA,keep,Sarga timorense
Schizachyrium crinizonatum,1.5,1.5,NA,NA,omit,Schizachyrium crinizonatum
Schizachyrium dolosum,1.5,1.5,NA,NA,omit,Schizachyrium dolosum
Schizachyrium fragile,3,3,NA,NA,omit,Schizachyrium fragile
Schizachyrium occultum,2,2,NA,NA,omit,Schizachyrium occultum
Schizachyrium pachyarthron,3,3,NA,NA,omit,Schizachyrium pachyarthron
Schizachyrium perplexum,1.5,1.5,NA,NA,omit,Schizachyrium perplexum
Schizachyrium pseudeulalia,5.5,5.5,NA,NA,omit,Schizachyrium pseudeulalia
Sehima nervosum,7,7,NA,NA,omit,Sehima nervosum
Setaria apiculata,6,6,NA,NA,omit,Setaria apiculata
Setaria australiensis,23,23,NA,NA,omit,Setaria australiensis
Setaria barbata,NA,30,NA,NA,keep,Setaria barbata
Setaria dielsii,11,11,8,NA,omit,Setaria dielsii
Setaria italica,NA,20,20,NA,omit,Setaria italica
Setaria oplismenoides,10.5,10.5,NA,NA,omit,Setaria oplismenoides
Setaria palmifolia,NA,80,NA,NA,keep,Setaria palmifolia
Setaria pumila,NA,10,7,NA,keep,Setaria pumila
Setaria pumila,NA,10,7,NA,keep,Setaria pumila subsp. pumila
Setaria pumila subsp. pallidefusca,NA,10,NA,NA,keep,Setaria pumila subsp. pallidefusca
Setaria queenslandica,4,4,NA,NA,omit,Setaria queenslandica
Setaria sphacelata,NA,17,NA,NA,keep,Setaria sphacelata
Setaria sphacelata,NA,17,NA,NA,keep,Setaria sphacelata var. sericea
Setaria sphacelata,NA,17,NA,NA,keep,Setaria sphacelata var. splendida
Setaria surgens,5,5,NA,NA,omit,Setaria surgens
Setaria verticillata,NA,16,10,NA,keep,Setaria verticillata
Sorghum arundinaceum,NA,70,NA,NA,keep,Sorghum arundinaceum
Sorghum bicolor,NA,70,NA,NA,keep,Sorghum bicolor
Sorghum halepense,NA,40,NA,NA,keep,Sorghum halepense
Sorghum nitidum,15,15,NA,NA,omit,Sorghum nitidum
Sorghum nitidum,15,15,NA,NA,omit,Sorghum nitidum forma nitidum
Sorghum nitidum,15,15,NA,NA,omit,Sorghum nitidum forma aristatum
Sorghum propinquum,50,50,NA,NA,omit,Sorghum propinquum
Sorghum x almum,NA,40,NA,NA,keep,Sorghum x almum
Sorghum x drummondii,NA,12,NA,NA,keep,Sorghum x drummondii
Spinifex hirsutus,17,17,NA,17,omit,Spinifex hirsutus
Spinifex longifolius,4,4,NA,3,omit,Spinifex longifolius
Spinifex sericeus,NA,17,NA,NA,keep,Spinifex sericeus
Sporobolus actinocladus,6,6,NA,NA,omit,Sporobolus actinocladus
Sporobolus africanus,NA,4,NA,NA,keep,Sporobolus africanus
Sporobolus australasicus,8,8,NA,NA,omit,Sporobolus australasicus
Sporobolus carolii,5,5,NA,NA,omit,Sporobolus caroli
Sporobolus contiguus,4,4,NA,NA,omit,Sporobolus contiguus
Sporobolus coromandelianus,NA,5,NA,NA,keep,Sporobolus coromandelianus
Sporobolus creber,3,3,NA,NA,omit,Sporobolus creber
Sporobolus disjunctus,8,8,NA,NA,omit,Sporobolus disjunctus
Sporobolus elongatus,3,3,NA,NA,omit,Sporobolus elongatus
Sporobolus fertilis,NA,5,NA,NA,keep,Sporobolus fertilis
Sporobolus laxus,3,3,NA,NA,omit,Sporobolus laxus
Sporobolus lenticularis,4,4,NA,NA,omit,Sporobolus lenticularis
Sporobolus mitchellii,3,3,NA,NA,omit,Sporobolus mitchellii
Sporobolus natalensis,NA,4,NA,NA,keep,Sporobolus natalensis
Sporobolus pulchellus,2.5,2.5,NA,NA,omit,Sporobolus pulchellus
Sporobolus pyramidalis,NA,10,NA,NA,keep,Sporobolus jacquemontii
Sporobolus pyramidalis,NA,10,NA,NA,keep,Sporobolus pyramidalis
Sporobolus scabridus,6,6,NA,NA,omit,Sporobolus scabridus
Sporobolus sessilis,4,4,NA,NA,omit,Sporobolus sessilis
Sporobolus virginicus,4,4,NA,2,omit,Sporobolus virginicus
Stenotaphrum micranthum,15,15,NA,NA,omit,Stenotaphrum micranthum
Stenotaphrum secundatum,NA,15,NA,NA,keep,Stenotaphrum secundatum
Stipa ramosissima,10,10,NA,NA,omit,Austrostipa ramosissima
Stipa rudis,NA,5,NA,NA,keep,Austrostipa rudis subsp. rudis
Thaumastochloa brassii,3,3,NA,NA,omit,Thaumastochloa brassii
Thaumastochloa major,5.5,5.5,NA,NA,omit,Thaumastochloa major
Thaumastochloa monilifera,5,5,NA,NA,omit,Thaumastochloa monilifera
Thaumastochloa pubescens,4,4,NA,NA,omit,Thaumastochloa pubescens
Thaumastochloa rariflora,4,4,NA,NA,omit,Thaumastochloa rariflora
Thaumastochloa x heteromorpha,NA,2,NA,NA,keep,Thaumastochloa x heteromorpha
Themeda arguens,7,7,NA,NA,omit,Themeda arguens
Themeda avenacea,1.5,1.5,NA,NA,omit,Themeda avenacea
Themeda intermedia,15,15,NA,NA,omit,Themeda intermedia
Themeda quadrivalvis,NA,6,NA,NA,keep,Themeda quadrivalvis
Themeda triandra,8,8,NA,8,omit,Themeda triandra
Thuarea involuta,10,10,NA,NA,omit,Thuarea involuta
Thyridolepis mitchelliana,5,5,4.5,NA,omit,Thyridolepis mitchelliana
Thyridolepis xerophila,4,4,4,NA,omit,Thyridolepis xerophila
Tragus australianus,6,6,NA,NA,omit,Tragus australianus
Triodia bitextura,0.7,0.7,NA,NA,omit,Triodia bitextura
Triodia claytonii,2,2,NA,NA,omit,Triodia claytonii
Triodia longiceps,1.3,1.3,NA,NA,omit,Triodia longiceps
Triodia microstachya,1.3,4.5,NA,NA,keep,Triodia microstachya
Triodia mitchellii,3.5,3.5,NA,NA,omit,Triodia mitchellii
Triodia pungens,1.2,1.2,NA,NA,omit,Triodia pungens
Triodia stenostachya,1.3,1.3,NA,NA,omit,Triodia stenostachya
Triodia triaristata,1.2,1.2,NA,NA,omit,Triodia triaristata
Tripogon loliiformis,1.3,1.3,NA,NA,omit,Tripogon loliiformis
Triraphis mollis,4,4,NA,NA,omit,Triraphis mollis
Uranthoecium truncatum,5,5,NA,NA,omit,Uranthoecium truncatum
Urochloa mosambicensis,NA,20,NA,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,18,NA,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,18,NA,NA,keep,Urochloa panicoides var. pubescens
Vacoparis laxiflorum,NA,16,NA,NA,keep,Vacoparis laxiflorum
Whiteochloa airoides,5.5,5.5,NA,NA,omit,Whiteochloa airoides
Whiteochloa semitonsa,4,5,NA,NA,keep,Whiteochloa semitonsa
Xerochloa imberbis,4,4,NA,NA,omit,Xerochloa imberbis
Yakirra australiensis,4,4,NA,NA,omit,Yakirra australiensis var. australiensis
Yakirra majuscula,NA,7,NA,NA,keep,Yakirra majuscula
Yakirra muelleri,5,5,NA,NA,omit,Yakirra muelleri
Yakirra pauciflora,5,5,NA,NA,omit,Yakirra pauciflora
Zea mexicana,NA,80,NA,NA,keep,Zea mexicana
Zoysia matrella,NA,3,NA,NA,keep,Zoysia matrella
