species_name,leaf_length_max_GrassBase_2014,leaf_length_max_Metcalfe_2020_2,leaf_length_max_SAH_2014,leaf_length_max_Wheeler_2002,leaf_length_max_to_keep,original_name
Mnesithea formosa,120,120,NA,NA,omit,Mnesithea formosa
Mnesithea pilosa,60,60,NA,NA,omit,Mnesithea pilosa
Neololeba atra,500,500,NA,NA,omit,Bambusa forbesii
Ophiuros exaltatus,1000,1000,NA,NA,omit,Ophiuros exaltatus
Oplismenus burmanni,NA,100,NA,NA,keep,Oplismenus burmannii
Oplismenus compositus,240,240,NA,NA,omit,Oplismenus compositus
Oplismenus hirtellus,NA,130,NA,NA,keep,Oplismenus aemulus
Oplismenus hirtellus,NA,130,NA,NA,keep,Oplismenus hirtellus subsp. imbecillis
Oryza australiensis,350,350,NA,NA,omit,Oryza australiensis
Oryza rufipogon,400,600,NA,NA,keep,Oryza meridionalis
Oryza rufipogon,400,600,NA,NA,keep,Oryza rufipogon
Oryza sativa,NA,650,NA,NA,keep,Oryza sativa
Ottochloa gracillima,100,100,NA,NA,omit,Ottochloa gracillima
Ottochloa nodosa,200,200,NA,NA,omit,Ottochloa nodosa
Oxychloris scariosa,160,160,NA,NA,omit,Oxychloris scariosa
Panicum antidotale,NA,300,NA,NA,keep,Panicum antidotale
Panicum bombycinum,210,210,NA,NA,omit,Panicum bombycinum
Panicum chillagoanum,120,120,NA,NA,omit,Panicum chillagoanum
Panicum coloratum,NA,300,NA,NA,keep,Panicum coloratum
Panicum decompositum,500,500,NA,NA,omit,Panicum decompositum
Panicum decompositum,500,500,NA,NA,omit,Panicum decompositum var. tenuius
Panicum decompositum var. decompositum,500,500,NA,NA,omit,Panicum decompositum var. decompositum
Panicum effusum,250,250,NA,NA,omit,Panicum effusum
Panicum incomtum,400,300,NA,NA,keep,Panicum incomtum
Panicum lachnophyllum,100,100,NA,NA,omit,Panicum lachnophyllum
Panicum laevinode,200,200,NA,NA,omit,Panicum laevinode
Panicum larcomianum,350,350,NA,NA,omit,Panicum larcomianum
Panicum maximum,NA,1000,NA,NA,keep,Megathyrsus maximus
Panicum maximum,NA,1000,NA,NA,keep,Megathyrsus maximus var. maximus
Panicum maximum,NA,1000,NA,NA,keep,Megathyrsus maximus var. maximus cv. Hamil
Panicum maximum,NA,1000,NA,NA,keep,Megathyrsus maximus var. coloratus
Panicum maximum,NA,1000,NA,NA,keep,Megathyrsus maximus var. pubiglumis
Panicum miliaceum,NA,300,NA,NA,keep,Panicum miliaceum
Panicum mindanaense,180,180,NA,NA,omit,Panicum mindanaense
Panicum mitchellii,500,500,NA,NA,omit,Panicum mitchellii
Panicum paludosum,300,300,NA,NA,omit,Panicum paludosum
Panicum pygmaeum,45,45,NA,NA,omit,Panicum pygmaeum
Panicum queenslandicum var. queenslandicum,350,350,NA,NA,omit,Panicum queenslandicum var. queenslandicum
Panicum robustum,NA,350,NA,NA,keep,Panicum robustum
Panicum seminudum,300,300,NA,NA,omit,Panicum seminudum
Panicum seminudum,300,300,NA,NA,omit,Panicum seminudum var. cairnsianum
Panicum seminudum var. seminudum,300,300,NA,NA,omit,Panicum seminudum var. seminudum
Panicum simile,150,150,NA,NA,omit,Panicum simile
Panicum trachyrhachis,450,450,NA,NA,omit,Panicum trachyrhachis
Panicum trichoides,NA,80,NA,NA,keep,Panicum trichoides
Paraneurachne muelleri,120,120,120,NA,omit,Paraneurachne muelleri
Paspalidium albovillosum,150,150,NA,NA,omit,Paspalidium albovillosum
Paspalidium aversum,250,250,NA,NA,omit,Paspalidium aversum
Paspalidium caespitosum,250,250,NA,NA,omit,Paspalidium caespitosum
Paspalidium clementii,120,120,150,NA,omit,Paspalidium clementii
Paspalidium constrictum,150,150,150,NA,omit,Paspalidium constrictum
Paspalidium criniforme,120,120,NA,NA,omit,Paspalidium criniforme
Paspalidium disjunctum,NA,150,NA,NA,keep,Paspalidium disjunctum
Paspalidium distans,120,180,NA,NA,keep,Paspalidium distans
Paspalidium flavidum,200,200,NA,NA,omit,Paspalidium flavidum
Paspalidium gausum,240,240,NA,NA,omit,Paspalidium gausum
Paspalidium globoideum,250,250,NA,NA,omit,Paspalidium globoideum
Paspalidium gracile,140,140,NA,NA,omit,Paspalidium gracile
Paspalidium jubiflorum,250,250,NA,NA,omit,Paspalidium jubiflorum
Paspalidium rarum,190,190,NA,NA,omit,Paspalidium rarum
Paspalidium retiglume,100,100,NA,NA,omit,Paspalidium retiglume
Paspalidium scabrifolium,NA,300,NA,NA,keep,Paspalidium scabrifolium
Paspalidium spartellum,60,60,NA,NA,omit,Paspalidium spartellum
Paspalidium udum,200,200,NA,NA,omit,Paspalidium udum
Paspalum conjugatum,NA,200,NA,NA,keep,Paspalum conjugatum
Paspalum dilatatum,NA,450,NA,NA,keep,Paspalum dilatatum
Paspalum distichum,NA,220,NA,NA,keep,Paspalum distichum
Paspalum longifolium,350,350,NA,NA,omit,Paspalum longifolium
Paspalum mandiocanum,NA,300,NA,NA,keep,Paspalum mandiocanum
Paspalum notatum,NA,300,NA,NA,keep,Paspalum notatum
Paspalum paniculatum,NA,500,NA,NA,keep,Paspalum paniculatum
Paspalum plicatulum,NA,300,NA,NA,keep,Paspalum plicatulum
Paspalum scrobiculatum,400,400,NA,NA,omit,Paspalum scrobiculatum
Paspalum urvillei,NA,600,NA,NA,keep,Paspalum urvillei
Paspalum vaginatum,NA,220,NA,NA,keep,Paspalum vaginatum
Pennisetum alopecuroides,NA,450,NA,NA,keep,Pennisetum alopecuroides
Pennisetum basedowii,NA,200,NA,NA,keep,Pennisetum basedowii
Pennisetum glaucum,NA,1000,NA,NA,keep,Pennisetum glaucum
Pennisetum pedicellatum,NA,250,NA,NA,keep,Pennisetum pedicellatum subsp. pedicellatum
Pennisetum pedicellatum subsp. unispiculum,NA,250,NA,NA,keep,Pennisetum pedicellatum subsp. unispiculum
Pennisetum polystachion,NA,400,NA,NA,keep,Pennisetum polystachion
Pennisetum purpureum,NA,1200,NA,NA,keep,Pennisetum purpureum
Pennisetum setaceum,NA,300,NA,NA,keep,Pennisetum setaceum
Pennisetum villosum,NA,150,NA,NA,keep,Pennisetum villosum
Perotis clarksonii,35,35,NA,NA,omit,Perotis clarksonii
Perotis indica,NA,50,NA,NA,keep,Perotis indica
Perotis rara,50,50,NA,NA,omit,Perotis rara
Phalaris canariensis,NA,315,NA,NA,keep,Phalaris canariensis
Pheidochloa gracilis,40,40,NA,NA,omit,Pheidochloa gracilis
Phragmites australis,600,600,550,NA,omit,Phragmites australis
Phragmites vallatoria,NA,800,NA,NA,keep,Phragmites vallatoria
Phyllostachys bambusoides,NA,100,NA,NA,keep,Phyllostachys bambusoides
Poa annua,140,140,120,NA,omit,Poa annua
Poa labillardierei,610,800,800,NA,omit,Poa labillardieri var. labillardieri
Pogonatherum crinitum,70,70,NA,NA,omit,Pogonatherum crinitum
Polytrias indica,NA,70,NA,NA,keep,Polytrias indica
Pseudoraphis paradoxa,80,80,NA,NA,omit,Pseudoraphis paradoxa
Pseudoraphis spinescens,120,120,NA,NA,omit,Pseudoraphis spinescens
Rottboellia cochinchinensis,NA,500,NA,NA,keep,Rottboellia cochinchinensis
Saccharum officinarum,NA,1500,NA,NA,keep,Saccharum officinarum
Saccharum spontaneum,NA,2000,NA,NA,keep,Saccharum spontaneum
Sacciolepis indica,250,250,NA,NA,omit,Sacciolepis indica
Sacciolepis myosuroides,300,300,NA,NA,omit,Sacciolepis myosuroides
Sarga angustum,NA,460,NA,NA,keep,Sarga angustum
Sarga leiocladum,NA,700,NA,NA,keep,Sarga leiocladum
Sarga plumosum,NA,400,NA,NA,keep,Sarga plumosum
Sarga timorense,NA,600,NA,NA,keep,Sarga timorense
Schizachyrium crinizonatum,55,55,NA,NA,omit,Schizachyrium crinizonatum
Schizachyrium dolosum,60,60,NA,NA,omit,Schizachyrium dolosum
Schizachyrium fragile,100,100,NA,NA,omit,Schizachyrium fragile
Schizachyrium occultum,35,35,NA,NA,omit,Schizachyrium occultum
Schizachyrium pachyarthron,100,100,NA,NA,omit,Schizachyrium pachyarthron
Schizachyrium perplexum,27,27,NA,NA,omit,Schizachyrium perplexum
Schizachyrium pseudeulalia,90,90,NA,NA,omit,Schizachyrium pseudeulalia
Sehima nervosum,400,400,NA,NA,omit,Sehima nervosum
Setaria apiculata,240,240,NA,NA,omit,Setaria apiculata
Setaria australiensis,350,350,NA,NA,omit,Setaria australiensis
Setaria barbata,NA,300,NA,NA,keep,Setaria barbata
Setaria dielsii,280,280,150,NA,omit,Setaria dielsii
Setaria italica,NA,450,NA,NA,keep,Setaria italica
Setaria oplismenoides,320,320,NA,NA,omit,Setaria oplismenoides
Setaria palmifolia,NA,800,NA,NA,keep,Setaria palmifolia
Setaria pumila,NA,300,NA,NA,keep,Setaria pumila
Setaria pumila,NA,300,NA,NA,keep,Setaria pumila subsp. pumila
Setaria pumila subsp. pallidefusca,NA,300,NA,NA,keep,Setaria pumila subsp. pallidefusca
Setaria queenslandica,150,150,NA,NA,omit,Setaria queenslandica
Setaria sphacelata,NA,500,NA,NA,keep,Setaria sphacelata
Setaria sphacelata,NA,500,NA,NA,keep,Setaria sphacelata var. sericea
Setaria sphacelata,NA,500,NA,NA,keep,Setaria sphacelata var. splendida
Setaria surgens,200,200,NA,NA,omit,Setaria surgens
Setaria verticillata,NA,300,NA,NA,keep,Setaria verticillata
Sorghum arundinaceum,NA,850,NA,NA,keep,Sorghum arundinaceum
Sorghum bicolor,NA,1000,NA,NA,keep,Sorghum bicolor
Sorghum halepense,NA,900,NA,NA,keep,Sorghum halepense
Sorghum nitidum,600,600,NA,NA,omit,Sorghum nitidum
Sorghum nitidum,600,600,NA,NA,omit,Sorghum nitidum forma nitidum
Sorghum nitidum,600,600,NA,NA,omit,Sorghum nitidum forma aristatum
Sorghum propinquum,1000,1000,NA,NA,omit,Sorghum propinquum
Sorghum x almum,NA,1000,NA,NA,keep,Sorghum x almum
Sorghum x drummondii,NA,500,NA,NA,keep,Sorghum x drummondii
Spinifex hirsutus,400,400,NA,400,omit,Spinifex hirsutus
Spinifex longifolius,350,350,NA,300,omit,Spinifex longifolius
Spinifex sericeus,NA,400,NA,NA,keep,Spinifex sericeus
Sporobolus actinocladus,200,200,60,NA,omit,Sporobolus actinocladus
Sporobolus africanus,NA,400,NA,NA,keep,Sporobolus africanus
Sporobolus australasicus,60,60,NA,NA,omit,Sporobolus australasicus
Sporobolus carolii,200,200,100,NA,omit,Sporobolus caroli
Sporobolus contiguus,170,170,NA,NA,omit,Sporobolus contiguus
Sporobolus coromandelianus,NA,110,NA,NA,keep,Sporobolus coromandelianus
Sporobolus creber,450,450,NA,NA,omit,Sporobolus creber
Sporobolus disjunctus,250,250,NA,NA,omit,Sporobolus disjunctus
Sporobolus elongatus,500,500,NA,NA,omit,Sporobolus elongatus
Sporobolus fertilis,NA,500,NA,NA,keep,Sporobolus fertilis
Sporobolus laxus,500,500,NA,NA,omit,Sporobolus laxus
Sporobolus lenticularis,170,170,NA,NA,omit,Sporobolus lenticularis
Sporobolus mitchellii,60,120,NA,NA,keep,Sporobolus mitchellii
Sporobolus natalensis,NA,500,NA,NA,keep,Sporobolus natalensis
Sporobolus pulchellus,100,100,NA,NA,omit,Sporobolus pulchellus
Sporobolus pyramidalis,NA,700,NA,NA,keep,Sporobolus jacquemontii
Sporobolus pyramidalis,NA,700,NA,NA,keep,Sporobolus pyramidalis
Sporobolus scabridus,140,140,NA,NA,omit,Sporobolus scabridus
Sporobolus sessilis,250,250,NA,NA,omit,Sporobolus sessilis
Sporobolus virginicus,130,130,NA,100,omit,Sporobolus virginicus
Stenotaphrum micranthum,120,120,NA,NA,omit,Stenotaphrum micranthum
Stenotaphrum secundatum,NA,150,NA,NA,keep,Stenotaphrum secundatum
Stipa ramosissima,400,400,NA,NA,omit,Austrostipa ramosissima
Stipa rudis,NA,400,NA,NA,keep,Austrostipa rudis subsp. rudis
Thaumastochloa brassii,30,30,NA,NA,omit,Thaumastochloa brassii
Thaumastochloa major,120,120,NA,NA,omit,Thaumastochloa major
Thaumastochloa monilifera,110,110,NA,NA,omit,Thaumastochloa monilifera
Thaumastochloa pubescens,90,90,NA,NA,omit,Thaumastochloa pubescens
Thaumastochloa rariflora,100,100,NA,NA,omit,Thaumastochloa rariflora
Thaumastochloa x heteromorpha,NA,80,NA,NA,keep,Thaumastochloa x heteromorpha
Themeda arguens,300,300,NA,NA,omit,Themeda arguens
Themeda avenacea,1000,1000,NA,NA,omit,Themeda avenacea
Themeda intermedia,1000,1000,NA,NA,omit,Themeda intermedia
Themeda quadrivalvis,NA,600,NA,NA,keep,Themeda quadrivalvis
Themeda triandra,300,300,NA,300,omit,Themeda triandra
Thuarea involuta,70,70,NA,NA,omit,Thuarea involuta
Thyridolepis mitchelliana,60,60,65,NA,omit,Thyridolepis mitchelliana
Thyridolepis xerophila,90,90,60,NA,omit,Thyridolepis xerophila
Tragus australianus,60,60,NA,NA,omit,Tragus australianus
Triodia bitextura,450,450,NA,NA,omit,Triodia bitextura
Triodia claytonii,400,250,NA,NA,keep,Triodia claytonii
Triodia longiceps,250,250,NA,NA,omit,Triodia longiceps
Triodia microstachya,0.6,600,NA,NA,keep,Triodia microstachya
Triodia mitchellii,600,600,NA,NA,omit,Triodia mitchellii
Triodia pungens,340,340,NA,NA,omit,Triodia pungens
Triodia stenostachya,400,400,NA,NA,omit,Triodia stenostachya
Triodia triaristata,450,450,NA,NA,omit,Triodia triaristata
Tripogon loliiformis,75,75,NA,NA,omit,Tripogon loliiformis
Triraphis mollis,500,500,NA,NA,omit,Triraphis mollis
Uranthoecium truncatum,150,150,65,NA,omit,Uranthoecium truncatum
Urochloa mosambicensis,NA,300,NA,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,250,NA,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,250,NA,NA,keep,Urochloa panicoides var. pubescens
Whiteochloa airoides,240,240,NA,NA,omit,Whiteochloa airoides
Whiteochloa semitonsa,110,230,NA,NA,keep,Whiteochloa semitonsa
Xerochloa imberbis,250,250,NA,NA,omit,Xerochloa imberbis
Yakirra australiensis,100,100,NA,NA,omit,Yakirra australiensis var. australiensis
Yakirra majuscula,NA,300,NA,NA,keep,Yakirra majuscula
Yakirra muelleri,120,120,NA,NA,omit,Yakirra muelleri
Yakirra pauciflora,200,200,NA,NA,omit,Yakirra pauciflora
Zea mexicana,NA,1200,NA,NA,keep,Zea mexicana
Zoysia matrella,NA,100,NA,NA,keep,Zoysia matrella
