Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
117,Dragon Rock,327,Eucalyptusflocktoniae subsp. flocktonia,-25.88,10,2.21836,20,5.8,sprouter,406,92.51,9.3,0.4,4.17,-32.72972222,119.0047222,0.93,52.13
118,Dragon Rock,327,Eucalyptusflocktoniae subsp. flocktonia,-25.46,10,2.2049,20,5.8,sprouter,406,99.56,10,0.5,4.515,-32.72972222,119.0047222,0.97,51.84
119,Dragon North,329,Eucalyptus latens,-26.78,14,2.69508,7,3,sprouter,378,47.8,3.4,0.1,1.774,-32.67138889,118.9988889,0.89,52.72
120,Dragon North,329,Eucalyptus latens,-26.97,13,2.29162,9,3.3,sprouter,378,55.18,4.2,0.2,2.408,-32.67138889,118.9988889,0.89,52.13
121,Dragon North,329,Eucalyptus latens,-26.34,12,2.24778,9,3.2,sprouter,378,75.53,6.3,0.3,3.36,-32.67138889,118.9988889,0.8,53.13
122,Twin Rock,381,Eucalyptus wandoo subsp. wandoo,-27.42,13,2.99388,177,17.16,sprouter,374,141.76,10.9,0.4,4.735,-32.11027778,118.7933333,0.82,52.38
123,Twin Rock,381,Eucalyptus wandoo subsp. wandoo,-26.88,11,2.98602,131,12.5,sprouter,374,135.64,12.3,0.4,4.543,-32.11027778,118.7933333,0.92,53.32
124,Twin Rock,381,Eucalyptus wandoo subsp. wandoo,-26.33,9,2.84094,182,15.25,sprouter,374,150.3,16.7,0.6,5.291,-32.11027778,118.7933333,0.81,51.71
125,Twin Rock,381,Eucalyptus salmonophloia,-26.28,13,3.29643,123,16,sprouter,374,77.41,6,0.2,2.348,-32.11027778,118.7933333,1.17,53.26
126,Twin Rock,381,Eucalyptus salmonophloia,-26.53,10,3.15842,104,12.96,sprouter,374,62.78,6.3,0.2,1.988,-32.11027778,118.7933333,1.21,53
127,Twin Rock,381,Eucalyptus salmonophloia,-26.65,12,3.37782,64,9.45,sprouter,374,88.83,7.4,0.2,2.63,-32.11027778,118.7933333,1.24,53.73
128,Twin Rock,381,Eucalyptus tephroclada,-26.64,11,2.6938,,,sprouter,374,68.11,6.2,0.2,2.528,-32.11027778,118.7933333,1.12,53.54
129,Twin Rock,381,Eucalyptus calycogona subsp. calycogona,-26.52,12,2.53952,,,sprouter,374,73.42,6.1,0.2,2.891,-32.11027778,118.7933333,1.15,52.92
130,Twin Rock,381,Eucalyptus sheathiana,-25.75,17,2.7724,,,sprouter,374,127.22,7.5,0.3,4.589,-32.11027778,118.7933333,1.18,51.21
131,Twin Rock,381,Eucalyptus capillosa subsp. polyclada,-25.79,13,2.90613,,,sprouter,374,149.57,11.5,0.4,5.147,-32.11027778,118.7933333,1.07,52.75
132,Bushfire Rock,375,Eucalyptus leptopoda,-27.1,12,3.10737,9,3.4,sprouter,349,72.61,6.1,0.2,2.337,-32.42583333,119.3563889,1.43,49.85
133,Bushfire Rock,375,Eucalyptus leptopoda,-27.74,17,3.01958,9,3.7,sprouter,349,87.45,5.1,0.2,2.896,-32.42583333,119.3563889,1.14,51.77
134,Bushfire Rock,375,Eucalyptus leptopoda,-27.1,12,2.80903,6,3,sprouter,349,69.56,5.8,0.2,2.476,-32.42583333,119.3563889,1.14,51.25
135,Holland 21km,401,Eucalyptus flocktoniae subsp. flocktoniae,-25.79,9,2.01461,10,3.5,sprouter,414,124.12,13.8,0.7,6.161,-32.27777778,119.5808333,0.91,52.94
136,Holland 21km,401,Eucalyptus steedmanii,-25.41,10,2.41764,,,obligater seeder,414,64.73,6.5,0.3,2.677,-32.27777778,119.5808333,1,52.87
137,Holland 21km,401,Eucalyptus calycogona subsp. calycogona,-24.83,10,2.20795,5,2,sprouter,414,58.61,5.9,0.3,2.655,-32.27777778,119.5808333,1.07,51.7
138,Holland 21km,401,Eucalyptus salmonophloia,-26.31,11,3.04127,50,8,seeder,414,102.57,9.3,0.3,3.373,-32.27777778,119.5808333,1.3,51.57
139,Holland 21km,401,Eucalyptus livida,-25.4,9,2.8934,,2,sprouter,414,213.18,23.7,0.8,7.368,-32.27777778,119.5808333,0.95,53.33
140,Holland 21km,401,Eucalyptus salubris,-24.97,11,2.719,,2,obligater seeder,414,112.61,10.2,0.4,4.142,-32.27777778,119.5808333,1.19,52.91
141,Holland 23km,410,Eucalyptus tenera,-26.37,11,2.23569,,4,sprouter,414,66.38,6,0.3,2.969,-32.27777778,119.5808333,0.9,52.67
142,Holland 23km,410,Eucalyptus livida,-26.61,10,2.51533,,4,sprouter,414,253.13,25.3,1,10.064,-32.27777778,119.5808333,0.915,52.14
143,Holland 23km,410,Eucalyptus pileata,-26.33,14,2.21527,,4,sprouter,414,157.16,11.2,0.5,7.094,-32.27777778,119.5808333,0.9,52.415
144,Mt Holland,421,Eucalyptus longicornis,-26.78,13,3.1422,177,20.79,sprouter,442,112.78,8.7,0.3,3.589,-32.16472222,119.7488889,1.25,52.98
145,Mt Holland,421,Eucalyptus longicornis,-27.04,15,3.36485,320,21.12,sprouter,442,106.76,7.1,0.2,3.173,-32.16472222,119.7488889,1.1,53.84
146,Mt Holland,421,Eucalyptus longicornis,-25.94,17,2.81857,154,16.25,sprouter,442,119.93,7.1,0.3,4.255,-32.16472222,119.7488889,1.04,52.36
