Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
342,Warburton II,1454,Eucalyptus kingsmillii - Eucalyptus youngiana intergrade,-28.3,8,2.32662,27,6,sprouter,519,177.77,22.2,1,7.641,-25.82722222,127.0111111,1.09,49.11
343,Halfway Giles,1528,"Corymbia chippendalei ""sand-dune bloodwood""",-30.15,11,3.16731,74,7.5,sprouter,590,87.31,7.9,0.3,2.757,-25.41944444,127.5536111,0.74,49.85
344,Halfway Giles,1528,"Corymbia chippendalei ""sand-dune bloodwood""",-29.55,10,2.91452,67,5.7,sprouter,590,67.92,6.8,0.2,2.33,-25.41944444,127.5536111,0.83,50.2
345,Halfway Giles,1528,"Corymbia chippendalei ""sand-dune bloodwood""",-27.45,12,2.93504,38,6,sprouter,590,74.01,6.2,0.2,2.522,-25.41944444,127.5536111,0.63,49.67
346,Halfway Giles,1528,Eucalyptus oxymitra,-27.56,10,2.51845,12,2.5,sprouter,590,277.07,27.7,1.1,11.002,-25.41944444,127.5536111,1.08,48.75
347,Halfway Giles,1528,Eucalyptus oxymitra,,10,2.20357,19,4,sprouter,590,279.3,27.9,1.3,12.675,-25.41944444,127.5536111,0.98,49.61
348,Halfway Giles,1528,Eucalyptus oxymitra,,10,2.51007,16,3,sprouter,590,127.13,12.7,0.5,5.065,-25.41944444,127.5536111,0.93,49.6
349,Halfway Giles,1528,Eucalyptus gamophylla,-25.87,11,4.4299,20,3.5,sprouter,590,239.87,21.8,0.5,5.415,-25.41944444,127.5536111,1.09,49.41
350,Halfway Giles,1528,Eucalyptus gamophylla,-26.12,13,3.38707,15,3,sprouter,590,172.9,13.3,0.4,5.105,-25.41944444,127.5536111,0.85,48.1
351,Halfway Giles,1528,Eucalyptus gamophylla,-26.53,8,3.45298,21,4,sprouter,590,135.06,16.9,0.5,3.911,-25.41944444,127.5536111,0.76,47.8
352,Halfway Giles,1528,Corymbia opaca,-28.04,10,3.23206,103,7.5,sprouter,590,184.15,18.4,0.6,5.698,-25.41944444,127.5536111,0.93,48.59
353,Halfway Giles,1528,Corymbia opaca,-27.87,10,3.74177,66,6,sprouter,590,215.44,21.5,0.6,5.758,-25.41944444,127.5536111,0.85,48.45
354,Halfway Giles,1528,Corymbia opaca,-29.18,9,3.82916,110,8.5,sprouter,590,158.29,17.6,0.5,4.134,-25.41944444,127.5536111,1.41,49.71
355,Near Giles,1560,Eucalyptus victrix,-29.76,9,3.31259,74,6,sprouter,522,289.11,32.1,1,8.728,-25.29805556,127.86,1.17,49.03
356,Near Giles,1560,Eucalyptus victrix,-28.56,11,3.39381,71,7,sprouter,522,134.13,12.2,0.4,3.952,-25.29805556,127.86,1.06,48.62
357,Near Giles,1560,Eucalyptus victrix,-30.35,13,4.28111,27,5,sprouter,522,272.3,20.9,0.5,6.361,-25.29805556,127.86,0.99,46.78
358,Giles West,1601,Corymbia aparrerinja,-26.43,11,4.4161,120,10.66,sprouter,561,110.95,10.1,0.2,2.512,-25.07388889,128.1694444,0.96,49.6
359,Giles West,1601,Corymbia aparrerinja,-26.41,10,4.07268,78,12.54,sprouter,561,130.9,13.1,0.3,3.214,-25.07388889,128.1694444,1.03,49.99
360,Giles West,1601,Corymbia aparrerinja,-25.42,12,4.48461,218,11.52,sprouter,561,87.1,7.3,0.2,1.942,-25.07388889,128.1694444,0.96,50
361,Giles West,1601,Corymbia opaca,-28.85,9,4.92264,104,10,sprouter,561,198.53,22.1,0.4,4.033,-25.07388889,128.1694444,0.79,45.93
362,Giles West,1601,Corymbia opaca,-27.31,11,4.51799,55,8.5,sprouter,561,135.02,12.3,0.3,2.989,-25.07388889,128.1694444,0.94,43.35
363,Giles West,1601,Corymbia opaca,-27.14,14,4.84036,90,9,sprouter,561,186.77,13.3,0.3,3.859,-25.07388889,128.1694444,0.98,48.57
364,Giles,1614,Corymbia aparrerinja,-28.57,10,4.47721,98,8.84,sprouter,596,118.27,11.8,0.3,2.642,-25.06111111,128.3294444,1.3,48.48
365,Giles,1614,Corymbia aparrerinja,-28.71,12,4.15187,166,14,sprouter,596,149.43,12.5,0.3,3.599,-25.06111111,128.3294444,1.16,48.91
366,Giles,1614,Corymbia aparrerinja,-28.18,9,4.07125,125,8.06,sprouter,596,130.63,14.5,0.4,3.209,-25.06111111,128.3294444,1.2,49.5
367,Giles,1614,Eucalyptus intertexta,-28.46,11,3.73126,50,6,sprouter,596,104.05,9.5,0.3,2.789,-25.06111111,128.3294444,1.11,49.39
368,Giles,1614,Eucalyptus intertexta,-26.87,10,3.40355,56,10.14,sprouter,596,96.13,9.6,0.3,2.824,-25.06111111,128.3294444,0.9,49.43
369,Giles,1614,Eucalyptus intertexta,-27.89,12,3.60433,65,9.24,sprouter,596,177.96,14.8,0.4,4.937,-25.06111111,128.3294444,0.96,47.09
370,Peterman Range,1678,Eucalyptus oxymitra,-27.53,9,2.49445,20,3,sprouter,608,191.08,21.2,0.9,7.66,-24.83694444,128.9336111,0.87,49.38
371,Peterman Range,1678,Eucalyptus oxymitra,-26.36,10,2.14086,14,3,sprouter,608,204.81,20.5,1,9.567,-24.83694444,128.9336111,0.75,49.28
372,Peterman Range,1678,Eucalyptus oxymitra,-26.29,8,2.37408,,,sprouter,608,174.54,21.8,0.9,7.352,-24.83694444,128.9336111,0.96,48.52
373,Peterman Range,1678,Corymbia eremaea subsp. eremaea,-27.48,13,3.00499,30,3,sprouter,608,99.94,7.7,0.3,3.326,-24.83694444,128.9336111,0.77,50.3
374,Peterman Range,1678,Corymbia eremaea subsp. eremaea,-27.49,13,3.24731,16,3.5,sprouter,608,84.81,6.5,0.2,2.612,-24.83694444,128.9336111,0.83,51.04
375,Peterman Range,1678,Corymbia eremaea subsp. eremaea,-26.66,13,3.183,19,4,sprouter,608,123.44,9.5,0.3,3.878,-24.83694444,128.9336111,0.92,50.56
376,Peterman Range,1678,Eucalyptus oxymitra,-26.46,10,2.34294,9,2,sprouter,608,266.05,26.6,1.1,11.355,-24.83694444,128.9336111,0.76,48.96
377,Peterman Range,1678,Eucalyptus oxymitra,-27.92,10,2.33675,9,2,sprouter,608,247.71,24.8,1.1,10.601,-24.83694444,128.9336111,0.82,50.27
378,Peterman Range,1678,Eucalyptus oxymitra,-27.16,7,2.43961,13,2.5,sprouter,608,213.99,30.6,1.3,8.772,-24.83694444,128.9336111,1.03,49.98
379,Docker River,1684,Eucalyptus gongylocarpa,-27.66,9,4.22217,215,11.5,sprouter,602,130.52,14.5,0.3,3.091,-24.87111111,129.0569444,1.15,50.42
380,Docker River,1684,Eucalyptus gongylocarpa,-29.15,14,4.17578,107,10.5,sprouter,602,117.26,8.4,0.2,2.808,-24.87111111,129.0569444,1.2,51.24
381,Docker River,1684,Eucalyptus gongylocarpa,-27.55,13,3.64432,154,12.5,sprouter,602,105.78,8.1,0.2,2.903,-24.87111111,129.0569444,1.06,50.01
382,Docker River,1684,Eucalyptus gamophylla,-27.7,12,3.72447,15,3,sprouter,602,180.16,15,0.4,4.837,-24.87111111,129.0569444,1.29,49.7
383,Docker River,1684,Eucalyptus gamophylla,-26.2,12,3.82941,8,3,sprouter,602,119.11,9.9,0.3,3.11,-24.87111111,129.0569444,1.9,49.07
384,Docker River,1684,Eucalyptus gamophylla,-28.16,12,3.96719,10,3,sprouter,602,163.98,13.7,0.3,4.133,-24.87111111,129.0569444,1.69,47.64
385,Docker River E,1716,Eucalyptus oxymitra,-26.5,10,2.53211,16,4.5,sprouter,643,194.61,19.5,0.8,7.686,-25.05555556,129.6783333,0.92,49.98
386,Docker River E,1716,Eucalyptus oxymitra,-26.61,12,2.28329,22,4,sprouter,643,179.75,15,0.7,7.872,-25.05555556,129.6783333,0.76,48.68
387,Docker River E,1716,Eucalyptus oxymitra,-27.28,12,2.55256,23,4.5,sprouter,643,172.03,14.3,0.6,6.74,-25.05555556,129.6783333,0.9,48.33
388,Docker River E,1716,Eucalyptus gamophylla,-27.37,13,4.61444,24,4,sprouter,643,113.28,8.7,0.2,2.455,-25.05555556,129.6783333,1.15,49.28
389,Docker River E,1716,Eucalyptus gamophylla,-26.43,14,4.09046,18,4.5,sprouter,643,153.74,11,0.3,3.759,-25.05555556,129.6783333,1.41,49.48
390,Docker River E,1716,Eucalyptus gamophylla,-26.36,16,4.1777,20,5,sprouter,643,159.02,9.9,0.2,3.806,-25.05555556,129.6783333,0.99,49.73
391,Docker River E,1716,Eucalyptus gamophylla,-26.63,13,3.8244,63,6.5,sprouter,643,127.1,9.8,0.3,3.323,-25.05555556,129.6783333,1.28,50.53
392,Docker River E,1716,Eucalyptus gamophylla,-28.18,19,4.26969,61,6.5,sprouter,643,136.69,7.2,0.2,3.201,-25.05555556,129.6783333,1.52,50.17
393,Docker River E,1716,Eucalyptus gamophylla,-26.28,13,4.22573,31,4,sprouter,643,191.02,14.7,0.3,4.52,-25.05555556,129.6783333,1.26,49.52
394,Docker River E,1716,Eucalyptus gamophylla,-26.81,13,4.27076,35,4,sprouter,643,145.24,11.2,0.3,3.401,-25.05555556,129.6783333,1.17,49.51
395,Docker River E,1716,Eucalyptus gamophylla,-26.31,14,4.39394,27,4.5,sprouter,643,160.95,11.5,0.3,3.663,-25.05555556,129.6783333,1.11,49.81
396,Irving River,1728,Eucalyptus mannensis subsp. mannensis,-25.97,14,2.53567,29,6,sprouter,614,97.38,7,0.3,3.84,-25.06722222,129.8394444,0.96,48.63
397,Irving River,1728,Eucalyptus mannensis subsp. mannensis,-25.98,13,2.25818,21,5,sprouter,614,122.19,9.4,0.4,5.411,-25.06722222,129.8394444,1.07,50.1
398,Irving River,1728,Eucalyptus mannensis subsp. mannensis,-25.77,15,2.38673,,,sprouter,614,118.68,7.9,0.3,4.973,-25.06722222,129.8394444,0.89,48.77
399,Near Mt. Olga,1773,Corymbia opaca,-25.7,11,3.54846,58,6,sprouter,572,147.57,13.4,0.4,4.159,-25.22805556,130.5797222,1.32,50.58
400,Near Mt. Olga,1773,Corymbia opaca,-27.06,10,4.05123,84,6.5,sprouter,572,208.44,20.8,0.5,5.145,-25.22805556,130.5797222,0.97,50.29
401,Near Mt. Olga,1773,Corymbia opaca,-29.2,10,3.29783,88,7.5,sprouter,572,103.72,10.4,0.3,3.145,-25.22805556,130.5797222,1.11,50.9
