Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Pterostylis plumosa,Asparagales,Orchidaceae,Pterostylis,1617,0.15,3.53429,6.4e-6,0,0,1,keep,keep
Pterostylis sanguinea,Asparagales,Orchidaceae,Pterostylis,1620,0.0892857,5.45197,6.4e-6,1,1,1,keep,keep
Pterostylis tunstallii,Asparagales,Orchidaceae,Pterostylis,1625,0.05,2.82743,6.4e-6,0,0,1,keep,keep
Pterostylis Xingens,Asparagales,Orchidaceae,Pterostylis,1629,0.0892857,5.45197,6.4e-6,1,1,1,keep,keep
Pterostylis ziegeleri,Asparagales,Orchidaceae,Pterostylis,1631,0.2,3.53429,2e-6,0,0,0,keep,keep
Pterygopappus lawrencei,Asterales,Asteraceae,Pterygopappus,1632,0.1,11.8909,7.6e-5,0,1,0,omit,keep
Ptilotus spathulatus,Caryophyllales,Amaranthaceae,Ptilotus,1633,0.2,3.92699,0.0013404,0,0,0,keep,keep
Pultenaea daphnoides,Fabales,Fabaceae,Pultenaea,1636,3,4.71239,0.0039368,0,0,0,keep,keep
Pultenaea dentata,Fabales,Fabaceae,Pultenaea,1637,0.8,0.188496,0.00084079999999999995,0,0,0,omit,keep
Pultenaea gunnii,Fabales,Fabaceae,Pultenaea,1639,2,0.141372,0.0019336,0,0,0,keep,keep
Pultenaea juniperina,Fabales,Fabaceae,Pultenaea,1641,1.5,0.11781,0.0054552,0,0,0,keep,keep
Pultenaea pedunculata,Fabales,Fabaceae,Pultenaea,1643,0.1,0.172788,0.0022056,0,0,0,keep,keep
Pultenaea prostrata,Fabales,Fabaceae,Pultenaea,1644,0.5,0.0502655,0.0026428,0,0,0,omit,keep
Pultenaea sericea,Fabales,Fabaceae,Pultenaea,1645,0.2,0.589049,0.0028358,0,0,1,keep,keep
Pultenaea stricta,Fabales,Fabaceae,Pultenaea,1646,1,0.353429,0.0028358,0,0,1,keep,keep
Pultenaea tenuifolia,Fabales,Fabaceae,Pultenaea,1648,1,0.0392699,0.0028358,0,0,1,keep,keep
Pyrorchis nigricans,Asparagales,Orchidaceae,Pyrorchis,1649,0.3,75.3982,5.33e-6,0,0,1,keep,keep
Ranunculus amphitrichus,Ranunculales,Ranunculaceae,Ranunculus,1651,0.35,19.63495408,0.0012358,0,0,1,keep,keep
Ranunculus collinus,Ranunculales,Ranunculaceae,Ranunculus,1653,0.22,11.781,0.0012358,0,0,1,keep,keep
Ranunculus decurvus,Ranunculales,Ranunculaceae,Ranunculus,1654,0.36,25.3291,7.06e-4,1,1,0,omit,keep
Ranunculus glabrifolius,Ranunculales,Ranunculaceae,Ranunculus,1655,0.36,25.3291,0.0012358,1,1,1,keep,keep
Ranunculus lappaceus,Ranunculales,Ranunculaceae,Ranunculus,1658,0.5,6.28319,0.0021868,0,0,0,keep,keep
Ranunculus pascuinus,Ranunculales,Ranunculaceae,Ranunculus,1660,0.36,25.3291,0.00212,1,1,0,keep,keep
Ranunculus pimpinellifolius,Ranunculales,Ranunculaceae,Ranunculus,1661,0.25,25.3291,8.212e-4,0,1,0,omit,keep
Ranunculus scapiger,Ranunculales,Ranunculaceae,Ranunculus,1664,0.5,4.71239,0.001202,0,0,0,omit,keep
Ranunculus sessiliflorus,Ranunculales,Ranunculaceae,Ranunculus,1665,0.35,25.3291,3.788e-4,0,1,0,keep,keep
Ranunculus triplodontus,Ranunculales,Ranunculaceae,Ranunculus,1667,0.35,25.3291,0.0012358,0,1,1,keep,keep
Restio australis,Poales,Restionaceae,Restio,1668,1.4,1.1781,0.0014557,1,1,1,keep,keep
Restio complanatus,Poales,Restionaceae,Restio,1669,1.2,1.1781,0.0014557,0,1,1,keep,keep
Restio hookeri,Poales,Restionaceae,Restio,1671,1.4,1.1781,0.0014557,1,1,1,keep,keep
Restio monocephalus,Poales,Restionaceae,Restio,1672,1.4,1.1781,0.0014557,1,1,1,keep,keep
Restio tetraphyllus,Poales,Restionaceae,Restio,1673,1.6,1.1781,0.0014557,0,0,1,keep,keep
Rhagodia candolleana,Caryophyllales,Chenopodiaceae,Rhagodia,1675,4,4.71239,0.00614412,0,0,1,keep,keep
Rhodanthe anthemoides,Asterales,Asteraceae,Rhodanthe,1676,0.3,0.15708,0.001208,0,0,0,keep,keep
Rhytidosporum inconspicuum,Rosales,Pittosporaceae,Rhytidosporum,1677,0.05,0.219911,0.00321227,0,0,1,keep,keep
Rhytidosporum procumbens,Rosales,Pittosporaceae,Rhytidosporum,1678,0.4,0.494801,0.00321227,0,0,1,keep,keep
