species,seed_mass
Trianthema pilosa,1.0589
Trianthema triquetra,0.29548
Trianthema triquetra,0.3824
Tribulus cistoides,84.9428
Tribulus eichlerianus,208.48
Tribulus hystrix,594.28
Tribulus macrocarpus,181.324
Trichosanthes ovigera,97.5336
Triglochin alcockiae,4.784
Triglochin procera,16.6294
Triglochin rheophila,3.8216
Triglochin turrifera,1.12
Triodia lanata,1.6448
Triumfetta bartramia,2.4
Triumfetta cinerea,44.83176
Triumfetta glaucescens,43.4312
Triumfetta johnstonii,202.6
Triumfetta longipedunculata,505.3140097
Triumfetta marsupiata,668.1437126
Triumfetta mellina,208.3673469
Triumfetta micracantha,62.0724
Triumfetta repens,205.7894737
Triumfetta rhomboidea,12.434
Triumfetta rupestris,244.12
Trochocarpa laurina,16.32852
Trymalium litorale,1.0394
Urochloa gilesii,1.8832
Verticordia picta,4.51336
Vitex trifolia,25.2976
Vitex trifolia,18.3992
Wahlenbergia communis,0.035
Wedelia asperrima,2.192
Wedelia spilanthoides,1.486
Wedelia stirlingii,0.664
Wilsonia humilis,3.7996
Zieria oreocaena,1.2076
Zygophyllum crassissimum,6.4
Zygophyllum humillimum,0.956
Zygophyllum hybridum,3.318
