plot.id,species,dune.system,uptake.strategy,specific.uptake.strategy,collection.date,Ca_ug.g.DW,Cu_ug.g.DW,Fe_ug.g.DW,K_ug.g.DW,Mg_ug.g.DW,Mn_ug.g.DW,Mo_ug.g.DW,P_ug.g.DW,S_ug.g.DW,Zn_ug.g.DW,N_ug.g.DW,C_%,CN,senesced_leaf_Ca,senesced_leaf_Cu,senesced_leaf_Fe,senesced_leaf_K,senesced_leaf_Mg,senesced_leaf_Mn,senesced_leaf_Mo,senesced_leaf_P,senesced_leaf_S,senesced_leaf_Zn,senesced_leaf_N
Q.Y.16,Conostylis candicans subsp. calcicola,QY,NM,NA,3/5/12,11634.91248,0.723102288,61.22893365,5969.140376,1330.215605,18.43992779,0.45746577,396.1914952,1601.503933,2.145615498,10853.38642,45.28055034,41.72020471,18973.11148,0.545535108,110.3339889,1812.397876,1201.900405,15.09638447,0.0636918,288.4663952,1019.307433,-0.209214712,8855.0861
Q.Y.16,Olearia axillaris,QY,AM,NA,3/5/12,10604.04118,3.243477808,160.027717,4889.798576,1665.699605,11.95718773,2.00471525,4071.938095,2478.411433,4.120548298,11970.9863,49.84154505,41.63528703,21903.58558,0.564754928,192.4789628,3150.164976,2550.851205,13.45677272,1.34335717,6321.476995,2350.918833,-0.339637442,6545.1171
Q.Y.16,Scaevola crassifolia,QY,AM,NA,3/5/12,72053.81178,1.111375108,54.04871905,2566.312076,6675.952005,22.05284873,1.00181257,3819.587695,14705.53643,4.879835278,14796.54216,41.14880616,27.80974481,48122.48618,0.375867518,49.16180809,741.6325762,3299.406505,10.96788409,0.88316272,3938.594495,10983.24933,1.145632558,9002.1317
Q.Y.16,Spyridium globulosum,QY,AM/EM,NA,3/5/12,37480.67848,1.341921468,102.502237,3389.148276,4727.303205,7.184939616,-0.09050844,567.5550952,1451.977033,3.134309738,8577.72603,48.63117742,56.69471986,30034.88098,0.384116378,89.34059832,1545.621776,2703.825405,3.971175696,0.04662284,370.9353952,1147.056433,-1.163102562,4861.552
Q.Y.17,Acacia rostellifera ,QY,N fixing,NA,4/5/12,25119.13088,2.570004448,38.67206601,7624.488876,3023.095905,2.768291826,0.41831127,955.2616952,1539.323933,2.342233448,15346.0441,47.73775693,31.10753274,43952.79858,1.001665218,34.00363936,7414.855176,3740.430105,1.853843556,0.57019914,3042.202695,2665.337633,-1.331289182,6813.6236
Q.Y.17,Conostylis candicans subsp. calcicola,QY,NM,NA,4/5/12,14855.83608,1.451643778,136.2077977,3273.306576,2865.485405,21.0497184,0.13216545,328.7773952,1076.747333,4.413428268,6711.42935,44.91417495,66.92192169,19901.9196,1.0409375,128.4318,402.8989,2362.711475,62.64845,-0.019071429,137.2545875,980.3597875,4.66,6591.2698
Q.Y.17,Olearia axillaris,QY,AM,NA,4/5/12,8878.176581,3.445327388,130.4020873,10943.79638,1914.014605,9.094891126,1.55194101,3030.013995,1569.669833,1.964795238,10429.80571,47.38966703,45.43676878,30586.37648,0.855493848,203.6542219,3256.412176,4384.960405,5.089178216,1.22686665,11944.3726,1987.773533,-0.514065692,5494.9888
Q.Y.17,Scaevola crassifolia,QY,AM,NA,4/5/12,73992.03738,2.253630408,89.14601286,9129.170876,5204.034005,15.39542669,-0.02320467,2342.915695,14145.32853,2.372955538,8178.4724,38.93745987,47.60969771,63251.25078,0.278468508,52.74231551,1742.550776,3933.047805,4.698712876,0.00669158,4909.463995,14297.11243,-1.805219402,3858.5707
Q.Y.17,Spyridium globulosum,QY,AM/EM,NA,4/5/12,26960.43238,1.276378168,90.01789187,5335.990276,3370.531005,6.330853426,0.30201249,493.0435952,1146.784933,0.809906878,7609.12582,48.25667484,63.41947288,32829.02968,0.173477948,78.56747793,1965.458076,3311.881905,4.491509846,0.22108636,577.6565952,879.7986333,-1.178707882,2910.5059
Q.Y.18,Acacia rostellifera ,QY,N fixing,NA,3/5/12,36902.46198,0.418481508,70.97354118,4174.807676,4448.144605,3.125207536,0.38310973,706.2855952,4977.521233,1.598732598,16054.13611,45.52511868,28.35725222,34063.89608,0.506258038,49.15706401,2050.420076,3747.988805,1.906038846,0.21665729,340.6830952,5108.636733,-0.644906572,10359.1544
