Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,37,44,17.9,2.07,1440,1918.08,448,4.28,311.11,NA,NA,NA,NA,1.1891891891891893
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,64,74,13.45,4.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15625
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,62,63,17.9,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0161290322580645
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,71,105,23,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4788732394366197
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,50,79,17.9,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,141,79,28.73,4.91,1425,1606.67,542,2.96,380.35,C3,Tufted,Perennial,Crown,0.5602836879432624
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,107,30,31.83,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2803738317757009
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,69,0,42.1,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,98,40,31.83,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40816326530612246
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,124,51,23,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4112903225806452
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,87,64,17.9,4.86,1411,1967.67,476,4.13,337.35,NA,NA,NA,NA,0.735632183908046
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,88,81,38.52,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9204545454545454
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,71,56,20.37,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7887323943661971
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,68,53,31.83,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7794117647058824
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,33,27,35.09,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8181818181818182
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,86,79,25.78,3.34,1400,1933.39,652,2.97,465.71,NA,NA,NA,NA,0.9186046511627907
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,77,81,20.37,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.051948051948052
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,67,75,17.9,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1194029850746268
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,105,104,23,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9904761904761905
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,95,133,23,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,32,6,17.9,1.79,1389,1694,461,3.67,331.89,C3,Tufted,Perennial,Crown,0.1875
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,60,0,31.83,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,59,0,86.66,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,56,5,42.1,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08928571428571429
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,9,0,9.63,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,48,38,31.83,1.51,998,1568.67,332,4.72,332.67,NA,NA,NA,NA,0.7916666666666666
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,50,28,20.37,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,75,63,28.73,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,37,28,20.37,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7567567567567568
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,38,31,17.9,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8157894736842105
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,48,26,23,2.09,1227,1767.56,542,3.26,441.73,NA,NA,NA,NA,0.5416666666666666
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,46,0,15.6,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,26,34,31.83,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3076923076923077
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,86,42,35.09,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4883720930232558
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,45,28,25.78,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6222222222222222
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,97,99,11.46,8.46,256,313.04,101,3.1,394.53,C3,Tufted,Perennial,Crown,1.0206185567010309
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,154,6,17.9,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03896103896103896
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,155,0,23,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,64,66,42.1,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03125
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,60,3,9.63,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,118,143,25.78,4.58,246,417.02,71,5.87,288.62,NA,NA,NA,NA,1.2118644067796611
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,69,0,17.9,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,122,162,25.78,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3278688524590163
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,182,109,23,7.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5989010989010989
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,131,64,15.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48854961832061067
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,78,219,20.37,3.83,267,537.05,94,5.71,352.06,NA,NA,NA,NA,2.8076923076923075
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,126,64,17.9,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5079365079365079
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,173,72,23,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4161849710982659
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,66,0,20.37,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,128,21,15.6,8.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1640625
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,69,14,17.9,3.85,548,724.5,195,3.72,355.84,C3,Tufted,Perennial,Crown,0.2028985507246377
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,57,8,13.45,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14035087719298245
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,95,1,28.73,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010526315789473684
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,98,13,35.09,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1326530612244898
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,53,6,9.63,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11320754716981132
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,80,18,20.37,3.93,694,1273.83,242,5.26,348.7,NA,NA,NA,NA,0.225
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,82,70,20.37,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8536585365853658
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,113,27,25.78,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23893805309734514
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,79,28,15.6,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35443037974683544
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,115,15,42.1,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13043478260869565
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,54,59,20.37,2.65,544,933.73,200,4.67,367.65,NA,NA,NA,NA,1.0925925925925926
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,117,85,25.78,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7264957264957265
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,67,9,13.45,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13432835820895522
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,61,53,20.37,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8688524590163934
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,71,37,42.1,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5211267605633803
4 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,15,1,3.9,3.85,1259,1138.11,499,2.28,396.35,C3,Tufted,Perennial,Crown,0.06666666666666667
4 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,34,3,11.46,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08823529411764706
4 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,10,0,7.96,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,36,0,9.63,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,43,1,23,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023255813953488372
8 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,115,42,20.37,5.65,919,723.3,319,2.27,347.12,NA,NA,NA,NA,0.3652173913043478
8 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,25,0,7.96,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,24,2,9.63,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08333333333333333
8 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,35,0,9.63,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,11,0,6.45,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,80,10,13.45,5.95,790,649.46,329,1.97,416.46,NA,NA,NA,NA,0.125
11 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,12,0,6.45,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,65,0,20.37,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,18,0,6.45,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma pallidum,Danthonioideae,Danthonieae,21,0,6.45,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,92,47,13.45,6.84,701,992.52,283,3.51,403.71,C3,Tufted,Perennial,Crown,0.5108695652173914
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,94,94,13.45,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,84,29,25.78,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34523809523809523
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,131,90,25.78,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6870229007633588
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,81,138,20.37,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7037037037037037
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,99,118,25.78,3.84,609,955.46,220,4.34,361.25,NA,NA,NA,NA,1.1919191919191918
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,82,131,66.92,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5975609756097562
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,75,64,13.45,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8533333333333334
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,76,132,17.9,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.736842105263158
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,93,74,38.52,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7956989247311828
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,81,62,38.52,2.1,638,942.74,236,3.99,369.91,NA,NA,NA,NA,0.7654320987654321
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,61,97,17.9,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5901639344262295
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,111,91,28.73,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8198198198198198
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,80,115,11.46,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4375
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,114,98,15.6,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8596491228070176
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,85,72,20.37,4.17,1865,2348.62,774,3.03,415.01,C3,Tufted,Perennial,Crown,0.8470588235294118
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,77,76,23,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987012987012987
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,94,23,31.83,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24468085106382978
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,58,3,31.83,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05172413793103448
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,84,73,25.78,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8690476190476191
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,87,65,20.37,4.27,1201,1811.77,455,3.98,378.85,NA,NA,NA,NA,0.7471264367816092
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,62,57,23,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9193548387096774
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,110,63,17.9,6.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5727272727272728
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,104,67,28.73,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6442307692307693
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,92,76,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8260869565217391
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,85,83,38.52,2.21,1158,1666.48,499,3.34,430.92,NA,NA,NA,NA,0.9764705882352941
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,76,72,17.9,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9473684210526315
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,81,97,20.37,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1975308641975309
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,48,71,20.37,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4791666666666667
11 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,46,80,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7391304347826086
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,255,0,28.73,8.88,1148,1269.33,415,3.06,361.5,C3,Tufted,Perennial,Crown,0
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,297,0,23,12.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,206,0,17.9,11.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,112,3,23,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026785714285714284
4 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,286,6,42.1,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02097902097902098
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,193,185,20.37,9.47,546,851.22,178,4.78,326.01,NA,NA,NA,NA,0.9585492227979274
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,239,76,23,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3179916317991632
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,182,152,20.37,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8351648351648352
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,345,0,31.83,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,91,0,11.46,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,104,95,13.45,7.73,690,1017.17,296,3.44,428.99,NA,NA,NA,NA,0.9134615384615384
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,238,141,17.9,13.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592436974789916
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,125,103,17.9,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,145,40,17.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27586206896551724
11 Days,Rytidosperma racemosum,Danthonioideae,Danthonieae,126,31,11.46,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24603174603174602
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,41,18,20.37,2.01,1846,1911.99,569,3.36,308.23,C3,Tufted,Perennial,Crown,0.43902439024390244
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,30,9,20.37,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,88,0,17.9,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,26,0,20.37,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,37,7,25.78,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1891891891891892
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,48,81,15.6,3.08,1096,1330.02,314,4.24,286.5,NA,NA,NA,NA,1.6875
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,25,0,11.46,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,56,8,31.83,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14285714285714285
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,29,0,23,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,39,15,15.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38461538461538464
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,87,36,17.9,4.86,1112,1586.47,415,3.82,373.2,NA,NA,NA,NA,0.41379310344827586
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,30,33,15.6,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,49,22,6.45,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4489795918367347
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,28,22,23,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7857142857142857
11 Days,Rytidosperma bipartitum,Danthonioideae,Danthonieae,37,64,15.6,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7297297297297298
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,270,0,23,11.74,495,510.71,164,3.11,331.31,C3,Tufted,Perennial,Crown,0
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,123,0,17.9,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,196,0,20.37,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,274,11,17.9,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040145985401459854
4 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,227,11,15.6,14.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048458149779735685
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,231,113,20.37,11.34,446,667.77,156,4.28,349.78,NA,NA,NA,NA,0.48917748917748916
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,187,9,17.9,10.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0481283422459893
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,187,0,20.37,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,175,192,15.6,11.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0971428571428572
8 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,140,0,13.45,10.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,204,216,17.9,11.39,535,786.99,203,3.88,379.44,NA,NA,NA,NA,1.0588235294117647
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,126,31,11.46,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24603174603174602
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,141,49,11.46,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3475177304964539
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,322,89,17.9,17.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27639751552795033
11 Days,Rytidosperma setaceum,Danthonioideae,Danthonieae,125,0,13.45,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,43,46,13.45,3.2,1462,1789.7,514,3.48,351.57,C3,Tufted,Perennial,Crown,1.069767441860465
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,67,77,35.09,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1492537313432836
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,113,20,66.92,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17699115044247787
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,87,21,20.37,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2413793103448276
4 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,42,0,11.46,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,50,68,13.45,3.72,1036,1601.4,476,3.36,459.46,NA,NA,NA,NA,1.36
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,70,72,31.83,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0285714285714285
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,73,70,23,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958904109589041
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,90,78,42.1,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8666666666666667
8 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,52,0,17.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,99,85,35.09,2.82,1137,1788.33,425,4.21,373.79,NA,NA,NA,NA,0.8585858585858586
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,85,121,25.78,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.423529411764706
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,40,66,17.9,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,45,61,17.9,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3555555555555556
11 Days,Rytidosperma semiannulare,Danthonioideae,Danthonieae,130,117,45.84,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
4 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,288,116,45.84,6.28,439,990.4,138,7.18,314.35,C3,"Tufted, shortly rhizomatous",Perennial,Rhizome,0.4027777777777778
4 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,266,142,45.84,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5338345864661654
4 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,323,125,53.79,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38699690402476783
4 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,277,163,66.92,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5884476534296029
4 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,240,114,23,10.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475
8 Days,Microlaena stipoides,Ehrhartoideae,Ehrharteae,239,169,31.83,7.51,452,1097.05,149,7.36,329.65,NA,NA,NA,NA,0.7071129707112971
