Month,Date,Temperature,Plant species,Genus,Family,Origin,Horticutural variety,Colour,Flower N,Insect taxa,N,TotalN,Native bee genera,counts?,notes
October,25/10/2020,34.9,Chamelaucium x Verticordia,Chamelaucium,Myrtaceae,native,y,pink,100,Wasps,0,,,,
October,25/10/2020,34.9,Chamelaucium x Verticordia,Chamelaucium,Myrtaceae,native,y,pink,100,Syrphid flies,0,,,,
October,25/10/2020,34.9,Chamelaucium x Verticordia,Chamelaucium,Myrtaceae,native,y,pink,100,Other flies,0,,,,
October,25/10/2020,34.9,Eremophila maculata,Eremophila,Scrophulariaceae,native,n,pink,18,Native bees,0,3,,,
October,25/10/2020,34.9,Eremophila maculata,Eremophila,Scrophulariaceae,native,n,pink,18,Honeybees,0,,,,
October,25/10/2020,34.9,Eremophila maculata,Eremophila,Scrophulariaceae,native,n,pink,18,Wasps,0,,,,
October,25/10/2020,34.9,Eremophila maculata,Eremophila,Scrophulariaceae,native,n,pink,18,Syrphid flies,3,,,,
October,25/10/2020,34.9,Eremophila maculata,Eremophila,Scrophulariaceae,native,n,pink,18,Other flies,0,,,,
October,25/10/2020,34.9,Chorizema cordatum ,Chorizema,Fabaceae,native,n,orange/pink,120,Native bees,2,3,Megachile (2),,
October,25/10/2020,34.9,Chorizema cordatum ,Chorizema,Fabaceae,native,n,orange/pink,120,Honeybees,1,,,,
October,25/10/2020,34.9,Chorizema cordatum ,Chorizema,Fabaceae,native,n,orange/pink,120,Wasps,0,,,,
October,25/10/2020,34.9,Chorizema cordatum ,Chorizema,Fabaceae,native,n,orange/pink,120,Syrphid flies,0,,,,
October,25/10/2020,34.9,Chorizema cordatum ,Chorizema,Fabaceae,native,n,orange/pink,120,Other flies,0,,,,
October,25/10/2020,34.9,Grevillea 'Cooroora Cascade’ ,Grevillea,Proteaceae,native,y,yellow,20,Native bees,0,13,,,
October,25/10/2020,34.9,Grevillea 'Cooroora Cascade’ ,Grevillea,Proteaceae,native,y,yellow,20,Honeybees,13,,,,
October,25/10/2020,34.9,Grevillea 'Cooroora Cascade’ ,Grevillea,Proteaceae,native,y,yellow,20,Wasps,0,,,,
October,25/10/2020,34.9,Grevillea 'Cooroora Cascade’ ,Grevillea,Proteaceae,native,y,yellow,20,Syrphid flies,0,,,,
October,25/10/2020,34.9,Grevillea 'Cooroora Cascade’ ,Grevillea,Proteaceae,native,y,yellow,20,Other flies,0,,,,
October,25/10/2020,34.9,Babingtonia virgata,Babingtonia,Myrtaceae,native,n,white,300,Native bees,3,16,"Megachile (2), Exonuera (1)",,
October,25/10/2020,34.9,Babingtonia virgata,Babingtonia,Myrtaceae,native,n,white,300,Honeybees,8,,,,
October,25/10/2020,34.9,Babingtonia virgata,Babingtonia,Myrtaceae,native,n,white,300,Wasps,0,,,,
October,25/10/2020,34.9,Babingtonia virgata,Babingtonia,Myrtaceae,native,n,white,300,Syrphid flies,0,,,,
October,25/10/2020,34.9,Babingtonia virgata,Babingtonia,Myrtaceae,native,n,white,300,Other flies,5,,,,
October,25/10/2020,34.9,Chrysocephalum apiculatum ,Chrysocephalum,Asteraceae,native,n,yellow,200,Native bees,1,2,Lipotriches,,
October,25/10/2020,34.9,Chrysocephalum apiculatum ,Chrysocephalum,Asteraceae,native,n,yellow,200,Honeybees,0,,,,
October,25/10/2020,34.9,Chrysocephalum apiculatum ,Chrysocephalum,Asteraceae,native,n,yellow,200,Wasps,1,,,,
October,25/10/2020,34.9,Chrysocephalum apiculatum ,Chrysocephalum,Asteraceae,native,n,yellow,200,Syrphid flies,0,,,,
October,25/10/2020,34.9,Chrysocephalum apiculatum ,Chrysocephalum,Asteraceae,native,n,yellow,200,Other flies,0,,,,
October,25/10/2020,34.9,"
Melaleuca filifolia",Melaleuca,Myrtaceae,native,n,purple,150,Native bees,0,4,,,
October,25/10/2020,34.9,"
Melaleuca filifolia",Melaleuca,Myrtaceae,native,n,purple,150,Honeybees,4,,,,
October,25/10/2020,34.9,"
Melaleuca filifolia",Melaleuca,Myrtaceae,native,n,purple,150,Wasps,0,,,,
October,25/10/2020,34.9,"
Melaleuca filifolia",Melaleuca,Myrtaceae,native,n,purple,150,Syrphid flies,0,,,,
October,25/10/2020,34.9,"
Melaleuca filifolia",Melaleuca,Myrtaceae,native,n,purple,150,Other flies,0,,,,
October,25/10/2020,34.9,Hemiandra pungens,Hemiandra,Lamiaceae,native,n,purple,5,Native bees,0,0,,,
October,25/10/2020,34.9,Hemiandra pungens,Hemiandra,Lamiaceae,native,n,purple,5,Honeybees,0,,,,
October,25/10/2020,34.9,Hemiandra pungens,Hemiandra,Lamiaceae,native,n,purple,5,Wasps,0,,,,
October,25/10/2020,34.9,Hemiandra pungens,Hemiandra,Lamiaceae,native,n,purple,5,Syrphid flies,0,,,,
October,25/10/2020,34.9,Hemiandra pungens,Hemiandra,Lamiaceae,native,n,purple,5,Other flies,0,,,,
October,25/10/2020,34.9,Grevillea 'Fire Sprite',Grevillea,Proteaceae,native,y,orange,50,Native bees,0,6,,,
October,25/10/2020,34.9,Grevillea 'Fire Sprite',Grevillea,Proteaceae,native,y,orange,50,Honeybees,6,,,,
October,25/10/2020,34.9,Grevillea 'Fire Sprite',Grevillea,Proteaceae,native,y,orange,50,Wasps,0,,,,
October,25/10/2020,34.9,Grevillea 'Fire Sprite',Grevillea,Proteaceae,native,y,orange,50,Syrphid flies,0,,,,
October,25/10/2020,34.9,Grevillea 'Fire Sprite',Grevillea,Proteaceae,native,y,orange,50,Other flies,0,,,,
October,25/10/2020,34.9,Anigozanthos 'Ruby Velvet',Anigozanthos,Haemodoraceae,native,y,red,40,Native bees,0,8,,,
October,25/10/2020,34.9,Anigozanthos 'Ruby Velvet',Anigozanthos,Haemodoraceae,native,y,red,40,Honeybees,8,,,,
October,25/10/2020,34.9,Anigozanthos 'Ruby Velvet',Anigozanthos,Haemodoraceae,native,y,red,40,Wasps,0,,,,
October,25/10/2020,34.9,Anigozanthos 'Ruby Velvet',Anigozanthos,Haemodoraceae,native,y,red,40,Syrphid flies,0,,,,
October,25/10/2020,34.9,Anigozanthos 'Ruby Velvet',Anigozanthos,Haemodoraceae,native,y,red,40,Other flies,0,,,,
October,25/10/2020,34.9,"
Stylidium graminifolium",Stylidium,Stylidiaceae,native,n,purple,40,Native bees,0,11,,,
October,25/10/2020,34.9,"
Stylidium graminifolium",Stylidium,Stylidiaceae,native,n,purple,40,Honeybees,0,,,,
October,25/10/2020,34.9,"
Stylidium graminifolium",Stylidium,Stylidiaceae,native,n,purple,40,Wasps,0,,,,
October,25/10/2020,34.9,"
Stylidium graminifolium",Stylidium,Stylidiaceae,native,n,purple,40,Syrphid flies,11,,,,
October,25/10/2020,34.9,"
Stylidium graminifolium",Stylidium,Stylidiaceae,native,n,purple,40,Other flies,0,,,,
October,25/10/2020,34.9,Senna artemisioides,Senna,Fabaceae,native,n,yellow,200,Native bees,0,4,,,
October,25/10/2020,34.9,Senna artemisioides,Senna,Fabaceae,native,n,yellow,200,Honeybees,0,,,,
October,25/10/2020,34.9,Senna artemisioides,Senna,Fabaceae,native,n,yellow,200,Wasps,0,,,,
October,25/10/2020,34.9,Senna artemisioides,Senna,Fabaceae,native,n,yellow,200,Syrphid flies,4,,,,
October,25/10/2020,34.9,Senna artemisioides,Senna,Fabaceae,native,n,yellow,200,Other flies,0,,,,
October,25/10/2020,34.9,Conostylis candicans,Conostylis,Haemodoraceae,native,n,yellow,20,Native bees,0,1,,,
October,25/10/2020,34.9,Conostylis candicans,Conostylis,Haemodoraceae,native,n,yellow,20,Honeybees,0,,,,
October,25/10/2020,34.9,Conostylis candicans,Conostylis,Haemodoraceae,native,n,yellow,20,Wasps,0,,,,
October,25/10/2020,34.9,Conostylis candicans,Conostylis,Haemodoraceae,native,n,yellow,20,Syrphid flies,1,,,,
October,25/10/2020,34.9,Conostylis candicans,Conostylis,Haemodoraceae,native,n,yellow,20,Other flies,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,blue,10,Native bees,0,2,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,blue,10,Honeybees,0,,,,
October,25/10/2020,34.9,Dianella revoluta,Dianella,Asphodelaceae ,native,n,blue,10,Wasps,0,,,,
