Site,"Latitude, Longitude",Month of Survey,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Hoverfly,Mosquito,Bee or fly ,Honeybee,Wasp?,flying black unknown,bug,spider,white flying insect,brown unknown,flying unknown,beetle,aphid,slater?,moth,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,3,male,5,,,,,,,,,,,,,,,1,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,3,female,4,,5,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,4,male,6,1,1,,,,,,,,,,,,1,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,4,female,1,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,5,male,6,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,5,female,1,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,6,male,5,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,1pm,6,female,1,,10,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,1,male,11,,18,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,3,female,4,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,4,male,6,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,4,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,5,male,6,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,1,4pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,7:30am,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,7:30am,3,female,5,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,1,male,11,,14,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,2,male,10,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,3,female,5,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,4,male,6,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,4,female,1,,1,1,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,6,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,10am,6,female,1,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,1,male,11,,10,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,2,male,10,,7,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,3,female,5,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,4,male,6,,5,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,4,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,5,male,6,,5,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,6,male,5,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,1pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,1,male,11,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,2,male,10,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,3,female,5,,1,,,,,,,,,,,,,,,1,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,4,male,6,,1,,,,,,,,,,,,,,1,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,4,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,5,male,6,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,6,male,5,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,2,4pm,6,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,1,male,11,,25,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,2,male,10,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,4,male,6,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,4,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,5,male,6,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,6,male,6,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,10am,6,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,1,male,11,,10,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,2,male,10,1,7,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,3,male,5,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,3,female,5,,,,1,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,4,male,6,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,4,female,1,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,5,male,6,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,5,female,1,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,6,male,6,,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,1pm,6,female,1,,1,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,1,male,11,,4,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,2,male,10,,,1,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,2,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,4,male,6,1,3,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,4pm,4,female,1,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,6:30pm,1,male,11,,,,,,,,,,,,,,,,,,1,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,6:30pm,1,female,0,,,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,6:30pm,6,male,6,,2,,,,,,,,,,,,,,,,,,
Agnes Banks Nature Reserve,"33°39′S, 150°41′E",May-03,3,6:30pm,6,female,1,,,,,,,,,,,,,,,,,,,,
