species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),flowering_time_start,flowering_time_end
Lophopetalum arnhemicum,dry,capsule,dry,seed winged,NA,NA,NA,NA,NA,NA
Ludwigia adscendens,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Ludwigia hyssopifolia,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Ludwigia octovalvis,dry,capsule,dry,seed containing a sac of air,NA,NA,NA,NA,NA,NA
Ludwigia perennis,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Lumnitzera littorea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Lumnitzera racemosa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana casuarinae,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana exocarpi,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana filifolia,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana linearifolia,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana maritima,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana murrayi,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana spathulata,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lysiana subfalcata,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Lythrum hyssopifolia,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Lythrum junceum,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Lythrum paradoxum,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Lythrum salicaria,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Lythrum wilsonii,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia claudiensis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia grandis,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia integrifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia jansenii,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia ternifolia,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia tetraphylla,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Macadamia whelanii,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Maclura cochinchinensis,dry,achene,dry,NA,NA,NA,NA,NA,NA,NA
Macropidia fuliginosa,NA,NA,NA,NA,NA,NA,NA,NA,8,12
Maniltoa lenticellata,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Maytenus bilocularis,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus cunninghamii,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus disperma,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus emarginata,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus fasciculiflora,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus ferdinandi,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Maytenus silvestris,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Megahertzia amplexicaulis,dry,follicle,dry,NA,NA,NA,NA,NA,6,9
Meiogyne cylindrocarpa,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Meiogyne hirsuta,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,12
Meiogyne stenopetala,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,4
Meiogyne verrucosa,fleshy,berry,fleshy,NA,NA,NA,NA,NA,7,11
Melastoma affine,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Melodorum crassipetalum,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,12
Melodorum leichhardtii,fleshy,berry,fleshy,NA,NA,NA,NA,NA,9,12
Melodorum rupestre,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,4
Melodorum scabridulum,fleshy,berry,fleshy,NA,NA,NA,NA,NA,12,2
Melodorum topazensis,fleshy,berry,fleshy,NA,NA,NA,NA,NA,4,4
Melodorum uhrii,fleshy,berry,fleshy,NA,NA,NA,NA,NA,2,5
Melodorum unguiculatum,fleshy,berry,fleshy,NA,NA,NA,NA,NA,12,2
Memecylon arnhemensis,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Memecylon hylandii,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Miliusa brahei,NA,NA,NA,NA,NA,NA,NA,NA,9,12
Miliusa horsfieldii,NA,NA,NA,NA,NA,NA,NA,NA,9,11
Miliusa traceyi,NA,NA,NA,NA,NA,NA,NA,NA,9,12
Milligania densiflora,dry,capsule,dry,NA,NA,NA,NA,NA,11,12
Milligania johnstonii,dry,capsule,dry,NA,NA,NA,NA,NA,12,2
Milligania lindoniana,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Milligania longifolia,dry,capsule,dry,NA,NA,NA,NA,NA,11,2
Milligania stylosa,dry,capsule,dry,NA,NA,NA,NA,NA,12,3
Mischocarpus albescens,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus anodontus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus australis,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus exangulatus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus grandissimus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus lachnocarpus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus macrocarpus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus pyriformis,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mischocarpus stipitatus,dry,capsule,fleshy,"pericarp, aril, arillode",NA,NA,NA,NA,NA,NA
Mitrella tiwiensis,NA,NA,NA,NA,NA,NA,NA,NA,12,12
Mitrephora diversifolia,NA,NA,NA,NA,NA,NA,NA,NA,10,3
Molineria capitulata,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Muellerina celastroides,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Muellerina eucalyptoides,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Muellerina myrtifolia,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Murchisonia fragrans,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Murchisonia volubilis,dry,capsule,dry,NA,NA,NA,NA,NA,8,8
Musa banksii,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Musa fitzalanii,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Musa jackeyi,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Musgravea heterophylla,dry,follicle,dry,NA,NA,NA,NA,NA,3,4
Musgravea stenostachya,dry,follicle,dry,NA,NA,NA,NA,NA,12,1
Myosurus australis,NA,NA,NA,NA,NA,NA,NA,NA,7,11
Myristica insipida,fleshy,drupe,fleshy,thick and succulent pericarp; aril,NA,NA,NA,NA,NA,NA
Neoastelia spectabilis,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,12
Neolitsea australiensis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,3,5
Neolitsea brassii,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,4
Neolitsea dealbata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,3,6
Neorites kevediana,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Neostrearia fleckeri,dry,capsule,dry,NA,NA,NA,10,NA,NA,NA
Neptunia amplexicaulis,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Neptunia dimorphantha,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Neptunia gracilis,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Neptunia major,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Neptunia monosperma,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Nesaea arnhemica,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Nesaea crinipes,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Nesaea muelleri,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Nesaea repens,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Nesaea striatiflora,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Noahdendron nicholasii,dry,capsule,dry,NA,NA,NA,7,NA,NA,NA
Nothocnide repanda,dry,achene,dry,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,dry,nut,dry,NA,NA,NA,NA,NA,NA,NA
Nothofagus gunnii,dry,nut,dry,NA,NA,NA,NA,NA,NA,NA
Nothofagus moorei,dry,nut,dry,NA,NA,NA,NA,NA,NA,NA
Notothixos cornifolius,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Notothixos incanus,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Notothixos leiophyllus,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Notothixos subaureus,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Nuytsia floribunda,fleshy,berry,fleshy,NA,NA,NA,NA,NA,11,1
Olax angulata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax aphylla,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax aurantia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax benthamiana,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax obcordata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax pendula,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax phyllanthi,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax retusa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax scalariformis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax spartea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Olax stricta,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Omphacomeria acerba,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Opilia amentacea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Opisthiolepis heterophylla,dry,follicle,dry,NA,NA,NA,NA,NA,NA,NA
Oreodendron biflorum,dry,NA,dry,NA,NA,NA,NA,NA,NA,NA
Orites acicularis,dry,follicle,dry,NA,NA,NA,NA,NA,12,12
Orites diversifolia,dry,follicle,dry,NA,NA,NA,NA,NA,10,11
Orites excelsa,dry,follicle,dry,NA,NA,NA,NA,NA,5,10
Orites lancifolia,dry,follicle,dry,NA,NA,NA,NA,NA,12,1
Orites megacarpa,dry,follicle,dry,NA,NA,NA,NA,NA,12,3
Orites milliganii,dry,follicle,dry,NA,NA,NA,NA,NA,12,1
Orites revoluta,dry,follicle,dry,NA,NA,NA,NA,NA,12,1
Orthrosanthus laxus,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Orthrosanthus muelleri,dry,capsule,dry,NA,NA,NA,NA,NA,10,10
Orthrosanthus multiflorus,dry,capsule,dry,NA,NA,NA,NA,NA,9,12
Orthrosanthus polystachyus,dry,capsule,dry,NA,NA,NA,NA,NA,10,11
Osbeckia australiana,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Ostrearia australiana,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Pachygone ovata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,6,8
Palmeria foremanii,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,3,8
Palmeria hypotephra,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,5,10
Palmeria scandens,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,5,9
Parapachygone longifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,11
Pararistolochia australopithecurus,dry,utricle,dry,NA,NA,NA,NA,NA,10,11
Pararistolochia deltantha,dry,utricle,dry,NA,NA,NA,NA,NA,9,1
Pararistolochia laheyana,dry,utricle,dry,NA,NA,NA,NA,NA,12,4
Pararistolochia linearifolia,dry,utricle,dry,NA,NA,NA,NA,NA,12,2
Pararistolochia peninsulensis,dry,utricle,dry,NA,NA,NA,NA,NA,11,1
Pararistolochia praevenosa,dry,utricle,dry,NA,NA,NA,NA,NA,10,11
Pararistolochia sparusifolia,dry,utricle,dry,NA,NA,NA,NA,NA,11,1
Paraserianthes toona,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Parietaria cardiostegia,dry,achene,dry,NA,NA,NA,NA,NA,NA,NA
Parietaria debilis,dry,achene,dry,NA,NA,NA,NA,NA,NA,NA
Patersonia argyrea,dry,capsule,dry,NA,NA,NA,NA,NA,9,11
Patersonia babianoides,dry,capsule,dry,NA,NA,NA,NA,NA,9,11
Patersonia drummondii,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,10
Patersonia fragilis,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,12
Patersonia glabrata,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,10
Patersonia graminea,dry,capsule,fleshy,aril,NA,NA,NA,NA,9,10
Patersonia inaequalis,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,10
Patersonia juncea,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,10
Patersonia lanata,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Patersonia limbata,dry,capsule,dry,NA,NA,NA,NA,NA,9,10
Patersonia macrantha,dry,capsule,dry,NA,NA,NA,NA,NA,1,3
Patersonia maxwellii,dry,capsule,dry,NA,NA,NA,NA,NA,9,11
Patersonia occidentalis,dry,capsule,dry,NA,NA,NA,NA,NA,9,12
Patersonia pygmaea,dry,capsule,fleshy,aril,NA,NA,NA,NA,8,11
Patersonia rudis,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Patersonia sericea,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Patersonia umbrosa,dry,capsule,fleshy,aril,NA,NA,NA,NA,NA,NA
Peltophorum pterocarpum,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Pemphis acidula,dry,capsule,dry,NA,NA,NA,NA,NA,NA,NA
Pennantia cunninghamii,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Pentaptilon careyi,dry,NA,dry,bladdery wings,NA,NA,NA,NA,8,10
Peperomia bellendenkerensis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,12
Peperomia enervis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,5
Peperomia hunteriana,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,12
Peperomia tetraphylla,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,5
Perrottetia arborescens,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Persoonia acerosa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,5
Persoonia acicularis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,8,1
Persoonia acuminata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,4
Persoonia adenantha,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,4
Persoonia amaliae,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,7
Persoonia angustiflora,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,3
Persoonia arborea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,3
Persoonia asperula,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,2
Persoonia baeckeoides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia bargoensis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia biglandulosa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,12
Persoonia bowgada,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,11
Persoonia brachystylis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia brevifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,3
Persoonia brevirhachis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,8,10
Persoonia chamaepeuce,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,3
Persoonia chamaepitys,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,1
Persoonia chapmaniana,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,11
Persoonia comata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia confertiflora,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia conjuncta,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,2
Persoonia cordifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia coriacea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia cornifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia curvifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia cuspidifera,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,3
Persoonia cymbifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia daphnoides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia dillwynioides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia elliptica,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,2
Persoonia falcata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,6,11
Persoonia fastigiata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia filiformis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia flexifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,1
Persoonia glaucescens,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,5
Persoonia graminea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia gunnii,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,5
Persoonia hakeiformis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia helix,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia hexagona,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia hirsuta,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia inconspicua,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,6,9
Persoonia iogyna,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,2
Persoonia isophylla,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,7
Persoonia juniperina,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,5
Persoonia kararae,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,11
Persoonia katerae,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,2
Persoonia lanceolata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,4
Persoonia laurina,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia laxa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia leucopogon,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,3
Persoonia levis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,4
Persoonia linearis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,5
Persoonia longifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia marginata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,2
Persoonia media,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,4
Persoonia micranthera,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,2,2
Persoonia microphylla,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,2
Persoonia mollis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Persoonia moscalii,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,2,3
Persoonia muelleri,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Persoonia myrtilloides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,4
Persoonia nutans,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,4
Persoonia oblongata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,4
Persoonia oleoides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,2
Persoonia oxycoccoides,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,4
Persoonia papillosa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,1
Persoonia pentasticha,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,8,11
Persoonia pertinax,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,3
Persoonia pinifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,3
Persoonia procumbens,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,2
Persoonia prostrata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,NA,NA
Persoonia pungens,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,12
Persoonia quinquenervis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia recedens,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia rigida,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,3
Persoonia rudis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,1
Persoonia rufa,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,2
Persoonia rufiflora,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,6,9
Persoonia saccata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,7,1
Persoonia saundersiana,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,11
Persoonia scabra,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia sericea,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,6
Persoonia silvatica,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,3
Persoonia spathulata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia stradbrokensis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,5
Persoonia striata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,12
Persoonia stricta,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,8,12
Persoonia subtilis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,1
Persoonia subvelutina,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,1,3
Persoonia sulcata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,11
Persoonia tenuifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,11,2
Persoonia teretifolia,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,10,2
Persoonia terminalis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,1
Persoonia trinervis,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,12
Persoonia tropica,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,9,1
Persoonia virgata,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,3
Persoonia volcanica,fleshy,drupe,fleshy,NA,NA,NA,NA,NA,12,2
Petalostylis cassioides,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Petalostylis labicheoides,dry,pod,dry,NA,NA,NA,NA,NA,NA,NA
Petermannia cirrosa,fleshy,berry,fleshy,NA,NA,NA,NA,NA,NA,NA
Petrophile acicularis,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile aculeata,dry,nut,dry,NA,NA,NA,NA,NA,11,11
Petrophile anceps,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile arcuata,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile aspera,dry,nut,dry,NA,NA,NA,NA,NA,8,11
Petrophile biloba,dry,nut,dry,NA,NA,NA,NA,NA,6,10
Petrophile biternata,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile brevifolia,dry,nut,dry,NA,NA,NA,NA,NA,7,12
Petrophile canescens,dry,nut,dry,NA,NA,NA,NA,NA,9,1
Petrophile carduacea,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile chrysantha,dry,nut,dry,NA,NA,NA,NA,NA,6,10
Petrophile circinata,dry,nut,dry,NA,NA,NA,NA,NA,6,11
Petrophile conifera,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile crispata,dry,nut,dry,NA,NA,NA,NA,NA,9,11
Petrophile cyathiforma,dry,nut,dry,NA,NA,NA,NA,NA,9,12
Petrophile divaricata,dry,nut,dry,NA,NA,NA,NA,NA,8,12
Petrophile diversifolia,dry,nut,dry,NA,NA,NA,NA,NA,9,12
Petrophile drummondii,dry,nut,dry,NA,NA,NA,NA,NA,8,12
Petrophile ericifolia,dry,nut,dry,NA,NA,NA,NA,NA,NA,NA
Petrophile fastigiata,dry,nut,dry,NA,NA,NA,NA,NA,9,11
Petrophile glauca,dry,nut,dry,NA,NA,NA,NA,NA,8,11
Petrophile helicophylla,dry,nut,dry,NA,NA,NA,NA,NA,10,2
Petrophile heterophylla,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile imbricata,dry,nut,dry,NA,NA,NA,NA,NA,8,9
Petrophile incurvata,dry,nut,dry,NA,NA,NA,NA,NA,10,10
Petrophile linearis,dry,nut,dry,NA,NA,NA,NA,NA,8,11
Petrophile longifolia,dry,nut,dry,NA,NA,NA,NA,NA,7,3
Petrophile macrostachya,dry,nut,dry,NA,NA,NA,NA,NA,7,11
Petrophile media,dry,nut,dry,NA,NA,NA,NA,NA,8,2
Petrophile megalostegia,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile merrallii,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile misturata,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile multisecta,dry,nut,dry,NA,NA,NA,NA,NA,10,2
Petrophile pauciflora,dry,nut,dry,NA,NA,NA,NA,NA,9,9
Petrophile pedunculata,dry,nut,dry,NA,NA,NA,NA,NA,10,1
Petrophile phylicoides,dry,nut,dry,NA,NA,NA,NA,NA,9,12
Petrophile plumosa,dry,nut,dry,NA,NA,NA,NA,NA,7,11
Petrophile pulchella,dry,nut,dry,NA,NA,NA,NA,NA,8,3
Petrophile recurva,dry,nut,dry,NA,NA,NA,NA,NA,8,10
Petrophile rigida,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile scabriuscula,dry,nut,dry,NA,NA,NA,NA,NA,5,10
Petrophile semifurcata,dry,nut,dry,NA,NA,NA,NA,NA,9,11
Petrophile seminuda,dry,nut,dry,NA,NA,NA,NA,NA,9,11
Petrophile serruriae,dry,nut,dry,NA,NA,NA,NA,NA,7,12
Petrophile sessilis,dry,nut,dry,NA,NA,NA,NA,NA,5,2
Petrophile shirleyae,dry,nut,dry,NA,NA,NA,NA,NA,10,2
Petrophile shuttleworthiana,dry,nut,dry,NA,NA,NA,NA,NA,9,10
Petrophile squamata,dry,nut,dry,nut winged,NA,NA,NA,NA,7,12
