SPECIES,growth form,height (cm),plant longevity,leaf area (mm2),storage organ present,diaspore weight (mg),seed mass (mg),plant_height_duplicate,height (cm)_filtered
Sclerolaena diacantha,subshrub,20,perennial,17,0,14,2.316,NA,20
Thysanotus baueri,forb,40,perennial,300,1,0,0,NA,40
Goodenia glauca,forb,20,perennial,390,0,0,0,Duplicate of Barlow_1981_1749,NA
Verbena officinalis,forb,80,perennial,200,0,0.4137,0.4115,NA,80
Glycine clandestina,climber,200,perennial,93,0,4.3,4.3,NA,200
Acacia aneura,tree,1500,perennial,583,0,21.864,21.571,NA,1500
Acacia brachystachya,tree,500,perennial,153,0,36.123,35.622,NA,500
Acacia homalophylla,tree,1000,perennial,260,0,14.67,14.5937,NA,1000
Solanum nigrum,forb,100,biennial,4000,0,14.3,0.25,NA,100
Acacia ligulata,shrub,400,perennial,238,0,39.711,36.141,NA,400
Acacia tetragonophylla,shrub,400,perennial,20,0,20.76,14.76,NA,400
Enchylaena tomentosa,shrub,150,perennial,20,0,12.807,2.047,NA,150
Pimelea microcephala,shrub,200,perennial,19,0,35,4.02,NA,200
Scaevola spinescens,shrub,100,perennial,29,0,0,0,NA,100
Solanum ferrocissimum var. ferro.,shrub,130,perennial,60,0,22.44,2.53,NA,130
Acacia colletioides,shrub,300,perennial,26,0,12.81,11.56,NA,300
Apophyllum anomalum,shrub,400,perennial,20,0,0,35.36,NA,400
Duboisia hopwoodii,shrub,300,perennial,300,0,0,0.45,NA,300
Myoporum montanum,shrub,300,perennial,725,0,46.8,1.636,NA,300
Nitraria billardierei,shrub,200,perennial,167,0,179.35,7.4,Duplicate of WAH_1998_4500,NA
Rhagodia spinescens,shrub,150,perennial,42,0,3.043,0.584,NA,150
Einadia nutans,subshrub,30,perennial,667,0,1.067,0.6,NA,30
Solanum quadriloculatum,subshrub,30,perennial,2267,0,0,1.465,NA,30
Dianella revoluta,forb,150,perennial,2133,1,6.5,5.83,Duplicate of WAH_1998_1717,NA
Haloragis glauca,forb,50,perennial,152,0,0,0,Duplicate of Barlow_1981_2622,NA
Solanum ellipticum,forb,40,perennial,1300,0,0,1.04,NA,40
Solanum esuriale,forb,30,perennial,280,0,170.828,1.41,NA,30
Dianella laevis,forb,150,perennial,2133,0,0,5.644,NA,150
Haloragis aspera,forb,25,perennial,233,0,4.387,0,Duplicate of Barlow_1981_2612,NA
Amyema maidenii,stem parasite,300,perennial,327,0,0,0,NA,300
Amyema miquelii,stem parasite,300,perennial,1247,0,0,0,NA,300
Lysiana subfalcata,stem parasite,500,perennial,520,0,0,0,NA,500
Santalum acuminatum,root parasite,500,perennial,280,0,1925.5,648.9,NA,500
Exocarpus aphyllus,root parasite,400,perennial,1,0,37.98,23.856,NA,400
Jasminum lineare,climber,400,perennial,217,0,85.1,41.59,NA,400
Capparis mitchellii,tree,600,perennial,533,0,5824,106.4,NA,600
Pittosporum phylliraeoides,tree,600,perennial,282,0,18.278,12.96,NA,600
Eremophila bignoniiflora,tree,700,perennial,560,0,257.11,0.013,NA,700
Heterodendrum oleifolium,tree,900,perennial,525,0,65.522,40.5,NA,900
Eremophila glabra,shrub,150,perennial,107,0,44.3,1.93,NA,150
Eremophila longifolia,shrub,300,perennial,440,0,154.21,1.262,NA,300
Eremophila maculata,shrub,150,perennial,73,0,472.9,0.269,NA,150
Calotis hispidula,forb,5,annual,100,0,0.8806,0.382,NA,5
Daucus glochidiatus,forb,20,annual,27,0,2.24,1.16,Duplicate of WAH_1998_1681,NA
Erodium cicutarium,forb,40,annual,61,0,3.811,0.845,NA,40
Omphalolappula concava,forb,15,annual,58,0,0,0,NA,15
Erodium malacoides,forb,50,annual,800,0,0,0,NA,50
Medicago laciniata,forb,5,annual,15,0,46.85,2.024,NA,5
Medicago minima,forb,5,annual,20,0,0,0,NA,5
Medicago polymorpha,forb,50,annual,103,0,16.41,2.481,NA,50
Triglochin calcitrapum,forb,15,annual,67,0,0.424,0.13,NA,15
Xanthium occidentale,forb,200,annual,3500,0,0,0,NA,200
Hordeum leporinum,grass,45,annual,533,0,5.2625,1.93,NA,45
Agrostis avenacea var. avenacea,grass,70,annual,320,0,0.1228,0.101,Duplicate of Hughes_1992_085,NA
Bromus arenarius,grass,45,annual,0,0,7.07,0,NA,45
Dissocarpus paradoxus,subshrub,50,biennial,20,0,198.6,3.297,NA,50
Calotis cuneifolia,forb,60,biennial,533,0,0.7449,0.488,NA,60
Cynoglossum australe,forb,100,biennial,2400,0,10.88,1.171,NA,100
Erodium crinitum,forb,90,biennial,47,1,7.918,1.656,NA,90
Aristida contorta,grass,30,biennial,30,0,2.85,1.309,NA,30
Stipa variabilis,grass,80,biennial,1100,0,1.22,0.379,Duplicate of GrassBase_2014_0197,NA
Aristida browniana,grass,70,biennial,100,0,0,0,NA,70
Stipa scabra,grass,80,biennial,183,0,1.4,0.479,NA,80
Boerhavia dominii,forb,20,perennial,200,1,2.54,0.196,NA,20
Calotis lappulacea,forb,50,perennial,67,1,0.215,0,NA,50
Agropyron scabrum var. plurinerve,grass,100,perennial,80,0,2.33,0,NA,100
Aristida armata,grass,80,perennial,100,0,0,0,NA,80
Aristida behriana,grass,30,perennial,100,0,5.5,1.506,NA,30
Aristida jerichoensis,grass,90,perennial,175,0,1.3904,0.407,NA,90
Aristida obscura,grass,30,perennial,13,0,2.443,0,NA,30
Bothriochloa decipiens,grass,150,perennial,350,0,0,0,NA,150
Eulalia fulva,grass,90,perennial,600,0,1.1,0.33,NA,90
Stipa nitida,grass,80,perennial,400,0,0.26,0.03,NA,80
Themeda australis,grass,150,perennial,700,0,8.35,1.964,NA,150
Chloris acicularis,grass,105,perennial,800,0,0,0,NA,105
Danthonia caespitosa,grass,90,perennial,600,0,0,0,Duplicate of GrassBase_2014_0847,NA
Stipa tuckeri,grass,50,perennial,533,0,0,0,Duplicate of GrassBase_2014_0196,NA
Calotis inermis,forb,16,annual,250,0,0.8572,0.641,NA,16
Helipterum australe,forb,12,annual,67,0,0,0,Duplicate of WAH_1998_6447,NA
Helipterum floribundum,forb,40,annual,20,0,0.5759,0.3,NA,40
Helipterum jessenii,forb,16,annual,13,0,0.2905,0.28,NA,16
Hypochaeris glabra,forb,40,annual,2000,0,0,0,NA,40
Hypochaeris microcephala var. albiflora,forb,15,annual,53,0,0.576,0.4,NA,15
Pimelea simplex,forb,50,annual,23,0,1.07,0.67,Duplicate of Barlow_1981_3557,NA
Pimelea trichostachya,forb,75,annual,13,0,1.64,1.31,Duplicate of Barlow_1981_3578,NA
Podolepis canescens,forb,40,annual,333,0,0.29,0.27,NA,40
Ptilotus gaudichaudii,forb,50,annual,67,0,7.74,1.78,NA,50
Senecio glossanthus,forb,50,annual,140,0,0.188,0.175,Duplicate of WAH_1998_5528,NA
Senecio runcinifolius,forb,100,annual,800,0,0,0,NA,100
Sonchus oleraceus,forb,100,annual,1600,0,0.29,0.25,NA,100
Atriplex holocarpa,forb,30,annual,53,0,7.24,2.895,NA,30
Craspedia chrysantha,forb,25,annual,15,0,0.345,0.2315,NA,25
Helipterum corymbiflorum,forb,30,annual,50,0,1.15,0.991,NA,30
Helipterum molle,forb,30,annual,327,0,1.374,1.244,NA,30
Helipterum moschatum,forb,40,annual,41,0,0,0,NA,40
Helipterum strictum,forb,50,annual,40,0,4.048,1.02,Duplicate of WAH_1998_5290,NA
Ptilotus leucocoma,forb,25,annual,67,0,2.05,0.56,NA,25
Enneapogon avenaceus,grass,30,annual,320,0,2.05,0.579,NA,30
Salsola kali,subshrub,70,biennial,100,0,2.2,0.88,NA,70
Hypochaeris radicata,forb,80,biennial,2000,0,0.5012,0.441,NA,80
Ptilotus polystachyus,forb,100,biennial,333,0,4.17,1.462,NA,100
Ixiolaena brevicompta,forb,60,biennial,73,0,0.36,0.34,NA,60
Ixiolaena tomentosa,forb,30,biennial,40,0,0.2,0.19,Duplicate of WAH_1998_3658,NA
