find,dataset_id,still_to_match,stripped_name,stripped_name2,cleaned_name,trinomial,binomial,genus,replace_new,reason_new,fuzzy_match_genus,fuzzy_match_genus_known,fuzzy_match_genus_APNI,fuzzy_match_binomial,fuzzy_match_binomial_APC_known,fuzzy_match_trinomial,fuzzy_match_trinomial_known,fuzzy_match_cleaned_APC,fuzzy_match_cleaned_APC_known,fuzzy_match_cleaned_APNI,fuzzy_match_cleaned_APC_imprecise,fuzzy_match_cleaned_APC_known_imprecise,fuzzy_match_cleaned_APNI_imprecise,taxonomic_ref,taxonomic_resolution
Eremophila latrobei subsp. indeterminate,RussellSmith_2014,match_14_known,eremophila latrobei indeterminate,eremophila latrobei indeterminate,Eremophila latrobei subsp. indeterminate,eremophila latrobei indeterminate,eremophila latrobei,Eremophila,Eremophila latrobei,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Eremophila,Exemophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Eremophila platythamnos subsp. Mereeni (G.J.Leach 1184),RussellSmith_2014,match_06_known,eremophila platythamnos mereeni g j leach 1184,eremophila platythamnos mereeni g j leach 1184,Eremophila platythamnos subsp. Mereeni (G.J.Leach 1184),eremophila platythamnos mereeni,eremophila platythamnos,Eremophila,Eremophila platythamnos subsp. Mereeni (G.J.Leach 1184),match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Eremophila,Exemophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Eremophila sp. MacDonnell Ranges (M.J.A.Barritt 693),RussellSmith_2014,match_07_fuzzy_known,eremophila sp macdonnell ranges m j a barritt 693,eremophila macdonnell ranges m j a barritt 693,Eremophila sp. MacDonnell Ranges (M.J.A.Barritt 693),eremophila macdonnell ranges,eremophila macdonnell,Eremophila,Eremophila sp. Macdonnell Ranges (M.J.A.Barritt 693),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Eremophila,Exemophila,NA,NA,NA,NA,NA,NA,eremophila sp macdonnell ranges m j a barritt 693,NA,NA,NA,NA,NA,Species
Eucalyptus apodophylla subsp. apodophylla,RussellSmith_2014,match_06_known,eucalyptus apodophylla apodophylla,eucalyptus apodophylla apodophylla,Eucalyptus apodophylla subsp. apodophylla,eucalyptus apodophylla apodophylla,eucalyptus apodophylla,Eucalyptus,Eucalyptus apodophylla subsp. apodophylla,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Eucalyptus apodophylla subsp. indeterminate,RussellSmith_2014,match_14_accepted,eucalyptus apodophylla indeterminate,eucalyptus apodophylla indeterminate,Eucalyptus apodophylla subsp. indeterminate,eucalyptus apodophylla indeterminate,eucalyptus apodophylla,Eucalyptus,Eucalyptus apodophylla,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Eucalyptus helenae,RussellSmith_2014,match_06_known,eucalyptus helenae,eucalyptus helenae,Eucalyptus helenae,NA,eucalyptus helenae,Eucalyptus,Eucalyptus helenae,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Eucalyptus pruinosa subsp. indeterminate,RussellSmith_2014,match_14_accepted,eucalyptus pruinosa indeterminate,eucalyptus pruinosa indeterminate,Eucalyptus pruinosa subsp. indeterminate,eucalyptus pruinosa indeterminate,eucalyptus pruinosa,Eucalyptus,Eucalyptus pruinosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Euphorbia tannensis subsp. indeterminate,RussellSmith_2014,match_14_known,euphorbia tannensis indeterminate,euphorbia tannensis indeterminate,Euphorbia tannensis subsp. indeterminate,euphorbia tannensis indeterminate,euphorbia tannensis,Euphorbia,Euphorbia tannensis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Euphorbia,NA,Euphoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ficus aculeata var. indeterminate,RussellSmith_2014,match_14_accepted,ficus aculeata indeterminate,ficus aculeata indeterminate,Ficus aculeata var. indeterminate,ficus aculeata indeterminate,ficus aculeata,Ficus,Ficus aculeata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ficus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ficus aculeata var. orbicularis,RussellSmith_2014,match_07_fuzzy_known,ficus aculeata orbicularis,ficus aculeata orbicularis,Ficus aculeata var. orbicularis,ficus aculeata orbicularis,ficus aculeata,Ficus,Ficus aculeata var. orbicularis MS,match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Ficus,NA,NA,NA,NA,NA,NA,NA,ficus aculeata orbicularis ms,NA,NA,NA,NA,NA,Varietas
Ficus virens var. indeterminate,RussellSmith_2014,match_14_accepted,ficus virens indeterminate,ficus virens indeterminate,Ficus virens var. indeterminate,ficus virens indeterminate,ficus virens,Ficus,Ficus virens,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ficus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Gardenia ewartii subsp. indeterminate,RussellSmith_2014,match_14_accepted,gardenia ewartii indeterminate,gardenia ewartii indeterminate,Gardenia ewartii subsp. indeterminate,gardenia ewartii indeterminate,gardenia ewartii,Gardenia,Gardenia ewartii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Gardenia,NA,Gardneria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Gardenia pyriformis subsp. indeterminate,RussellSmith_2014,match_14_accepted,gardenia pyriformis indeterminate,gardenia pyriformis indeterminate,Gardenia pyriformis subsp. indeterminate,gardenia pyriformis indeterminate,gardenia pyriformis,Gardenia,Gardenia pyriformis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Gardenia,NA,Gardneria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Gardenia resinosa subsp. indeterminate,RussellSmith_2014,match_14_known,gardenia resinosa indeterminate,gardenia resinosa indeterminate,Gardenia resinosa subsp. indeterminate,gardenia resinosa indeterminate,gardenia resinosa,Gardenia,Gardenia resinosa,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Gardenia,NA,Gardneria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Glycosmis sapindoides,RussellSmith_2014,match_06_known,glycosmis sapindoides,glycosmis sapindoides,Glycosmis sapindoides,NA,glycosmis sapindoides,Glycosmis,Glycosmis sapindoides,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Glycosmis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Grevillea dryandri subsp. indeterminate,RussellSmith_2014,match_14_accepted,grevillea dryandri indeterminate,grevillea dryandri indeterminate,Grevillea dryandri subsp. indeterminate,grevillea dryandri indeterminate,grevillea dryandri,Grevillea,Grevillea dryandri,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Grevillea,Grevillia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Grevillea pyramidalis subsp. indeterminate,RussellSmith_2014,match_14_accepted,grevillea pyramidalis indeterminate,grevillea pyramidalis indeterminate,Grevillea pyramidalis subsp. indeterminate,grevillea pyramidalis indeterminate,grevillea pyramidalis,Grevillea,Grevillea pyramidalis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Grevillea,Grevillia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Grevillea refracta subsp. indeterminate,RussellSmith_2014,match_14_accepted,grevillea refracta indeterminate,grevillea refracta indeterminate,Grevillea refracta subsp. indeterminate,grevillea refracta indeterminate,grevillea refracta,Grevillea,Grevillea refracta,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Grevillea,Grevillia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Hakea lorea subsp. indeterminate,RussellSmith_2014,match_14_accepted,hakea lorea indeterminate,hakea lorea indeterminate,Hakea lorea subsp. indeterminate,hakea lorea indeterminate,hakea lorea,Hakea,Hakea lorea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Hakea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Halgania cyanea var. indeterminate,RussellSmith_2014,match_14_accepted,halgania cyanea indeterminate,halgania cyanea indeterminate,Halgania cyanea var. indeterminate,halgania cyanea indeterminate,halgania cyanea,Halgania,Halgania cyanea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Halgania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Halgania cyanea var. latisepala,RussellSmith_2014,match_07_fuzzy_known,halgania cyanea latisepala,halgania cyanea latisepala,Halgania cyanea var. latisepala,halgania cyanea latisepala,halgania cyanea,Halgania,Halgania cyanea var. latisepala MS,match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Halgania,NA,NA,NA,NA,NA,NA,NA,halgania cyanea latisepala ms,NA,NA,NA,NA,NA,Varietas
Halgania solanacea var. indeterminate,RussellSmith_2014,match_14_accepted,halgania solanacea indeterminate,halgania solanacea indeterminate,Halgania solanacea var. indeterminate,halgania solanacea indeterminate,halgania solanacea,Halgania,Halgania solanacea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Halgania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Halosarcia halocnemoides subsp. indeterminate,RussellSmith_2014,match_14_known,halosarcia halocnemoides indeterminate,halosarcia halocnemoides indeterminate,Halosarcia halocnemoides subsp. indeterminate,halosarcia halocnemoides indeterminate,halosarcia halocnemoides,Halosarcia,Halosarcia halocnemoides,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),NA,Halosarcia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Halosarcia indica subsp. indeterminate,RussellSmith_2014,match_14_known,halosarcia indica indeterminate,halosarcia indica indeterminate,Halosarcia indica subsp. indeterminate,halosarcia indica indeterminate,halosarcia indica,Halosarcia,Halosarcia indica,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),NA,Halosarcia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Helicteres dentata var. dentata,RussellSmith_2014,match_06_known,helicteres dentata dentata,helicteres dentata dentata,Helicteres dentata var. dentata,helicteres dentata dentata,helicteres dentata,Helicteres,Helicteres dentata var. dentata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Helicteres dentata var. indeterminate,RussellSmith_2014,match_14_known,helicteres dentata indeterminate,helicteres dentata indeterminate,Helicteres dentata var. indeterminate,helicteres dentata indeterminate,helicteres dentata,Helicteres,Helicteres dentata,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Helicteres dentata var. procumbens,RussellSmith_2014,match_06_known,helicteres dentata procumbens,helicteres dentata procumbens,Helicteres dentata var. procumbens,helicteres dentata procumbens,helicteres dentata,Helicteres,Helicteres dentata var. procumbens,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Helicteres sp. Glenluckie Creek (N.B.Byrnes 1280),RussellSmith_2014,match_07_fuzzy_known,helicteres sp glenluckie creek n b byrnes 1280,helicteres glenluckie creek n b byrnes 1280,Helicteres sp. Glenluckie Creek (N.B.Byrnes 1280),helicteres glenluckie creek,helicteres glenluckie,Helicteres,Helicteres sp. Glenluckie Creek (N.Byrnes 1280),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,helicteres sp glenluckie creek n byrnes 1280,NA,NA,NA,NA,NA,Species
Helicteres sp. Kakadu (L.G.Adams 3089),RussellSmith_2014,match_12_known,helicteres sp kakadu l g adams 3089,helicteres kakadu l g adams 3089,Helicteres sp. Kakadu (L.G.Adams 3089),helicteres kakadu l,helicteres kakadu,Helicteres,Helicteres sp. Kakadu (L.G.Adams 3089),match_12. Automatic alignment with infraspecific canonical name in APC known names when notes are ignored (2023-05-22),Helicteres,Helipteres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Hibiscus fryxellii var. indeterminate,RussellSmith_2014,match_14_accepted,hibiscus fryxellii indeterminate,hibiscus fryxellii indeterminate,Hibiscus fryxellii var. indeterminate,hibiscus fryxellii indeterminate,hibiscus fryxellii,Hibiscus,Hibiscus fryxellii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Hibiscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Hibiscus sturtii var. indeterminate,RussellSmith_2014,match_14_accepted,hibiscus sturtii indeterminate,hibiscus sturtii indeterminate,Hibiscus sturtii var. indeterminate,hibiscus sturtii indeterminate,hibiscus sturtii,Hibiscus,Hibiscus sturtii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Hibiscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Hybanthus enneaspermus subsp. indeterminate,RussellSmith_2014,match_14_known,hybanthus enneaspermus indeterminate,hybanthus enneaspermus indeterminate,Hybanthus enneaspermus subsp. indeterminate,hybanthus enneaspermus indeterminate,hybanthus enneaspermus,Hybanthus,Hybanthus enneaspermus,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-05-22),Hybanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Hypoestes floribunda var. indeterminate,RussellSmith_2014,match_14_accepted,hypoestes floribunda indeterminate,hypoestes floribunda indeterminate,Hypoestes floribunda var. indeterminate,hypoestes floribunda indeterminate,hypoestes floribunda,Hypoestes,Hypoestes floribunda,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Hypoestes,Hypestes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Lophostemon grandiflorus subsp. indeterminate,RussellSmith_2014,match_14_accepted,lophostemon grandiflorus indeterminate,lophostemon grandiflorus indeterminate,Lophostemon grandiflorus subsp. indeterminate,lophostemon grandiflorus indeterminate,lophostemon grandiflorus,Lophostemon,Lophostemon grandiflorus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Lophostemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Melaleuca acacioides subsp. acacioides,RussellSmith_2014,match_06_known,melaleuca acacioides acacioides,melaleuca acacioides acacioides,Melaleuca acacioides subsp. acacioides,melaleuca acacioides acacioides,melaleuca acacioides,Melaleuca,Melaleuca acacioides var. acacioides,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Melaleuca acacioides subsp. alsophila,RussellSmith_2014,match_06_known,melaleuca acacioides alsophila,melaleuca acacioides alsophila,Melaleuca acacioides subsp. alsophila,melaleuca acacioides alsophila,melaleuca acacioides,Melaleuca,Melaleuca acacioides subsp. alsophila,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Melaleuca acacioides subsp. indeterminate,RussellSmith_2014,match_14_accepted,melaleuca acacioides indeterminate,melaleuca acacioides indeterminate,Melaleuca acacioides subsp. indeterminate,melaleuca acacioides indeterminate,melaleuca acacioides,Melaleuca,Melaleuca acacioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Melaleuca cajuputi subsp. indeterminate,RussellSmith_2014,match_14_accepted,melaleuca cajuputi indeterminate,melaleuca cajuputi indeterminate,Melaleuca cajuputi subsp. indeterminate,melaleuca cajuputi indeterminate,melaleuca cajuputi,Melaleuca,Melaleuca cajuputi,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Melaleuca nervosa subsp. indeterminate,RussellSmith_2014,match_14_accepted,melaleuca nervosa indeterminate,melaleuca nervosa indeterminate,Melaleuca nervosa subsp. indeterminate,melaleuca nervosa indeterminate,melaleuca nervosa,Melaleuca,Melaleuca nervosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Melaleuca sericea subsp. gracilis,RussellSmith_2014,match_07_fuzzy_known,melaleuca sericea gracilis,melaleuca sericea gracilis,Melaleuca sericea subsp. gracilis,melaleuca sericea gracilis,melaleuca sericea,Melaleuca,Melaleuca sericea subsp. gracilis MS,match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,melaleuca sericea gracilis ms,NA,NA,NA,NA,NA,Subspecies
Melaleuca sericea subsp. indeterminate,RussellSmith_2014,match_14_accepted,melaleuca sericea indeterminate,melaleuca sericea indeterminate,Melaleuca sericea subsp. indeterminate,melaleuca sericea indeterminate,melaleuca sericea,Melaleuca,Melaleuca sericea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Melaleuca sp. Red Bark (P.S.Brocklehurst 457),RussellSmith_2014,match_07_fuzzy_known,melaleuca sp red bark p s brocklehurst 457,melaleuca red bark p s brocklehurst 457,Melaleuca sp. Red Bark (P.S.Brocklehurst 457),melaleuca red bark,melaleuca red,Melaleuca,Melaleuca sp. Red Bark (P.S.Brocklehurst 457),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Melaleuca,Melalenca,NA,NA,NA,NA,NA,NA,melaleuca sp red bark p s brocklehurst 457,NA,NA,NA,NA,NA,Species
Murraya paniculata var. ovatifoliolata,RussellSmith_2014,match_06_known,murraya paniculata ovatifoliolata,murraya paniculata ovatifoliolata,Murraya paniculata var. ovatifoliolata,murraya paniculata ovatifoliolata,murraya paniculata,Murraya,Murraya paniculata var. ovatifoliolata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Murraya,Murraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Myristica insipida var. indeterminate,RussellSmith_2014,match_14_accepted,myristica insipida indeterminate,myristica insipida indeterminate,Myristica insipida var. indeterminate,myristica insipida indeterminate,myristica insipida,Myristica,Myristica insipida,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Myristica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Nitraria billardieri,RussellSmith_2014,match_06_known,nitraria billardieri,nitraria billardieri,Nitraria billardieri,NA,nitraria billardieri,Nitraria,Nitraria billardieri,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Nitraria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Pachynema diffusum,RussellSmith_2014,match_06_known,pachynema diffusum,pachynema diffusum,Pachynema diffusum,NA,pachynema diffusum,Pachynema,Pachynema diffusum,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),NA,Pachynema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Phyllanthus hebecarpus,RussellSmith_2014,match_06_known,phyllanthus hebecarpus,phyllanthus hebecarpus,Phyllanthus hebecarpus,NA,phyllanthus hebecarpus,Phyllanthus,Phyllanthus hebecarpus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Phyllanthus,Physianthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Phyllanthus sp. Roper River (R.K.Harwood 713),RussellSmith_2014,match_07_fuzzy_accepted,phyllanthus sp roper river r k harwood 713,phyllanthus roper river r k harwood 713,Phyllanthus sp. Roper River (R.K.Harwood 713),phyllanthus roper river,phyllanthus roper,Phyllanthus,Phyllanthus sp. Roper River (R.K.Harwood 713),match_07_fuzzy. Fuzzy alignment with accepted canonical name in APC (2023-05-22),Phyllanthus,Physianthus,NA,NA,NA,NA,NA,phyllanthus sp roper river r k harwood 713,NA,NA,NA,NA,NA,NA,Species
Phyllodium pulchellum var. indeterminate,RussellSmith_2014,match_14_accepted,phyllodium pulchellum indeterminate,phyllodium pulchellum indeterminate,Phyllodium pulchellum var. indeterminate,phyllodium pulchellum indeterminate,phyllodium pulchellum,Phyllodium,Phyllodium pulchellum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Phyllodium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Pityrodia lanceolata,RussellSmith_2014,match_06_known,pityrodia lanceolata,pityrodia lanceolata,Pityrodia lanceolata,NA,pityrodia lanceolata,Pityrodia,Pityrodia lanceolata,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Pityrodia,Pithyrodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Pityrodia megalophylla,RussellSmith_2014,match_06_known,pityrodia megalophylla,pityrodia megalophylla,Pityrodia megalophylla,NA,pityrodia megalophylla,Pityrodia,Pityrodia megalophylla,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Pityrodia,Pithyrodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Pluchea sp. Ormiston (H.D.V.Prendegast 66),RussellSmith_2014,match_07_fuzzy_known,pluchea sp ormiston h d v prendegast 66,pluchea ormiston h d v prendegast 66,Pluchea sp. Ormiston (H.D.V.Prendegast 66),pluchea ormiston h,pluchea ormiston,Pluchea,Pluchea sp. Ormiston (H.D.V.Prendegast 66),match_07_fuzzy. Fuzzy alignment with known canonical name in APC (2023-05-22),Pluchea,NA,NA,NA,NA,NA,NA,NA,pluchea sp ormiston h d v prendegast 66,NA,NA,NA,NA,NA,Species
Psydrax attenuata var. myrmecophila,RussellSmith_2014,match_06_accepted,psydrax attenuata myrmecophila,psydrax attenuata myrmecophila,Psydrax attenuata var. myrmecophila,psydrax attenuata myrmecophila,psydrax attenuata,Psydrax,Psydrax attenuata f. myrmecophila,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Psydrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forma
Pterocaulon serrulatum var. indeterminate,RussellSmith_2014,match_14_accepted,pterocaulon serrulatum indeterminate,pterocaulon serrulatum indeterminate,Pterocaulon serrulatum var. indeterminate,pterocaulon serrulatum indeterminate,pterocaulon serrulatum,Pterocaulon,Pterocaulon serrulatum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Pterocaulon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ptilotus aristatus var. aristatus,RussellSmith_2014,match_06_accepted,ptilotus aristatus aristatus,ptilotus aristatus aristatus,Ptilotus aristatus var. aristatus,ptilotus aristatus aristatus,ptilotus aristatus,Ptilotus,Ptilotus aristatus subsp. aristatus,match_06. Automatic alignment with synonymous term among accepted canonical names in APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subspecies
Ptilotus aristatus var. eichlerianus,RussellSmith_2014,match_06_known,ptilotus aristatus eichlerianus,ptilotus aristatus eichlerianus,Ptilotus aristatus var. eichlerianus,ptilotus aristatus eichlerianus,ptilotus aristatus,Ptilotus,Ptilotus aristatus var. eichlerianus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Ptilotus aristatus var. exilis,RussellSmith_2014,match_06_known,ptilotus aristatus exilis,ptilotus aristatus exilis,Ptilotus aristatus var. exilis,ptilotus aristatus exilis,ptilotus aristatus,Ptilotus,Ptilotus aristatus var. exilis,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Ptilotus aristatus var. indeterminate,RussellSmith_2014,match_14_accepted,ptilotus aristatus indeterminate,ptilotus aristatus indeterminate,Ptilotus aristatus var. indeterminate,ptilotus aristatus indeterminate,ptilotus aristatus,Ptilotus,Ptilotus aristatus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ptilotus aristatus var. stenophyllus,RussellSmith_2014,match_06_known,ptilotus aristatus stenophyllus,ptilotus aristatus stenophyllus,Ptilotus aristatus var. stenophyllus,ptilotus aristatus stenophyllus,ptilotus aristatus,Ptilotus,Ptilotus aristatus var. stenophyllus,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Ptilotus incanus var. indeterminate,RussellSmith_2014,match_14_accepted,ptilotus incanus indeterminate,ptilotus incanus indeterminate,Ptilotus incanus var. indeterminate,ptilotus incanus indeterminate,ptilotus incanus,Ptilotus,Ptilotus incanus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ptilotus latifolius var. indeterminate,RussellSmith_2014,match_14_accepted,ptilotus latifolius indeterminate,ptilotus latifolius indeterminate,Ptilotus latifolius var. indeterminate,ptilotus latifolius indeterminate,ptilotus latifolius,Ptilotus,Ptilotus latifolius,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
Ptilotus latifolius var. major,RussellSmith_2014,match_06_known,ptilotus latifolius major,ptilotus latifolius major,Ptilotus latifolius var. major,ptilotus latifolius major,ptilotus latifolius,Ptilotus,Ptilotus latifolius var. major,match_06. Automatic alignment with synonymous term among known canonical names APC (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Varietas
Ptilotus obovatus var. indeterminate,RussellSmith_2014,match_14_accepted,ptilotus obovatus indeterminate,ptilotus obovatus indeterminate,Ptilotus obovatus var. indeterminate,ptilotus obovatus indeterminate,ptilotus obovatus,Ptilotus,Ptilotus obovatus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-05-22),Ptilotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Species
