taxon_name,family,plant_growth_form_to_use,woodiness_to_use
Halgania sericiflora,Boraginaceae,shrub,woody
Halgania solanacea,Boraginaceae,herb shrub,herbaceous woody
Halgania solanacea var. Mt Doreen (G.M.Chippendale 4206),Boraginaceae,herb shrub,herbaceous woody
Halgania solanacea var. Rabbit Flat (T.M.Orr 81),Boraginaceae,herb shrub,herbaceous woody
Halgania sp. A Kimberley Flora (H.A.Johnson 5123),Boraginaceae,shrub,woody
Halgania sp. Peak Eleanora (M.A.Burgman 3547 B),Boraginaceae,shrub,woody
Halgania sp. Wongan Hills (K.F.Kenneally 2393),Boraginaceae,shrub,woody
Heliotropium aenigmatum,Boraginaceae,herb,herbaceous
Heliotropium aequoreum,Boraginaceae,herb,herbaceous
Heliotropium albrechtii,Boraginaceae,herb,herbaceous
Heliotropium alcyonium,Boraginaceae,herb,herbaceous
Heliotropium ammophilum,Boraginaceae,herb,herbaceous
Heliotropium amnis-edith,Boraginaceae,herb,herbaceous
Heliotropium amplexicaule,Boraginaceae,herb,herbaceous
Heliotropium apertum,Boraginaceae,herb,herbaceous
Heliotropium arenitense,Boraginaceae,subshrub,semi_woody
Heliotropium argyreum,Boraginaceae,subshrub,woody
Heliotropium asperrimum,Boraginaceae,herb,herbaceous
Heliotropium ballii,Boraginaceae,herb,herbaceous
Heliotropium brachygyne,Boraginaceae,herb subshrub,herbaceous woody
Heliotropium brachythrix,Boraginaceae,herb,herbaceous
Heliotropium bracteatum,Boraginaceae,herb,herbaceous
Heliotropium calvariavis,Boraginaceae,herb,herbaceous
Heliotropium chalcedonium,Boraginaceae,herb,herbaceous
Heliotropium chrysocarpum,Boraginaceae,herb,herbaceous
Heliotropium collinum,Boraginaceae,herb,herbaceous
Heliotropium conocarpum,Boraginaceae,herb,herbaceous
Heliotropium consimile,Boraginaceae,herb,herbaceous
Heliotropium cracens,Boraginaceae,herb,herbaceous
Heliotropium crispatum,Boraginaceae,herb,herbaceous
Heliotropium cunninghamii,Boraginaceae,herb,herbaceous
Heliotropium cupressinum,Boraginaceae,herb,herbaceous
Heliotropium curassavicum,Boraginaceae,herb,herbaceous
Heliotropium delestangii,Boraginaceae,herb,herbaceous
Heliotropium dichotomum,Boraginaceae,herb,herbaceous
Heliotropium discors,Boraginaceae,herb,herbaceous
Heliotropium diversifolium,Boraginaceae,herb,herbaceous
Heliotropium epacrideum,Boraginaceae,herb shrub,herbaceous woody
Heliotropium euodes,Boraginaceae,herb,herbaceous
Heliotropium europaeum,Boraginaceae,herb,herbaceous
Heliotropium fasciculatum,Boraginaceae,herb,herbaceous
Heliotropium filaginoides,Boraginaceae,herb,herbaceous
Heliotropium flintii,Boraginaceae,herb,herbaceous
Heliotropium foliatum,Boraginaceae,herb,herbaceous
Heliotropium foveolatum,Boraginaceae,herb,herbaceous
Heliotropium frohlichii,Boraginaceae,herb,herbaceous
Heliotropium galioides,Boraginaceae,herb,herbaceous
Heliotropium geocharis,Boraginaceae,herb,herbaceous
Heliotropium glabellum,Boraginaceae,herb,herbaceous
Heliotropium glanduliferum,Boraginaceae,herb shrub,herbaceous woody
Heliotropium haesum,Boraginaceae,herb,herbaceous
Heliotropium heteranthum,Boraginaceae,herb,herbaceous
Heliotropium indicum,Boraginaceae,herb,herbaceous
Heliotropium inexplicitum,Boraginaceae,herb,herbaceous
Heliotropium lapidicola,Boraginaceae,subshrub,semi_woody
Heliotropium leptaleum,Boraginaceae,herb,herbaceous
Heliotropium melanopedii,Boraginaceae,herb,herbaceous
Heliotropium microsalsoloides,Boraginaceae,shrub subshrub,woody
Heliotropium microspermum,Boraginaceae,herb,herbaceous
Heliotropium mitchellii,Boraginaceae,herb shrub,herbaceous woody
Heliotropium moorei,Boraginaceae,herb,herbaceous
Heliotropium muelleri,Boraginaceae,shrub,woody
Heliotropium murinum,Boraginaceae,herb,herbaceous
Heliotropium muticum,Boraginaceae,herb,herbaceous
Heliotropium nesopelydum,Boraginaceae,herb,herbaceous
Heliotropium nexosum,Boraginaceae,herb,herbaceous
Heliotropium ovalifolium,Boraginaceae,herb,herbaceous
Heliotropium pachyphyllum,Boraginaceae,herb,herbaceous
Heliotropium paniculatum,Boraginaceae,herb,herbaceous
Heliotropium parviantrum,Boraginaceae,herb,herbaceous
Heliotropium pauciflorum,Boraginaceae,herb,herbaceous
Heliotropium peckhamii,Boraginaceae,herb,herbaceous
Heliotropium peninsulare,Boraginaceae,herb,herbaceous
Heliotropium pleiopterum,Boraginaceae,herb,herbaceous
Heliotropium plumosum,Boraginaceae,herb,herbaceous
Heliotropium prostratum,Boraginaceae,herb,herbaceous
Heliotropium protensum,Boraginaceae,herb,herbaceous
Heliotropium pulvinum,Boraginaceae,herb,herbaceous
Heliotropium ramulipatens,Boraginaceae,herb,herbaceous
Heliotropium rhadinostachyum,Boraginaceae,herb,herbaceous
Heliotropium sarmentosum,Boraginaceae,climber_woody,woody
Heliotropium skeleton,Boraginaceae,herb,herbaceous
Heliotropium sp. Ord River (W.Fitzgerald 1611),Boraginaceae,,
Heliotropium sphaericum,Boraginaceae,herb,herbaceous
Heliotropium styotrichum,Boraginaceae,herb,herbaceous
Heliotropium subreniforme,Boraginaceae,herb,herbaceous
Heliotropium supinum,Boraginaceae,herb,herbaceous
Heliotropium synaimon,Boraginaceae,herb,herbaceous
Heliotropium tabuliplagae,Boraginaceae,herb,herbaceous
Heliotropium tachyglossoides,Boraginaceae,herb,herbaceous
Heliotropium tanythrix,Boraginaceae,herb,herbaceous
Heliotropium tenuifolium,Boraginaceae,herb,herbaceous
Heliotropium transforme,Boraginaceae,herb shrub,herbaceous woody
Heliotropium tytoides,Boraginaceae,herb,herbaceous
Heliotropium uniflorum,Boraginaceae,herb,herbaceous
Heliotropium vagum,Boraginaceae,herb,herbaceous
Heliotropium ventricosum,Boraginaceae,herb,herbaceous
Heliotropium vestitum,Boraginaceae,herb shrub,herbaceous woody
Heliotropium viator,Boraginaceae,herb,herbaceous
Lithospermum officinale,Boraginaceae,herb,herbaceous
Myosotis arvensis,Boraginaceae,herb,herbaceous
Myosotis australis,Boraginaceae,herb,herbaceous
Myosotis discolor,Boraginaceae,herb,herbaceous
Myosotis exarrhena,Boraginaceae,herb,herbaceous
Myosotis laxa,Boraginaceae,herb,herbaceous
Myosotis laxa subsp. cespitosa,Boraginaceae,herb,herbaceous
Myosotis scorpioides,Boraginaceae,herb,herbaceous
Myosotis sylvatica,Boraginaceae,herb,herbaceous
Neatostema apulum,Boraginaceae,herb,herbaceous
Nonea lutea,Boraginaceae,herb,herbaceous
Omphalolappula concava,Boraginaceae,herb,herbaceous
Pentaglottis sempervirens,Boraginaceae,herb,herbaceous
Phacelia tanacetifolia,Boraginaceae,herb,herbaceous
Plagiobothrys australasicus,Boraginaceae,herb,herbaceous
Plagiobothrys canescens,Boraginaceae,herb,herbaceous
Plagiobothrys elachanthus,Boraginaceae,herb,herbaceous
Plagiobothrys orthostatus,Boraginaceae,herb,herbaceous
Plagiobothrys plurisepaleus,Boraginaceae,herb,herbaceous
Symphytum officinale,Boraginaceae,herb,herbaceous
Symphytum officinale subsp. officinale,Boraginaceae,herb,herbaceous
Symphytum x uplandicum,Boraginaceae,herb,herbaceous
Trachystemon orientalis,Boraginaceae,herb,herbaceous
Trichodesma zeylanicum,Boraginaceae,herb shrub,herbaceous semi_woody
Trichodesma zeylanicum var. grandiflorum,Boraginaceae,herb shrub,herbaceous woody
Trichodesma zeylanicum var. latisepaleum,Boraginaceae,herb shrub,herbaceous woody
Trichodesma zeylanicum var. zeylanicum,Boraginaceae,herb shrub,herbaceous woody
Wigandia urens,Boraginaceae,shrub,woody
Wigandia urens var. caracasana,Boraginaceae,shrub,woody
Alania cunninghamii,Boryaceae,herb,herbaceous
Borya constricta,Boryaceae,herb,herbaceous
Borya inopinata,Boryaceae,herb,herbaceous
Borya jabirabela,Boryaceae,tussock,herbaceous
Borya laciniata,Boryaceae,herb,herbaceous
Borya longiscapa,Boryaceae,herb,herbaceous
Borya mirabilis,Boryaceae,herb,herbaceous
Borya nitida,Boryaceae,herb,herbaceous
Borya scirpoidea,Boryaceae,herb,herbaceous
Borya septentrionalis,Boryaceae,herb,herbaceous
Borya sp. Wheatbelt (A.S.George 16470),Boryaceae,herb,herbaceous
Borya sphaerocephala,Boryaceae,herb,herbaceous
Borya stenophylla,Boryaceae,herb,herbaceous
Borya subulata,Boryaceae,tussock,herbaceous
Alliaria petiolata,Brassicaceae,herb,herbaceous
Alyssum alyssoides,Brassicaceae,herb,herbaceous
Alyssum linifolium,Brassicaceae,herb,herbaceous
Arabidella chrysodema,Brassicaceae,herb,herbaceous
Arabidella eremigena,Brassicaceae,herb,herbaceous
Arabidella filifolia,Brassicaceae,shrub,woody
Arabidella glaucescens,Brassicaceae,shrub,woody
Arabidella nasturtium,Brassicaceae,herb,herbaceous
Arabidella procumbens,Brassicaceae,herb,herbaceous
Arabidella sp. Eurella (S.L.Everist 3734),Brassicaceae,,
Arabidella sp. Tibooburra (R.G.Coveny 13552),Brassicaceae,subshrub,woody
Arabidella trisecta,Brassicaceae,shrub subshrub,woody
Arabidopsis thaliana,Brassicaceae,herb,herbaceous
Ballantinia antipoda,Brassicaceae,herb,herbaceous
Barbarea australis,Brassicaceae,herb,herbaceous
Barbarea grayi,Brassicaceae,herb,herbaceous
Barbarea intermedia,Brassicaceae,herb,herbaceous
Barbarea verna,Brassicaceae,herb,herbaceous
Blennodia canescens,Brassicaceae,herb,herbaceous
Blennodia pterosperma,Brassicaceae,herb,herbaceous
Brassica barrelieri,Brassicaceae,herb,herbaceous
Brassica barrelieri subsp. oxyrrhina,Brassicaceae,herb,herbaceous
Brassica elongata,Brassicaceae,herb,herbaceous
Brassica fruticulosa,Brassicaceae,herb,herbaceous woody_base
Brassica nigra,Brassicaceae,herb,herbaceous
Brassica oleracea,Brassicaceae,herb,herbaceous
Brassica rapa,Brassicaceae,herb,herbaceous
Brassica tournefortii,Brassicaceae,herb,herbaceous
Brassica x juncea,Brassicaceae,herb,herbaceous
Brassica x napus,Brassicaceae,herb,herbaceous
Cakile edentula,Brassicaceae,herb,herbaceous
Cakile maritima,Brassicaceae,herb,herbaceous
Cakile maritima subsp. maritima,Brassicaceae,herb,herbaceous
Calepina irregularis,Brassicaceae,herb,herbaceous
Camelina alyssum,Brassicaceae,herb,herbaceous
Camelina sativa,Brassicaceae,herb,herbaceous
Capsella bursa-pastoris,Brassicaceae,herb,herbaceous
Cardamine astoniae,Brassicaceae,herb,herbaceous
Cardamine corymbosa,Brassicaceae,herb,herbaceous
Cardamine flexuosa,Brassicaceae,herb,herbaceous
Cardamine franklinensis,Brassicaceae,herb,herbaceous
Cardamine gunnii,Brassicaceae,herb,herbaceous
Cardamine hirsuta,Brassicaceae,herb,herbaceous
Cardamine lilacina,Brassicaceae,herb,herbaceous
Cardamine lineariloba,Brassicaceae,herb,herbaceous
Cardamine microthrix,Brassicaceae,herb,herbaceous
Cardamine moirensis,Brassicaceae,herb,herbaceous
Cardamine occulta,Brassicaceae,herb,herbaceous
Cardamine papillata,Brassicaceae,herb,herbaceous
Cardamine paucijuga,Brassicaceae,herb,herbaceous
Cardamine robusta,Brassicaceae,herb,herbaceous
Cardamine tenuifolia,Brassicaceae,herb,herbaceous
Cardamine tryssa,Brassicaceae,herb,herbaceous
Carinavalva glauca,Brassicaceae,herb,herbaceous
Carrichtera annua,Brassicaceae,herb,herbaceous
Chorispora tenella,Brassicaceae,herb,herbaceous
Conringia orientalis,Brassicaceae,herb,herbaceous
Cuphonotus andraeanus,Brassicaceae,herb,herbaceous
Cuphonotus humistratus,Brassicaceae,herb,herbaceous
Descurainia sophia,Brassicaceae,herb,herbaceous
Diplotaxis muralis,Brassicaceae,herb,herbaceous
Diplotaxis tenuifolia,Brassicaceae,herb,herbaceous
Draba nemorosa,Brassicaceae,herb,herbaceous
Drabastrum alpestre,Brassicaceae,herb subshrub,herbaceous woody_root
Erophila verna,Brassicaceae,herb,herbaceous
Erophila verna subsp. praecox,Brassicaceae,herb,herbaceous
Erophila verna subsp. verna,Brassicaceae,herb,herbaceous
Eruca sativa,Brassicaceae,herb,herbaceous
Erysimum repandum,Brassicaceae,herb,herbaceous
Erysimum x cheiri,Brassicaceae,herb,herbaceous
Euclidium syriacum,Brassicaceae,herb,herbaceous
Geococcus pusillus,Brassicaceae,herb,herbaceous
Harmsiodoxa blennodioides,Brassicaceae,herb,herbaceous
Harmsiodoxa brevipes,Brassicaceae,herb,herbaceous
Harmsiodoxa brevipes var. brevipes,Brassicaceae,herb,herbaceous
Harmsiodoxa brevipes var. major,Brassicaceae,herb,herbaceous
Harmsiodoxa puberula,Brassicaceae,herb,herbaceous
Harmsiodoxa sp. Eremaean (A.S.George 3894),Brassicaceae,herb,herbaceous
Heliophila pusilla,Brassicaceae,herb,herbaceous
Heliophila seselifolia,Brassicaceae,herb,herbaceous
Heliophila sp. Gunyidi (R.G.Rees 42),Brassicaceae,herb,herbaceous
Hesperis matronalis,Brassicaceae,herb,herbaceous
Hirschfeldia incana,Brassicaceae,herb,herbaceous
Hornungia procumbens,Brassicaceae,herb,herbaceous
Iberis crenata,Brassicaceae,herb,herbaceous
Iberis umbellata,Brassicaceae,herb,herbaceous
Irenepharsus magicus,Brassicaceae,herb,herbaceous
Irenepharsus phasmatodes,Brassicaceae,herb,herbaceous
Irenepharsus trypherus,Brassicaceae,herb,herbaceous
Lepidium africanum,Brassicaceae,herb,herbaceous
Lepidium amelum,Brassicaceae,shrub,woody
Lepidium aschersonii,Brassicaceae,herb,herbaceous
Lepidium biplicatum,Brassicaceae,shrub,woody
Lepidium bonariense,Brassicaceae,herb,herbaceous
Lepidium campestre,Brassicaceae,herb,herbaceous
Lepidium catapycnon,Brassicaceae,herb shrub,herbaceous woody
Lepidium coronopus,Brassicaceae,herb,herbaceous
Lepidium desvauxii,Brassicaceae,herb,herbaceous
Lepidium didymum,Brassicaceae,herb,herbaceous
Lepidium draba,Brassicaceae,herb,herbaceous
Lepidium draba subsp. draba,Brassicaceae,herb,herbaceous
Lepidium drummondii,Brassicaceae,herb,herbaceous
Lepidium echinatum,Brassicaceae,herb,herbaceous woody_root
Lepidium englerianum,Brassicaceae,herb,herbaceous
Lepidium fasciculatum,Brassicaceae,herb,herbaceous
Lepidium flexicaule,Brassicaceae,herb,herbaceous
Lepidium foliosum,Brassicaceae,shrub,woody
Lepidium genistoides,Brassicaceae,shrub,woody
Lepidium ginninderrense,Brassicaceae,herb,herbaceous
Lepidium graminifolium,Brassicaceae,herb,herbaceous
Lepidium howei-insulae,Brassicaceae,subshrub,woody
Lepidium hypenantion,Brassicaceae,herb,herbaceous
Lepidium hyssopifolium,Brassicaceae,herb,herbaceous
Lepidium latifolium,Brassicaceae,herb,herbaceous
Lepidium leptopetalum,Brassicaceae,shrub,woody
Lepidium linifolium,Brassicaceae,shrub,woody
Lepidium lyratogynum,Brassicaceae,shrub,woody
Lepidium merrallii,Brassicaceae,herb,herbaceous
Lepidium monoplocoides,Brassicaceae,herb,herbaceous
Lepidium muelleri-ferdinandi,Brassicaceae,herb,herbaceous
Lepidium nesophilum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium oxytrichum,Brassicaceae,herb,herbaceous
Lepidium papillosum,Brassicaceae,herb,herbaceous
Lepidium pedicellosum,Brassicaceae,shrub,woody
Lepidium peregrinum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium perfoliatum,Brassicaceae,herb,herbaceous
Lepidium phlebopetalum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium pholidogynum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium platypetalum,Brassicaceae,shrub,woody
Lepidium pseudohyssopifolium,Brassicaceae,herb,herbaceous
Lepidium pseudopapillosum,Brassicaceae,subshrub shrub,woody
Lepidium pseudoruderale,Brassicaceae,herb,herbaceous
Lepidium pseudotasmanicum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium puberulum,Brassicaceae,herb,herbaceous
Lepidium rotundum,Brassicaceae,subshrub shrub,woody
Lepidium sagittulatum,Brassicaceae,herb,herbaceous
Lepidium sativum,Brassicaceae,herb,herbaceous
Lepidium scandens,Brassicaceae,shrub,woody
Lepidium strictum,Brassicaceae,herb subshrub,herbaceous semi_woody
Lepidium strongylophyllum,Brassicaceae,shrub,woody
Lepidium virginicum,Brassicaceae,herb,herbaceous
Lepidium xylodes,Brassicaceae,shrub,woody
Lobularia maritima,Brassicaceae,herb,herbaceous
Lunaria annua,Brassicaceae,herb,herbaceous
Malcolmia flexuosa,Brassicaceae,herb,herbaceous
Matthiola incana,Brassicaceae,herb,herbaceous woody_base
Matthiola longipetala,Brassicaceae,herb,herbaceous
Matthiola longipetala subsp. bicornis,Brassicaceae,herb,herbaceous
Menkea australis,Brassicaceae,herb,herbaceous
Menkea crassa,Brassicaceae,herb,herbaceous
Menkea draboides,Brassicaceae,herb,herbaceous
Menkea lutea,Brassicaceae,herb,herbaceous
Menkea sphaerocarpa,Brassicaceae,herb,herbaceous
Menkea villosula,Brassicaceae,herb,herbaceous
Microlepidium alatum,Brassicaceae,herb,herbaceous
Microlepidium pilosulum,Brassicaceae,herb,herbaceous
Myagrum perfoliatum,Brassicaceae,herb,herbaceous
Neslia paniculata,Brassicaceae,herb,herbaceous
Pachycladon radicata,Brassicaceae,herb,herbaceous
Pachymitus cardaminoides,Brassicaceae,herb,herbaceous
Phlegmatospermum cochlearinum,Brassicaceae,herb,herbaceous
Phlegmatospermum drummondii,Brassicaceae,herb,herbaceous
Phlegmatospermum eremaeum,Brassicaceae,herb,herbaceous
Phlegmatospermum richardsii,Brassicaceae,herb,herbaceous
Pringlea antiscorbutica,Brassicaceae,herb subshrub,semi_woody
Raphanus maritimus,Brassicaceae,herb,herbaceous
Raphanus raphanistrum,Brassicaceae,herb,herbaceous
Raphanus sativus,Brassicaceae,herb,herbaceous
Rapistrum rugosum,Brassicaceae,herb,herbaceous
Rapistrum rugosum subsp. rugosum,Brassicaceae,herb,herbaceous
Rorippa cygnorum,Brassicaceae,herb,herbaceous
Rorippa dictyosperma,Brassicaceae,herb,herbaceous
Rorippa dietrichiana,Brassicaceae,herb,herbaceous
Rorippa eustylis,Brassicaceae,herb,herbaceous
Rorippa gigantea,Brassicaceae,herb,herbaceous
Rorippa laciniata,Brassicaceae,herb,herbaceous
Rorippa microphylla,Brassicaceae,herb,herbaceous
Rorippa nasturtium-aquaticum,Brassicaceae,herb,herbaceous
Rorippa palustris,Brassicaceae,herb,herbaceous
Rorippa sylvestris,Brassicaceae,herb,herbaceous
Scambopus curvipes,Brassicaceae,herb,herbaceous
Sinapis alba,Brassicaceae,herb,herbaceous
Sinapis alba subsp. alba,Brassicaceae,herb,herbaceous
Sinapis alba subsp. dissecta,Brassicaceae,herb,herbaceous
Sinapis arvensis,Brassicaceae,herb,herbaceous
Sisymbrium altissimum,Brassicaceae,herb,herbaceous
Sisymbrium erysimoides,Brassicaceae,herb,herbaceous
Sisymbrium irio,Brassicaceae,herb,herbaceous
Sisymbrium officinale,Brassicaceae,herb,herbaceous
Sisymbrium orientale,Brassicaceae,herb,herbaceous
Sisymbrium runcinatum,Brassicaceae,herb,herbaceous
Sisymbrium thellungii,Brassicaceae,herb,herbaceous
Stenopetalum anfractum,Brassicaceae,herb,herbaceous
Stenopetalum decipiens,Brassicaceae,herb shrub,herbaceous woody
Stenopetalum filifolium,Brassicaceae,herb,herbaceous
Stenopetalum gracile,Brassicaceae,herb,herbaceous
Stenopetalum lineare,Brassicaceae,herb,herbaceous
Stenopetalum nutans,Brassicaceae,herb,herbaceous
Stenopetalum pedicellare,Brassicaceae,herb,herbaceous
Stenopetalum robustum,Brassicaceae,herb,herbaceous
Stenopetalum salicola,Brassicaceae,climber_herbaceous,herbaceous
Stenopetalum saxatile,Brassicaceae,herb,herbaceous
Stenopetalum sphaerocarpum,Brassicaceae,herb,herbaceous
Stenopetalum velutinum,Brassicaceae,herb,herbaceous woody_base
Succowia balearica,Brassicaceae,herb,herbaceous
Teesdalia nudicaulis,Brassicaceae,herb,herbaceous
Thlaspi arvense,Brassicaceae,herb,herbaceous
Turritis glabra,Brassicaceae,herb,herbaceous
Ananas comosus,Bromeliaceae,herb,herbaceous
Tillandsia usneoides,Bromeliaceae,herb,herbaceous
Burmannia coelestis,Burmanniaceae,herb,herbaceous
Burmannia disticha,Burmanniaceae,herb,herbaceous
Burmannia juncea,Burmanniaceae,herb,herbaceous
Burmannia sp. Bathurst Island (R.Fensham 1021),Burmanniaceae,herb,herbaceous
Canarium acutifolium,Burseraceae,tree,woody
Canarium acutifolium var. acutifolium,Burseraceae,tree,woody
Canarium australasicum,Burseraceae,tree,woody
Canarium australianum,Burseraceae,tree,woody
Canarium australianum var. australianum,Burseraceae,tree,woody
Canarium australianum var. glabrum,Burseraceae,tree,woody
Canarium australianum var. velutinum,Burseraceae,tree,woody
Canarium indicum,Burseraceae,tree,woody
Canarium muelleri,Burseraceae,tree,woody
Canarium vitiense,Burseraceae,shrub tree,woody
Garuga floribunda,Burseraceae,tree,woody
Garuga floribunda var. floribunda,Burseraceae,tree,woody
Byblis aquatica,Byblidaceae,herb,herbaceous
Byblis filifolia,Byblidaceae,herb,herbaceous
Byblis gigantea,Byblidaceae,herb subshrub,herbaceous semi_woody
Byblis guehoi,Byblidaceae,herb,herbaceous
Byblis lamellata,Byblidaceae,subshrub shrub,semi_woody
Byblis liniflora,Byblidaceae,herb,herbaceous
Byblis pilbarana,Byblidaceae,herb,herbaceous
Byblis rorida,Byblidaceae,herb,herbaceous
Brasenia schreberi,Cabombaceae,herb,herbaceous
Cabomba caroliniana,Cabombaceae,herb,herbaceous
Cabomba caroliniana var. caroliniana,Cabombaceae,herb,herbaceous
Acanthocereus tetragonus,Cactaceae,shrub,woody
Austrocylindropuntia cylindrica,Cactaceae,shrub,woody
Austrocylindropuntia subulata,Cactaceae,shrub,woody
Cereus uruguayanus,Cactaceae,shrub,woody
Cylindropuntia fulgida,Cactaceae,shrub,woody
Cylindropuntia fulgida var. mamillata,Cactaceae,shrub,woody
Cylindropuntia imbricata,Cactaceae,shrub tree,woody
Cylindropuntia kleiniae,Cactaceae,shrub,woody
Cylindropuntia leptocaulis,Cactaceae,shrub tree,woody
Cylindropuntia pallida,Cactaceae,shrub,woody
Cylindropuntia prolifera,Cactaceae,shrub,woody
Cylindropuntia spinosior,Cactaceae,shrub,woody
Cylindropuntia tunicata,Cactaceae,shrub,woody
Echinopsis oxygona,Cactaceae,shrub,woody
Epiphyllum phyllanthus,Cactaceae,shrub ,woody
Epiphyllum phyllanthus var. hookeri,Cactaceae,shrub ,woody
Harrisia martinii,Cactaceae,shrub,woody
Harrisia regelii,Cactaceae,shrub,woody
Harrisia tortuosa,Cactaceae,shrub,woody
Hylocereus undatus,Cactaceae,shrub climber_woody,woody
Opuntia aurantiaca,Cactaceae,shrub,woody
Opuntia dejecta,Cactaceae,shrub tree,woody
Opuntia dillenii,Cactaceae,shrub,woody
Opuntia elata,Cactaceae,shrub,woody
Opuntia elatior,Cactaceae,shrub,woody
Opuntia engelmannii,Cactaceae,shrub,woody
Opuntia ficus-indica,Cactaceae,shrub,woody
Opuntia humifusa,Cactaceae,shrub,woody
Opuntia leucotricha,Cactaceae,shrub,woody
Opuntia linguiformis,Cactaceae,shrub,woody
Opuntia microdasys,Cactaceae,shrub,woody
Opuntia monacantha,Cactaceae,shrub,woody
Opuntia polyacantha,Cactaceae,shrub,woody
Opuntia puberula,Cactaceae,shrub,woody
Opuntia robusta,Cactaceae,shrub,woody
Opuntia schickendantzii,Cactaceae,shrub,woody
Opuntia sp. Schrank (C.Schrank s.n. AD98351226),Cactaceae,shrub,woody
Opuntia streptacantha,Cactaceae,shrub,woody
Opuntia stricta,Cactaceae,shrub,woody
Opuntia sulphurea,Cactaceae,shrub,woody
Opuntia tomentosa,Cactaceae,shrub,woody
Peniocereus serpentinus,Cactaceae,shrub,woody
Pereskia aculeata,Cactaceae,shrub climber_woody,woody
Selenicereus macdonaldiae,Cactaceae,shrub climber_woody ,woody
Calceolaria tripartita,Calceolariaceae,herb,herbaceous
Idiospermum australiense,Calycanthaceae,tree,woody
Campanula rapunculoides,Campanulaceae,herb,herbaceous
Grammatotheca bergiana,Campanulaceae,herb,herbaceous
Grammatotheca bergiana var. bergiana,Campanulaceae,herb,herbaceous
Hippobroma longiflora,Campanulaceae,herb,herbaceous
Isotoma anethifolia,Campanulaceae,herb,herbaceous
Isotoma axillaris,Campanulaceae,herb,herbaceous
Isotoma fluviatilis,Campanulaceae,herb,herbaceous
Isotoma fluviatilis subsp. australis,Campanulaceae,herb,herbaceous
Isotoma fluviatilis subsp. borealis,Campanulaceae,herb,herbaceous
Isotoma fluviatilis subsp. fluviatilis,Campanulaceae,herb,herbaceous
Isotoma gulliveri,Campanulaceae,herb,herbaceous
Isotoma hypocrateriformis,Campanulaceae,herb,herbaceous
Isotoma luticola,Campanulaceae,herb,herbaceous
Isotoma petraea,Campanulaceae,herb,herbaceous
Isotoma pusilla,Campanulaceae,herb,herbaceous
Isotoma scapigera,Campanulaceae,herb,herbaceous
Isotoma sp. Cape York (J.R.Maconochie 2709),Campanulaceae,herb,herbaceous
Isotoma sp. Kakadu (D.E.Albrecht 9823),Campanulaceae,herb,herbaceous
Isotoma sp. Myross (R.J.Fensham 3883),Campanulaceae,herb,herbaceous
Isotoma sp. Tanumbirini (B.A.Wilson 187),Campanulaceae,herb,herbaceous
Isotoma tridens,Campanulaceae,herb,herbaceous
Lobelia anceps,Campanulaceae,herb,herbaceous
Lobelia andrewsii,Campanulaceae,herb,herbaceous
Lobelia archeri,Campanulaceae,herb,herbaceous
Lobelia arnhemiaca,Campanulaceae,herb,herbaceous
Lobelia beaugleholei,Campanulaceae,herb,herbaceous
Lobelia browniana,Campanulaceae,herb,herbaceous
Lobelia claviflora,Campanulaceae,herb,herbaceous
Lobelia cleistogamoides,Campanulaceae,herb,herbaceous
Lobelia concolor,Campanulaceae,herb,herbaceous
Lobelia darlingensis,Campanulaceae,herb,herbaceous
Lobelia dentata,Campanulaceae,herb,herbaceous
Lobelia dioica,Campanulaceae,herb,herbaceous
Lobelia douglasiana,Campanulaceae,herb,herbaceous
Lobelia erinus,Campanulaceae,herb,herbaceous
Lobelia fissiflora,Campanulaceae,herb,herbaceous
Lobelia gelida,Campanulaceae,herb,herbaceous
Lobelia gibbosa,Campanulaceae,herb,herbaceous
Lobelia heterophylla,Campanulaceae,herb,herbaceous
Lobelia heterophylla subsp. centralis,Campanulaceae,herb,herbaceous
Lobelia heterophylla subsp. heterophylla,Campanulaceae,herb,herbaceous
Lobelia heterophylla subsp. pilbarensis,Campanulaceae,herb,herbaceous
Lobelia irrigua,Campanulaceae,herb,herbaceous
Lobelia laxiflora,Campanulaceae,herb,herbaceous
Lobelia leucotos,Campanulaceae,herb,herbaceous
Lobelia membranacea,Campanulaceae,herb,herbaceous
Lobelia pedunculata,Campanulaceae,herb,herbaceous
Lobelia pratioides,Campanulaceae,herb,herbaceous
Lobelia purpurascens,Campanulaceae,herb,herbaceous
Lobelia quadrangularis,Campanulaceae,herb,herbaceous
Lobelia rarifolia,Campanulaceae,herb,herbaceous
Lobelia rhombifolia,Campanulaceae,herb,herbaceous
Lobelia rhytidosperma,Campanulaceae,herb,herbaceous
Lobelia simplicicaulis,Campanulaceae,herb,herbaceous
Lobelia simulans,Campanulaceae,herb,herbaceous
Lobelia sp. Cox Peninsula (R.Booth 221),Campanulaceae,herb,herbaceous
Lobelia stenophylla,Campanulaceae,herb,herbaceous
Lobelia surrepens,Campanulaceae,herb,herbaceous
Lobelia tenuior,Campanulaceae,herb,herbaceous
