Timestamp,Site,Species,Observer,Habit,Height_m,Inflor_cm,No_flowers_perinflor,No_inflor,Florlength_cm,Flordiam_cm,Colour,Symmetry,Tube,Notes
8/6/2020 14:56:44,FTT02,Tetratheca ericifolia,Ruby Stephens,shrub,0.1,1.2,1,2,1,1,purple,actinomorphic,absent,
8/11/2020 10:09:23,FTT03,Hibbertia linearis,Ruby Stephens,shrub,0.45,2.2,1,26,0.25,2.2,yellow,actinomorphic,absent,
8/11/2020 10:17:13,FTT03,Grevillea sericea,Ruby Stephens,shrub,0.68,2.5,2,4,2,7,pink,zygomorphic,present,
8/11/2020 12:06:30,FTT04,Boronia ledifolia,Ruby Stephens,shrub,0.52,15,17,5,0.25,2.2,pink,actinomorphic,absent,
8/11/2020 12:12:59,FTT04,Micrantheum ericoides,Ruby Stephens,shrub,0.03,1.5,5,7,0.1,0.1,pink,actinomorphic,absent,
8/11/2020 12:19:32,FTT04,Lasiopetalum ferrugineum,Ruby Stephens,shrub,0.17,2.1,1,1,1,1,white,actinomorphic,absent,
8/11/2020 12:23:11,FTT04,Gompholobium glabratum,Ruby Stephens,shrub,0.14,1.5,1,3,1,1.5,yellow,zygomorphic,present,
8/11/2020 12:33:07,FTT04,Dillwynia retorta,Ruby Stephens,shrub,0.48,2.1,2,2,1.1,1.9,yellow,zygomorphic,present,
8/11/2020 12:35:40,FTT04,Grevillea sericea,Ruby Stephens,shrub,1.17,4,1,10,1.7,1,pink,zygomorphic,present,
8/11/2020 12:43:02,FTT04,Actinotus minor,Ruby Stephens,herb,0.31,1.2,30,1,0.1,0.1,white,actinomorphic,present,
