ID,species,Leaf No.,leaf_fresh_mass_g,leaf_dry_mass_g,leaf_area_cm2,leaf_thickness_um,leaf_location,status
11c,Salix babylonica L.,7,0.180,0.059,10.2,407,tree,non-native
11c,Salix babylonica L.,8,0.206,0.070,10.2,427,tree,non-native
11c,Salix babylonica L.,9,0.212,0.076,10.9,440,tree,non-native
11c,Salix babylonica L.,10,0.210,0.074,11.6,457,tree,non-native
12a,Cercis occidentalis Torr.,1,0.248,0.094,13.2,230,tree,non-native
12a,Cercis occidentalis Torr.,2,0.285,0.103,15.1,260,tree,non-native
12a,Cercis occidentalis Torr.,3,0.438,0.166,24.5,273,tree,non-native
12a,Cercis occidentalis Torr.,4,0.413,0.156,24.7,233,tree,non-native
12a,Cercis occidentalis Torr.,5,0.376,0.144,23.1,243,tree,non-native
12a,Cercis occidentalis Torr.,6,0.389,0.141,23.3,273,tree,non-native
12a,Cercis occidentalis Torr.,7,0.391,0.148,24.2,245,tree,non-native
12a,Cercis occidentalis Torr.,8,0.372,0.138,23.0,250,tree,non-native
12a,Cercis occidentalis Torr.,9,0.404,0.152,24.6,273,tree,non-native
12a,Cercis occidentalis Torr.,10,0.359,0.137,23.2,287,tree,non-native
12b,Cercis occidentalis Torr.,1,0.137,0.046,7.5,260,tree,non-native
12b,Cercis occidentalis Torr.,2,0.152,0.050,8.2,260,tree,non-native
12b,Cercis occidentalis Torr.,3,0.350,0.126,21.1,223,tree,non-native
12b,Cercis occidentalis Torr.,4,0.369,0.132,22.3,247,tree,non-native
12b,Cercis occidentalis Torr.,5,0.370,0.133,23.6,223,tree,non-native
12b,Cercis occidentalis Torr.,6,0.338,0.121,22.1,178,tree,non-native
12b,Cercis occidentalis Torr.,7,0.343,0.121,23.2,197,tree,non-native
12b,Cercis occidentalis Torr.,8,0.322,0.109,21.8,243,tree,non-native
12b,Cercis occidentalis Torr.,9,0.282,0.101,19.1,217,tree,non-native
12b,Cercis occidentalis Torr.,10,0.321,0.116,20.4,217,tree,non-native
12c,Cercis occidentalis Torr.,1,0.284,0.123,15.5,247,tree,non-native
12c,Cercis occidentalis Torr.,2,0.290,0.124,15.8,250,tree,non-native
12c,Cercis occidentalis Torr.,3,0.296,0.126,16.0,242,tree,non-native
12c,Cercis occidentalis Torr.,4,0.227,0.096,13.3,212,tree,non-native
12c,Cercis occidentalis Torr.,5,0.253,0.107,14.1,197,tree,non-native
12c,Cercis occidentalis Torr.,6,0.176,0.075,10.9,183,tree,non-native
12c,Cercis occidentalis Torr.,7,0.236,0.100,13.4,213,tree,non-native
12c,Cercis occidentalis Torr.,8,0.257,0.108,15.2,240,tree,non-native
12c,Cercis occidentalis Torr.,9,0.230,0.095,14.0,203,tree,non-native
12c,Cercis occidentalis Torr.,10,0.320,0.133,18.4,233,tree,non-native
13a,Hypericum calycinum L.,1,0.124,0.052,4.7,,tree,non-native
13a,Hypericum calycinum L.,2,0.120,0.051,4.5,,tree,non-native
13a,Hypericum calycinum L.,3,0.270,0.114,10.1,,tree,non-native
13a,Hypericum calycinum L.,4,0.263,0.113,10.1,,tree,non-native
13a,Hypericum calycinum L.,5,0.303,0.132,11.8,,tree,non-native
13a,Hypericum calycinum L.,6,0.338,0.147,12.3,,tree,non-native
13a,Hypericum calycinum L.,7,0.244,0.106,9.8,,tree,non-native
13a,Hypericum calycinum L.,8,0.285,0.121,11.4,,tree,non-native
13a,Hypericum calycinum L.,9,0.267,0.117,11.1,,tree,non-native
13a,Hypericum calycinum L.,10,0.239,0.103,9.9,,tree,non-native
13b,Hypericum calycinum L.,1,0.191,0.083,6.4,,tree,non-native
13b,Hypericum calycinum L.,2,0.192,0.083,6.6,,tree,non-native
13b,Hypericum calycinum L.,3,0.136,0.058,4.7,,tree,non-native
13b,Hypericum calycinum L.,4,0.119,0.051,4.2,,tree,non-native
13b,Hypericum calycinum L.,5,0.303,0.130,10.2,,tree,non-native
13b,Hypericum calycinum L.,6,0.283,0.119,10.2,,tree,non-native
13b,Hypericum calycinum L.,7,0.330,0.141,11.9,,tree,non-native
13b,Hypericum calycinum L.,8,0.313,0.133,11.3,,tree,non-native
13b,Hypericum calycinum L.,9,0.308,0.133,11.6,,tree,non-native
13b,Hypericum calycinum L.,10,0.297,0.125,11.6,,tree,non-native
13c,Hypericum calycinum L.,1,0.161,0.069,5.2,,tree,non-native
13c,Hypericum calycinum L.,2,0.129,0.056,4.6,,tree,non-native
13c,Hypericum calycinum L.,3,0.247,0.108,8.5,,tree,non-native
13c,Hypericum calycinum L.,4,0.224,0.097,7.5,,tree,non-native
13c,Hypericum calycinum L.,5,0.324,0.142,11.7,,tree,non-native
13c,Hypericum calycinum L.,6,0.310,0.135,11.3,,tree,non-native
13c,Hypericum calycinum L.,7,0.277,0.121,10.8,,tree,non-native
13c,Hypericum calycinum L.,8,0.299,0.128,11.5,,tree,non-native
13c,Hypericum calycinum L.,9,0.222,0.091,9.2,,tree,non-native
13c,Hypericum calycinum L.,10,0.256,0.107,9.9,,tree,non-native
14a,Acer platanoides L.,1,0.905,0.403,60.0,,tree,non-native
14a,Acer platanoides L.,2,0.312,0.140,20.5,,tree,non-native
14a,Acer platanoides L.,3,0.362,0.159,25.4,,tree,non-native
14a,Acer platanoides L.,4,0.507,0.221,37.7,,tree,non-native
14a,Acer platanoides L.,5,0.526,0.239,37.6,,tree,non-native
14a,Acer platanoides L.,6,0.639,0.266,50.3,,tree,non-native
14a,Acer platanoides L.,7,1.071,0.504,100.5,,tree,non-native
14a,Acer platanoides L.,8,1.666,0.737,165.6,,tree,non-native
14a,Acer platanoides L.,9,0.124,0.059,11.4,,tree,non-native
14a,Acer platanoides L.,10,0.166,0.068,16.4,,tree,non-native
14b,Acer platanoides L.,1,0.221,0.098,24.1,,tree,non-native
14b,Acer platanoides L.,2,0.176,0.078,21.3,,tree,non-native
14b,Acer platanoides L.,3,0.166,0.072,20.2,,tree,non-native
14b,Acer platanoides L.,4,0.051,0.022,5.5,,tree,non-native
14b,Acer platanoides L.,5,0.167,0.074,18.1,,tree,non-native
14b,Acer platanoides L.,6,0.494,0.221,49.7,,tree,non-native
14b,Acer platanoides L.,7,0.767,0.342,70.1,,tree,non-native
14b,Acer platanoides L.,8,0.692,0.312,65.5,,tree,non-native
14b,Acer platanoides L.,9,1.295,0.600,118.3,,tree,non-native
14b,Acer platanoides L.,10,0.212,0.094,24.3,,tree,non-native
14c,Acer platanoides L.,1,0.219,0.090,28.1,,tree,non-native
14c,Acer platanoides L.,2,0.547,0.224,77.3,,tree,non-native
14c,Acer platanoides L.,3,0.786,0.327,86.4,,tree,non-native
14c,Acer platanoides L.,4,0.140,0.058,16.2,,tree,non-native
14c,Acer platanoides L.,5,0.190,0.081,21.5,,tree,non-native
14c,Acer platanoides L.,6,0.526,0.223,50.6,,tree,non-native
14c,Acer platanoides L.,7,0.692,0.311,68.3,,tree,non-native
14c,Acer platanoides L.,8,0.543,0.244,53.1,,tree,non-native
14c,Acer platanoides L.,9,1.054,0.473,121.9,,tree,non-native
14c,Acer platanoides L.,10,1.311,0.603,120.9,,tree,non-native
15a,Vinca minor L.,1,0.046,0.009,2.4,163,tree,non-native
15a,Vinca minor L.,2,0.043,0.008,2.4,152,tree,non-native
15a,Vinca minor L.,3,0.112,0.023,5.2,210,tree,non-native
15a,Vinca minor L.,4,0.098,0.020,4.8,187,tree,non-native
15a,Vinca minor L.,5,0.191,0.045,7.2,257,tree,non-native
15a,Vinca minor L.,6,0.212,0.052,9.4,297,tree,non-native
15a,Vinca minor L.,7,0.089,0.021,3.1,287,tree,non-native
15a,Vinca minor L.,8,0.205,0.049,7.5,260,tree,non-native
15a,Vinca minor L.,9,0.205,0.052,8.7,243,tree,non-native
15a,Vinca minor L.,10,0.232,0.056,10.0,233,tree,non-native
15b,Vinca minor L.,1,0.064,0.016,3.0,212,tree,non-native
15b,Vinca minor L.,2,0.057,0.013,2.6,203,tree,non-native
15b,Vinca minor L.,3,0.128,0.030,6.0,213,tree,non-native
15b,Vinca minor L.,4,0.142,0.034,6.7,212,tree,non-native
15b,Vinca minor L.,5,0.142,0.035,7.4,180,tree,non-native
15b,Vinca minor L.,6,0.128,0.030,6.7,180,tree,non-native
15b,Vinca minor L.,7,0.130,0.031,7.6,165,tree,non-native
15b,Vinca minor L.,8,0.145,0.034,8.1,165,tree,non-native
15b,Vinca minor L.,9,0.114,0.025,7.4,142,tree,non-native
15b,Vinca minor L.,10,0.139,0.032,8.2,155,tree,non-native
15c,Vinca minor L.,1,0.063,0.012,3.1,177,tree,non-native
15c,Vinca minor L.,2,0.060,0.011,3.0,170,tree,non-native
15c,Vinca minor L.,3,0.200,0.047,8.3,238,tree,non-native
15c,Vinca minor L.,4,0.212,0.047,8.6,242,tree,non-native
15c,Vinca minor L.,5,0.239,0.057,10.1,235,tree,non-native
15c,Vinca minor L.,6,0.236,0.055,10.2,240,tree,non-native
15c,Vinca minor L.,7,0.453,0.107,18.4,250,tree,non-native
15c,Vinca minor L.,8,0.409,0.102,17.2,235,tree,non-native
15c,Vinca minor L.,9,0.120,0.031,5.8,190,tree,non-native
15c,Vinca minor L.,10,0.125,0.033,5.9,218,tree,non-native
2d,Hedera Helix L.,1,1.547,0.644,49.9,,tree,non-native
2d,Hedera Helix L.,2,0.972,0.407,28.6,,tree,non-native
2d,Hedera Helix L.,3,0.253,0.105,6.6,,tree,non-native
2d,Hedera Helix L.,4,1.481,0.597,48.1,,tree,non-native
2d,Hedera Helix L.,5,0.884,0.352,30.2,,tree,non-native
2e,Hedera Helix L.,6,0.226,0.069,12.7,,ground,non-native
2e,Hedera Helix L.,7,0.433,0.139,19.4,,ground,non-native
2e,Hedera Helix L.,8,0.814,0.261,39.0,,ground,non-native
2e,Hedera Helix L.,9,0.815,0.275,38.6,,ground,non-native
2e,Hedera Helix L.,10,0.977,0.354,55.3,,ground,non-native
2,Hedera Helix L.,4009A,1.517,0.560,45.8,,,non-native
2,Hedera Helix L.,4089B,1.133,0.413,32.1,,,non-native
2,Hedera Helix L.,25310A,0.616,0.178,32.7,,,non-native
2,Hedera Helix L.,27710B,0.427,0.127,22.2,,,non-native
7,Ginkgo biloba L.,25A,0.891,0.236,37.1,,,non-native
7,Ginkgo biloba L.,25B,0.707,0.175,30.0,,,non-native
7,Ginkgo biloba L.,26A,0.559,0.130,26.8,,,non-native
7,Ginkgo biloba L.,26B,0.525,0.111,26.3,,,non-native
8,Eucalyptus pauciflora Sieber ex. Sprengel,42547A,0.555,0.232,13.3,,,Australian_species
8,Eucalyptus pauciflora Sieber ex. Sprengel,43847B,1.070,0.409,23.1,,,Australian_species
8,Eucalyptus pauciflora Sieber ex. Sprengel,37348A,1.278,0.462,33.6,,,Australian_species
8,Eucalyptus pauciflora Sieber ex. Sprengel,39748B,1.315,0.451,33.1,,,Australian_species
9,Callistemon viminalis Sweet ex. G.Don,37013A,0.263,0.130,7.1,,,Australian_species
9,Callistemon viminalis Sweet ex. G.Don,35513B,0.225,0.112,6.0,,,Australian_species
9,Callistemon viminalis Sweet ex. G.Don,36014A,0.301,0.146,9.3,,,Australian_species
9,Callistemon viminalis Sweet ex. G.Don,35314B,0.329,0.161,10.1,,,Australian_species
10,Convolvulus mauritanicus Boiss.,18227A,0.031,0.007,2.3,,,non-native
10,Convolvulus mauritanicus Boiss.,21027B,0.043,0.008,2.1,,,non-native
10,Convolvulus mauritanicus Boiss.,17228A,0.041,0.008,2.7,,,non-native
10,Convolvulus mauritanicus Boiss.,18028B,0.041,0.007,2.3,,,non-native
11,Salix babylonica L.,26721A,0.286,0.117,11.4,,,non-native
11,Salix babylonica L.,20821B,0.212,0.078,9.4,,,non-native
11,Salix babylonica L.,13522A,0.177,0.040,11.9,,,non-native
11,Salix babylonica L.,13222B,0.135,0.032,9.5,,,non-native
12,Cercis occidentalis Torr.,2233A,0.172,0.060,12.0,,,non-native
12,Cercis occidentalis Torr.,1783B,0.167,0.054,11.6,,,non-native
12,Cercis occidentalis Torr.,2274A,0.220,0.078,17.1,,,non-native
12,Cercis occidentalis Torr.,2024B,0.346,0.116,23.1,,,non-native
