Species,Common name,Replicate,plant type,Photo,Cond,Area (mm2),species SLA,mass in chamber (g),Amass (photo per g),Aarea,Gmass,Garea,Photo_Rd
Imperata cylindrica,Bladey grass,5,Native co-occurring,,,600,,,,,,,-0.805
Lantana camara,Lantana,1,Exotic,,,600,,,,,,,-0.579
Lantana camara,Lantana,2,Exotic,,,600,,,,,,,-0.628
Lantana camara,Lantana,3,Exotic,,,600,,,,,,,-0.611
Lantana camara,Lantana,4,Exotic,,,600,,,,,,,-0.613
Lantana camara,Lantana,5,Exotic,,,600,,,,,,,-0.654
Ligustrum lucidum,large leaf privet,1,Exotic,,,600,,,,,,,-0.652
Ligustrum lucidum,large leaf privet,2,Exotic,,,600,,,,,,,-0.872
Ligustrum lucidum,large leaf privet,3,Exotic,,,600,,,,,,,-1.13
Ligustrum lucidum,large leaf privet,4,Exotic,,,600,,,,,,,-0.823
Ligustrum lucidum,large leaf privet,5,Exotic,,,600,,,,,,,-0.564
Lomandra longifolia,lomandra,1,Native co-occurring,,,600,,,,,,,-0.42
Lomandra longifolia,lomandra,2,Native co-occurring,,,600,,,,,,,-0.609
Lomandra longifolia,lomandra,3,Native co-occurring,,,600,,,,,,,-0.475
Lomandra longifolia,lomandra,4,Native co-occurring,,,600,,,,,,,-1.06
Lomandra longifolia,lomandra,5,Native co-occurring,,,,,,,,,,
Nephrolepis cordifolia,fishbone fern,1,Exotic,,,422.35,,0.0188,,,,,-0.723
Nephrolepis cordifolia,fishbone fern,2,Exotic,,,391.19,,0.0215,,,,,-1.21
Nephrolepis cordifolia,fishbone fern,3,Exotic,,,457.79,,0.0212,,,,,-0.667
Nephrolepis cordifolia,fishbone fern,4,Exotic,,,320.08,,0.0152,,,,,-0.98
Nephrolepis cordifolia,fishbone fern,5,Exotic,,,355.69,,0.0111,,,,,-1.22
Oplismenus aemulus,Oplismenus,1,Native co-occurring,,,,,,,,,,-0.416
Oplismenus aemulus,Oplismenus,2,Native co-occurring,,,,,,,,,,-0.576
Oplismenus aemulus,Oplismenus,3,Native co-occurring,,,,,,,,,,-0.293
Oplismenus aemulus,Oplismenus,4,Native co-occurring,,,,,,,,,,-0.404
Oplismenus aemulus,Oplismenus,5,Native co-occurring,,,,,,,,,,-0.382
Persoonia levis,Persoonia levis,1,Native not co-occurring,,,,,,,,,,-0.713
Persoonia levis,Persoonia levis,2,Native not co-occurring,,,,,,,,,,-0.558
Persoonia levis,Persoonia levis,3,Native not co-occurring,,,,,,,,,,-0.896
Persoonia levis,Persoonia levis,4,Native not co-occurring,,,,,,,,,,-1.22
Persoonia levis,Persoonia levis,5,Native not co-occurring,,,,,,,,,,-1.4
Persoonia linifolia,Persoonia linifolia,1,Native not co-occurring,,,,,,,,,,-0.409
Persoonia linifolia,Persoonia linifolia,2,Native not co-occurring,,,,,,,,,,-0.557
Persoonia linifolia,Persoonia linifolia,3,Native not co-occurring,,,,,,,,,,-0.567
Persoonia linifolia,Persoonia linifolia,4,Native not co-occurring,,,,,,,,,,-0.363
Persoonia linifolia,Persoonia linifolia,5,Native not co-occurring,,,,,,,,,,-0.422
Pittosporum undulatum,Pittosporum,1,Native co-occurring,,,600,,,,,,,-0.715
Pittosporum undulatum,Pittosporum,2,Native co-occurring,,,600,,,,,,,-0.832
Pittosporum undulatum,Pittosporum,3,Native co-occurring,,,600,,,,,,,-0.751
Pittosporum undulatum,Pittosporum,4,Native co-occurring,,,600,,,,,,,-0.932
Pittosporum undulatum,Pittosporum,5,Native co-occurring,,,600,,,,,,,-0.722
Protasparagus aethiopicus,Asparagus fern,1,Exotic,,,146.27,,0.0054,,,,,-0.554
Protasparagus aethiopicus,Asparagus fern,2,Exotic,,,73.403,,0.0029,,,,,-0.637
Protasparagus aethiopicus,Asparagus fern,3,Exotic,,,94.048,,0.0048,,,,,-0.752
Protasparagus aethiopicus,Asparagus fern,4,Exotic,,,112.56,,0.007,,,,,-0.645
Protasparagus aethiopicus,Asparagus fern,5,Exotic,,,,,,,,,,-0.381
Pteridium esculentum,Bracken fern,1,Native co-occurring,,,600,,0.0743,,,,,-1.41
Pteridium esculentum,Bracken fern,2,Native co-occurring,,,437.52,,0.0603,,,,,-1.66
Pteridium esculentum,Bracken fern,3,Native co-occurring,,,500.71,,0.0602,,,,,-1.66
Pteridium esculentum,Bracken fern,4,Native co-occurring,,,503.48,,0.0599,,,,,-0.985
Pteridium esculentum,Bracken fern,5,Native co-occurring,,,490.05,,0.0531,,,,,-1.37
Senna pendula,cassia,1,Exotic,,,480.66,,0.0239,,,,,-1.25
Senna pendula,cassia,2,Exotic,,,562.61,,0.0244,,,,,-1.31
Senna pendula,cassia,3,Exotic,,,383.61,,0.0182,,,,,-0.996
Senna pendula,cassia,4,Exotic,,,289.42,,0.018,,,,,-1.01
Senna pendula,cassia,5,Exotic,,,433.43,,0.019,,,,,-1.68
Sida rhombifolia,Sida,1,Exotic,,,600,,,,,,,-1.56
Sida rhombifolia,Sida,2,Exotic,,,600,,,,,,,-2.01
Sida rhombifolia,Sida,3,Exotic,,,600,,,,,,,-1.36
Sida rhombifolia,Sida,4,Exotic,,,600,,,,,,,-1.02
Sida rhombifolia,Sida,5,Exotic,,,600,,,,,,,-1.02
Siegesbeckia orientalis,Siegesbeckia,1,Native co-occurring,,,600,,,,,,,-1.32
Siegesbeckia orientalis,Siegesbeckia,2,Native co-occurring,,,600,,,,,,,-0.957
Siegesbeckia orientalis,Siegesbeckia,3,Native co-occurring,,,600,,,,,,,-1.57
Siegesbeckia orientalis,Siegesbeckia,4,Native co-occurring,,,600,,,,,,,-1.02
Siegesbeckia orientalis,Siegesbeckia,5,Native co-occurring,,,600,,,,,,,-1.12
Smilax sp,Smilax,1,Native not co-occurring,,,600,,,,,,,-0.579
Smilax sp,Smilax,2,Native not co-occurring,,,600,,,,,,,-0.436
Smilax sp,Smilax,3,Native not co-occurring,,,600,,,,,,,-0.373
Smilax sp,Smilax,4,Native not co-occurring,,,600,,,,,,,-0.428
Smilax sp,Smilax,5,Native not co-occurring,,,600,,,,,,,-0.42
Solanum mauritianum,Wild tobacco,1,Exotic,,,600,,,,,,,-0.549
Solanum mauritianum,Wild tobacco,2,Exotic,,,600,,,,,,,-0.644
Solanum mauritianum,Wild tobacco,3,Exotic,,,600,,,,,,,-0.514
Solanum mauritianum,Wild tobacco,4,Exotic,,,600,,,,,,,-0.705
Solanum mauritianum,Wild tobacco,5,Exotic,,,600,,,,,,,-0.6
Tradescantia sp,Tradescantia,1,Exotic,,,600,,,,,,,-0.408
Tradescantia sp,Tradescantia,2,Exotic,,,600,,,,,,,-0.544
Tradescantia sp,Tradescantia,3,Exotic,,,415.97,,,,,,,-0.477
Tradescantia sp,Tradescantia,4,Exotic,,,454.22,,,,,,,-0.266
Tradescantia sp,Tradescantia,5,Exotic,,,466.03,,,,,,,-0.395
Xanthorrhoea sp,Xanthorrhoea,1,Native not co-occurring,,,600,,,,,,,-0.474
Xanthorrhoea sp,Xanthorrhoea,2,Native not co-occurring,,,600,,,,,,,-0.488
Xanthorrhoea sp,Xanthorrhoea,3,Native not co-occurring,,,600,,,,,,,-0.235
Xanthorrhoea sp,Xanthorrhoea,4,Native not co-occurring,,,600,,,,,,,-0.455
Xanthorrhoea sp,Xanthorrhoea,5,Native not co-occurring,,,,,,,,,,-0.44
