SCIENTIFICNAME,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Conospermum caeruleum subsp. oblanceolatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum caeruleum subsp. marginatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum caeruleum subsp. caeruleum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum caeruleum subsp. spathulatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum canaliculatum subsp. apiculatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum canaliculatum subsp. canaliculatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum capitatum subsp. glabratum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum capitatum subsp. capitatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum capitatum subsp. velutinum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum coerulescens subsp. dorrienii,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum coerulescens subsp. coerulescens,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum coerulescens subsp. adpressum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum densiflorum subsp. densiflorum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum densiflorum subsp. unicephalatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum filifolium subsp. filifolium,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum filifolium subsp. australe,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum flexuosum subsp. flexuosum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum flexuosum subsp. laevigatum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum leianthum subsp. leianthum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum leianthum subsp. orientale,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum longifolium subsp. mediale,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum longifolium subsp. angustifolium,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum longifolium subsp. longifolium,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum stoechadis subsp. stoechadis,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum stoechadis subsp. sclerophyllum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum wycherleyi subsp. glabrum,shrub,NA,NA,NA,NA,NA,NA,NA
Conospermum wycherleyi subsp. wycherleyi,shrub,NA,NA,NA,NA,NA,NA,NA
Conostylis pauciflora subsp. euryrhipis,herb,NA,NA,NA,NA,NA,NA,NA
Conostylis pauciflora subsp. pauciflora,herb,NA,NA,NA,NA,NA,NA,NA
Correa backhouseana var. orbicularis,shrub,NA,NA,NA,NA,NA,NA,NA
Correa calycina var. calycina,shrub,NA,NA,NA,NA,NA,NA,NA
Correa calycina var. halmaturorum,shrub,NA,NA,NA,NA,NA,NA,NA
Correa glabra var. leucoclada,shrub,NA,NA,NA,NA,NA,NA,NA
Correa glabra var. turnbullii,shrub,NA,NA,NA,NA,NA,NA,NA
Correa glabra var. glabra,shrub,NA,NA,NA,NA,NA,NA,NA
Cratystylis conocephala x Cratystylis microphylla,shrub,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. revoluta,shrub,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. obcordata,shrub,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. magnifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. exalata,shrub,NA,NA,NA,NA,NA,NA,NA
Cryptocarya triplinervis var. pubens,tree,NA,NA,NA,NA,NA,NA,NA
Cryptocarya triplinervis var. riparia,tree,NA,NA,NA,NA,NA,NA,NA
Cryptocarya triplinervis var. triplinervis,tree,NA,NA,NA,NA,NA,NA,NA
Cupaniopsis flagelliformis var. flagelliformis,tree,NA,NA,NA,NA,NA,NA,NA
Cupaniopsis flagelliformis var. australis,tree,NA,NA,NA,NA,NA,NA,NA
Cyanthillium cinereum var. lanatum,herb,NA,NA,NA,NA,NA,NA,NA
Cyanthillium cinereum var. cinereum,herb,NA,NA,NA,NA,NA,NA,NA
Cyanthillium cinereum var. linifolium,herb,erect,NA,NA,NA,NA,NA,NA
Cyphanthera albicans subsp. tomentosa,shrub,NA,NA,NA,NA,NA,NA,NA
Cyphanthera albicans subsp. notabilis,shrub,NA,NA,NA,NA,NA,NA,NA
Cyphanthera albicans subsp. albicans,shrub,NA,NA,NA,NA,NA,NA,NA
Dendrocnide peltata var. peltata,tree,NA,NA,NA,NA,NA,NA,NA
Dendrocnide peltata var. murrayana,tree,NA,NA,NA,NA,NA,NA,NA
Dinebra decipiens subsp. asthenes,tussock,NA,NA,NA,NA,NA,NA,NA
Dinebra decipiens subsp. decipiens,tussock,NA,NA,NA,NA,NA,NA,NA
Dinebra decipiens subsp. peacockii,tussock,NA,NA,NA,NA,NA,NA,NA
Diplopeltis huegelii subsp. huegelii,shrub,NA,NA,NA,NA,NA,NA,NA
Diplopeltis huegelii subsp. subintegra,shrub,NA,NA,NA,NA,NA,NA,NA
Diplopeltis huegelii subsp. lehmannii,shrub,NA,NA,NA,NA,NA,NA,NA
Diplopeltis intermedia var. incana,shrub,NA,NA,NA,NA,NA,NA,NA
Diplopeltis intermedia var. intermedia,shrub,NA,NA,NA,NA,NA,NA,NA
Diplopeltis stuartii var. glandulosa,herb,NA,NA,NA,NA,NA,NA,NA
Diplopeltis stuartii var. stuartii,herb,NA,NA,NA,NA,NA,NA,NA
Dodonaea lanceolata var. subsessilifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Dodonaea lanceolata var. lanceolata,shrub,NA,NA,NA,NA,NA,NA,NA
Dodonaea microzyga var. acrolobata,shrub,NA,NA,NA,NA,NA,NA,NA
Dodonaea microzyga var. microzyga,shrub,NA,NA,NA,NA,NA,NA,NA
Dodonaea sinuolata subsp. acrodentata,shrub,NA,NA,NA,NA,NA,NA,NA
Dodonaea sinuolata subsp. sinuolata,shrub,NA,NA,NA,NA,NA,NA,NA
Drosera macrantha subsp. planchonii,herb,NA,NA,NA,NA,NA,NA,NA
Drosera macrantha subsp. macrantha,herb,NA,NA,NA,NA,NA,NA,NA
Eclipta platyglossa subsp. borealis,herb,NA,NA,NA,NA,NA,NA,NA
Eclipta platyglossa subsp. platyglossa,herb,NA,NA,NA,NA,NA,NA,NA
Elephantopus scaber subsp. plurisetus,herb,NA,NA,NA,NA,NA,NA,NA
Endiandra muelleri subsp. bracteata,tree,NA,NA,NA,NA,NA,NA,NA
Endiandra muelleri subsp. muelleri,tree,NA,NA,NA,NA,NA,NA,NA
Erophila verna subsp. praecox,herb,NA,NA,NA,NA,NA,NA,NA
Erophila verna subsp. verna,herb,NA,NA,NA,NA,NA,NA,NA
Eucalyptus dalrympleana subsp. dalrympleana,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus delegatensis subsp. delegatensis,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus delegatensis subsp. tasmaniensis,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus fibrosa subsp. nubilis,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus fibrosa subsp. fibrosa,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus sideroxylon subsp. sideroxylon,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus viminalis subsp. cygnetensis,tree,NA,NA,NA,NA,NA,NA,NA
Eucalyptus viminalis subsp. viminalis,tree,NA,NA,NA,NA,NA,NA,NA
Euroschinus falcata var. falcata,tree,NA,NA,NA,NA,NA,NA,NA
Euroschinus falcata var. angustifolia,tree,NA,NA,NA,NA,NA,NA,NA
Ficus rubiginosa f. rubiginosa,tree,NA,NA,NA,NA,NA,NA,NA
Ficus rubiginosa f. rubiginosa,tree,NA,NA,NA,NA,NA,NA,NA
Frankenia interioris var. parviflora,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia interioris var. interioris,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia pauciflora var. fruticulosa,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia pauciflora var. pauciflora,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia pauciflora var. gunnii,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia pauciflora var. fruticulosa,shrub,NA,NA,NA,NA,NA,NA,NA
Frankenia pauciflora var. longifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Fumaria officinalis subsp. officinalis,herb,NA,NA,NA,NA,NA,NA,NA
Fumaria officinalis subsp. wirtgenii,herb,NA,NA,NA,NA,NA,NA,NA
Gonocarpus chinensis subsp. verrucosus,herb,NA,NA,NA,NA,NA,NA,NA
Gonocarpus chinensis subsp. chinensis,herb,NA,NA,NA,NA,NA,NA,NA
Gonocarpus confertifolius var. helmsii,herb,decumbent,NA,NA,NA,NA,NA,NA
Gonocarpus confertifolius var. confertifolius,herb,erect,NA,NA,NA,NA,NA,NA
Goodenia bellidifolia subsp. bellidifolia,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia bellidifolia subsp. argentea,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia dimorpha var. angustifolia,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia dimorpha var. dimorpha,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea subsp. hederacea,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia hederacea subsp. alpestris,herb,prostrate,NA,NA,NA,NA,NA,NA
Goodenia racemosa var. latifolia,subshrub,NA,NA,NA,NA,NA,NA,NA
Goodenia racemosa var. racemosa,subshrub,NA,NA,NA,NA,NA,NA,NA
Goodenia sepalosa var. sepalosa,herb,NA,NA,NA,NA,NA,NA,NA
Goodenia sepalosa var. glandulosa,herb,NA,NA,NA,NA,NA,NA,NA
Grevillea amplexans subsp. semivestita,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea amplexans subsp. amplexans,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea amplexans subsp. adpressa,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea biformis subsp. cymbiformis,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea biformis subsp. biformis,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea commutata subsp. commutata,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea commutata subsp. pinnatisecta,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea concinna subsp. concinna,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea concinna subsp. lemanniana,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea curviloba subsp. curviloba,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea curviloba subsp. incurva,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea dryandroides subsp. hirsuta,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea dryandroides subsp. dryandroides,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea hakeoides subsp. stenophylla,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea hakeoides subsp. hakeoides,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea insignis subsp. elliotii,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea insignis subsp. insignis,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea irrasa subsp. didymochiton,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea irrasa subsp. irrasa,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea manglesii subsp. manglesii,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea manglesii subsp. ornithopoda,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea manglesii subsp. dissectifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea neorigida subsp. neorigida,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea neorigida subsp. distans,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea preissii subsp. preissii,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea preissii subsp. glabrilimba,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea pulchella subsp. pulchella,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea pulchella subsp. ascendens,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea scortechinii subsp. scortechinii,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea scortechinii subsp. sarmentosa,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea sericea subsp. sericea,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea sericea subsp. riparia,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea shuttleworthiana subsp. shuttleworthiana,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea shuttleworthiana subsp. canarina,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea shuttleworthiana subsp. obovata,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea thyrsoides subsp. thyrsoides,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea thyrsoides subsp. pustulata,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea variifolia subsp. bundera,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea variifolia subsp. variifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea vestita subsp. isopogoides,shrub,NA,NA,NA,NA,NA,NA,NA
Grevillea vestita subsp. vestita,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea cygna subsp. cygna,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea cygna subsp. needlei,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea epiglottis subsp. milliganii,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea epiglottis subsp. epiglottis,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea laevipes subsp. graniticola,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea laevipes subsp. laevipes,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea obliqua subsp. parviflora,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea obliqua subsp. obliqua,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea orthorrhyncha var. orthorrhyncha,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea orthorrhyncha var. filiformis,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea scoparia subsp. trycherica,shrub,NA,NA,NA,NA,NA,NA,NA
Hakea scoparia subsp. scoparia,shrub,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata subsp. exalata,subshrub,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata var. laevis,subshrub,NA,NA,NA,NA,NA,NA,NA
Haloragis exalata subsp. velutina,subshrub,NA,NA,NA,NA,NA,NA,NA
Haloragis glauca f. sclopetifera,herb,NA,NA,NA,NA,NA,NA,NA
Haloragis glauca f. glauca,herb,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. octoforma,herb,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. pterocarpa,herb,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. odontocarpa,herb,NA,NA,NA,NA,NA,NA,NA
Haloragis odontocarpa f. rugosa,herb,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa brevipes var. major,herb,NA,NA,NA,NA,NA,NA,NA
Harmsiodoxa brevipes var. brevipes,herb,NA,NA,NA,NA,NA,NA,NA
Hybanthus vernonii subsp. scaber,herb,NA,NA,NA,NA,NA,NA,NA
Hybanthus vernonii subsp. vernonii,herb,NA,NA,NA,NA,NA,NA,NA
Ilex arnhemensis subsp. ferdinandi,tree,NA,NA,NA,NA,NA,NA,NA
Ilex arnhemensis subsp. arnhemensis,tree,NA,NA,NA,NA,NA,NA,NA
Isoetes drummondii subsp. anomala,herb,NA,NA,NA,NA,NA,NA,NA
Isoetes drummondii subsp. drummondii,herb,NA,NA,NA,NA,NA,NA,NA
Isopogon formosus subsp. formosus,shrub,NA,NA,NA,NA,NA,NA,NA
Isopogon formosus subsp. dasylepis,shrub,NA,NA,NA,NA,NA,NA,NA
Jagera pseudorhus var. pseudorhus,tree,NA,NA,NA,NA,NA,NA,NA
Jagera pseudorhus var. integerrima,tree,NA,NA,NA,NA,NA,NA,NA
Labichea lanceolata subsp. lanceolata,shrub,NA,NA,NA,NA,NA,NA,NA
Labichea lanceolata subsp. brevifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Labichea teretifolia subsp. teretifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Labichea teretifolia subsp. grandistipulata,shrub,NA,NA,NA,NA,NA,NA,NA
Lambertia multiflora var. darlingensis,shrub,NA,NA,NA,NA,NA,NA,NA
Lambertia multiflora var. multiflora,shrub,NA,NA,NA,NA,NA,NA,NA
Laxmannia grandiflora subsp. grandiflora,herb,tufted,NA,perennial,NA,NA,NA,NA
Laxmannia grandiflora subsp. stirlingensis,herb,NA,NA,perennial,NA,NA,NA,NA
Leionema lamprophyllum subsp. obovatum,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema lamprophyllum subsp. orbiculare,shrub,NA,NA,NA,NA,NA,NA,NA
Leionema lamprophyllum subsp. lamprophyllum,shrub,NA,NA,NA,NA,NA,NA,NA
Lepidium draba subsp. draba,herb,NA,NA,NA,NA,NA,NA,NA
Licuala ramsayi var. tuckeri,palm,NA,NA,NA,NA,NA,NA,NA
Licuala ramsayi var. ramsayi,palm,NA,NA,NA,NA,NA,NA,NA
Lippia alba var. alba,shrub,NA,NA,NA,NA,NA,NA,NA
Lomandra leucocephala subsp. robusta,tussock,NA,NA,NA,NA,NA,NA,NA
Lomandra leucocephala subsp. leucocephala,tussock,NA,NA,NA,NA,NA,NA,NA
Maireana tomentosa subsp. tomentosa,shrub,NA,NA,NA,NA,NA,NA,NA
Maireana tomentosa subsp. urceolata,shrub,NA,NA,NA,NA,NA,NA,NA
Marsdenia viridiflora subsp. viridiflora,climber_vine_herbaceous,NA,NA,NA,NA,NA,NA,NA
Marsdenia viridiflora subsp. tropica,climber_vine_herbaceous,NA,NA,NA,NA,NA,NA,NA
Microcybe multiflora subsp. multiflora,subshrub,NA,NA,NA,NA,NA,NA,NA
Microcybe multiflora subsp. baccharoides,subshrub,NA,NA,NA,NA,NA,NA,NA
Microcybe pauciflora subsp. pauciflora,subshrub,NA,NA,NA,NA,NA,NA,NA
Microcybe pauciflora subsp. grandis,subshrub,NA,NA,NA,NA,NA,NA,NA
Mitrasacme nudicaulis var. nudicaulis,herb,NA,NA,NA,NA,NA,NA,NA
Mitrasacme nudicaulis var. citrina,herb,NA,NA,NA,NA,NA,NA,NA
Mitrasacme pilosa var. stuartii,herb,NA,NA,NA,NA,NA,NA,NA
Mitrasacme pilosa var. pilosa,herb,NA,NA,NA,NA,NA,NA,NA
Myriophyllum callitrichoides subsp. striatum,aquatic_herb,NA,NA,NA,NA,NA,NA,NA
Myriophyllum callitrichoides subsp. callitrichoides,aquatic_herb,NA,NA,NA,NA,NA,NA,NA
Myriophyllum pedunculatum subsp. pedunculatum,aquatic_herb,prostrate erect,NA,NA,NA,NA,NA,NA
Myriophyllum pedunculatum subsp. longibracteolatum,aquatic_herb,NA,NA,NA,NA,NA,NA,NA
Myristica insipida var. insipida,tree,NA,NA,NA,NA,NA,NA,NA
Myristica insipida var. cimicifera,tree,NA,NA,NA,NA,NA,NA,NA
Najas marina subsp. armata,aquatic_submerged,NA,NA,NA,NA,NA,NA,NA
Najas marina subsp. latior,aquatic_submerged,NA,NA,NA,NA,NA,NA,NA
Neptunia amplexicaulis f. richmondii,herb,NA,NA,NA,NA,NA,NA,NA
Neptunia amplexicaulis f. amplexicaulis,herb,NA,NA,NA,NA,NA,NA,NA
Neptunia gracilis f. gracilis,herb,NA,NA,NA,NA,NA,NA,NA
Neptunia gracilis f. glandulosa,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana megalosiphon subsp. megalosiphon,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana megalosiphon subsp. sessilifolia,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana occidentalis subsp. occidentalis,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana occidentalis subsp. obliqua,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana occidentalis subsp. hesperis,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana rosulata subsp. rosulata,herb,NA,NA,NA,NA,NA,NA,NA
Nicotiana rosulata subsp. ingulba,herb,NA,NA,NA,NA,NA,NA,NA
Oenothera drummondii subsp. drummondii,herb,NA,NA,NA,NA,NA,NA,NA
Opuntia polyacantha var. hystricina,shrub,NA,NA,NA,NA,NA,NA,NA
Opuntia polyacantha var. erinacea (Engelm. & J.M.Bigelow) B.D.Parfitt,shrub,NA,NA,NA,NA,NA,NA,NA
Orthrosanthus laxus var. laxus,herb,NA,NA,NA,NA,NA,NA,NA
Orthrosanthus laxus var. gramineus,herb,NA,NA,NA,NA,NA,NA,NA
Ottelia ovalifolia subsp. chrysobasis,aquatic,NA,NA,NA,NA,NA,NA,NA
Ottelia ovalifolia subsp. ovalifolia,aquatic,NA,NA,NA,NA,NA,NA,NA
Passiflora aurantia var. pubescens,climber_vine,NA,NA,NA,NA,NA,NA,NA
Passiflora aurantia var. aurantia,climber_vine,NA,NA,NA,NA,NA,NA,NA
Passiflora suberosa subsp. litoralis,climber_vine,NA,NA,NA,NA,NA,NA,NA
Patersonia lanata f. lanata,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia lanata f. calvata,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia rudis subsp. rudis,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia rudis subsp. velutina,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia sericea var. longifolia,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia sericea var. sericea,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia umbrosa var. xanthina,herb,NA,NA,NA,NA,NA,NA,NA
Patersonia umbrosa var. umbrosa,herb,NA,NA,NA,NA,NA,NA,NA
Persoonia hirsuta subsp. evoluta,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia hirsuta subsp. hirsuta,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia laurina subsp. laurina,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia laurina subsp. leiogyna,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia laurina subsp. intermedia,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia myrtilloides subsp. cunninghamii,shrub,NA,NA,NA,NA,NA,NA,NA
Persoonia myrtilloides subsp. myrtilloides,shrub,NA,NA,NA,NA,NA,NA,NA
Petrophile ericifolia subsp. subpubescens,shrub,NA,NA,NA,NA,NA,NA,NA
Petrophile ericifolia subsp. ericifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. riparium,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. angustifolium,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. eglandulosum,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. nitidum,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. macrocalyx,shrub,NA,NA,NA,NA,NA,NA,NA
Phebalium glandulosum subsp. glandulosum,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca angustifolia subsp. montana,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca angustifolia subsp. angustifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca brucei subsp. cinerea,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca brucei subsp. brevifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca buxifolia subsp. buxifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca buxifolia subsp. obovata,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca buxifolia subsp. falcata,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca deserti subsp. brevifolia,subshrub,NA,NA,NA,NA,NA,NA,NA
Philotheca deserti subsp. deserti,subshrub,NA,NA,NA,NA,NA,NA,NA
Philotheca difformis subsp. smithiana,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca difformis subsp. difformis,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca gardneri subsp. globosa,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca gardneri subsp. gardneri,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca nodiflora subsp. calycina,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca nodiflora subsp. nodiflora,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca nodiflora subsp. lateriticola,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca nodiflora subsp. lasiocalyx,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca scabra subsp. scabra,shrub,NA,NA,NA,NA,NA,NA,NA
Philotheca scabra subsp. latifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea ciliata subsp. longituba,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea ciliata subsp. ciliata,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea cracens subsp. cracens,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea cracens subsp. glabra,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea imbricata var. petraea,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea imbricata var. imbricata,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea imbricata var. major,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea imbricata var. piligera,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea imbricata var. simulans,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea lehmanniana subsp. nervosa,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea lehmanniana subsp. lehmanniana,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea longiflora subsp. longiflora,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea microcephala subsp. microcephala,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea microcephala subsp. glabra,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea serpyllifolia subsp. serpyllifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea serpyllifolia subsp. occidentalis,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea simplex subsp. continua,herb,NA,NA,NA,NA,NA,NA,NA
Pimelea spiculigera var. thesioides,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea spiculigera var. spiculigera,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea spinescens subsp. pubiflora,subshrub,NA,NA,NA,NA,NA,NA,NA
Pimelea spinescens subsp. spinescens,subshrub,NA,NA,NA,NA,NA,NA,NA
Pimelea suaveolens subsp. flava,shrub,NA,NA,NA,NA,NA,NA,NA
Pimelea suaveolens subsp. suaveolens,shrub,NA,NA,NA,NA,NA,NA,NA
Pseuduvaria mulgraveana var. glabrescens,tree,NA,NA,NA,NA,NA,NA,NA
Pseuduvaria mulgraveana var. mulgraveana,tree,NA,NA,NA,NA,NA,NA,NA
Pterocaulon serrulatum var. serrulatum,shrub,NA,NA,NA,NA,NA,NA,NA
Pterocaulon serrulatum var. velutinum,shrub,NA,NA,NA,NA,NA,NA,NA
Rhadinothamnus rudis subsp. amblycarpus,shrub,NA,NA,NA,NA,NA,NA,NA
Rhadinothamnus rudis subsp. linearis,shrub,NA,NA,NA,NA,NA,NA,NA
Rhadinothamnus rudis subsp. rudis,shrub,NA,NA,NA,NA,NA,NA,NA
Rhagodia candolleana subsp. candolleana,shrub,NA,NA,NA,NA,NA,NA,NA
Rhagodia latifolia subsp. recta,shrub,NA,NA,NA,NA,NA,NA,NA
Rhagodia preissii subsp. obovata,shrub,NA,NA,NA,NA,NA,NA,NA
Rhagodia preissii subsp. preissii,shrub,NA,NA,NA,NA,NA,NA,NA
