Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Enneapogon cylindricus N.T.Burb.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Enneapogon decipiens Kakudidi,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Enneapogon eremophilus Kakudidi,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Enneapogon intermedius N.T.Burb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Enneapogon lindleyanus (Domin) C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon oblongus N.T.Burb.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Enneapogon pallidus (R.Br.) P.Beauv.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Enneapogon polyphyllus (Domin) N.T.Burb.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Enneapogon purpurascens (R.Br.) P.Beauv.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Enneapogon robustissimus (Domin) N.T.Burb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon acicularis (Lindl.) Lazarides,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Enteropogon dolichostachyus (Lag.) Keng ex Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon minutus Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Enteropogon ramosus B.K.Simon,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Eragrostis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis amabilis (L.) Wight & Arn. ex Nees,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis amabilis (L.) Wight & Arn. ex Nees var. amabilis,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Eragrostis australasica (Steud.) C.E.Hubb.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis barrelieri Daveau,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis basedowii Jedwabr.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis brownii (Kunth) Nees ex Steud.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis cilianensis (All.) Vignolo ex Janch.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis concinna (R.Br.) Steud.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis confertiflora J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Eragrostis crateriformis Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis cumingii Steud.,NA,NA,"Yates 2003, Latz 2004",Seeder,None,NA,NA,NA,NA
Eragrostis cylindriflora Hochst.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis desertorum Domin,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Eragrostis dielsii Pilg. ex Diels & E.Pritz.,NA,NA,Latz 2004,"Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis ecarinata Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis elongata (Willd.) Jacq.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis eriopoda Benth.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis eriopoda Benth. subsp. hill top (P.K.Latz 11583),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis eriopoda Benth. subsp. red earth (D.J.Nelson 1651),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis eriopoda Benth. subsp. sandy fireweed (P.K.Latz 12908),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis exigua Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis falcata (Gaudich.) Gaudich. ex Steud.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Eragrostis fallax Lazarides,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis filicaulis Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis hirticaulis Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis interrupta P.Beauv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis kennedyae Turner,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis lacunaria F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis lanicaulis Lazarides,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis laniflora Benth.,NA,NA,"Albrecht 2004, Brock 2004, Liddle 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis leptocarpa Benth.,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Eragrostis mexicana (Hornem.) Link,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis minor Host,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis olida Lazarides,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis parviflora (R.Br.) Trin.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis pergracilis S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis petraea Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis pilosa (L.) P.Beauv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis potamophila Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis pubescens (R.Br.) Steud.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis rigidiuscula Domin,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis schultzii Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis setifolia Nees.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eragrostis sororia Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sp. Nitmiluk (C.R.Michell 3803),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sp. erect spikelets (P.K.Latz 2122),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sp. gibber (P.K.Latz 12528),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sp. islands (P.K.Latz 6053),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sp. limestone (P.K.Latz 5921),NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,2,NA,NA
Eragrostis spartinoides Steud.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Eragrostis speciosa (Roem. & Schult.) Steud.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis stagnalis Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis stenostachya (R.Br.) Steud.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis sterilis Domin,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Eragrostis subtilis Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis superba Peyr.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis tenellula (Kunth) Steud.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Eragrostis tenuifolia (A.Rich.) Hochst. ex Steud.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eragrostis trichophora Coss. & Durieu,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Eragrostis uvida Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis xerophila Domin,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eriachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne agrostidea F.Muell.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Eriachne aristidea F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Eriachne armittii F.Muell. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Eriachne avenacea R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Eriachne axillaris Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne basalis Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne basedowii Hartley,NA,NA,"Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Eriachne benthamii Hartley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne bleeseri Pilg.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne burkittii Jansen,NA,NA,"KNP plots, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Eriachne capillaris R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Eriachne ciliata R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Eriachne compacta Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne fastigiata Lazarides,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Eriachne festucacea F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne filiformis Hartley,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Eriachne flaccida Hartley,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne glandulosa Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne glauca R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne glauca R.Br. var. barbinodis Hartley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne glauca R.Br. var. glauca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne helmsii Domin,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eriachne major (Ewart & O.B.Davies) Lazarides,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne melicacea F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne minuta Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne mucronata R.Br.,NA,NA,"KNP plots, Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eriachne nervosa Ewart & Cookson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne nodosa Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne obtusa R.Br.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eriachne obtusa R.Br. var. short narrow inflorescence (R.B.Brown 267),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne obtusa R.Br. var. tall broad inflorescence (N.M.Henry 636),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne pallescens R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne pallescens R.Br. var. pallescens,NA,NA,"KNP plots, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eriachne pauciflora W.Fitzg.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne pulchella Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne pulchella Domin subsp. dominii (Hartley) Lazarides,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne pulchella Domin subsp. pulchella,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Eriachne schultziana F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne scleranthoides F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne semiciliata Lazarides,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriachne sp. Davenport Ranges (D.E.Albrecht 10005),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne sp. Marrawal (I.D.Cowie 9228 & D.J.Dixon) M.D.Barrett,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Eriachne sp. woolly culms (P.K.Latz 10065),NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne squarrosa R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne stipacea F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne sulcata Hartley,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA,NA,NA
Eriachne triodioides Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne triseta Nees ex Steud.,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Eriachne vesiculosa Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriochloa australiensis Stapf ex Thell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriochloa crebra S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eriochloa fatmensis (Hochst. & Steud.) Clayton,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriochloa procera (Retz.) C.E.Hubb.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Eulalia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulalia annua B.K.Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulalia aurea (Bory) Kunth,NA,NA,"KNP plots, Latz 2004","Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Eulalia mackinlayi (F.Muell. ex Benth.) Kuntze,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Festuca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca arundinacea Schreb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germainia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KNP plots,"Seeder, Resprouter",None,NA,NA,NA,NA
NA,NA,NA,"Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Heterachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterachne abortiva (R.Br.) Druce,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterachne gulliveri Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterachne gulliveri Benth. var. gulliveri,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Heteropogon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Heteropogon triticeus (R.Br.) Stapf,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA,NA,NA
Hordeum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hordeum geniculatum All.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hordeum glaucum Steud.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Hordeum leporinum Link,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Hygrochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygrochloa aquatica Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hygrochloa cravenii Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenachne acutigluma (Steud.) Gilliland,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Hymenachne amplexicaulis (Rudge) Nees,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenachne x calamitosa J.R.Clarkson,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyparrhenia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyparrhenia rufa (Nees) Stapf,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imperata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imperata cylindrica (L.) Reausch.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Isachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isachne confusa Ohwi,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Isachne globosa (Thunb.) Kuntze,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isachne minutula (Gaudich.) Kunth,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isachne myosotis Nees,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Ischaemum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum australe R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum australe R.Br. var. arundinaceum (F.Muell. ex Benth.) B.K.Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum australe R.Br. var. australe,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum australe R.Br. var. villosum (R.Br.) Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum barbatum Retz.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Ischaemum decumbens Benth.,NA,NA,"KNP plots, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Ischaemum fragile R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum rugosum Salisb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum rugosum Salisb. var. rugosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum rugosum Salisb. var. segetum (Trin.) Hack.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum tropicum B.K.Simon,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Iseilema,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iseilema calvum C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Iseilema ciliatum C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iseilema convexum C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Iseilema dolichotrichum C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Iseilema eremaeum S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA,NA,NA
Iseilema fragile S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Iseilema macratherum Domin,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Iseilema membranaceum (Lindl.) Domin,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Iseilema trichopus (Benth.) C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iseilema vaginiflorum Domin,NA,NA,"Yates 2003, Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Iseilema windersii C.E.Hubb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Lachnagrostis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lachnagrostis filiformis (G.Forst.) Trin.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Leersia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leersia hexandra Sw.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Leptochloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptochloa digitata (R.Br.) Domin,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Lepturus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepturus copeanus B.K.Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepturus geminatus C.E.Hubb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepturus repens (G.Forst.) R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepturus xerophilus Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lolium,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lolium perenne L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Lolium rigidum Gaudin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Megathyrsus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs var. coloratus (C.T.White) B.K.Simon & S.W.L.Jacobs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs var. maximus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs var. pubiglumis (K.Schum.) B.K.Simon & S.W.L.Jacobs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melinis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melinis minutiflora P.Beauv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melinis repens (Willd.) Zizka,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Micraira,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira adamsii Lazarides,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Micraira compacta Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira dentata Lazarides,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Micraira dunlopii Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira inserta Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira multinervia Lazarides,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Micraira pungens Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira sp. Oenpelli (P.K.Latz 7838) Brennan & Cowie,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Micraira sp. Purnululu (M.D.Barrett & R.L.Barrett 1506),NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira spinifera Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micraira subspicata Lazarides,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Micraira tenuis Lazarides,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Micraira viscidula Lazarides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microchloa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microchloa indica (L.f.) P.Beauv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mnesithea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mnesithea formosa (R.Br.) de Koning & Sosef,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Mnesithea granularis (L.) de Koning & Sosef,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Mnesithea rottboellioides (R.Br.) de Koning & Sosef,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA,NA,NA
Monachather,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monachather paradoxus Steud.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Neurachne,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neurachne munroi (F.Muell.) F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Neurachne tenuifolia S.T.Blake,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Ophiuros,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophiuros exaltatus (L.) Kuntze,NA,NA,"Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Oplismenus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oplismenus burmanni (Retz.) P.Beauv.,NA,NA,JRS 2004,Seeder,None,NA,NA,NA,NA
Oplismenus compositus (L.) P.Beauv.,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Oplismenus hirtellus (L.) P.Beauv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryza,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryza australiensis Domin,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Oryza meridionalis Ng,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryza officinalis Wall. ex G.Watt,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryza rufipogon Griff.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryza sativa L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxychloris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxychloris scariosa (F.Muell.) Lazarides,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Panicum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum antidotale Retz.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Panicum decompositum R.Br.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum decompositum R.Br. var. decompositum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panicum decompositum R.Br. var. tenuius F.M.Bailey,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Panicum effusum R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
