find,dataset_id,replace,reason,taxonomic_resolution
Scleria lithosperma (L.) Sw. var. lithosperma,Nano_2011,Scleria lithosperma var. lithosperma,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Scleria polycarpa Boeck.,Nano_2011,Scleria polycarpa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Scleria pygmaea R.Br.,Nano_2011,Scleria pygmaea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Scleria rugosa R.Br.,Nano_2011,Scleria rugosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Scleria sphacelata F.Muell.,Nano_2011,Scleria sphacelata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Scleria tricuspidata S.T.Blake,Nano_2011,Scleria tricuspidata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena birchii (F.Muell.) Domin,Nano_2011,Sclerolaena birchii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena convexula (R.H.Anderson) A.J.Scott,Nano_2011,Sclerolaena convexula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena cornishiana (F.Muell.) A.J.Scott,Nano_2011,Sclerolaena cornishiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena costata (R.H.Anderson) A.J.Scott,Nano_2011,Sclerolaena costata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena diacantha (Nees) Benth.,Nano_2011,Sclerolaena diacantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sclerolaena johnsonii (Ising) A.J.Scott,Nano_2011,Sclerolaena johnsonii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Secamone elliptica R.Br.,Nano_2011,Secamone elliptica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sedopsis filsonii (J.H.Willis) J.H.Willis,Nano_2011,Sedopsis filsonii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sehima nervosum (Rottler.) Stapf,Nano_2011,Sehima nervosum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Selaginella ciliaris (Retz.) Spring,Nano_2011,Selaginella ciliaris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Semecarpus australiensis Engl.,Nano_2011,Semecarpus australiensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senecio gregorii F.Muell.,Nano_2011,Senecio gregorii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senecio laceratus (F.Muell.) Belcher,Nano_2011,Senecio laceratus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senecio lanibracteus I.Thomps.,Nano_2011,Senecio lanibracteus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senecio magnificus F.Muell.,Nano_2011,Senecio magnificus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. alicia Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. artemisioides,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. filifolia Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. helmsii (Symon) Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. oligophylla (F.Muell.) Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. petiolaris Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. quadrifolia Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna artemisioides (DC.) Randell subsp. sturtii (R.Br.) Randell,Nano_2011,Senna artemisioides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna glutinosa (DC.) Randell subsp. glutinosa,Nano_2011,Senna glutinosa subsp. glutinosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Senna glutinosa (DC.) Randell subsp. pruinosa (F.Muell.) Randell,Nano_2011,Senna glutinosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Senna leptoclada (Benth.) Randell,Nano_2011,Senna leptoclada,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna notabilis (F.Muell.) Randell,Nano_2011,Senna notabilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna obtusifolia (L.) H.S.Irwin & Barneby,Nano_2011,Senna obtusifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna occidentalis (L.) Link,Nano_2011,Senna occidentalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna oligoclada (F.Muell.) Randell,Nano_2011,Senna oligoclada,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna pleurocarpa (F.Muell.) Randell var. pleurocarpa,Nano_2011,Senna pleurocarpa var. pleurocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Senna sericea (Symon) Albr. & Symon,Nano_2011,Senna sericea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna surattensis (Burm.f.) H.S.Irwin & Barneby,Nano_2011,Senna surattensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Senna timoriensis (DC.) H.S.Irwin & Barneby,Nano_2011,Senna timoriensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Seringia nephrosperma F.Muell.,Nano_2011,Seringia nephrosperma,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sersalisia sericea (Aiton) R.Br.,Nano_2011,Sersalisia sericea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sesbania formosa (F.Muell.) N.T.Burb.,Nano_2011,Sesbania formosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Setaria apiculata (Scribn. & Merr.) K.Schum.,Nano_2011,Setaria apiculata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Setaria surgens Stapf,Nano_2011,Setaria surgens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Shonia bickertonensis (Specht) Halford & R.J.F.Hend.,Nano_2011,Shonia bickertonensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida acuta Burm.f.,Nano_2011,Sida acuta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida ammophila F.Muell. ex J.H.Willis,Nano_2011,Sida ammophila,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida argillacea A.E.Holland & S.T.Reynolds,Nano_2011,Sida argillacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida cordifolia L.,Nano_2011,Sida cordifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida cunninghamii C.T.White,Nano_2011,Sida cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida fibulifera Lindl.,Nano_2011,Sida fibulifera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida filiformis A.Cunn.,Nano_2011,Sida filiformis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Sida phaeotricha F.Muell.,Nano_2011,Sida phaeotricha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida platycalyx F.Muell. ex Benth.,Nano_2011,Sida platycalyx,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sida sp. pindan (B.G.Thomson 3398),Nano_2011,Sida sp. Pindan (B.G.Thomson 3398),match_07_fuzzy. Fuzzy alignment with accepted canonical name in APC (2023-06-18),Species
Sigesbeckia australiensis D.L.Schulz,Nano_2011,Sigesbeckia australiensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sisymbrium erysimoides Desf.,Nano_2011,Sisymbrium erysimoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sisymbrium irio L.,Nano_2011,Sisymbrium irio,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sisymbrium orientale L.,Nano_2011,Sisymbrium orientale,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Smilax australis R.Br.,Nano_2011,Smilax australis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum asymmetriphyllum Specht,Nano_2011,Solanum asymmetriphyllum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum carduiforme F.Muell.,Nano_2011,Solanum carduiforme,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum centrale J.M.Black,Nano_2011,Solanum centrale,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum chenopodinum F.Muell.,Nano_2011,Solanum chenopodinum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum chippendalei Symon,Nano_2011,Solanum chippendalei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum clarkiae Symon,Nano_2011,Solanum clarkiae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum cleistogamum Symon,Nano_2011,Solanum cleistogamum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum coactiliferum J.M.Black,Nano_2011,Solanum coactiliferum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum cowiei Martine,Nano_2011,Solanum cowiei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum eardleyae Symon,Nano_2011,Solanum eardleyae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum echinatum R.Br.,Nano_2011,Solanum echinatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum gilesii Symon,Nano_2011,Solanum gilesii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum lucani F.Muell.,Nano_2011,Solanum lucani,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum nigrum L.,Nano_2011,Solanum nigrum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum orbiculatum Dunal ex Poir. subsp. macrophyllum Symon,Nano_2011,Solanum orbiculatum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Solanum orbiculatum Dunal ex Poir. subsp. orbiculatum,Nano_2011,Solanum orbiculatum subsp. orbiculatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Solanum petrophilum F.Muell.,Nano_2011,Solanum petrophilum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum quadriloculatum F.Muell.,Nano_2011,Solanum quadriloculatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum tetrandrum R.Br.,Nano_2011,Solanum tetrandrum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Solanum tumulicola Symon,Nano_2011,Solanum tumulicola,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sonchus oleraceus L.,Nano_2011,Sonchus oleraceus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sophora longipes Merr.,Nano_2011,Sophora longipes,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sorghum intrans F.Muell. ex Benth.,Nano_2011,Sorghum intrans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sorghum plumosum (R.Br.) P.Beauv.,Nano_2011,Sorghum plumosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sorghum timorense (Kunth) Buse in de Vriese,Nano_2011,Sorghum timorense,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Sowerbaea alliacea F.Muell.,Nano_2011,Sowerbaea alliacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spathoglottis paulinae F.Muell.,Nano_2011,Spathoglottis paulinae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce aequabilis Harwood,Nano_2011,Spermacoce aequabilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce auriculata F.Muell.,Nano_2011,Spermacoce auriculata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce breviflora F.Muell. ex Benth.,Nano_2011,Spermacoce breviflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce dolichosperma Harwood,Nano_2011,Spermacoce dolichosperma,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce erectiloba Harwood,Nano_2011,Spermacoce erectiloba,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce leptoloba Benth.,Nano_2011,Spermacoce leptoloba,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce membranacea R.Br. ex Benth.,Nano_2011,Spermacoce membranacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Spermacoce stenophylla F.Muell.,Nano_2011,Spermacoce stenophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sphaerostephanos unitus (L.) Holttum var. unitus,Nano_2011,Sphaerostephanos unitus var. unitus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Sporobolus actinocladus (F.Muell.) F.Muell.,Nano_2011,Sporobolus actinocladus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sporobolus australasicus Domin,Nano_2011,Sporobolus australasicus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sporobolus mitchellii (Trin.) C.E.Hubb. ex S.T.Blake,Nano_2011,Sporobolus mitchellii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Sporobolus pulchellus R.Br.,Nano_2011,Sporobolus pulchellus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sporobolus virginicus (L.) Kunth,Nano_2011,Sporobolus virginicus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stackhousia clementii F.Muell.,Nano_2011,Stackhousia clementii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Stackhousia intermedia F.M.Bailey,Nano_2011,Stackhousia intermedia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stackhousia megaloptera F.Muell.,Nano_2011,Stackhousia megaloptera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemodia florulenta W.R.Barker,Nano_2011,Stemodia florulenta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemodia lythrifolia F.Muell. ex Benth.,Nano_2011,Stemodia lythrifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemodia tephropelina W.R.Barker,Nano_2011,Stemodia tephropelina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemodia viscosa Roxb.,Nano_2011,Stemodia viscosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemona australiana (Benth.) C.H.Wright,Nano_2011,Stemona australiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stemona prostrata Telford,Nano_2011,Stemona prostrata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Stenanthemum petraeum Rye,Nano_2011,Stenanthemum petraeum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenocarpus acacioides F.Muell.,Nano_2011,Stenocarpus acacioides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenocarpus cunninghamii R.Br.,Nano_2011,Stenocarpus cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenocarpus verticis Foreman,Nano_2011,Stenocarpus verticis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenochlaena palustris (Burm.f.) Bedd.,Nano_2011,Stenochlaena palustris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenopetalum anfractum E.A.Shaw,Nano_2011,Stenopetalum anfractum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenopetalum decipiens E.A.Shaw,Nano_2011,Stenopetalum decipiens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenopetalum lineare R.Br. ex DC.,Nano_2011,Stenopetalum lineare,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenopetalum nutans F.Muell.,Nano_2011,Stenopetalum nutans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenopetalum velutinum F.Muell.,Nano_2011,Stenopetalum velutinum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stenostegia congesta A.R.Bean,Nano_2011,Stenostegia congesta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sterculia holtzei F.Muell.,Nano_2011,Sterculia holtzei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sterculia quadrifida R.Br.,Nano_2011,Sterculia quadrifida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Sticherus flabellatus (R.Br.) St.John var. compactus (C.T.White & Goy) D.A.Sm.,Nano_2011,Sticherus flabellatus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Stictocardia tiliifolia (Desr.) Hallier f.,Nano_2011,Stictocardia tiliifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Streptoglossa adscendens (Benth.) Dunlop,Nano_2011,Streptoglossa adscendens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Streptoglossa bubakii (Domin) Dunlop,Nano_2011,Streptoglossa bubakii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Streptoglossa macrocephala (F.Muell.) Dunlop,Nano_2011,Streptoglossa macrocephala,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Streptoglossa odora (F.Muell.) Dunlop,Nano_2011,Streptoglossa odora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Striga curviflora (R.Br.) Benth.,Nano_2011,Striga curviflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Strychnos lucida R.Br.,Nano_2011,Strychnos lucida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Strychnos minor Dennst.,Nano_2011,Strychnos minor,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylidium desertorum Carlquist,Nano_2011,Stylidium desertorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylidium fissilobum F.Muell.,Nano_2011,Stylidium fissilobum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylidium multiscapum O.Schwarz,Nano_2011,Stylidium multiscapum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylidium schizanthum F.Muell.,Nano_2011,Stylidium schizanthum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylidium sp. Melville Island (R.J.Fensham 432) K.G.Brennan,Nano_2011,Stylidium sp. [Stylidium sp. Melville Island (R.J.Fensham 432) K.G.Brennan; Nano_2011],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-06-18)",genus
Stylobasium spathulatum Desf.,Nano_2011,Stylobasium spathulatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Stylosanthes humilis Kunth,Nano_2011,Stylosanthes humilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Suregada glomerulata (Blume) Baill.,Nano_2011,Suregada glomerulata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Swainsona affinis (A.T.Lee) Joy Thomps.,Nano_2011,Swainsona affinis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Swainsona burkei F.Muell. ex Benth.,Nano_2011,Swainsona burkei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Swainsona canescens (Benth.) F.Muell.,Nano_2011,Swainsona canescens,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Swainsona colutoides F.Muell.,Nano_2011,Swainsona colutoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Swainsona flavicarinata J.M.Black,Nano_2011,Swainsona flavicarinata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Swainsona phacoides Benth.,Nano_2011,Swainsona phacoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Synedrella nodiflora (L.) Gaertn.,Nano_2011,Synedrella nodiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Synostemon ditassoides (Müll.Arg.) I.Telford & Pruesapan,Nano_2011,Synostemon ditassoides,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon dunlopii (J.T.Hunter & J.J.Bruhl) I.Telford & Pruesapan,Nano_2011,Synostemon dunlopii,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon filicinus (J.T.Hunter & J.J.Bruhl) I.Telford & Pruesapan,Nano_2011,Synostemon filicinus,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon glaucus F.Muell.,Nano_2011,Synostemon glaucus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Synostemon gracilis (J.T.Hunter & J.J.Bruhl) I.Telford & Pruesapan,Nano_2011,Synostemon gracilis,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon nitmiluk I.Telford & J.J.Bruhl,Nano_2011,Synostemon nitmiluk,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon ochrophyllus (Benth.) I.Telford & Pruesapan,Nano_2011,Synostemon ochrophyllus,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon paucifolius (J.T.Hunter & J.J.Bruhl) I.Telford & J.J.Bruhl,Nano_2011,Synostemon paucifolius,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon ramosissimus F.Muell.,Nano_2011,Synostemon ramosissimus,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Synostemon rigidulus (F.Muell. ex Müll.Arg.) I.Telford & Pruesapan,Nano_2011,Synostemon rigidulus,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon rimophilus (J.T.Hunter & J.J.Bruhl) I.Telford & Pruesapan,Nano_2011,Synostemon rimophilus,match_19. Automatic alignment with species-level canonical name in APNI when notes are ignored (2023-06-18),Species
Synostemon sp. Mann River (I.D.Cowie 8724),Nano_2011,Sauropus sp. Mann River (I.D.Cowie 8724),"Manual match to APC accepted name (E. Wenk, 2023-06-18)",Species
Synostemon trachyspermus (F.Muell.) I.Telford & Pruesapan,Nano_2011,Synostemon trachyspermus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium angophoroides (F.Muell.) B.Hyland,Nano_2011,Syzygium angophoroides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium arenitense Craven,Nano_2011,Syzygium arenitense,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium armstrongii (Benth.) B.Hyland,Nano_2011,Syzygium armstrongii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium claviflorum (Roxb.) Wall. ex Steud.,Nano_2011,Syzygium claviflorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium eucalyptoides (F.Muell.) B.Hyland subsp. bleeseri (O.Schwarz) B.Hyland,Nano_2011,Syzygium eucalyptoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Syzygium eucalyptoides (F.Muell.) B.Hyland subsp. eucalyptoides,Nano_2011,Syzygium eucalyptoides subsp. eucalyptoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Syzygium fibrosum (F.M.Bailey) Hartley & L.M.Perry,Nano_2011,Syzygium fibrosum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Syzygium hemilamprum (F.Muell. ex F.M.Bailey) Craven & Biffin,Nano_2011,Syzygium hemilamprum,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Syzygium minutuliflorum (F.Muell.) B.Hyland,Nano_2011,Syzygium minutuliflorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium nervosum DC.,Nano_2011,Syzygium nervosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Syzygium suborbiculare (Benth.) T.G.Hartley & L.M.Perry,Nano_2011,Syzygium suborbiculare,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tabernaemontana orientalis R.Br.,Nano_2011,Tabernaemontana orientalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tacca leontopetaloides (L.) Kuntze,Nano_2011,Tacca leontopetaloides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tacca maculata Seem.,Nano_2011,Tacca maculata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Taenitis blechnoides (Willd.) Sw.,Nano_2011,Taenitis blechnoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Taenitis pinnata (J.Sm.) Houtt.,Nano_2011,Taenitis pinnata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Tamarindus indica L.,Nano_2011,Tamarindus indica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tarenna dallachiana (F.Muell. ex Benth.) S.Moore subsp. expandens (F.Muell.) S.T.Reynolds & P.I.Forst.,Nano_2011,Tarenna dallachiana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Tarenna pentamera (Benth.) S.T.Reynolds,Nano_2011,Tarenna pentamera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tarennoidea wallichii (Hook.f.) Tirveng. & Sastre,Nano_2011,Tarennoidea wallichii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tectaria siifolia (Willd.) Copel.,Nano_2011,Tectaria siifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Tecticornia indica (Willd) K.A.Sheph. & Paul G.Wilson subsp. bidens (Nees) K.A.Sheph. & Paul G.Wilson,Nano_2011,Tecticornia indica,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Tecticornia verrucosa Paul G.Wilson,Nano_2011,Tecticornia verrucosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
