Material,Species,rep,MassLoss_12 (%),MassLoss_24 (%),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%)
BARK,Euc_pilu,1,19.59613390,35.66823863,15.70000000,1.65000000,1.04669523,12.53122398,11.20000000,91.10000000,76.80000000,167.90000000,7.16000000,87.03584136,73.37379381,1.83666667,15.40000000,1.06200000,2.30700000,0.46033810,26.04300000,22.26000000,14.50094162,18.89010000,46.90000000,0.06080000,16.31565762,15.58663883,0.01507140,1.22745303,18.43079332,0.00287832,0.02993122,20.76920668,23.40260960,17.09749478,0.06026106,12.25219207,32.53744302,52.20316909,0.00000000,5.10948629,8.32053771,13.43002400
BARK,Euc_pilu,2,19.68833687,46.06088569,11.90000000,1.16000000,0.65342321,13.45460642,6.80000000,15.90000000,79.90000000,95.80000000,7.84000000,24.33338736,122.27909747,1.39333333,11.20000000,0.62700000,1.02700000,0.61051607,42.95900000,37.36000000,17.86283892,19.35180000,46.98000000,0.09510000,15.15548204,11.01323251,0.06451153,1.09480151,29.23223062,0.00657520,0.03963884,40.29451796,42.75973535,25.31294896,0.05588450,11.08194707,32.07587383,46.58994032,0.00000000,11.40729011,14.71628606,26.12357617
BARK,Euc_pilu,3,,32.27210398,11.90000000,0.96000000,0.60730945,,5.60000000,52.60000000,43.40000000,96.00000000,7.27000000,86.61152866,71.46274418,1.24666667,12.70000000,0.59200000,1.08200000,0.54713494,48.30100000,36.32000000,21.45270270,19.37060000,46.63000000,0.07580000,19.68084359,8.57029877,0.04674879,0.21397188,11.39068541,0.00575199,0.04293945,39.12715290,44.20316344,24.80790861,0.04876195,7.88075571,30.13584117,51.26436782,0.08359457,5.41009830,8.01202010,13.42211840
BARK,Euc_pilu,4,13.52619987,23.88755096,13.80000000,0.84000000,0.53944393,,6.30000000,7.70000000,57.70000000,65.40000000,9.48000000,14.27395811,106.96199780,1.22666667,11.50000000,0.49500000,0.88900000,0.55680540,42.85300000,46.08000000,23.23232323,19.29265000,46.50000000,0.03380000,37.66457740,8.46723647,0.01550736,0.78983856,23.76277303,0.00711099,0.04960382,39.89012346,160.54567901,20.33152896,0.05240541,11.62326686,27.47679689,57.24152817,0.02158429,6.28847885,6.61814096,12.90661981
BARK,Euc_pilu,5,12.92120453,49.15785820,12.80000000,1.09000000,0.66125384,,6.00000000,9.40000000,83.90000000,93.30000000,8.15000000,14.21541830,126.88016970,1.53666667,12.10000000,0.80600000,1.28300000,0.62821512,19.88000000,17.44000000,15.01240695,19.29645000,45.50000000,0.07240000,19.44587678,20.19146919,0.03363519,1.39763033,10.25421801,0.04198162,0.03599655,40.56758294,278.81383886,23.16720379,0.05257934,1.28312796,30.18913676,46.67798254,0.12124151,26.21858994,11.25833447,37.47692441
BARK,Euc_pilu,6,,37.55581258,11.00000000,1.55000000,0.77088277,,4.80000000,14.10000000,104.70000000,118.80000000,7.46000000,18.29071880,135.81831621,1.61333333,11.80000000,0.93000000,1.35200000,0.68786982,25.62900000,21.01000000,12.68817204,19.47940000,46.57000000,0.06450000,33.75826772,34.65354331,0.03555887,1.57421260,19.04311024,0.02132614,0.04071219,57.28169291,95.91496063,34.34803150,0.05351821,331.98750000,30.81656805,48.73372781,0.11834320,13.66278930,8.85644780,22.51923711
BARK,Euc_pilu,7,9.98903346,39.71317480,10.90000000,1.16000000,0.66734434,,9.90000000,8.80000000,86.50000000,95.30000000,8.05000000,13.18659569,129.61824168,1.59000000,14.10000000,0.80500000,1.51900000,0.52995392,50.26300000,42.96000000,17.51552795,19.03820000,47.03000000,0.02430000,29.60163636,35.49000000,0.02927181,1.72754545,9.60309091,0.00429272,0.02637555,52.52245455,119.94963636,9.59581818,0.04203918,235.69572727,30.09248816,50.71057974,0.15790661,17.58563670,5.44574458,23.03138128
BARK,Euc_pilu,8,9.80403054,38.10574141,12.90000000,1.41000000,0.72215880,,11.70000000,6.90000000,127.10000000,134.00000000,6.19000000,9.55468515,176.00006996,1.55666667,13.20000000,0.79700000,1.42100000,0.56087262,24.66500000,24.67000000,16.56210790,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_pilu,9,16.44046294,37.30671857,11.50000000,1.38000000,0.51421187,,6.80000000,16.80000000,81.90000000,98.70000000,5.99000000,32.67135775,159.27286901,1.18333333,9.30000000,0.43900000,0.75300000,0.58300133,32.49500000,30.09000000,21.18451025,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_pipe,1,17.49803614,42.62329180,8.70000000,0.81000000,0.30893154,12.95714465,4.80000000,12.50000000,47.30000000,59.80000000,5.97000000,40.46203847,153.10835359,1.09333333,17.00000000,0.45500000,0.68800000,0.66133721,36.79700000,48.42000000,37.36263736,18.77085000,46.12000000,0.07780000,32.60453309,28.10154125,0.07007892,2.67724388,39.68032638,0.03858230,0.03566881,7.90199456,370.47017226,34.81804170,0.04779556,6.24859474,31.19068162,46.26833477,0.10785160,9.82820042,9.21760682,19.04580723
BARK,Euc_pipe,2,9.58083159,47.10704939,14.70000000,0.65000000,0.50363630,13.97196262,9.70000000,11.70000000,67.00000000,78.70000000,7.40000000,23.23104997,133.03250835,0.76666667,12.00000000,0.35600000,0.33600000,1.05952381,45.45300000,84.17000000,33.70786517,19.32295000,40.19000000,0.06600000,27.64932563,32.05780347,0.05179419,1.01705202,26.90260116,0.02480345,0.03193771,18.45616570,722.81175337,37.44961464,0.04503603,12.29614644,27.90378007,50.67583047,0.02290951,24.84539632,16.54702965,41.39242598
BARK,Euc_pipe,3,7.25858994,44.44395777,9.90000000,0.64000000,0.39806305,,3.90000000,12.00000000,69.30000000,81.30000000,5.66000000,30.14597788,174.09302227,0.65000000,7.60000000,0.31100000,0.16600000,1.87349398,25.75600000,45.99000000,24.43729904,19.38255000,47.62000000,0.10860000,37.53097826,32.57336957,0.03982979,0.15951087,15.66141304,0.01917241,0.03634077,15.31875000,697.91811594,28.62798913,0.04535335,9.22418478,27.71682881,51.56282343,0.00000000,17.47720038,12.46126047,29.93846085
BARK,Euc_pipe,4,14.95333732,32.40740808,9.70000000,0.65000000,0.34527643,,5.50000000,4.10000000,54.20000000,58.30000000,6.84000000,11.87454350,156.97567263,0.98666667,10.90000000,0.37800000,0.91600000,0.41266376,35.62100000,63.61000000,28.83597884,19.59850000,47.14000000,0.10390000,29.75554484,9.82352941,0.04688951,2.99893925,20.32941176,0.01635555,0.03574730,11.62266152,491.07386692,21.80858245,0.04548737,4.17415622,28.67217409,47.22949829,0.04029821,27.73481595,17.05286843,44.78768438
BARK,Euc_pipe,5,18.41140344,59.09883772,9.80000000,0.88000000,0.44652290,,4.50000000,17.20000000,47.70000000,64.90000000,7.95000000,38.51986063,106.82542744,1.01666667,16.00000000,0.67000000,1.12600000,0.59502664,43.89500000,52.26000000,23.88059701,19.23425000,46.46000000,0.06830000,34.93915051,18.32040628,0.06887876,0.79095106,14.92927054,0.05565608,0.04633272,13.52696214,927.84081256,28.15272392,0.04222918,7.70637119,32.78330020,47.41550696,0.01988072,18.21216306,6.77504808,24.98721114
BARK,Euc_pipe,6,12.43500996,39.90093083,9.00000000,0.87000000,0.34181501,,5.40000000,5.10000000,53.50000000,58.60000000,6.74000000,14.92035108,156.51740837,0.97333333,6.80000000,0.27500000,0.52300000,0.52581262,24.19600000,37.81000000,24.72727273,19.45185000,46.55000000,0.10910000,41.15479821,20.53452915,0.03377507,2.42529148,22.43937220,0.01167960,0.01135983,12.03506726,246.44717489,18.47434978,0.04071211,3.41040359,33.60349127,45.26184539,0.00000000,19.76484457,18.14018450,37.90502907
BARK,Euc_pipe,7,,45.07477007,12.40000000,0.50000000,0.39287093,,5.10000000,4.20000000,60.70000000,64.90000000,7.00000000,10.69053401,154.50367005,1.70000000,8.60000000,0.48300000,0.62700000,0.77033493,23.46200000,41.16000000,17.80538302,19.32170000,47.21000000,0.10790000,42.09173307,15.58167331,0.03592111,0.41454183,19.66942231,0.01221184,0.00754970,8.42021912,174.10119522,6.00737052,0.03984313,0.61334661,30.26004728,50.56952504,0.06447453,14.58286208,22.81630425,37.39916633
BARK,Euc_pipe,8,10.36697661,48.37750919,14.90000000,0.68000000,0.50104023,,4.50000000,22.20000000,40.90000000,63.10000000,9.18000000,44.30781896,81.63017097,0.80666667,10.60000000,0.28800000,0.33600000,0.85714286,29.60200000,65.78000000,36.80555556,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_pipe,9,17.03919974,45.25519732,14.50000000,0.84000000,0.42661975,,8.90000000,11.40000000,54.50000000,65.90000000,7.48000000,26.72168831,127.74842216,0.90000000,8.40000000,0.34100000,0.43400000,0.78571429,23.60900000,44.55000000,24.63343109,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_punc,1,9.09088112,33.61158139,11.10000000,2.94000000,1.45529635,13.41632089,19.40000000,61.30000000,261.70000000,323.00000000,5.22000000,42.12200477,179.82591597,4.93333333,14.20000000,3.00700000,4.83300000,0.62218084,84.77700000,42.39000000,4.72231460,17.94020000,44.67000000,0.03240000,29.00297984,16.41191937,1.10012110,2.01305872,19.00648554,0.03877885,0.14204283,22.66538124,288.07589833,44.57887818,0.03274137,40.09710780,30.93053735,47.26955002,0.02184360,11.14125261,2.84533045,13.98658306
BARK,Euc_punc,2,16.65322076,34.50422320,11.50000000,4.59000000,2.23427241,14.05299095,13.90000000,100.60000000,423.40000000,524.00000000,4.94000000,45.02584352,189.50240703,4.61666667,12.70000000,2.70300000,3.64000000,0.74258242,78.60600000,27.48000000,4.69848317,17.50360000,43.23000000,0.02240000,41.90535406,16.73229706,2.42322972,2.06329879,21.66623489,0.01452598,0.17658341,19.85500864,148.40466321,40.18031088,0.02957893,14.76303972,34.76129582,52.45098039,0.02131287,3.54925379,5.00104691,8.55030070
BARK,Euc_punc,3,24.82225115,41.68784783,10.70000000,2.92000000,1.45443370,,12.60000000,41.70000000,289.10000000,330.80000000,5.10000000,28.67095280,198.77152169,4.71666667,12.10000000,2.32500000,3.69100000,0.62991059,52.75300000,22.64000000,5.20430108,17.37505000,42.80000000,0.02520000,35.75828524,18.68095631,1.69367025,3.93206925,26.20502885,0.04936817,0.17718783,42.50156636,268.89744435,49.61154163,0.03494509,12.01154163,33.43145500,45.07989907,0.06307822,4.38780042,2.87928691,7.26708733
BARK,Euc_punc,4,28.39662563,35.67750277,12.50000000,7.50000000,2.58796032,,6.00000000,85.50000000,489.50000000,575.00000000,5.22000000,33.03760079,189.14509459,5.85333333,10.90000000,1.88200000,3.86800000,0.48655636,67.33400000,17.09000000,5.79171095,18.81640000,46.17000000,0.03050000,30.78275276,9.82412914,0.35883435,3.10688190,26.24647409,0.01811462,0.12788089,42.11784197,101.83058624,30.34197111,0.02682778,8.78207307,32.30038453,53.96969012,0.06785795,2.36131797,3.34934841,5.71066638
BARK,Euc_punc,5,12.76927308,44.07948157,12.50000000,6.50000000,3.15127302,,8.70000000,110.60000000,830.20000000,940.80000000,3.88000000,35.09692728,263.44908705,5.32000000,13.30000000,2.32000000,4.33100000,0.53567305,67.01600000,10.17000000,5.73275862,19.35825000,45.09000000,0.09210000,41.33927492,17.14400806,0.27905253,6.17683787,32.89939577,0.04440659,0.17240644,49.46374622,177.65115811,84.60704935,0.03917845,7.92598187,55.40186024,31.33794419,0.07154782,2.07556440,3.18406336,5.25962776
BARK,Euc_punc,6,18.79405134,81.25976797,17.10000000,4.87000000,4.30032740,,6.70000000,102.60000000,759.60000000,862.20000000,5.78000000,23.85864852,176.63771357,5.13666667,10.40000000,1.55500000,2.93200000,0.53035471,61.06700000,14.20000000,6.68810289,18.64065000,43.69000000,0.07330000,23.03815900,12.70460251,0.46683585,6.73104603,27.92518828,0.03188383,0.18383775,71.29866109,105.40719665,45.66401674,0.03293389,19.71163180,30.42759272,46.98795181,0.04724781,0.54062321,2.15644079,2.69706401
BARK,Euc_punc,7,20.35548275,29.24736156,13.80000000,4.88000000,3.89488029,,23.40000000,155.10000000,882.10000000,1037.20000000,4.35000000,39.82150635,226.47679399,4.17333333,9.70000000,1.40400000,1.98100000,0.70873296,92.11800000,27.50000000,6.90883191,19.06645000,45.67000000,0.07470000,29.50170251,25.29749104,0.36785537,2.09883513,18.56541219,0.05235820,0.16800910,23.38987455,241.56146953,39.07311828,0.03286792,3.25618280,40.18139633,46.72010124,0.10546298,5.78128921,3.13744724,8.91873644
BARK,Euc_punc,8,17.59744193,28.69595265,,,,,,,,,,,,4.14333333,10.80000000,1.58500000,2.94100000,0.53893234,126.81200000,34.84000000,6.81388013,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_punc,9,,25.54852130,12.30000000,6.51000000,2.72771018,,20.90000000,96.30000000,597.00000000,693.30000000,4.56000000,35.30433721,218.86489422,4.70666667,12.30000000,3.00800000,4.47000000,0.67293065,153.45900000,37.70000000,4.08909574,,,,,,,,,,,,,,,,,,,,,
BARK,Syn_glo,1,8.68824900,43.39769782,10.60000000,6.02000000,0.71658094,11.97077155,4.10000000,50.10000000,142.70000000,192.80000000,4.23000000,69.91534032,199.14010107,5.87666667,14.10000000,1.21000000,4.33600000,0.27905904,10.47200000,2.18000000,11.65289256,19.97410000,46.47000000,0.32340000,180.95633270,17.68431002,0.05355644,20.76795841,155.63941399,0.01384819,0.02370247,11.69272212,141.06200378,59.67826087,0.05269802,71.42835539,45.28673394,37.16465666,0.29534826,0.16996659,0.00436785,0.17433444
BARK,Syn_glo,2,10.11018792,42.13277256,15.00000000,5.45000000,0.92935712,12.18114603,6.20000000,50.20000000,137.20000000,187.40000000,5.64000000,54.01583434,147.62893369,5.74000000,15.30000000,1.16300000,5.73300000,0.20286063,6.38300000,1.95000000,13.15563199,19.77700000,47.62000000,0.38400000,178.36694561,26.53765690,0.02862388,17.24110879,147.77667364,0.01225767,0.01372506,5.23880753,126.19309623,80.00983264,0.05968431,190.76495816,44.02948403,40.68796069,0.36855037,0.03454875,0.00390602,0.03845477
BARK,Syn_glo,3,2.97176079,27.52555582,18.40000000,4.10000000,1.01376420,,0.90000000,32.50000000,126.40000000,158.90000000,7.26000000,32.05873728,124.68382746,3.05666667,11.60000000,0.57400000,3.34500000,0.17159940,22.76100000,9.90000000,20.20905923,19.91155000,46.34000000,0.28510000,121.51172962,29.81510934,0.02187867,5.93926441,120.76491054,0.00924124,0.01025086,6.82733598,106.09204771,52.16023857,0.05583569,33.03349901,50.03307607,27.71775083,0.17640573,0.06215415,0.00626428,0.06841843
BARK,Syn_glo,4,9.47190674,25.47131409,16.60000000,5.25000000,1.66791906,,2.00000000,49.90000000,205.30000000,255.20000000,7.43000000,29.91751887,123.08750748,5.78000000,12.40000000,1.09100000,3.47500000,0.31395683,6.91400000,3.03000000,11.36571952,19.90250000,48.06000000,0.30960000,130.74439208,23.77851084,0.02892097,5.08812441,126.85061263,0.01012003,0.01431365,9.55730443,102.65183789,48.96757776,0.04952780,28.56352498,47.62777905,35.64061426,0.36672015,0.06261791,0.04537759,0.10799550
BARK,Syn_glo,5,,31.19742462,16.50000000,4.75000000,1.01552268,,1.60000000,30.20000000,144.40000000,174.60000000,6.62000000,29.73838075,142.19278743,8.37333333,11.70000000,1.10000000,6.31400000,0.17421603,9.95300000,3.86000000,10.63636364,19.28295000,46.18000000,0.35990000,45.33426184,7.88672238,0.01846502,2.33091922,51.96601671,0.00382504,0.00973433,5.23026927,100.43881151,31.88495822,0.03826982,82.44206128,43.87397900,36.33605601,0.04667445,0.02716351,0.01507271,0.04223622
BARK,Syn_glo,6,4.37565324,26.68675604,15.10000000,4.54000000,1.06124318,,1.10000000,36.70000000,167.00000000,203.70000000,5.93000000,34.58208333,157.36261353,6.26000000,11.90000000,1.04900000,5.69700000,0.18413200,7.09900000,2.85000000,11.34413727,20.10120000,48.83000000,0.32770000,54.15023697,5.93364929,0.01118738,3.90407583,42.92037915,0.00577200,0.00529243,2.51914692,40.70312796,55.59791469,0.04237213,250.59364929,46.03550296,37.77514793,0.23668639,0.02508592,0.03383213,0.05891805
BARK,Syn_glo,7,4.41982908,29.28767638,15.70000000,5.44000000,1.28017404,,0.40000000,44.10000000,148.80000000,192.90000000,7.55000000,34.44844109,116.23419577,5.81000000,14.30000000,1.15700000,4.78600000,0.24174676,7.30700000,2.28000000,12.35955056,20.08880000,46.01000000,0.24100000,89.28853119,10.14688129,0.02163896,3.35050302,82.53782696,0.00830091,0.01098001,6.86116700,93.90402414,68.21116700,0.04679909,14.92515091,42.46968026,37.57442117,0.24255788,0.06118201,0.01779175,0.07897376
BARK,Syn_glo,8,1.53407501,29.40236127,13.90000000,4.17000000,1.10608444,,4.00000000,33.10000000,152.40000000,185.50000000,6.78000000,29.92538259,137.78333254,7.04000000,9.30000000,0.77000000,3.73300000,0.20626842,14.16000000,4.41000000,12.07792208,,,,,,,,,,,,,,,,,,,,,
BARK,Syn_glo,9,17.18508141,42.15578318,11.90000000,6.99000000,1.03134900,,3.50000000,41.20000000,120.50000000,161.70000000,7.25000000,39.94768004,116.83726808,4.94000000,9.70000000,0.57400000,2.79000000,0.20573477,9.53900000,3.29000000,16.89895470,,,,,,,,,,,,,,,,,,,,,
