species,entity_type,individual_code,leaf_replicate,live_or_dead,Species,Sampled,individual,date,location_name,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),Leaf dry mass(g),Leaf area (cm2),LMA (gm-2),P88 (Mpa),MS (%),MT (%),ML (%),Moisture_content - Flaming,Moisture_content - Non-flaming,Leaf area (cm2) Flaming,Leaf area (cm2) Non-flaming,Time to ignition (s) Flaming ,Time to ignition (s) Non-flaming,Combustion time (s)Flaming,Combustion time (s) Non-flaming,est. dry mass (g),mass after rehy (g),mass when burned (g),leaf water potential (MPa),time to smoke (s),flame (y/n),time to flame (s),flame duration (s),time to ash (s)
Eucalyptus tereticornis,individual,ter_5,2b,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.292,,83.02294504,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,3b,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.304,,81.23563679,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,12,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.351,,92.30526482,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,13,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.256,,79.69863952,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,14,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.192,,77.45370931,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,15,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.24,,102.1493935,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_8,1,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.455,,103.9833627,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_8,2,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.598,,99.22840787,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_8,3,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.407,,98.7600398,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_8,4,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.469,,103.0316344,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_8,5,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.443,,104.0932375,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_10,1,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.481,,80.79416804,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_10,2,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.411,,80.6641545,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_10,3,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.383,,89.44627385,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_10,4,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.287,,69.67879774,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_5,1,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.121,,128.5200085,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_5,2,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.192,,146.1801596,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,individual,sid_5,4,,E. sideroxylon,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.163,,133.1532859,,,,,,,,,,,,,,,,,,,,,
