spp,age,date,Species_age,Rep,Vial # for N,Sample MQN #,C%,N%,P,Al,B,Ca,Cu,Fe,K,Mg,Mn,Na,S,Zn
PlaCar,sapling,wet season (May 2011),PlaCar_S,2,MQN83,83,40.5,0.824,650,12.415,22.75,7829,4.438,31.87,3739,5407,31.61,157,1659,21.28
PlaCar,sapling,wet season (May 2011),PlaCar_S,5,MQN86,86,42.7,0.953,805,10.891,28.07,5194,3.775,26.99,5580,2892,81.37,368,2030,15.82
PlaCar,sapling,wet season (May 2011),PlaCar_S,10,MQN87,87,39.6,0.894,812,15.471,17.45,8696,4.388,24.03,4930,7614,52.57,208,1957,16.83
PlaCar,sapling,wet season (May 2011),PlaCar_S,4,MQN85,85,41.5,1.888,1192,1.086,14.40,6396,7.419,76.00,8041,4524,36.66,171,2137,36.01
PlaCar,sapling,wet season (May 2011),PlaCar_S,1,MQN82,82,46.4,0.440,398,23.853,23.70,3338,6.885,16.89,2315,2752,103.04,2387,683,11.66
XanPar,adult,wet season (May 2011),XanPar_A,4,MQN91,91,39.7,,473,4804.256,25.60,4803,1.554,18.51,2830,2966,173.73,468,729,10.22
XanPar,adult,wet season (May 2011),XanPar_A,5,MQN92,92,38.1,0.202,498,5380.858,34.23,6856,1.166,14.28,2854,3108,158.80,993,857,5.27
XanPar,adult,wet season (May 2011),XanPar_A,2,MQN89,89,39.4,0.380,528,4159.407,47.51,6456,5.590,17.54,8533,2784,207.46,708,745,9.75
XanPar,adult,wet season (May 2011),XanPar_A,3,MQN90,90,38.5,0.373,556,7035.509,38.42,9802,5.338,18.59,3067,3782,244.78,720,889,11.40
XanPar,adult,wet season (May 2011),XanPar_A,1,MQN88,88,39.3,0.744,646,5987.850,48.21,12131,6.903,22.10,4338,3856,247.27,1513,1436,27.31
XanPar,sapling,wet season (May 2011),XanPar_S,5,MQN95,95,38.0,0.340,555,5825.006,30.48,10688,3.801,15.45,4216,2913,237.28,681,1162,20.99
XanPar,sapling,wet season (May 2011),XanPar_S,2,MQN93,93,38.1,0.233,564,7402.481,24.46,11385,1.480,33.58,3404,4178,169.12,841,1228,10.17
XanPar,sapling,wet season (May 2011),XanPar_S,4,MQN94,94,37.5,,573,7012.226,31.21,10822,8.071,21.44,5344,3682,214.11,385,922,12.37
XanPar,sapling,wet season (May 2011),XanPar_S,10,MQN96,96,37.9,0.443,604,2129.656,43.63,14655,7.905,21.58,3961,6293,48.42,284,1484,10.63
XanPar,sapling,wet season (May 2011),XanPar_S,22,MQN97,97,39.1,0.694,831,1301.261,19.93,10489,7.338,25.88,6437,3010,175.34,132,1369,16.06
