Order Entered,date_WD,spp,age,Spp_age,Rep,Diam1 w bark (mm),Diam2 w bark  (mm),Displacement (g),Diam1 wout bark (mm),Diam2 wout bark (mm),Pith diam (mm),Dry Weight (g),CrossSecArea w bark (cm2),CrossSecArea wout bark (cm2),Bark thickness (mm),Bark area (cm2),WD kg/m3,date
33,2-May-11,PetPub,sapling,PetPub_S,3,9.33,9.8,1.499,7.02,7.27,na,0.993,0.718,0.4006,1.21,0.3171,662.442,wet season (May 2011)
34,2-May-11,PetPub,sapling,PetPub_S,4,8.82,8.59,1.652,7.16,6.98,na,1.009,0.595,0.3923,0.82,0.2024,610.775,wet season (May 2011)
35,2-May-11,PetPub,sapling,PetPub_S,5,7.07,7.6,0.925,5.45,5.26,na,0.602,0.422,0.225,0.99,0.1968,650.811,wet season (May 2011)
160,4-May-11,PlaCar,adult,PlaCar_A,3,13.04,12.74,1.831,7.28,7.98,,0.988,1.304,0.456,2.63,0.8481,539.596,wet season (May 2011)
174,5-May-11,PlaCar,adult,PlaCar_A,20,11.17,10.76,1.626,6.96,7.21,,0.831,0.943,0.3939,1.94,0.5496,511.07,wet season (May 2011)
175,5-May-11,PlaCar,adult,PlaCar_A,21,13.59,13.08,2.146,7.99,7.5,,1.009,1.395,0.4704,2.8,0.925,470.177,wet season (May 2011)
158,4-May-11,PlaCar,adult,PlaCar_A,1a,9.69,9.36,1.607,6.03,6.69,,0.818,0.712,0.3167,1.58,0.3953,509.023,wet season (May 2011)
159,4-May-11,PlaCar,adult,PlaCar_A,1b,10.93,10.92,1.557,6.26,6.78,,0.835,0.937,0.3332,2.2,0.6038,536.288,wet season (May 2011)
89,3-May-11,PlaCar,sapling,PlaCar_S,1,10.68,9.97,1.031,6.04,5.88,na,0.515,0.836,0.2788,2.18,0.5571,499.515,wet season (May 2011)
161,4-May-11,PlaCar,sapling,PlaCar_S,2,14.11,14.13,1.582,7.84,8.2,,0.882,1.565,0.5047,3.05,1.0604,557.522,wet season (May 2011)
162,4-May-11,PlaCar,sapling,PlaCar_S,3,8.15,8.16,0.709,5.23,5.05,,0.337,0.522,0.2073,1.51,0.3147,475.317,wet season (May 2011)
163,4-May-11,PlaCar,sapling,PlaCar_S,4,12.24,12.33,1.827,7.57,7.63,,0.94,1.185,0.4534,2.34,0.7313,514.505,wet season (May 2011)
164,4-May-11,PlaCar,sapling,PlaCar_S,5,9.78,9.78,1.313,6.36,6.05,,0.629,0.751,0.3021,1.79,0.4488,479.056,wet season (May 2011)
165,4-May-11,PlaCar,sapling,PlaCar_S,10,9.9,10.05,1.195,5.53,5.55,,0.725,0.781,0.2409,2.22,0.5401,606.695,wet season (May 2011)
80,3-May-11,XanPar,adult,XanPar_A,1,9.79,10.47,1.071,5.42,5.45,1.48,0.598,0.805,0.2319,2.35,0.5728,558.357,wet season (May 2011)
121,3-May-11,XanPar,adult,XanPar_A,2,8.54,8.97,0.558,4.86,4.79,2.24,0.349,0.601,0.1827,1.97,0.4186,625.448,wet season (May 2011)
122,3-May-11,XanPar,adult,XanPar_A,3,12.48,12.03,1.538,6.76,6.75,na,1.181,1.179,0.3582,2.75,0.8204,767.88,wet season (May 2011)
123,3-May-11,XanPar,adult,XanPar_A,4,11.3,11.51,1.115,5.77,5.79,2.23,0.67,1.021,0.2623,2.81,0.7587,600.897,wet season (May 2011)
124,3-May-11,XanPar,adult,XanPar_A,5,10.34,10.13,1.757,7.19,7.4,2.49,1.279,0.822,0.4177,1.47,0.4046,727.945,wet season (May 2011)
125,3-May-11,XanPar,sapling,XanPar_S,2,8.32,8.07,0.867,5.29,5.38,na,0.47,0.527,0.2234,1.43,0.3037,542.099,wet season (May 2011)
126,3-May-11,XanPar,sapling,XanPar_S,4,8.11,8.47,0.684,4.97,5.1,2.15,0.411,0.539,0.199,1.63,0.3403,600.877,wet season (May 2011)
127,3-May-11,XanPar,sapling,XanPar_S,5,10.69,10.02,1.202,6.43,6.62,2.66,0.732,0.841,0.3341,1.92,0.5067,608.985,wet season (May 2011)
96,4-May-11,XanPar,sapling,XanPar_S,10,10.64,10.69,0.991,5.72,6.08,1.91,0.597,0.893,0.273,2.38,0.6199,602.422,wet season (May 2011)
173,5-May-11,XanPar,sapling,XanPar_S,20,12.17,13.07,1.862,7.22,7.66,2.27,1.05,1.249,0.4341,2.59,0.8145,563.91,wet season (May 2011)
