origrow,sample_date,spp,age,date,spp_type,Rep,ID,Displacement (g),Dry mass (g),Diam1_mm,Diam2_mm,avDiam,WD
53,9/24/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,12,PerFal_S_12,1.57,0.838,5.7,6.5,6.1,0.53
54,9/24/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,13,PerFal_S_13,1.62,0.691,5.7,5.8,5.7,0.43
162,9/29/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,60,PerFal_S_60,2.72,1.214,8.7,9.7,9.2,0.45
163,9/29/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,61,PerFal_S_61,1.92,0.893,8.5,6.9,7.7,0.47
8,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,1,PetPub_A_1,3,1.809,7.4,7.9,7.6,0.6
9,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,2,PetPub_A_2,5.25,3.389,10,10.4,10.2,0.65
11,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,3,PetPub_A_3,1.67,1.044,6.1,6.2,6.1,0.63
12,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,4,PetPub_A_4,2.57,1.689,7.2,7.7,7.4,0.66
10,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,5,PetPub_A_5,3.7,2.672,9.5,10,9.7,0.72
44,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,10,PetPub_A_10,2.27,1.398,6.6,7.6,7.1,0.62
46,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,11,PetPub_A_11,1.8,1.044,6,6.4,6.2,0.58
50,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,12,PetPub_A_12,2.06,1.279,6.9,7.5,7.2,0.62
45,9/24/2010,PetPub,adult,dry season (Sep 2010),PetPub_A,13,PetPub_A_13,1.3,0.798,4.8,6,5.4,0.61
13,9/24/2010,PetPub,sapling,dry season (Sep 2010),PetPub_S,1,PetPub_S_1,2.08,1.299,6.7,6.9,6.8,0.62
14,9/24/2010,PetPub,sapling,dry season (Sep 2010),PetPub_S,2,PetPub_S_2,3.08,1.903,7.8,8.3,8,0.62
15,9/24/2010,PetPub,sapling,dry season (Sep 2010),PetPub_S,3,PetPub_S_3,2.54,1.595,6.8,7.4,7.1,0.63
16,9/24/2010,PetPub,sapling,dry season (Sep 2010),PetPub_S,4,PetPub_S_4,2.99,1.904,7.4,7.6,7.5,0.64
43,9/24/2010,PetPub,sapling,dry season (Sep 2010),PetPub_S,10,PetPub_S_10,1.75,1.154,6.3,6.4,6.3,0.66
79,9/27/2010,SteCun,adult,dry season (Sep 2010),SteCun_A,2,SteCun_A_2,1.82,1.076,6.7,6.7,6.7,0.59
156,9/23/2010,XanPar,adult,dry season (Sep 2010),XanPar_A,1,XanPar_A_1,2.55,1.126,6.4,6.9,6.6,0.44
