Owner,Reference,Site,sample_date,Latitude,Longitude,Species,ID,spp,age,Rep,date,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,DBH,CBH,SLA_photosynthesis_mm2mg,Amass,DELETE?,logPhoto,logAmass,log_gs
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S3,EryChl,sapling,3,wet season (May 2011),16.716,454.034,291.134,372.853,0.781,27.316,1.9,6,11.6,193.99,,1.223141934,2.287770068,-0.342911199
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S4,EryChl,sapling,4,wet season (May 2011),19.652,560.462,285.163,366.888,0.777,27.39,0.8,2.5,9.14,179.65,,1.293410442,2.254435823,-0.251453973
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S5,EryChl,sapling,5,wet season (May 2011),17.697,286.614,249.234,371.53,0.671,27.181,2.4,7.6,8.46,149.76,,1.247890782,2.175398017,-0.542702528
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S6,EryChl,sapling,6,wet season (May 2011),15.446,357.466,287.375,378.578,0.759,26.607,4.5,14,10.37,160.25,,1.188823738,2.204795232,-0.446764817
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S7,EryChl,sapling,7,wet season (May 2011),20.029,585.121,293.683,374.05,0.785,26.652,2.2,7,8.93,178.93,,1.301665976,2.252679516,-0.232754245
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_A1,EucMin,adult,1,wet season (May 2011),25.286,806.756,289.253,357.615,0.809,26.929,34.7,109,7.55,190.91,,1.402880344,2.280827295,-0.093257563
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_A2,EucMin,adult,2,wet season (May 2011),20.096,528.845,289.925,367.603,0.789,27.128,19.7,62,6.47,129.92,,1.303106917,2.113678177,-0.276671435
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_A3,EucMin,adult,3,wet season (May 2011),24.597,870.442,294.988,358.661,0.822,27.407,6.7,21,7.55,185.62,,1.39088497,2.268631216,-0.060260291
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_A4,EucMin,adult,4,wet season (May 2011),26.425,711.741,279.578,357.506,0.782,27.146,8,25,7.11,187.92,,1.422007932,2.27398149,-0.147677852
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_A5,EucMin,adult,5,wet season (May 2011),26.312,799.978,292.414,364.445,0.802,26.697,24.8,78,6.49,170.65,,1.420154035,2.232101986,-0.096922144
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S1,EucMin,sapling,1,wet season (May 2011),22.92,544.853,275.929,361.713,0.763,26.965,2.3,7.1,6.16,141.23,,1.360210594,2.149934898,-0.263720277
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S2,EucMin,sapling,2,wet season (May 2011),20.038,936.709,315.427,365.668,0.863,27.532,3.2,10,7.17,143.75,,1.301864031,2.157622881,-0.028395203
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S3,EucMin,sapling,3,wet season (May 2011),24.46,788.262,292.883,360.381,0.813,26.921,3.2,10,6.63,162.12,,1.388460149,2.209824483,-0.103329283
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S4,EucMin,sapling,4,wet season (May 2011),27.719,765.572,285.057,363.052,0.785,26.621,4.1,13,6.93,192.05,,1.442772222,2.283406494,-0.11601422
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S5,EucMin,sapling,5,wet season (May 2011),23.724,1048.158,314.129,368.124,0.853,27.253,2.9,9,6.94,164.65,,1.375189976,2.216549447,0.020426712
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S6,EucMin,sapling,6,wet season (May 2011),33.381,1130.847,286.084,356.55,0.802,26.631,2.8,8.8,8.5,283.86,,1.523500915,2.453104477,0.053403722
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S7,EucMin,sapling,7,wet season (May 2011),20.526,589.46,293.96,366.462,0.802,27.378,3.8,12,6.62,135.92,,1.312296015,2.133292758,-0.229545414
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus miniata,EucMin_S8,EucMin,sapling,8,wet season (May 2011),29.155,1397.465,307.025,360.514,0.852,26.548,2.5,7.7,7.4,215.75,,1.464714273,2.333945993,0.145341044
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A1,EucTet,adult,1,wet season (May 2011),15.906,478.261,306.787,373.817,0.821,27.037,25,78.5,5.77,91.84,,1.201550851,1.963052923,-0.320334902
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A2,EucTet,adult,2,wet season (May 2011),17.764,504.877,300.032,370.882,0.809,27.367,21,66,5.93,105.42,,1.249533283,2.022914035,-0.296814555
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A3,EucTet,adult,3,wet season (May 2011),17.157,475.333,297.385,370.603,0.802,27.507,13.4,42,4.06,69.67,,1.234434693,1.84303947,-0.323002077
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A4,EucTet,adult,4,wet season (May 2011),15.981,373.399,291.479,373.857,0.78,27.053,14.6,46,4.38,70.03,,1.203592343,1.845303799,-0.427826341
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A5,EucTet,adult,5,wet season (May 2011),18.682,902.892,329.386,375.244,0.878,26.971,22.9,72,4.27,79.86,,1.271421639,1.902340939,-0.04436431
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_A6,EucTet,adult,6,wet season (May 2011),14.587,286.181,282.848,380.676,0.743,26.801,17.5,55,4.32,63.01,1,1.163963558,1.799382441,-0.543359091
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S1,EucTet,sapling,1,wet season (May 2011),16.698,416.869,295.065,373.774,0.789,27.282,4.8,15,4.75,79.29,1,1.22266971,1.899219538,-0.380000533
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S2,EucTet,sapling,2,wet season (May 2011),16.73,644.483,316.984,372.215,0.852,27.448,4,12.5,6.21,103.88,,1.223496106,2.016541952,-0.190788753
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S3,EucTet,sapling,3,wet season (May 2011),21.322,544.688,284.857,363.962,0.783,27.167,4.1,13,4.76,101.4,,1.328835388,2.006043794,-0.263852442
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S4,EucTet,sapling,4,wet season (May 2011),18.742,626.68,307.542,369.245,0.833,27.161,2.5,8,6.66,124.79,,1.272809919,2.096191923,-0.202954163
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S5,EucTet,sapling,5,wet season (May 2011),15.962,468.173,308.862,378.363,0.816,27.359,2.7,8.5,5.17,82.49,,1.203086126,1.916386944,-0.329593998
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S6,EucTet,sapling,6,wet season (May 2011),18.263,450.824,292.922,374.538,0.782,26.595,2.9,9,6.23,113.79,,1.26157873,2.056105503,-0.345993091
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Eucalyptus tetrodonta,EucTet_S7,EucTet,sapling,7,wet season (May 2011),25.275,940.361,305.016,366.346,0.833,27.076,2.9,9,5.28,133.55,,1.402694181,2.12565699,-0.026705284
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A1,GreDec,adult,1,wet season (May 2011),9.036,257.434,319.622,387.949,0.824,26.856,4.8,15,14.79,133.6,,0.955974852,2.125817162,-0.589334461
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A2,GreDec,adult,2,wet season (May 2011),9.199,250.471,315.965,387.878,0.815,26.954,4.8,15,11.39,104.78,1,0.963739417,2.020263141,-0.601242684
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A3,GreDec,adult,3,wet season (May 2011),16.051,402.269,297.256,376.016,0.791,26.981,3.7,11.5,12.15,195.09,,1.205494867,2.290233589,-0.395483246
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A4,GreDec,adult,4,wet season (May 2011),14.025,499.711,322.436,380.633,0.847,27.148,6.4,20,15.46,216.88,,1.146891491,2.336227826,-0.301281078
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A5,GreDec,adult,5,wet season (May 2011),14.249,389.733,312.097,384.146,0.812,27.273,5.2,16.3,10.11,143.99,,1.153785064,2.158326892,-0.409233201
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_A6,GreDec,adult,6,wet season (May 2011),19.07,505.543,299.94,375.731,0.798,27.339,8.7,27.4,13.25,252.7,,1.280347656,2.402610356,-0.296241697
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S1,GreDec,sapling,1,wet season (May 2011),10.971,196.979,276.629,380.453,0.727,26.893,1.3,4,10.74,117.84,,1.040240404,2.071300457,-0.705580098
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S2,GreDec,sapling,2,wet season (May 2011),9.981,136.596,253.721,385.02,0.659,26.987,0.6,2,10,99.81,,0.999191294,1.999191294,-0.864560839
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S3,GreDec,sapling,3,wet season (May 2011),15.298,363.722,291.269,374.156,0.778,27.01,1.1,3.5,10.37,158.57,,1.184635777,2.200208408,-0.43923008
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S4,GreDec,sapling,4,wet season (May 2011),8.64,308.085,326.539,384.567,0.849,27.032,1.3,4,14.28,123.34,,0.936525439,2.091101556,-0.511329378
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S5,GreDec,sapling,5,wet season (May 2011),14.239,328.139,291.508,376.043,0.775,27.056,1.9,6,10.27,146.27,,1.153480667,2.165141223,-0.483941933
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea decurrens,GreDec_S6,GreDec,sapling,6,wet season (May 2011),16.777,641.504,316.338,372.382,0.85,27.264,1.9,5.9,12.23,205.21,,1.224726592,2.312205654,-0.192800746
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A1,GrePte,adult,1,wet season (May 2011),14.877,219.082,255.319,383.46,0.666,26.965,9.5,30,7.39,109.9,,1.172510006,2.0410075,-0.659392487
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A2,GrePte,adult,2,wet season (May 2011),22.101,702.872,301.241,374.658,0.804,26.951,4.8,15,6.21,137.33,,1.344407914,2.137753748,-0.153123608
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A3,GrePte,adult,3,wet season (May 2011),12.832,901.847,346.965,385.52,0.9,27.005,4.3,13.4,6.78,87.07,,1.108304837,1.939848651,-0.044866906
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A4,GrePte,adult,4,wet season (May 2011),14.457,1044.6,342.02,381.222,0.897,27.125,4.5,14,7.11,102.83,,1.160071895,2.01213171,0.018950006
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A5,GrePte,adult,5,wet season (May 2011),22.985,762.068,309.418,380.381,0.813,27.293,4.3,13.4,6.44,148.04,,1.361451493,2.170366056,-0.118006326
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_A6,GrePte,adult,6,wet season (May 2011),21.999,1104.476,323.339,376.861,0.858,27.371,3.6,11.2,6.65,146.23,,1.342397226,2.165046976,0.043156437
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S1,GrePte,sapling,1,wet season (May 2011),17.96,687.952,317.499,379.144,0.837,26.95,1.3,4,6.22,111.76,,1.25429924,2.048295609,-0.162441984
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S2,GrePte,sapling,2,wet season (May 2011),24.094,1069.006,309.288,369.496,0.837,26.958,0.8,2.5,6.05,145.82,,1.381910664,2.163809583,0.02898005
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S3,GrePte,sapling,3,wet season (May 2011),20.355,1107.326,324.076,374.598,0.865,26.959,1.8,5.5,11.46,233.23,,1.30867154,2.367776368,0.044275508
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S4,GrePte,sapling,4,wet season (May 2011),16.99,654.145,320.226,381.181,0.84,27.243,1.2,3.9,6.84,116.16,,1.230205338,2.065060888,-0.184325693
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S5,GrePte,sapling,5,wet season (May 2011),20.553,736.551,318.7,384.055,0.83,27.278,1.9,6,6.87,141.1,,1.312885231,2.149525773,-0.132797063
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Grevillea pteridifolia,GrePte_S6,GrePte,sapling,6,wet season (May 2011),18.345,942.59,330.118,380.912,0.867,27.372,2.3,7.1,8.29,152.1,,1.263518421,2.182120575,-0.025677144
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A1,LopLac,adult,1,wet season (May 2011),16.922,600.003,312.478,372.485,0.839,27.131,17.2,54,6.94,117.36,,1.22843893,2.069507535,-0.221846933
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A2,LopLac,adult,2,wet season (May 2011),9.13,417.693,337.635,384.432,0.878,27.356,19.1,60,8.7,79.42,1,0.960447429,1.899902678,-0.379142812
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A3,LopLac,adult,3,wet season (May 2011),16.361,520.932,305.582,371.387,0.823,27.294,11.1,35,7.79,127.41,,1.21381057,2.105200617,-0.283219237
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A4,LopLac,adult,4,wet season (May 2011),20.663,537.414,288.391,366.369,0.787,27.231,11.8,37,8.37,172.86,,1.315195245,2.237702176,-0.269690872
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A5,LopLac,adult,5,wet season (May 2011),20.045,551.753,298.728,373.892,0.799,26.78,10.8,34,6.56,131.43,,1.301995392,2.118710038,-0.258255419
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A6,LopLac,adult,6,wet season (May 2011),11.146,354.397,318.167,383.637,0.829,26.51,9.5,30,10.18,113.51,,1.047119289,2.055030154,-0.450510389
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_A7,LopLac,adult,7,wet season (May 2011),21.698,683.637,301.766,371.037,0.813,26.604,8,25,8.18,177.5,,1.336413863,2.249193064,-0.165174536
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S1,LopLac,sapling,1,wet season (May 2011),19.256,541.364,296.157,369.23,0.802,27.134,4,12.5,8.88,170.96,,1.284570349,2.232887876,-0.266510581
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S2,LopLac,sapling,2,wet season (May 2011),22.422,822.645,300.978,362.179,0.831,27.466,0.5,1.6,6.82,153.02,,1.350674418,2.184760673,-0.084787692
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S3,LopLac,sapling,3,wet season (May 2011),18.852,602.8,303.653,369.041,0.823,27.055,4.8,15,6.16,116.17,,1.275360521,2.065100832,-0.219827071
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S4,LopLac,sapling,4,wet season (May 2011),23.638,,344.688,368.473,0.935,27.131,3.8,12,7.83,185.16,,1.373602164,2.267548772,0.623909158
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S5,LopLac,sapling,5,wet season (May 2011),20.293,939.379,321.813,372.741,0.863,27.428,4,12.6,7.79,158,,1.307348684,2.198647146,-0.02715893
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Lophostemon lactifluus,LopLac_S6,LopLac,sapling,6,wet season (May 2011),19.75,495.501,291.583,373.877,0.78,27.028,0.5,1.5,8.66,171.11,,1.295557919,2.233276362,-0.304955377
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A1,PerFal,adult,1,wet season (May 2011),18.166,590.07,305.896,370.708,0.825,27.095,6.2,19.5,7.96,144.6,,1.259250257,2.160163324,-0.229096523
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A2,PerFal,adult,2,wet season (May 2011),17.048,814.898,322.592,369.493,0.873,26.87,4.8,15,6.19,105.52,,1.231663736,2.023354385,-0.088896764
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A3,PerFal,adult,3,wet season (May 2011),15.855,733.443,325.209,373.711,0.87,27.342,6,19,4.96,78.68,,1.200154437,1.895886211,-0.134633832
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A4,PerFal,adult,4,wet season (May 2011),17.142,868.573,323.458,369.698,0.875,27.316,6.7,21,6.69,114.63,,1.234050598,2.059281921,-0.061193845
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A5,PerFal,adult,5,wet season (May 2011),23.62,955.253,305.377,361.607,0.844,27.107,4,12.5,5.54,130.92,,1.373280098,2.116994317,-0.019881473
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A6,PerFal,adult,6,wet season (May 2011),20.576,611.47,300.353,372.724,0.806,27.523,3.5,11,5.85,120.34,,1.313352834,2.080408366,-0.213625154
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_A7,PerFal,adult,7,wet season (May 2011),14.168,525.132,321.328,379.747,0.846,26.342,5.1,16,6.14,86.98,1,1.151304729,1.939394502,-0.279731751
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S2,PerFal,sapling,2,wet season (May 2011),20.795,706.917,302.494,366.252,0.826,27.33,1.4,4.5,7.01,145.85,,1.317962914,2.163903426,-0.150631756
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S3,PerFal,sapling,3,wet season (May 2011),15.319,892.771,332.493,373.018,0.891,27.432,1.2,3.9,6.89,105.62,,1.185232801,2.023760644,-0.049259713
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S4,PerFal,sapling,4,wet season (May 2011),16.734,700.119,317.297,370.713,0.856,27.363,1.8,5.5,5.92,99,,1.223611257,1.995655295,-0.154828171
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S5,PerFal,sapling,5,wet season (May 2011),21.902,1184.295,319.437,364.113,0.877,27.186,1.9,6,6.95,152.32,,1.340487169,2.182743578,0.073460075
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S6,PerFal,sapling,6,wet season (May 2011),16.783,381.182,290.935,378.357,0.769,27.618,1.3,4,7.01,117.61,,1.224859442,2.070429285,-0.418867498
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Persoonia falcata,PerFal_S7,PerFal,sapling,7,wet season (May 2011),13.538,617.949,331.211,380.947,0.869,26.604,1.2,3.8,6.75,91.43,,1.131568507,1.961069194,-0.209047261
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A1,PetPub,adult,1,wet season (May 2011),14.114,335.505,296.717,377.524,0.786,27.396,9.9,31,6.8,95.96,,1.149635427,1.982070924,-0.474301412
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A2,PetPub,adult,2,wet season (May 2011),8.642,372.11,334.625,383.576,0.872,27.235,8,25,9.08,78.47,,0.936605548,1.894719951,-0.429329084
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A3,PetPub,adult,3,wet season (May 2011),15.165,436.978,312.065,381.356,0.818,27.005,8,25,8.59,130.33,,1.180848827,2.115050121,-0.359540554
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A4,PetPub,adult,4,wet season (May 2011),15.328,390.045,308.979,385.753,0.801,26.84,11.1,35,7.6,116.55,,1.18547725,2.066498589,-0.408885762
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A5,PetPub,adult,5,wet season (May 2011),5.233,70.498,260.148,393.581,0.661,27.571,9.5,30,7.53,39.38,1,0.718710987,1.595304401,-1.151823195
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_A6,PetPub,adult,6,wet season (May 2011),8.66,426.567,344.15,389.601,0.883,26.65,7,22,8.24,71.35,,0.937520488,1.853394097,-0.370012666
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S1,PetPub,sapling,1,wet season (May 2011),18.589,433.847,290.122,374.32,0.775,27.321,1,3,8.88,165.15,,1.269262416,2.217881257,-0.362663051
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S2,PetPub,sapling,2,wet season (May 2011),19.034,495.49,293.036,371.053,0.79,27.012,0.6,2,8.83,168.13,,1.27952865,2.225653269,-0.304964774
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S3,PetPub,sapling,3,wet season (May 2011),14.117,532.624,322.676,378.243,0.853,27.505,1,3,7.71,108.8,1,1.149741903,2.036629643,-0.273579112
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S4,PetPub,sapling,4,wet season (May 2011),21.579,549.397,296.694,376.472,0.788,27.142,1.1,3.4,8.3,179.14,,1.334031664,2.253198433,-0.260113411
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S5,PetPub,sapling,5,wet season (May 2011),15.284,355.757,294.967,379.647,0.777,27.429,0.8,2.5,7.78,118.88,,1.18423463,2.075105293,-0.448846675
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S6,PetPub,sapling,6,wet season (May 2011),12.422,288.005,299.18,383.643,0.78,27.34,2.9,9,8.18,101.62,1,1.094174754,2.006971693,-0.540600045
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Petalostigma pubescens,PetPub_S7,PetPub,sapling,7,wet season (May 2011),17.222,381.538,292.333,381.371,0.767,26.541,1.3,4,9.97,171.77,,1.236071468,2.234937046,-0.418461931
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Planchonia careya,PlaCar_A1,PlaCar,adult,1,wet season (May 2011),12.857,258.453,285.498,378.894,0.754,27.186,3.5,11,9.44,121.43,,1.109131134,2.084322802,-0.587618311
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Planchonia careya,PlaCar_A2,PlaCar,adult,2,wet season (May 2011),17.011,517.092,308.451,376.932,0.818,26.944,4.8,15,7.49,127.47,,1.230738651,2.105404921,-0.286432093
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Planchonia careya,PlaCar_A3,PlaCar,adult,3,wet season (May 2011),20.991,1709.79,338.452,372.249,0.909,27.068,4.1,13,7.49,157.17,,1.322030182,2.196358684,0.232942787
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Planchonia careya,PlaCar_A4,PlaCar,adult,4,wet season (May 2011),13.23,508.173,325.854,381.694,0.854,27.335,4.7,14.8,8.63,114.13,,1.121563153,2.05740617,-0.293988601
