name_original,fruit type,seed_volume_mm3,crypto,cata,node,hypo,coty,emb
Plantago debilis,capsule,0.109,1,1,1,1,1,1
Plectranthus alloplectus,nutlet,0.104,NA,NA,NA,NA,NA,NA
Plectranthus argenteus,nutlet,0.071,NA,NA,NA,NA,NA,NA
Plectranthus graveolens,nutlet,0.075,NA,NA,NA,NA,NA,NA
Plectranthus parviflorus,nutlet,0.189,1,1,2,2,2,NA
Pleiogynium timorense,drupe,54.496,1,NA,NA,NA,NA,NA
Polycalymma stuartii,NA,0.6929,NA,NA,NA,NA,NA,NA
Polygonum attenuatum,utrticle,3.6128,1,NA,NA,1,1,1
Polygonum lapathifolium,utricle,4.7537,1,1,1,2,2,1
Polymeria calycina,capsule,11.3097,NA,NA,NA,NA,NA,NA
Polyscias australiana,drupe,14.844,1,1,1,1,1,1
Polyscias elegans,drupe,4.8,1,1,1,1,1,NA
Pongamia pinnata,legindehiscent,625.263,2,2,2,NA,NA,1
Poranthera microphylla,NA,0.524,1,1,2,1,1,1
Portulaca oleracea,capsule,0.0393,1,1,1,1,1,1
Psychotria loniceroides,drupe,10.1,NA,NA,NA,NA,NA,NA
Randia chartacea,berry,0.4,1,1,2,1,1,NA
Randia sessiliflorus,berry,0.277,NA,NA,NA,NA,NA,NA
Randia sessilis,berry,62.8319,1,1,2,1,1,1
Ranunculus sessiliflorus,achene,0.277,NA,NA,NA,NA,NA,NA
Rauwenhoffia leichhardtii,NA,164.9336,NA,NA,NA,NA,NA,NA
Rhagodia nutans,berry,1.2073,NA,NA,NA,NA,NA,NA
Rhagodia spinescens,berry,0.5241,1,1,2,1,1,1
Rhodamnia acuminata,NA,1.3404,NA,NA,NA,NA,NA,NA
Richardia stellaris,NA,0.3142,1,1,2,1,1,1
Ricinocarpos pinifolius,NA,30.994,1,1,1,1,1,NA
Rubus rosifolius,drupe,0.5736,1,1,1,NA,NA,1
Ruellia australis,capsule,1.258,NA,NA,NA,NA,NA,NA
Rumex brownii,nut,2.8182,1,1,1,1,1,1
Schleffera actinophylla,NA,11.7261,NA,NA,NA,NA,NA,NA
Scleranthus biflorus,nut,0.2934,1,1,2,1,1,NA
Sclerolaena muricata,NA,1.5708,1,1,NA,1,1,1
Sclerolaena tricuspsis,NA,0.8812,NA,NA,NA,NA,NA,NA
Sebastiana chamelaea,NA,13.938,NA,NA,NA,NA,NA,NA
Sesuvium portulacastrum,NA,0.6597,1,1,1,1,1,1
Sigesbeckia orientalis,cypsela,1.467,1,1,2,1,1,1
Siphonodon australis,berry,28.296,1,NA,NA,NA,NA,NA
Solanum aviculare,berry,0.3,NA,NA,NA,NA,NA,NA
Solanum densivestitum,berry,0.9896,NA,NA,NA,NA,NA,NA
Solenogyne bellioides,cypsela,0.6929,1,1,1,1,1,1
Spermacoce brachystemma,capsule,0.2262,NA,NA,NA,NA,NA,NA
Stackhousia viminea,schizocarp,1.048,1,2,1,NA,NA,NA
Stenocarpus sinuatus,follicle,882.5781,1,1,1,1,1,1
Stephania japonica,drupe,26.4096,1,1,1,1,1,1
Strychnos lucida,NA,188.4956,1,NA,NA,NA,NA,NA
Stylidium graminifolium,capsule,0.0576,1,NA,NA,1,1,NA
Suaeda australis,NA,0.6598,1,1,2,1,1,1
Syncarpia glomulifera,capsule,0.0645,1,1,2,NA,NA,NA
Syncarpia hillii,capsule,0.9432,1,1,2,2,1,NA
Synoum glandulosum,capsule,381.5,2,2,1,NA,NA,NA
Syzygium alatoramulum,berry,87.1137,2,2,2,NA,NA,NA
Syzygium alliilignium,berry,1022.6539,NA,NA,NA,NA,NA,NA
Syzygium angophoroides,berry,268.0826,2,2,2,NA,NA,NA
Syzygium apodophyllum,berry,160.2212,2,2,2,NA,NA,NA
Syzygium argyropdium,berry,2572.4408,NA,NA,NA,NA,NA,NA
Syzygium armstrongii,berry,796.3937,2,2,2,NA,NA,NA
Syzygium australe,berry,318.3481,2,2,2,NA,NA,2
Syzygium bamagense,berry,12770.0505,2,2,2,NA,NA,NA
Syzygium banksii,berry,169.646,2,2,2,NA,NA,NA
Syzygium bleerseri,berry,14137.1669,NA,NA,NA,NA,NA,NA
Syzygium booje,berry,8181.2309,NA,NA,NA,NA,NA,NA
Syzygium branderhorstii,berry,2003.9434,2,2,2,NA,NA,NA
Syzygium buettneranum,berry,659.4046,2,2,2,NA,NA,NA
Syzygium bungadinnia,berry,20943.951,2,2,2,NA,NA,NA
Syzygium canicortis,berry,8.1812,NA,NA,NA,NA,NA,NA
Syzygium coolminianum,berry,382,NA,NA,NA,NA,NA,NA
Syzygium cormiflorum,berry,12120.8535,NA,NA,NA,NA,NA,NA
Syzygium corynanthum,berry,179.5944,2,2,2,NA,NA,NA
Syzygium crebrinerve,berry,523.5988,2,2,2,NA,NA,NA
Syzygium danesiei,berry,2806.1622,NA,NA,NA,NA,NA,NA
Syzygium endophloium,berry,354.4109,2,2,2,NA,NA,NA
Syzygium erythrocalyx,berry,4674.4637,2,2,2,NA,NA,NA
Syzygium erythrodoxum,berry,1767.1459,2,2,2,NA,NA,NA
Syzygium eucalyptoides,berry,4188.7902,2,2,2,NA,NA,NA
Syzygium fibrosum,berry,287.3144,2,2,2,NA,NA,NA
Syzygium forte,berry,2806.1622,2,2,2,NA,NA,NA
Syzygium francisii,berry,113.0973,2,1,2,NA,NA,NA
Syzygium gustavioides,berry,65449.847,2,2,2,NA,NA,NA
Syzygium kuranda,berry,10308.3509,2,2,2,NA,NA,NA
Syzygium luehmannii,berry,24.4493,NA,NA,NA,NA,NA,NA
Syzygium macilwraith.,berry,3313.3985,NA,NA,NA,NA,NA,NA
Syzygium malaccense,berry,1675.5161,2,2,2,NA,NA,NA
Syzygium minutiflorum,berry,268.0826,NA,NA,NA,NA,NA,NA
Syzygium mootei,berry,12796.875,NA,NA,NA,NA,NA,NA
Syzygium oleosum,berry,263.8938,2,2,2,NA,NA,NA
Syzygium operculatum,berry,268.0826,2,1,2,NA,NA,NA
Syzygium paniculatum,berry,524,2,2,2,NA,NA,NA
Syzygium papyraceum,berry,1767.1459,2,2,2,NA,NA,NA
Syzygium pseudofastig.,berry,2806.1622,NA,NA,NA,NA,NA,NA
Syzygium puberulum,berry,14137.1669,2,2,2,NA,NA,NA
Syzygium rubrimolle,berry,8513.3888,2,2,2,NA,NA,NA
Syzygium sayeri,berry,1767.1459,2,2,2,NA,NA,NA
Syzygium sharmae,berry,14137.1669,NA,NA,NA,NA,NA,NA
Syzygium suborbiculare,berry,40194.3873,2,2,2,NA,NA,NA
Syzygium tierneyanum,berry,143.7933,2,2,2,NA,NA,NA
Syzygium trachyphloia,berry,87.1137,NA,NA,NA,NA,NA,NA
Syzygium velae,berry,1539.3884,2,2,2,NA,NA,NA
Syzygium wex,berry,143.7933,NA,NA,NA,NA,NA,NA
Syzygium wilsonii,berry,105.6832,2,2,2,NA,NA,NA
Syzygium xerampilum,berry,696.91,2,2,2,NA,NA,NA
Terminalia catappa,drupe/fibrous,1451.4158,1,1,1,1,1,NA
Threlkeldia diffusa,NA,0.8174,NA,NA,NA,NA,NA,NA
Tillaea sieberiana,capsule,0.024,NA,NA,NA,NA,NA,NA
Toechima dasyrrhache,"capsule/sd, aril",97.6826,NA,NA,NA,NA,NA,NA
Toechima pterocarpum,"capsule/sd, aril",117.8097,2,2,1,1,1,1
Trema aspera,drupe,4.7,1,NA,NA,NA,NA,NA
Trochocarpa laurina,drupe,0.7,1,NA,NA,NA,NA,NA
Vernonia cinerea,cypsela,0.159,1,1,2,2,1,1
Viola hederacea,capsule/explosive,0.9948,1,1,1,1,1,NA
Vittadenia dissecta,cypsela,0.377,NA,NA,NA,NA,NA,NA
Wahlenbergia tumidif.,capsule,0.0105,NA,NA,NA,NA,NA,NA
Waterhousea floribunda,berry/inf,2806.1622,2,2,1,NA,NA,NA
Waterhousea hedraiaphylla,berry/inf,226.9801,NA,NA,NA,NA,NA,NA
Waterhousea mulgraveana,berry/inf,2513.2741,2,2,2,NA,NA,NA
Waterhousea unipunctata,berry/inf,884.8819,2,2,2,NA,NA,NA
Weinmannia lachnocarpa,capsule,2.1463,NA,NA,NA,NA,NA,NA
Xanthostemon chrysanthos,capsule,4.189,1,NA,NA,NA,NA,NA
Youngia japonica,cypsela,0.256,NA,NA,NA,NA,NA,NA
Zieria microflora,capsule,1.1318,NA,NA,NA,NA,NA,NA
Zieria smithii,capsule,2,NA,NA,NA,NA,NA,NA
Gyrocarpus americanus,NA,NA,1,NA,NA,NA,2,NA
Gyrocarpus jacquini,NA,NA,1,1,1,2,1,NA
Hernandia albiflora,NA,NA,2,NA,NA,NA,NA,NA
Hernandia bivalvis,NA,NA,2,NA,1,NA,NA,1
Hernandia nymphaeifolia,NA,NA,2,NA,NA,NA,NA,NA
Idiospermum australe,NA,NA,2,2,1,NA,NA,2
Beilschmiedia bancroftii,NA,NA,2,2,1,NA,NA,1
Beilschmiedia brunnea,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia castrisinensis,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia obtusifolia,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia oligandra,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia peninsularis,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia recurva,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia tooram,NA,NA,2,2,NA,NA,NA,1
Beilschmiedia volksii,NA,NA,2,2,NA,NA,NA,1
Cinnamomum baileyanum,NA,NA,2,2,NA,NA,NA,1
Cinnamomum laubatii,NA,NA,2,2,NA,NA,NA,1
Cinnamomum oliveri,NA,NA,2,2,NA,NA,NA,1
Cinnamomum propinquum,NA,NA,2,2,NA,NA,NA,1
Cryptocarya angulata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya bamagana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya bellendenker,NA,NA,2,2,NA,NA,NA,1
Cryptocarya bowei,NA,NA,2,2,1,NA,NA,NA
Cryptocarya brassii,NA,NA,2,2,NA,NA,NA,1
Cryptocarya burckiana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya clarksoniana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya claudiana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya cocosoides,NA,NA,2,2,NA,NA,NA,1
Cryptocarya corrugata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya cunninghamii,NA,NA,2,2,NA,NA,NA,1
Cryptocarya densiflora,NA,NA,2,2,NA,NA,NA,1
Cryptocarya endiandrifolia,NA,NA,2,2,NA,NA,NA,1
Cryptocarya erythroxylon,NA,NA,2,2,2,NA,NA,NA
Cryptocarya exfoliata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya glaucocarpa,NA,NA,2,2,NA,NA,NA,1
Cryptocarya grandis,NA,NA,2,2,NA,NA,NA,1
Cryptocarya hypospodia,NA,NA,2,2,NA,NA,NA,1
Cryptocarya laevigata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya leucophylla,NA,NA,2,2,NA,NA,NA,1
Cryptocarya lividula,NA,NA,2,2,NA,NA,NA,1
Cryptocarya mackinnoniana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya melanocarpa,NA,NA,2,2,NA,NA,NA,1
Cryptocarya murrayi,NA,NA,2,2,NA,NA,NA,1
Cryptocarya oblata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya onoprienkoana,NA,NA,2,2,NA,NA,NA,1
Cryptocarya pleurosperma,NA,NA,2,2,NA,NA,NA,1
Cryptocarya putida,NA,NA,2,2,NA,NA,NA,1
Cryptocarya rhodosperma,NA,NA,2,2,NA,NA,NA,1
Cryptocarya saccharata,NA,NA,2,2,NA,NA,NA,1
Cryptocarya smargadina,NA,NA,2,2,NA,NA,NA,1
Cryptocarya vulgaris,NA,NA,2,2,NA,NA,NA,1
Endiandra acuminata,NA,NA,2,2,NA,NA,NA,1
Endiandra anthropophagoru,NA,NA,2,2,NA,NA,NA,1
Endiandra bellendenkerana,NA,NA,2,2,NA,NA,NA,1
Endiandra bessaphila,NA,NA,2,2,NA,NA,NA,1
Endiandra collinsii,NA,NA,2,2,NA,NA,NA,1
Endiandra compressa,NA,NA,2,2,NA,NA,NA,1
Endiandra cooperana,NA,NA,2,2,NA,NA,NA,1
Endiandra cowleyana,NA,NA,2,2,NA,NA,NA,1
Endiandra dichrophylla,NA,NA,2,2,NA,NA,NA,1
Endiandra dielsiana,NA,NA,2,2,NA,NA,NA,1
Endiandra discolor,NA,NA,2,2,NA,NA,NA,1
Endiandra glauca,NA,NA,2,2,NA,NA,NA,1
Endiandra grayi,NA,NA,2,2,NA,NA,NA,1
Endiandra hypotephra,NA,NA,2,2,NA,NA,NA,1
Endiandra impressicosta,NA,NA,2,2,NA,NA,NA,1
Endiandra insignis,NA,NA,2,2,NA,NA,NA,1
Endiandra jonesii,NA,NA,2,2,NA,NA,NA,1
Endiandra leptodendron,NA,NA,2,2,NA,NA,NA,1
Endiandra limnophila,NA,NA,2,2,NA,NA,NA,1
Endiandra longipedicellat,NA,NA,2,2,NA,NA,NA,1
Endiandra microneura,NA,NA,2,2,NA,NA,NA,1
Endiandra monothyra,NA,NA,2,2,NA,NA,NA,1
Endiandra montana,NA,NA,2,2,NA,NA,NA,1
Endiandra palmerstonii,NA,NA,2,2,1,NA,NA,1
Endiandra phaeocarpa,NA,NA,2,2,NA,NA,NA,1
Endiandra pubens,NA,NA,2,2,1,NA,NA,NA
Endiandra sankeyana,NA,NA,2,2,NA,NA,NA,1
Endiandra sideroxylon,NA,NA,2,2,NA,NA,NA,1
Endiandra wolfei,NA,NA,2,2,NA,NA,NA,1
Endiandra xanthocarpa,NA,NA,2,2,NA,NA,NA,1
Lindera queenslandica,NA,NA,2,NA,NA,NA,NA,1
Litsea bennettii,NA,NA,2,2,NA,NA,NA,1
Litsea bindoniana,NA,NA,2,2,NA,NA,NA,1
Litsea breviumbellata,NA,NA,2,2,NA,NA,NA,1
Litsea connersii,NA,NA,2,2,NA,NA,NA,1
Litsea dealbata,NA,NA,2,2,1,NA,NA,1
Litsea fawcettiana,NA,NA,2,2,NA,NA,NA,1
Litsea glutinosa,NA,NA,2,2,NA,NA,NA,1
Litsea granitica,NA,NA,2,2,NA,NA,NA,1
Litsea leefiana,NA,NA,2,2,NA,NA,NA,1
Litsea macrophylla,NA,NA,2,2,NA,NA,NA,1
Neolitsea brassii,NA,NA,2,2,NA,NA,NA,1
Neolitsea dealbata,NA,NA,2,2,NA,NA,NA,1
Daphnandra repandula,NA,NA,1,NA,NA,NA,NA,NA
Doryphora aromatica,NA,NA,1,NA,NA,NA,NA,NA
Doryphora sassafrass,NA,NA,1,1,2,NA,NA,NA
Dryadodaphne sp,NA,NA,1,NA,NA,NA,NA,NA
Hedycarya loxocarya,NA,NA,1,NA,NA,NA,NA,NA
Kibara rigidifolia,NA,NA,1,NA,NA,NA,NA,NA
Levieria acuminata,NA,NA,1,NA,NA,NA,NA,NA
Steganthera macooraia,NA,NA,1,NA,NA,NA,NA,NA
Tetrasynandra laxiflora,NA,NA,1,NA,NA,NA,NA,NA
Tetrasynandra longipes,NA,NA,1,NA,NA,NA,NA,NA
Tetrasynandra pubescens,NA,NA,1,NA,NA,NA,NA,NA
Tetrasynandra sp aff,NA,NA,1,NA,NA,NA,NA,NA
Wilkiea angustifolia,NA,NA,1,NA,NA,NA,NA,NA
Wilkiea hugeliana,NA,NA,1,1,2,NA,1,NA
Wilkiea sp. 1944,NA,NA,1,NA,NA,NA,NA,NA
Cananga odorata,NA,NA,1,NA,NA,NA,NA,NA
Fitzalania heteropetala,NA,NA,2,NA,NA,NA,NA,NA
Goniothalamus australis,NA,NA,2,NA,NA,NA,NA,NA
Miliusa brahei,NA,NA,1,NA,NA,NA,NA,NA
Miliusa horsfieldii,NA,NA,1,NA,NA,NA,2,NA
Mitrophora sp,NA,NA,1,NA,NA,NA,2,NA
Polyalthia australis,NA,NA,2,NA,NA,NA,NA,NA
Polyalthia michaelii,NA,NA,2,2,1,NA,NA,NA
Polyalthia nitidissima,NA,NA,1,NA,NA,NA,NA,NA
Polyaulax cylindrocarpa,NA,NA,2,NA,NA,NA,NA,NA
Pseuduvaria froggattii,NA,NA,2,NA,NA,NA,NA,NA
Pseuduvaria hylandii,NA,NA,2,NA,NA,NA,NA,NA
Rauwenhoffia tetraphyllus,NA,NA,1,1,2,2,1,1
Xylopia maccraei,NA,NA,2,NA,NA,NA,NA,NA
Galbulimima belgraveana,NA,NA,1,NA,NA,NA,2,NA
Horsfieldia australiana,NA,NA,1,NA,NA,NA,NA,NA
Myristica insipida,NA,NA,2,2,1,NA,NA,NA
Ondinea ?purpurea,NA,NA,2,1,1,NA,NA,NA
Peperomia reflexa,NA,NA,1,NA,NA,1,1,NA
Piper novaehollandiae,NA,NA,1,1,NA,2,1,NA
Austrobaileya scandens,NA,NA,2,1,1,NA,2,NA
Tasmannia insipida,NA,NA,1,NA,NA,1,1,NA
Tasmannia membranacea,NA,NA,1,NA,NA,NA,NA,NA
Legnephora moorei,NA,NA,1,1,1,1,1,NA
Fumaria capreolata,NA,NA,1,1,1,1,1,NA
Papaver hybridum,NA,NA,1,1,2,1,1,NA
Papaver somniferum,NA,NA,1,1,2,1,1,NA
Athertonia diversifolia,NA,NA,1,NA,NA,NA,NA,NA
Austromuellera trinervia,NA,NA,1,NA,NA,NA,NA,NA
Banksia aculeata,NA,NA,1,NA,NA,1,1,NA
Banksia aemula,NA,NA,1,1,2,2,1,NA
Banksia asbyi,NA,NA,1,1,2,1,1,NA
Banksia attenuata,NA,NA,1,1,2,1,1,NA
Banksia audax,NA,NA,1,NA,NA,1,1,NA
Banksia baueri,NA,NA,1,1,2,1,1,NA
Banksia baxteri,NA,NA,1,NA,NA,1,1,NA
Banksia benthamiana,NA,NA,1,NA,NA,1,1,NA
Banksia blechnifolia,NA,NA,1,NA,NA,NA,NA,NA
Banksia brownii,NA,NA,1,1,2,1,1,NA
Banksia burdettii,NA,NA,1,NA,NA,1,1,NA
Banksia caleyi,NA,NA,1,1,2,1,1,NA
Banksia candolleana,NA,NA,1,NA,NA,NA,NA,NA
Banksia chamaephyton,NA,NA,1,NA,NA,NA,NA,NA
Banksia coccinea,NA,NA,1,NA,NA,1,1,NA
Banksia conferta,NA,NA,1,1,2,2,1,NA
Banksia cuneata,NA,NA,1,NA,NA,1,1,NA
Banksia dentata,NA,NA,1,1,2,1,1,NA
Banksia dryandroides,NA,NA,1,1,2,1,1,NA
Banksia elderana,NA,NA,1,1,2,1,1,NA
Banksia ericifolia,NA,NA,1,1,2,2,1,NA
Banksia gardneri,NA,NA,1,NA,NA,1,1,NA
Banksia goodii,NA,NA,1,NA,NA,NA,NA,NA
Banksia grandis,NA,NA,1,1,2,2,1,NA
Banksia grossa,NA,NA,1,1,2,2,1,NA
Banksia hookerana,NA,NA,1,1,2,1,1,NA
Banksia ilicifolia,NA,NA,1,NA,NA,1,1,NA
Banksia incana,NA,NA,1,NA,NA,1,1,NA
Banksia laevigata,NA,NA,1,NA,NA,1,1,NA
Banksia lanata,NA,NA,1,1,2,2,1,NA
Banksia laricina,NA,NA,1,NA,NA,2,1,NA
Banksia lemanniana,NA,NA,1,1,2,2,1,NA
Banksia leptophylla,NA,NA,1,1,2,2,1,NA
Banksia littoralis,NA,NA,1,1,2,2,1,NA
Banksia lullfitzii,NA,NA,1,NA,NA,1,1,NA
Banksia marginata,NA,NA,1,1,2,2,1,NA
Banksia media,NA,NA,1,NA,NA,1,1,NA
Banksia meisneri,NA,NA,1,1,2,1,1,NA
Banksia menziesii,NA,NA,1,1,2,1,1,NA
Banksia micrantha,NA,NA,1,1,2,2,1,NA
Banksia nutans,NA,NA,1,NA,NA,2,1,NA
Banksia occidentalis,NA,NA,1,1,2,1,1,NA
Banksia oreophila,NA,NA,1,1,2,2,1,NA
Banksia ornata,NA,NA,1,1,2,1,1,NA
Banksia paludosa,NA,NA,1,1,2,2,1,NA
Banksia pilostylis,NA,NA,1,NA,NA,1,1,NA
Banksia praemorsa,NA,NA,1,NA,NA,1,1,NA
Banksia prionotes,NA,NA,1,NA,NA,1,1,NA
Banksia pulchella,NA,NA,1,1,2,1,1,NA
Banksia quercifolia,NA,NA,1,1,2,1,1,NA
Banksia repens,NA,NA,1,NA,NA,1,1,NA
Banksia robur,NA,NA,1,1,1,1,1,NA
Banksia scabrella,NA,NA,1,NA,NA,2,1,NA
Banksia sceptrum,NA,NA,1,NA,NA,NA,NA,NA
Banksia serrata,NA,NA,1,1,2,2,1,1
Banksia solandri,NA,NA,1,1,2,2,1,NA
Banksia speciosa,NA,NA,1,1,2,1,1,NA
Banksia sphaerocarpa,NA,NA,1,NA,NA,2,1,NA
Banksia spinulosa,NA,NA,1,1,2,1,1,NA
Banksia telmatiaea,NA,NA,1,1,2,1,1,NA
Banksia tricuspis,NA,NA,1,1,2,1,1,NA
Banksia verticillata,NA,NA,1,1,2,1,1,NA
Banksia victoriae,NA,NA,1,NA,NA,1,1,NA
Banksia violacea,NA,NA,1,NA,NA,1,1,NA
Bleasdalea bleasdalei,NA,NA,2,NA,NA,NA,NA,NA
Buckinghamia celsissima,NA,NA,1,NA,NA,NA,NA,NA
Buckinghamia ferruginiflora,NA,NA,1,NA,NA,NA,NA,NA
Cardwellia sublimis,NA,NA,1,1,1,NA,NA,NA
Carnarvonia araliifolia,NA,NA,1,NA,NA,NA,NA,NA
Darlingia darlingiana,NA,NA,1,NA,NA,NA,NA,NA
Darlingia ferruginea,NA,NA,1,NA,NA,NA,NA,NA
Darlingia lyrata,NA,NA,1,1,1,NA,NA,NA
Dryandra praemorsa,NA,NA,1,1,2,1,1,NA
Grevillea baileyana,NA,NA,1,NA,NA,NA,NA,NA
Grevillea banksii,NA,NA,1,1,1,2,2,NA
Grevillea hilliana,NA,NA,1,NA,NA,NA,NA,NA
Grevillea parallela,NA,NA,1,NA,NA,NA,NA,NA
Grevillea tridentata,NA,NA,1,NA,NA,NA,NA,NA
Hakea acicularis,NA,NA,1,2,2,1,1,NA
Hakea elliptica,NA,NA,1,1,2,1,1,NA
Hakea gibbosa,NA,NA,1,1,1,1,1,NA
Hakea laurina,NA,NA,1,1,2,1,1,NA
Hakea pungens,NA,NA,1,NA,NA,NA,NA,NA
Hakea purpurea,NA,NA,1,1,1,1,1,NA
Helicia australasica,NA,NA,1,NA,NA,NA,NA,NA
Helicia blakei,NA,NA,1,NA,NA,NA,NA,NA
Helicia grayi,NA,NA,1,NA,NA,NA,NA,NA
Helicia lamingtoniana,NA,NA,1,NA,NA,NA,NA,NA
Helicia lewisensis,NA,NA,1,NA,NA,NA,NA,NA
Helicia mortoniana,NA,NA,1,NA,NA,NA,NA,NA
Hicksbeachia pilosa,NA,NA,1,NA,NA,NA,NA,NA
Hollandaea sayeriana,NA,NA,2,NA,NA,NA,NA,NA
Lomatia fraxinifolia,NA,NA,1,NA,NA,NA,NA,NA
Lomatia silaifolia,NA,NA,1,NA,NA,2,1,NA
Macadamia heyana,NA,NA,2,2,NA,NA,NA,NA
Macadamia hilledbrandei,NA,NA,2,NA,NA,NA,NA,NA
Macadamia whelanii,NA,NA,2,NA,NA,NA,NA,NA
Musgravea heterophylla,NA,NA,2,NA,NA,NA,NA,NA
Musgravea stenostachya,NA,NA,2,NA,NA,NA,NA,NA
Neorites kerediana,NA,NA,1,NA,NA,NA,NA,NA
Opisthiolepis heterophylla,NA,NA,1,NA,NA,NA,NA,NA
Oreocallis wickhamii,NA,NA,1,2,1,2,1,NA
Orites excelsa,NA,NA,1,NA,NA,NA,NA,NA
Orites lancifolia,NA,NA,1,1,1,2,1,NA
Persoonia sericea,NA,NA,1,1,2,1,1,NA
Petrophile canescens,NA,NA,1,1,1,1,1,NA
Placospermum coriaceum,NA,NA,1,NA,NA,NA,NA,NA
Sphalmium racemosum,NA,NA,1,1,1,NA,NA,NA
Stenocarpus cryptocarpus,NA,NA,1,NA,NA,NA,NA,NA
Stenocarpus davallioides,NA,NA,1,NA,NA,NA,NA,NA
Stenocarpus reticulatus,NA,NA,1,NA,NA,NA,NA,NA
Stenocarpus salignus,NA,NA,1,NA,NA,NA,1,NA
Triunia erythrocarpa,NA,NA,2,NA,NA,NA,NA,NA
Xylomelum pyriforme,NA,NA,1,1,1,2,1,NA
Alloxylon flammeum,NA,NA,1,NA,NA,NA,NA,NA
Alloxylon wickhamii,NA,NA,1,NA,NA,NA,NA,NA
Polyosma alangiacea,NA,NA,1,NA,NA,NA,NA,NA
Polyosma hirsuta,NA,NA,1,NA,NA,NA,NA,NA
Polyosma rhytophloia,NA,NA,1,NA,NA,NA,NA,NA
Quintinia quatrefagesii,NA,NA,1,NA,NA,NA,NA,NA
Carpobrotus glaucescens,NA,NA,1,NA,NA,NA,NA,NA
Tetragonia expansa,NA,NA,1,1,2,1,1,1
Gomphrena celosioides,NA,NA,NA,NA,NA,NA,NA,2
Ptilotus polystachys,NA,NA,1,1,1,1,1,NA
Cerastium glomeratum,NA,NA,1,1,2,1,1,NA
Sagina apetala,NA,NA,1,1,2,1,1,NA
Sagina procumbens,NA,NA,1,1,2,1,1,NA
Silene gallica,NA,NA,1,1,2,1,2,NA
Spergula arvensis,NA,NA,1,1,2,1,1,NA
Spergularia rubra,NA,NA,1,1,2,1,1,1
Stellaria media,NA,NA,1,1,2,1,2,NA
Vaccaria pyramidata,NA,NA,1,1,2,1,1,NA
Atriplex muelleri,NA,NA,NA,NA,NA,NA,NA,1
Atriplex vesicarium,NA,NA,1,NA,NA,1,1,NA
Chenopodium album,NA,NA,1,1,2,1,1,NA
Kochia pyramidata,NA,NA,1,NA,NA,1,1,NA
Maireana aphylla,NA,NA,1,NA,NA,NA,NA,NA
Maireana coronata,NA,NA,1,NA,NA,1,1,NA
Maireana microphylla,NA,NA,1,1,2,1,1,NA
Maireana polypterygia,NA,NA,1,NA,NA,NA,NA,NA
Malacocera tricorne,NA,NA,1,NA,NA,1,1,NA
Rhagodia baccata,NA,NA,1,1,2,1,1,NA
Salicornia australis,NA,NA,1,2,2,1,1,NA
Salsola kali,NA,NA,1,1,1,1,1,2
Sclerolaena tetracuspis,NA,NA,1,1,1,1,1,NA
Mollugo verticillata,NA,NA,1,1,2,1,1,NA
Pisonia umbellifera,NA,NA,1,NA,NA,NA,NA,NA
Rivina humilis,NA,NA,1,1,1,1,1,NA
Calandrinia pickeringii,NA,NA,1,1,1,1,1,NA
Drosera auriculata,NA,NA,2,NA,NA,NA,NA,NA
Drosera glanduligera,NA,NA,2,NA,NA,NA,NA,NA
Drosera macrophylla,NA,NA,2,NA,NA,NA,NA,NA
Drosera petiolaris,NA,NA,1,1,1,1,1,NA
Drosera planchonii,NA,NA,2,NA,NA,NA,NA,NA
Drosera pygmaea,NA,NA,2,1,1,NA,NA,NA
Drosera stricticaulis,NA,NA,2,NA,NA,NA,NA,NA
Drosera thysanoptera,NA,NA,2,NA,NA,NA,NA,NA
Drosera whittakeri,NA,NA,2,NA,NA,NA,NA,NA
Nepenthes sp.,NA,NA,1,NA,NA,NA,NA,NA
Aegilitis annulata,NA,NA,1,1,1,1,1,NA
Limonium australis,NA,NA,1,1,2,1,1,NA
Polygonum hydropiper,NA,NA,1,1,1,1,1,NA
Rumex acetosella,NA,NA,1,1,1,1,1,NA
Rumex conglomeratus,NA,NA,1,1,1,1,1,NA
Rumex crispus,NA,NA,1,1,1,1,1,NA
Rumex obtusifolius,NA,NA,1,1,1,1,1,NA
Rumex sagittatus,NA,NA,1,1,1,1,1,NA
Acaena sanguisorba,NA,NA,1,1,1,1,1,NA
Parinari nonda,NA,NA,2,NA,NA,NA,NA,NA
Prunus grisea,NA,NA,2,NA,NA,NA,NA,NA
Prunus turneriana,NA,NA,2,NA,NA,NA,NA,NA
