species_name,flowering time,growth habit,longevity
Iseilema convexum,mar-aug,NA,annual
Iseilema dolichotrichum,mar-aug,NA,annual
Iseilema eremaeum,jan-jul,NA,annual
Iseilema fragile,mar-aug,NA,annual
Iseilema holmesii,mar-jun,NA,annual
Iseilema macratherum,feb-aug,NA,annual
Iseilema membranaceum,dec-jul,NA,annual
Iseilema trichopus,mar,NA,annual
Iseilema vaginiflorum,dec-jul,NA,annual
Iseilema windersii,feb-aug,NA,annual
Lachnagrostis adamsonii,nov,NA,annual/perennial
Lachnagrostis aemula,sep-jan,NA,annual/perennial
Lachnagrostis billardierei,NA,NA,annual/perennial
Lachnagrostis billardierei subsp. billardierei,NA,NA,annual/perennial
Lachnagrostis billardierei subsp. tenuiseta,NA,NA,annual/perennial
Lachnagrostis collicola,NA,NA,perennial
Lachnagrostis drummondiana,NA,NA,annual
Lachnagrostis filiformis,sep-jan,NA,annual/perennial
Lachnagrostis lacunarum,NA,NA,annual/perennial
Lachnagrostis limitanea,NA,NA,perennial
Lachnagrostis meionectes,dec-mar,NA,annual
Lachnagrostis plebeia,NA,NA,annual
Lachnagrostis preissii,NA,NA,annual
Lachnagrostis punicea,NA,NA,perennial
Lachnagrostis punicea subsp. filifolia,NA,NA,perennial
Lachnagrostis robusta,NA,NA,annual/perennial
Lachnagrostis scabra,NA,NA,annual
Lachnagrostis scabra subsp. curviseta,NA,NA,annual
Leersia hexandra,mar-sep,NA,annual/perennial
Leptaspis banksii,jan-jul,NA,perennial
Leptochloa decipiens,dec-feb,NA,perennial
Leptochloa decipiens subsp. asthenes,dec-feb,NA,perennial
Leptochloa decipiens subsp. peacockii,dec-feb,NA,perennial
Leptochloa digitata,NA,NA,perennial
Leptochloa divaricatissima,NA,NA,perennial
Leptochloa fusca,NA,NA,perennial
Leptochloa fusca subsp. fusca,NA,NA,perennial
Leptochloa fusca subsp. muelleri,NA,NA,perennial
Leptochloa ligulata,NA,NA,perennial
Leptochloa neesii,NA,NA,annual/perennial
Leptochloa panicea,NA,NA,annual
Leptochloa panicea subsp. brachiata,NA,NA,annual
Leptochloa simoniana,NA,NA,annual
Leptochloa southwoodii,NA,NA,annual
Lepturus copeanus,NA,NA,annual
Lepturus geminatus,NA,NA,perennial
Lepturus minutus,NA,NA,annual
Lepturus repens,NA,NA,perennial
Lepturus xerophilus,NA,NA,annual
Lophatherum gracile,NA,NA,perennial
Micraira adamsii,feb-apr,NA,perennial
Micraira brevis,NA,NA,perennial
Micraira compacta,feb-jun,NA,perennial
Micraira dentata,feb-mar,NA,perennial
Micraira dunlopii,mar-aug,NA,perennial
Micraira inserta,feb,NA,perennial
Micraira lazaridis,NA,NA,perennial
Micraira multinervia,jan-may,NA,perennial
Micraira pungens,feb-apr,NA,perennial
Micraira spiciforma,feb-aug,NA,perennial
Micraira spinifera,feb-jun,NA,perennial
Micraira subspicata,feb-mar,NA,perennial
Micraira subulifolia,all year,NA,perennial
Micraira tenuis,jan-mar,NA,perennial
Micraira viscidula,jun-jul,NA,perennial
Microchloa indica,NA,NA,annual
Microlaena stipoides,NA,NA,perennial
Microlaena stipoides var. breviseta,NA,NA,perennial
Microlaena stipoides var. stipoides,NA,NA,perennial
Microlaena tasmanica,NA,NA,perennial
Microlaena tasmanica var. subalpina,NA,NA,perennial
Microlaena tasmanica var. tasmanica,NA,NA,perennial
Mnesithea annua,feb-may,NA,annual
Mnesithea formosa,feb-jul,NA,annual
Mnesithea pilosa,NA,NA,annual
Mnesithea rottboellioides,dec-jun,NA,perennial
Monachather paradoxus,may-sep,NA,perennial
Monodia stipoides,NA,NA,perennial
Mullerochloa moreheadiana,sep-nov,NA,perennial
Neololeba atra,jul-oct,NA,perennial
Neurachne alopecuroides,aug-dec,NA,perennial
Neurachne lanigera,aug-sep,NA,perennial
Neurachne minor,NA,NA,perennial
Neurachne munroi,may-oct,NA,perennial
Neurachne queenslandica,nov-feb,NA,perennial
Neurachne tenuifolia,sep-may,NA,perennial
Notochloe microdon,dec,NA,perennial
Ophiuros exaltatus,jan-oct,NA,perennial
Oplismenus aemulus,NA,NA,perennial
Oplismenus burmannii,mar-aug,NA,annual
Oplismenus compositus,apr-aug,NA,perennial
Oplismenus mollis,apr-aug,NA,perennial
Oplismenus undulatifolius,NA,NA,perennial
Oryza australiensis,mar-aug,NA,perennial
Oryza meridionalis,NA,NA,annual/perennial
Oryza minuta,NA,NA,perennial
Oryza rufipogon,mar-nov,NA,annual/perennial
Ottochloa gracillima,jan-may,NA,perennial
Ottochloa nodosa,jan-may,NA,perennial
Oxychloris scariosa,NA,NA,annual/perennial
Panicum bisulcatum,mar-jun,NA,annual
Panicum bombycinum,NA,NA,perennial
Panicum buncei,mar-jul,NA,perennial
Panicum chillagoanum,NA,NA,annual
Panicum decompositum,all year,NA,perennial
Panicum decompositum var. decompositum,all year,NA,perennial
Panicum decompositum var. tenuius,all year,NA,perennial
Panicum distachyum var. trichophorum,all year,NA,perennial
Panicum effusum,all year,NA,perennial
Panicum incomtum,jun-aug,NA,perennial
Panicum lachnophyllum,feb-aug,NA,perennial
Panicum laevinode,all year,NA,annual/perennial
Panicum larcomianum,sep-may,NA,perennial
Panicum latzii,feb-jul,NA,perennial
Panicum luzonense,jan-may,NA,annual
Panicum mindanaense,all year,NA,annual/perennial
Panicum mitchellii,may-sep,NA,perennial
Panicum obseptum,oct-may,NA,perennial
Panicum paludosum,all year,NA,perennial
Panicum pygmaeum,jan-may,NA,perennial
Panicum queenslandicum,mar-jul,NA,perennial
Panicum queenslandicum var. acuminatum,mar-jul,NA,perennial
Panicum queenslandicum var. queenslandicum,mar-jul,NA,perennial
Panicum seminudum,mar-jul,NA,annual
Panicum seminudum var. cairnsianum,mar-jul,NA,annual
Panicum seminudum var. seminudum,mar-jul,NA,annual
Panicum simile,NA,NA,perennial
Panicum trachyrhachis,all year,NA,annual
Paractaenum novae-hollandiae,NA,NA,annual
Paractaenum novae-hollandiae subsp. novae-hollandiae,NA,NA,annual
Paractaenum novae-hollandiae subsp. reversum,NA,NA,annual
Paraneurachne muelleri,feb-aug,NA,perennial
Paspalidium albovillosum,feb-sep,NA,perennial
Paspalidium aversum,dec-feb,NA,perennial
Paspalidium basicladum,feb-aug,NA,annual
Paspalidium caespitosum,feb-sep,NA,perennial
Paspalidium clementii,apr-sep,NA,annual
Paspalidium constrictum,apr-aug,NA,perennial
Paspalidium criniforme,feb-jul,NA,perennial
Paspalidium distans,mar-aug,NA,perennial
Paspalidium flavidum,apr-sep,NA,perennial
Paspalidium gausum,mar-may,NA,perennial
Paspalidium globoideum,feb-jun,NA,perennial
Paspalidium gracile,mar-jul,NA,perennial
Paspalidium grandispiculatum,feb-nov,NA,perennial
Paspalidium johnsonii,NA,NA,annual
Paspalidium jubiflorum,mar-aug,NA,perennial
Paspalidium rarum,feb-jul,NA,annual
Paspalidium reflexum,apr-sep,NA,annual
Paspalidium retiglume,mar-sep,NA,annual
Paspalidium spartellum,oct-apr,NA,perennial
Paspalidium tabulatum,apr-oct,NA,perennial
Paspalidium udum,NA,NA,perennial
Paspalum longifolium,nov-may,NA,perennial
Paspalum multinodum,NA,NA,perennial
Paspalum scrobiculatum,dec-jun,NA,perennial
Pentapogon quadrifidus,NA,NA,perennial
Pentapogon quadrifidus var. parviflorus,NA,NA,perennial
Pentapogon quadrifidus var. quadrifidus,NA,NA,perennial
Perotis clarksonii,NA,NA,annual
Perotis rara,NA,NA,annual/perennial
Pheidochloa gracilis,apr-sep,NA,annual
Phragmites australis,apr-jun,NA,perennial
Phragmites karka,NA,NA,perennial
Plinthanthesis paradoxa,nov-dec,NA,perennial
Plinthanthesis rodwayi,dec-jan,NA,perennial
Plinthanthesis urvillei,dec,NA,perennial
Poa affinis,nov,NA,perennial
Poa annua,sep-nov,NA,annual
Poa billardierei,sep-oct,NA,perennial
Poa cheelii,dec-jan,NA,perennial
Poa clelandii,sep-jan,NA,perennial
Poa clivicola,dec-feb,NA,perennial
Poa costiniana,feb,NA,perennial
Poa crassicaudex,oct-nov,NA,perennial
Poa drummondiana,oct,NA,perennial
Poa ensiformis,oct-mar,NA,perennial
Poa fawcettiae,dec-feb,NA,perennial
Poa fax,aug-nov,NA,annual
Poa fordeana,sep-dec,NA,perennial
Poa gunnii,dec-apr,NA,perennial
Poa halmaturina,nov-feb,NA,perennial
Poa helmsii,nov-mar,NA,perennial
Poa hiemata,jan-feb,NA,perennial
Poa homomalla,oct-nov,NA,perennial
Poa hookeri,nov-dec,NA,perennial
Poa hothamensis,NA,NA,perennial
Poa hothamensis var. hothamensis,NA,NA,perennial
Poa hothamensis var. parviflora,NA,NA,perennial
Poa induta,jan,NA,perennial
Poa jugicola,dec-mar,NA,perennial
Poa labillardierei,NA,NA,perennial
Poa labillardierei var. acris,NA,NA,perennial
Poa labillardierei var. labillardierei,NA,NA,perennial
Poa lowanensis,oct-nov,NA,perennial
Poa meionectes,sep-feb,NA,perennial
Poa mollis,nov,NA,perennial
Poa morrisii,oct-nov,NA,perennial
Poa orba,NA,NA,perennial
Poa petrophila,nov-jan,NA,perennial
Poa phillipsiana,jan-mar,NA,perennial
Poa physoclina,NA,NA,perennial
Poa poiformis,NA,NA,perennial
Poa poiformis var. poiformis,NA,NA,perennial
Poa poiformis var. ramifer,NA,NA,perennial
Poa porphyroclados,oct-dec,NA,perennial
Poa rodwayi,jan,NA,perennial
Poa sallacustris,sep-dec,NA,perennial
Poa sieberiana,NA,NA,perennial
Poa sieberiana var. cyanophylla,NA,NA,perennial
Poa sieberiana var. hirtella,NA,NA,perennial
Poa sieberiana var. sieberiana,NA,NA,perennial
Poa tenera,jan,NA,perennial
Poa umbricola,oct-nov,NA,perennial
Pogonatherum crinitum,oct-nov,NA,perennial
Polypogon tenellus,oct,NA,annual
Potamophila parviflora,nov-jan,NA,perennial
Psammagrostis wiseana,ephemeral,NA,annual
Pseudopogonatherum contortum,feb-jul,NA,annual
Pseudopogonatherum irritans,dec-jul,NA,annual
Pseudoraphis jagonis,NA,NA,perennial
Pseudoraphis minuta,NA,NA,perennial
Pseudoraphis minuta var. laevis,NA,NA,perennial
Pseudoraphis minuta var. minuta,NA,NA,perennial
Pseudoraphis paradoxa,NA,NA,perennial
Pseudoraphis spinescens,all year,NA,perennial
Puccinellia decumbens,NA,NA,annual
Puccinellia harcusiana,NA,NA,annual
Puccinellia perlaxa,NA,NA,annual/perennial
Puccinellia stricta,sep-feb,NA,annual/perennial
Rytidosperma acerosum,oct,NA,perennial
Rytidosperma alpicola,dec,NA,perennial
Rytidosperma auriculatum,oct-nov,NA,perennial
Rytidosperma australe,jan,NA,perennial
Rytidosperma bipartitum,NA,NA,perennial
Rytidosperma caespitosum,sep-nov,NA,perennial
Rytidosperma carphoides,oct-dec,NA,perennial
Rytidosperma clelandii,nov,NA,perennial
Rytidosperma diemenicum,dec-jan,NA,perennial
Rytidosperma dimidiatum,NA,NA,perennial
Rytidosperma duttonianum,nov,NA,perennial
Rytidosperma erianthum,oct-dec,NA,perennial
Rytidosperma fortunae-hibernae,feb,NA,perennial
Rytidosperma fulvum,nov-mar,NA,perennial
Rytidosperma geniculatum,oct,NA,perennial
Rytidosperma gracile,jan,NA,perennial
Rytidosperma indutum,nov-apr,NA,perennial
Rytidosperma laeve,NA,NA,perennial
Rytidosperma lepidopodum,jan,NA,perennial
Rytidosperma longifolium,nov-dec,NA,perennial
Rytidosperma monticola,nov-dec,NA,perennial
Rytidosperma nitens,jan-feb,NA,perennial
Rytidosperma nivicola,jan,NA,perennial
Rytidosperma nudiflorum,jan-mar,NA,perennial
Rytidosperma occidentale,oct-nov,NA,perennial
Rytidosperma oreophilum,jan-feb,NA,perennial
Rytidosperma pallidum,oct-dec,NA,perennial
Rytidosperma pauciflorum,jan-feb,NA,perennial
Rytidosperma penicillatum,jan,NA,perennial
Rytidosperma pilosum,nov-dec,NA,perennial
Rytidosperma popinensis,jan,NA,perennial
Rytidosperma pumilum,jan,NA,perennial
Rytidosperma racemosum,oct-dec,NA,perennial
Rytidosperma racemosum var. obtusatum,oct-dec,NA,perennial
Rytidosperma remotum,dec,NA,perennial
Rytidosperma richardsonii,nov,NA,perennial
Rytidosperma semiannulare,nov-jan,NA,perennial
Rytidosperma setaceum,oct-dec,NA,perennial
Rytidosperma tenuius,nov-dec,NA,perennial
Rytidosperma vickeryae,jan,NA,perennial
Sacciolepis indica,ephemeral,NA,annual
Sacciolepis myosuroides,apr-sep,NA,annual
Saxipoa saxicola,nov-mar,NA,perennial
Schizachyrium crinizonatum,mar-jul,NA,annual
Schizachyrium dolosum,mar-jul,NA,annual
Schizachyrium fragile,jan-nov,NA,annual
Schizachyrium mitchelliana,jun,NA,annual
Schizachyrium occultum,mar-aug,NA,annual
Schizachyrium pachyarthron,mar-sep,NA,annual
Schizachyrium perplexum,mar-may,NA,annual
Schizachyrium pseudeulalia,feb-sep,NA,annual
Scrotochloa tararaensis,apr,NA,perennial
Scrotochloa urceolata,oct,NA,perennial
Sehima nervosum,all year,NA,perennial
Setaria apiculata,feb-jul,NA,annual/perennial
Setaria australiensis,mar-sep,NA,perennial
Setaria dielsii,ephemeral,NA,annual
Setaria oplismenoides,feb-jun,NA,perennial
Setaria paspalidioides,jan-sep,NA,perennial
Setaria queenslandica,NA,NA,annual
Setaria surgens,jan-jul,NA,annual
Sorghum amplum,NA,NA,annual
Sorghum angustum,NA,NA,annual
Sorghum brachypodum,NA,NA,annual
Sorghum bulbosum,NA,NA,annual
Sorghum ecarinatum,NA,NA,annual
Sorghum exstans,NA,NA,annual
Sorghum grande,NA,NA,perennial
Sorghum interjectum,NA,NA,perennial
Sorghum intrans,NA,NA,annual
Sorghum laxiflorum,NA,NA,annual
Sorghum leiocladum,NA,NA,perennial
Sorghum macrospermum,NA,NA,annual
Sorghum matarankense,NA,NA,annual
Sorghum nitidum,dec-jul,NA,perennial
Sorghum plumosum,NA,NA,perennial
Sorghum propinquum,NA,NA,perennial
Sorghum stipoideum,NA,NA,annual
Sorghum timorense,NA,NA,annual
Spartochloa scirpoidea,sep-oct,NA,perennial
Spathia neurosa,apr-aug,NA,annual
Spinifex hirsutus,nov-jan,NA,perennial
Spinifex longifolius,may-nov,NA,perennial
Sporobolus actinocladus,NA,NA,annual/perennial
Sporobolus australasicus,ephemeral,NA,annual
Sporobolus blakei,ephemeral,NA,perennial
Sporobolus caroli,ephemeral,NA,annual
Sporobolus contiguus,ephemeral,NA,perennial
Sporobolus creber,all year,NA,perennial
Sporobolus disjunctus,jan-jul,NA,perennial
Sporobolus elongatus,all year,NA,perennial
Sporobolus latzii,may,NA,perennial
Sporobolus laxus,all year,NA,perennial
Sporobolus lenticularis,feb-aug,NA,annual
Sporobolus mitchellii,ephemeral,NA,perennial
Sporobolus pamelae,nov-apr,NA,perennial
Sporobolus partimpatens,mar-jul,NA,perennial
Sporobolus pulchellus,feb-nov,NA,annual
Sporobolus scabridus,all year,NA,perennial
Sporobolus sessilis,all year,NA,perennial
Sporobolus virginicus,all year,NA,perennial
Stenotaphrum micranthum,jun-nov,NA,annual/perennial
Sylvipoa queenslandica,feb-aug,NA,perennial
Symplectrodia gracilis,NA,NA,perennial
Symplectrodia lanosa,NA,NA,perennial
Tetrarrhena acuminata,dec-jan,NA,perennial
Tetrarrhena distichophylla,dec-jan,NA,perennial
Tetrarrhena juncea,oct-jan,NA,perennial
Tetrarrhena laevis,sep-jan,NA,perennial
Tetrarrhena oreophila,NA,NA,perennial
Tetrarrhena oreophila var. minor,NA,NA,perennial
Tetrarrhena oreophila var. oreophila,NA,NA,perennial
Tetrarrhena turfosa,nov-feb,NA,perennial
Thaumastochloa brassii,apr-oct,NA,annual
Thaumastochloa major,feb-oct,NA,annual
Thaumastochloa monilifera,NA,NA,annual
Thaumastochloa pubescens,jan-aug,NA,annual
Thaumastochloa rariflora,mar-oct,NA,annual
Thaumastochloa rubra,may-jun,NA,annual
Thaumastochloa striata,mar,NA,annual
Thelepogon australiensis,NA,NA,annual
Thellungia advena,spring/autumn,NA,annual
Themeda arguens,feb-sep,NA,annual
Themeda avenacea,nov-sep,NA,perennial
Themeda intermedia,apr,NA,perennial
Themeda triandra,all year,NA,perennial
Thinopyrum distichum,oct-nov,NA,perennial
Thuarea involuta,sep-may,NA,perennial
Thyridolepis mitchelliana,mar-sep,NA,perennial
Thyridolepis multiculmis,all year,NA,perennial
Thyridolepis xerophila,all year,NA,perennial
Tragus australianus,NA,NA,annual
Triodia acutispicula,jan-apr,NA,perennial
Triodia aeria,feb-mar,NA,perennial
Triodia angusta,all year,NA,perennial
Triodia aristiglumis,feb,NA,perennial
Triodia aurita,may,NA,perennial
Triodia basedowii,all year,NA,perennial
Triodia biflora,jul-aug,NA,perennial
Triodia bitextura,oct-feb,NA,perennial
Triodia brizoides,all year,NA,perennial
Triodia bromoides,jul-oct,NA,perennial
Triodia bunglensis,apr-jul,NA,perennial
Triodia bunicola,may-dec,NA,perennial
Triodia burbidgeana,dec-feb,NA,perennial
Triodia bynoei,jan-may,NA,perennial
Triodia claytonii,dec-jan,NA,perennial
Triodia compacta,aug-feb,NA,perennial
Triodia concinna,jul-sep,NA,perennial
Triodia contorta,feb-mar,NA,perennial
Triodia cunninghamii,"mar,sep",NA,perennial
Triodia danthonioides,jul-nov,NA,perennial
Triodia desertorum,sep-dec,NA,perennial
Triodia dielsii,jul-sep,NA,perennial
Triodia epactia,all year,NA,perennial
Triodia fissura,NA,NA,perennial
Triodia fitzgeraldii,oct,NA,perennial
Triodia helmsii,jun-oct,NA,perennial
Triodia hubbardii,jul-jan,NA,perennial
Triodia inaequiloba,jul-sep,NA,perennial
Triodia integra,may-jun,NA,perennial
Triodia intermedia,dec-sep,NA,perennial
Triodia inutilis,mar-aug,NA,perennial
Triodia irritans,all year,NA,perennial
Triodia lanata,aug-nov,NA,perennial
Triodia lanigera,jan-oct,NA,perennial
Triodia latzii,dec-apr,NA,perennial
Triodia longiceps,all year,NA,perennial
Triodia longiloba,dec-jan,NA,perennial
Triodia longipalea,sep-feb,NA,perennial
Triodia marginata,all year,NA,perennial
Triodia melvillei,all year,NA,perennial
Triodia microstachya,jan-may,NA,perennial
Triodia mitchellii,all year,NA,perennial
Triodia molesta,mar-may,NA,perennial
Triodia pascoeana,jan-apr,NA,perennial
Triodia plectrachnoides,dec-jul,NA,perennial
Triodia plurinervata,may-oct,NA,perennial
Triodia procera,NA,NA,perennial
Triodia prona,mar,NA,perennial
Triodia pungens,all year,NA,perennial
Triodia racemigera,dec-may,NA,perennial
Triodia radonensis,jun,NA,perennial
Triodia rigidissima,sep-jan,NA,perennial
Triodia roscida,apr-aug,NA,perennial
Triodia salina,jan-apr,NA,perennial
Triodia scariosa,jul-apr,NA,perennial
Triodia schinzii,jan-oct,NA,perennial
Triodia secunda,mar-sep,NA,perennial
Triodia spicata,jan-nov,NA,perennial
Triodia stenostachya,feb-may,NA,perennial
Triodia tomentosa,jul-nov,NA,perennial
Triodia triaristata,dec-oct,NA,perennial
Triodia triticoides,jun-jul,NA,perennial
Triodia uniaristata,feb-mar,NA,perennial
Triodia vella,sep,NA,perennial
Triodia wiseana,all year,NA,perennial
Tripogon loliiformis,NA,NA,annual/perennial
Triraphis mollis,all year,NA,perennial
Trisetum spicatum,jan-mar,NA,perennial
Trisetum spicatum subsp. australiense,jan-mar,NA,perennial
Uranthoecium truncatum,mar-jun,NA,annual
Urochloa argentea,apr,NA,annual
Urochloa atrisola,mar-may,NA,annual
Urochloa distachya,jan-aug,NA,annual
Urochloa foliosa,nov-jun,NA,perennial
Urochloa gilesii,dec-may,NA,annual
Urochloa gilesii var. gilesii,dec-may,NA,annual
Urochloa gilesii var. nothochthona,dec-may,NA,annual
Urochloa holosericea,NA,NA,annual
Urochloa holosericea subsp. holosericea,NA,NA,annual
Urochloa holosericea subsp. velutina,NA,NA,annual
Urochloa kurzii,may,NA,annual
Urochloa occidentalis,feb-oct,NA,annual
Urochloa occidentalis var. ciliata,feb-oct,NA,annual
Urochloa piligera,all year,NA,annual
Urochloa polyphylla,feb-aug,NA,annual
Urochloa praetervisa,dec-jun,NA,annual
Urochloa pubigera,jan-jun,NA,annual
Urochloa reptans,jan-aug,NA,annual
Urochloa subquadripara,jun-jul,NA,annual/perennial
Urochloa whiteana,dec-may,NA,annual
Walwhalleya proluta,oct-may,NA,perennial
Walwhalleya pungens,oct,NA,perennial
Walwhalleya subxerophila,nov-jun,NA,perennial
Whiteochloa airoides,all year,NA,perennial
Whiteochloa biciliata,mar-aug,NA,annual
Whiteochloa capillipes,feb-jun,NA,annual/perennial
Whiteochloa cymbiformis,feb-jul,NA,annual/perennial
Whiteochloa multiciliata,jan-apr,NA,annual
Whiteochloa semitonsa,feb-jul,NA,annual
Xerochloa barbata,feb-jun,NA,annual/perennial
Xerochloa imberbis,feb-sep,NA,perennial
Yakirra australiensis,NA,NA,annual/perennial
Yakirra australiensis var. intermedia,NA,NA,annual/perennial
Yakirra majuscula,feb-apr,NA,annual/perennial
Yakirra muelleri,apr-jul,NA,annual
Yakirra nulla,feb-may,NA,annual/perennial
Yakirra pauciflora,feb-jun,NA,annual
Yakirra websteri,NA,NA,perennial
Zoysia macrantha,NA,NA,perennial
Zoysia macrantha subsp. macrantha,NA,NA,perennial
Zoysia macrantha subsp. walshii,NA,NA,perennial
Zoysia matrella,NA,NA,perennial
Zygochloa paradoxa,mar-sep,NA,perennial
