Family,Species,Habitats,Gill category,Primary juvenile period,Secondary juvenile period,Growth form,Site,not_in_Clarke_2015,seed_storage_location,resprouting_capacity,regen_strategy
Fabaceae-Faboideae,Podolobium ilicifolium,"DSF, GW, WSF",IV,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Faboideae,Pultanaea tarik,"WSF, DSF",II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea campbellii,GW,IV,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Fabaceae-Faboideae,Pultenaea daphnoides,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea dentata,WH,II,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea foliolosa,DSF,V,7,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Pultenaea sp. Girraween,WH,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Pultenaea linophylla,"DSF, GW",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea microphylla,GW,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Pultenaea polifolia,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea pycnocephala,"DSF, RO",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Pultenaea retusa,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Sphaerolobium vimineum,WH,V,NA,1,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Zornia dyctiocarpa var. dyctiocarpa,"GW, DSF",V,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia adunca,"RO, DSF",II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia barringtonensis,DSF,IV,NA,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia beadleana,RO,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia betchei,DSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia binervata,WSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia blakei subsp. diphylla,WSF,II,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia brownii,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia brunioides subsp. brunioides,DSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia burbidgeae,DSF,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia buxifolia subsp. pubiflora,DSF,V,5,2,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia dealbata,"WSF, DSF, GW",II,5,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia diphylla,RF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia falciformis,"RO, DSF, WSF, GW",IV,NA,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia filicifolia,"WSF, DSF",IV,5,5,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia fimbriata,"GW, DSF",II,4,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia floribunda,WSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia granitica,RO,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia gunnii,"DSF, GW",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia hispidula,"RO, DSF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia implexa,"DSF, GW",IV,NA,5,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia irrorata subsp. irrorata,WSF,II,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia juncifolia subsp. juncifolia,DSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia latisepala,RO,II,6,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia leptoclada,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia longifolia subsp. longifolia,"DSF, WSF",II,6,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia macnuttiana,DSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia maidenii,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia melanoxylon,"RF, WSF",IV,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia mitchellii,DSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia myrtifolia,"DSF, WSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia neriifolia,"RO, DSF, GW",IV,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia nova-anglica ms,"RO, DSF, WSF, GW",IV,NA,4,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Fabaceae-Mimosoideae,Acacia obtusifolia,"DSF, WSF",V,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia penninervis var. penninervis,DSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia pruinosa,DSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia pycnostachya,"RO, DSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia rubida,DSF,II,4,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia suaveolens,DSF,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia terminalis,DSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia torringtonensis,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia triptera,"RO, DSF",II,8,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia ulicifolia,"RO, DSF, GW, WSF",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia venulosa,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia venulosa (obligate seeding pop.),"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia viscidula,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Mimosoideae,Acacia viscidula,"RO, DSF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Mimosoideae,Acacia williamsiana,RO,IV,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Goodeniaceae,Goodenia ovata,WSF,II,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Xanthorrhoeacae,Gietonoplesium cymosum,WSF,IV,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Lamiaceae,Chloanthes parviflora,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Lamiaceae,Prostanthera incisa,WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Prostanthera lasianthos,WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Prostanthera nivea,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Prostanthera nivea var. nivea,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Prostanthera 'ovalifolia',WSF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Lamiaceae,Prostanthera saxicola,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Prostanthera scutellarioides (Carrai form),WH,V,NA,1,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lamiaceae,Prostanthera scutellarioides (Gibraltar Range form),DSF,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lamiaceae,Prostanthera sp. aff. howelliae,DSF,V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lamiaceae,Prostanthera teretifolia,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Lamiaceae,Westringia amabilis,DSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Lamiaceae,Westringia eremicola,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Lauraceae,Cinnamomum oliveri,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Cryptocarya foveolata,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Cryptocarya glaucescens,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Cryptocarya meisneriana,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Cryptocarya rigida,"RF, WSF",V,NA,6,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Endiandra muelleri,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Endiandra sieberi,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Lauraceae,Litsea reticulata,RF,II,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asparagaceae,Eustrephus latifolius,WSF,IV,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Loganiaceae,Logania albiflora,WSF,II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Loganiaceae,"Logania sp. aff. albiflora (narrow leaves, rocky habitat)",DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Malvaceae,Brachychiton populneus subsp. populneus,GW,V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Malvaceae,Commersonia amystia,RO,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Malvaceae,Commersonia breviseta,RO,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Malvaceae,Keraudrenia hillii var. hillii,RO,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Malvaceae,Lasiopetalum macrophyllum,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Meliaceae,Dysoxylum fraserianum,RF,V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Meliaceae,Synoum glandulosum,"WSF, RF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Menispermaceae,Sarcopetalum harveyanum,"WSF, RF",V,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Monimiaceae,Hedycarya angustifolia,"WSF, RF",V,NA,6,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Monimiaceae,Palmeria scandens,RF,VI,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,stem_buds
Monimiaceae,Wilkiea heugeliana,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrsinaceae,Myrsine howittiana,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrsinaceae,Myrsine variabilis,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Acmena smithii,"RF, WSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Archirhodomyrtus beckleri,"RF, WSF",V,NA,6,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Baeckea omissa,WH,V,4,1,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Calytrix tetragona,RO,II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Myrtaceae,Eucalyptus acaciiformis,DSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Eucalyptus brunnea,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus caliginosa,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus cameronii,WSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus campanulata,WSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus codonocarpa,RO,V,NA,5,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Eucalyptus laevopinea,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus ligustrina,DSF,VI,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus microcorys,WSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus nobilis,WSF,II,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Myrtaceae,Eucalyptus notabilis,"WSF, DSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus obliqua,"WSF, DSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus olida,DSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Eucalyptus oreades,DSF,I,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Myrtaceae,Eucalyptus prava,RO,V,NA,5,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Eucalyptus pyrocarpa,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus radiata subsp. sejuncta,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus saligna,WSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Eucalyptus williamsiana,DSF,VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Harmogia densifolia,RO,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Homoranthus biflorus,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Myrtaceae,Homoranthus binghiensis,RO,II,9,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Myrtaceae,Homoranthus croftianus,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Myrtaceae,Homoranthus lunatus,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Myrtaceae,Kardomia odontocalyx,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Myrtaceae,Kunzea bracteolata (obligate seeder pop.),RO,I,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,canopy,fire_killed,NA
Myrtaceae,Kunzea bracteolata (resprouter pop.),RO,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Kunzea obovata,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Myrtaceae,Kunzea opposita,RO,I,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,canopy,fire_killed,NA
Myrtaceae,Kunzea parvifolia,"DSF, GW",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Myrtaceae,Leptospermum arachnoides,WH,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum brevipes,"RO, DSF, GW",V,NA,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum divaricatum,"RO, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum gregarium,WH,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum minutifolium,WH,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum novae-angliae,"RO, DSF",V,8,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum petersonii,"RO, DSF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum polygalifolium subsp. montanum,WSF,V,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum polygalifolium subsp. transmontanum,"DSF, WSF",V,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Leptospermum trinervium,DSF,VI,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Lophostemon confertus,"RF, WSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Myrtaceae,Melaleuca linearis,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca pallida,WH,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca paludicola,WH,V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca pityoides,WH,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca sp nov./comboynensis,RO,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca sp. aff. comboynensis ('Big Red'),RO,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca sp. aff. flavovirens (Torrington),DSF,V,10,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Melaleuca williamsii,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Myrtaceae,Micromyrtus sessilis,"RO, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Myrtaceae,Rhodamnia rubescens,"RF, WSF",IV,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Olacaceae,Olax stricta,"DSF, RO",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Oleaceae,Notelaea linearis,"WSF, RF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Oleaceae,Notelaea microcarpa var. microcrpa,"WSF, DSF, GW",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Oleaceae,Notelaea sp. A,"WSF, DSF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Oleaceae,Notelaea venosa,"WSF, RF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Phyllanthaceae,Breynia oblongifolia,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Phyllanthaceae,Phyllanthus gunnii,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Phyllanthaceae,Phyllanthus subcrenulatus,GW,V,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Phyllanthaceae,Phyllanthus virgatus,DSF,V,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Phyllanthaceae,Synostemon hirtellus,DSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Picrodendraceae,Pseudanthus pauciflorus,RO,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Pittosporaceae,Billardiera scandens,"DSF, WSF, GW",V,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Pittosporaceae,Bursaria spinosa subsp. spinosa,GW,V,NA,5,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Pittosporaceae,Hymenosporum flavum,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Pittosporaceae,Pittosporum multiflorum,"RF, WSF",IV,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Pittosporaceae,Pittosporum revolutum,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Pittosporaceae,Pittosporum spinescens,"RF, WSF",IV,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Pittosporaceae,Pittosporum undulatum,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Pittosporaceae,Rhytidosporum diosmoides,"DSF, GW",V,NA,3,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Pittosporaceae,Rhytidosporum procumbens,GW,V,5,3,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Polygalaceae,Comesperma defoliatum,WH,V,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
