Family,taxon_name,scraped_name,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%),Location,aligned_name,suggested_name,aligned_reason,taxonomic_status
Celastraceae,Elaeodendron melanocarpum,Elaeodendron melanocarpum,ae,stree,6,7,0,0,5,8,0,28,"Southeast Queensland, northern dry rainforests",Elaeodendron melanocarpum,Elaeodendron melanocarpum [alternative possible names: Elaeodendron curtipendulum (pro parte misapplied)],Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Hedraianthera porphyropetala,Hedraianthera porphyropetala,ae,stree,4,4,0,13,14,18,0,5,"Southeast Queensland, drier coastal lowland subtropical rainforests",Hedraianthera porphyropetala,Hedraianthera porphyropetala,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Denhamia bilocularis,Maytenus  bilocularis,ae,stree,5,3,0,0,10,12,49,15,"Southeast Queensland, southern inland dry rainforests",Maytenus bilocularis,Denhamia bilocularis,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Denhamia disperma,Maytenus  disperma,ae,trees,5,4.5,0,0,5,17,54,38,"Southeast Queensland, southern inland dry rainforests",Maytenus disperma,Denhamia disperma,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Pleurostylia opposita,Pleurostylia  opposita,ae,stree,6,3,0,0,0,8,8,55,"Southeast Queensland, northern dry rainforests",Pleurostylia opposita,Pleurostylia opposita,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Siphonodon australis,Siphonodon australis,ae,trees,6,4.5,0,0,19,43,60,63,"Southeast Queensland, northern dry rainforests",Siphonodon australis,Siphonodon australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Combretaceae,Macropteranthes leiocaulis,Macropteranthes leiocaulis,wa,stree,6,NA,0,0,0,0,0,3,"Southeast Queensland, northern dry rainforests",Macropteranthes leiocaulis,Macropteranthes leiocaulis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Combretaceae,Terminalia porphyrocarpa,Terminalia  porphyrocarpa,ae,trees,6,5,0,0,0,0,0,18,"Southeast Queensland, northern dry rainforests",Terminalia porphyrocarpa,Terminalia porphyrocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cowocamaceae,Corynocarpus rupestris subsp. arborescens,Corynocarpus rupestris subsp. arborescens,ae,stree,6,25,0,0,5,0,2,8,"Southeast Queensland, northern dry rainforests",Corynocarpus rupestris subsp. arborescens,Corynocarpus rupestris subsp. arborescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cucurbitaceae,Sicyos australis,Sicyos australis,un,sclim,3,4,0,4,5,3,4,0,"Southeast Queensland, humid subtropical rainforests",Sicyos australis,Sicyos australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cucurbitaceae,Trichosanthes subvelutina,Trichosanthes subvelutina,ae,tclim,2,6,0,4,0,3,1,0,"Southeast Queensland, cool humid subtropical rainforests",Trichosanthes subvelutina,Trichosanthes subvelutina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Ackama paniculosa,Caldcluvia paniculosa,wa,trees,2,1,0,48,14,2,0,0,"Southeast Queensland, cool humid subtropical rainforests",Caldcluvia paniculosa,Ackama paniculosa,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Callicoma serratifolia,Callicoma  serratifolia,wa,trees,3,1.5,0,0,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Callicoma serratifolia,Callicoma serratifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Ceratopetalum apetalum,Ceratopetalum apetalum,wa,trees,2,2.5,0,9,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Ceratopetalum apetalum,Ceratopetalum apetalum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Karrabina benthamiana,Geissois  benthamii,wa,trees,2,2,0,22,5,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Geissois benthamii,Karrabina benthamiana,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Pseudoweinmannia lachnocarpa,Pseudoweinmannia lachnocarpa,wa,trees,2,1,0,48,29,40,2,0,"Southeast Queensland, cool humid subtropical rainforests",Pseudoweinmannia lachnocarpa,Pseudoweinmannia lachnocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Cunoniaceae,Schizomeria ovata,Schizomeria ovata,ae,trees,1,6,64,9,48,3,0,0,"Southeast Queensland, warm humid subtropical rainforests",Schizomeria ovata,Schizomeria ovata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Dilleniace,Hibbertia scandens,Hibbertia scandens,ae,tclim,1,NA,36,9,0,2,0,0,"Southeast Queensland, warm humid subtropical rainforests",Hibbertia scandens,Hibbertia scandens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Dioscoraceae,Dioscorea transversa,Dioscorea transversa,wa,sclim,wide,3,64,22,86,78,69,70,"Southeast Queensland, subtropical rainforests - widespread",Dioscorea transversa,Dioscorea transversa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros australis,Diospyros australis,ae,stree,6,7,0,9,43,60,40,65,"Southeast Queensland, northern dry rainforests",Diospyros australis,Diospyros australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros yandina,Diospyros ellipticifolia var. ebenus,ae,stree,3,4,9,0,19,3,0,0,"Southeast Queensland, humid subtropical rainforests",Diospyros ellipticifolia var. ebenus,Diospyros yandina,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros fasciculosa,Diospyros fasciculosa,ae,trees,wide,6,18,0,43,52,28,55,"Southeast Queensland, subtropical rainforests - widespread",Diospyros fasciculosa,Diospyros fasciculosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros geminata,Diospyros geminata,ae,stree,6,3,0,0,0,50,74,85,"Southeast Queensland, northern dry rainforests",Diospyros geminata,Diospyros geminata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros humilis,Diospyros humilis,ae,stree,6,3,0,0,0,0,0,30,"Southeast Queensland, northern dry rainforests",Diospyros humilis,Diospyros humilis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Ebenaceae,Diospyros pentamera,Diospyros pentamera,ae,trees,wide,6,82,78,90,75,20,10,"Southeast Queensland, subtropical rainforests - widespread",Diospyros pentamera,Diospyros pentamera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeagnaceae,Elaeagnus triflora,Elaeagnus trijlora,ae,sclim,3,8,0,4,19,8,0,0,"Southeast Queensland, humid subtropical rainforests",Elaeagnus triflora,Elaeagnus triflora,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Elaeocarpus eumundi,Elaeocarpus eumundi,ae,trees,1,8,45,4,29,0,0,0,"Southeast Queensland, warm humid subtropical rainforests",Elaeocarpus eumundi,Elaeocarpus eumundi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Elaeocarpus grandis,Elaeocarpus grandis,ae,trees,3,6,27,22,67,5,0,3,"Southeast Queensland, humid subtropical rainforests",Elaeocarpus grandis,Elaeocarpus grandis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Elaeocarpus kirtonii,Elaeocarpus kirtonii,ae,trees,3,5,0,17,19,7,1,0,"Southeast Queensland, humid subtropical rainforests",Elaeocarpus kirtonii,Elaeocarpus kirtonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Elaeocarpus obovatus,Elaeocarpus obovatus,ae,trees,wide,4.5,36,0,62,35,34,45,"Southeast Queensland, subtropical rainforests - widespread",Elaeocarpus obovatus,Elaeocarpus obovatus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Sloanea australis,Sloanea australis,ae,trees,2,6,0,48,33,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Sloanea australis,Sloanea australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Sloanea macbrydei,Sloanea macbrydei,ae,trees,2,7,0,4,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Sloanea macbrydei,Sloanea macbrydei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Elaeocarpaceae,Sloanea woollsii,Sloanea woodsii,ae,trees,2,4,0,74,48,3,0,0,"Southeast Queensland, cool humid subtropical rainforests",Sloanea woollsii,Sloanea woollsii,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Erythroxylaceae,Erythroxylum sp. (Splityard Creek),Erythroxylum sp. (Splityard Creek),ae,stree,6,3,0,0,0,2,36,68,"Southeast Queensland, northern dry rainforests",Erythroxylum sp. (Splityard Creek),Erythroxylum sp. (Splityard Creek),Exact match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2025-02-25),unplaced
Euphorbiaceae,Acalypha capillipes,Acalypha capillipes,un,stree,5,1,0,0,10,8,47,18,"Southeast Queensland, southern inland dry rainforests",Acalypha capillipes,Acalypha capillipes,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Acalypha eremorum,Acalypha eremorum,un,stree,6,1.5,0,0,0,8,27,53,"Southeast Queensland, northern dry rainforests",Acalypha eremorum,Acalypha eremorum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Actephila mooreana,Actephila lindleyi,un,stree,wide,4,0,30,29,50,12,33,"Southeast Queensland, subtropical rainforests - widespread",Actephila lindleyi,Actephila mooreana,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Alchornea ilicifolia,Alchornea ilicifolia,un,stree,6,4,0,0,52,72,81,90,"Southeast Queensland, northern dry rainforests",Alchornea ilicifolia,Alchornea ilicifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Alchornea thozetiana,Alchorneathozetiana,un,stree,6,4,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Alchornea thozetiana,Alchornea thozetiana,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Baloghia inophylla,Baloghia inophylla,un,trees,wide,6,0,39,76,62,59,50,"Southeast Queensland, subtropical rainforests - widespread",Baloghia inophylla,Baloghia inophylla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Breynia oblongifolia,Breynia oblongifolia,ae,stree,wide,2.5,45,4,81,57,74,80,"Southeast Queensland, subtropical rainforests - widespread",Breynia oblongifolia,Breynia oblongifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Bridelia exaltata,Bridelia exaltata,ae,trees,5,5,0,0,10,30,35,23,"Southeast Queensland, southern inland dry rainforests",Bridelia exaltata,Bridelia exaltata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Bridelia leichhardtii,Bridelia leichhardtii,ae,trees,6,2.5,0,0,0,8,56,65,"Southeast Queensland, northern dry rainforests",Bridelia leichhardtii,Bridelia leichhardtii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Claoxylon australe,Claoxylon australe,eu,stree,wide,2.5,18,13,57,50,48,30,"Southeast Queensland, subtropical rainforests - widespread",Claoxylon australe,Claoxylon australe,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Claoxylon tenerifolium,Claoxylon  tenerifolium,NA,stree,6,2,0,0,0,0,2,38,"Southeast Queensland, northern dry rainforests",Claoxylon tenerifolium,Claoxylon tenerifolium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Cleistanthus cunninghamii,Cleistanthus cunninghamii,un,stree,wide,3,0,26,43,83,74,63,"Southeast Queensland, subtropical rainforests - widespread",Cleistanthus cunninghamii,Cleistanthus cunninghamii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Croton acronychioides,Croton acronychioides,un,stree,6,4,0,4,29,47,49,63,"Southeast Queensland, northern dry rainforests",Croton acronychioides,Croton acronychioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Croton insularis,Croton insularis,un,stree,5,3,0,0,14,20,81,78,"Southeast Queensland, southern inland dry rainforests",Croton insularis,Croton insularis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Croton phebalioides,Croton phebalioides,un,stree,6,3,0,0,0,2,23,40,"Southeast Queensland, northern dry rainforests",Croton phebalioides,Croton phebalioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Croton stigmatosus,Croton stigmatosus,un,stree,6,3,0,0,0,3,2,5,"Southeast Queensland, northern dry rainforests",Croton stigmatosus,Croton stigmatosus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Dissiliaria baloghioides,Dissiliaria baloghioides,un,trees,4,4,0,0,14,17,1,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Dissiliaria baloghioides,Dissiliaria baloghioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Dissiliaria muelleri,Dissiliaria muelleri,un,stree,6,3,0,0,0,2,0,3,"Southeast Queensland, northern dry rainforests",Dissiliaria muelleri,Dissiliaria muelleri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Drypetes deplanchei,Drypetes deplanchei,ae,trees,wide,8,0,17,71,87,94,98,"Southeast Queensland, subtropical rainforests - widespread",Drypetes deplanchei,Drypetes deplanchei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Excoecaria dallachyana,Excoecaria dallachyana,un,trees,5,4.5,0,0,5,35,63,43,"Southeast Queensland, southern inland dry rainforests",Excoecaria dallachyana,Excoecaria dallachyana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Flueggea leucopyrus,Flueggea leucopyrus,ae,stree,6,2.5,0,0,0,0,0,23,"Southeast Queensland, northern dry rainforests",Flueggea leucopyrus,Flueggea leucopyrus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Fontainea rostrata,Fontainea rostrata,ae,stree,3,15,0,0,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Fontainea rostrata,Fontainea rostrata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Fontainea venosa,Fontainea venosa,ae,stree,4,15,0,0,0,3,0,3,"Southeast Queensland, drier coastal lowland subtropical rainforests",Fontainea venosa,Fontainea venosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Glochidion ferdinandi,Glochidion ferdinandi,ae,trees,3,4.5,18,0,62,38,9,10,"Southeast Queensland, humid subtropical rainforests",Glochidion ferdinandi,Glochidion ferdinandi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Homalanthus populifolius,Homalanthus nutans,ae,stree,3,4,9,22,71,20,9,0,"Southeast Queensland, humid subtropical rainforests",Homalanthus nutans,Homalanthus populifolius,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Macaranga tanarius,Macaranga tanarius,un,stree,3,4,0,0,33,12,0,8,"Southeast Queensland, humid subtropical rainforests",Macaranga tanarius,Macaranga tanarius,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Mallotus claoxyloides,Mallotus claoxyloides,un,stree,5,4,0,0,24,55,65,53,"Southeast Queensland, southern inland dry rainforests",Mallotus claoxyloides,Mallotus claoxyloides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Mallotus discolor,Mallotus discolor,eu,trees,6,3,0,0,10,20,9,30,"Southeast Queensland, northern dry rainforests",Mallotus discolor,Mallotus discolor,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Mallotus megadontus,Mallotus megadontus,NA,stree,3,3,0,0,14,0,0,0,"Southeast Queensland, humid subtropical rainforests",Mallotus megadontus,Mallotus megadontus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Mallotus philippensis,Mallotus philippensis,eu,trees,wide,3,0,22,62,80,80,88,"Southeast Queensland, subtropical rainforests - widespread",Mallotus philippensis,Mallotus philippensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Mallotus repandus,Mallotus repandus,eu,stree,3,NA,0,0,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Mallotus repandus,Mallotus repandus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Phyllanthus gunnii,Phyllanthus  gasstroemii,un,stree,4,1,0,0,0,7,6,3,"Southeast Queensland, drier coastal lowland subtropical rainforests",Phyllanthus gasstroemii,Phyllanthus gunnii,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Phyllanthus microcladus,Phyllanthus  pusillifolius,un,stree,6,1,0,0,10,5,14,15,"Southeast Queensland, northern dry rainforests",Phyllanthus pusillifolius,Phyllanthus microcladus,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Phyllanthus sauropodoides,Phyllanthus sauropodoides,un,stree,4,NA,0,0,5,10,0,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Phyllanthus sauropodoides,Phyllanthus sauropodoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Phyllanthus sp. Bulburin (P.I.Forster+ PIF16034),Phyllanthus  sp. (Bu1burin),un,stree,4,1.5,0,0,0,7,0,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Phyllanthus sp. Bulburin (P.I.Forster+ PIF16034),Phyllanthus sp. Bulburin (P.I.Forster+ PIF16034),Fuzzy match of the first two words of the taxon name to an APC-accepted canonical name (2025-02-25),accepted
Euphorbiaceae,Phyllanthus subcrenulatus,Phyllanthus subcrenulatus,un,stree,5,2,0,0,0,8,19,13,"Southeast Queensland, southern inland dry rainforests",Phyllanthus subcrenulatus,Phyllanthus subcrenulatus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Ricinocarpos ledifolius,Ricinocarpos ledifolius,un,stree,6,1,0,0,0,0,6,8,"Southeast Queensland, northern dry rainforests",Ricinocarpos ledifolius,Ricinocarpos ledifolius,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Euphorbiaceae,Tragia novae-hollandiae,Tragia novae-hollandiae,un,sclim,6,2,0,0,48,52,59,68,"Southeast Queensland, northern dry rainforests",Tragia novae-hollandiae,Tragia novae-hollandiae,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Eupomatiaceae,Eupomatia bennettii,Eupomatia bennettii,ae,stree,3,2,0,39,52,20,2,0,"Southeast Queensland, humid subtropical rainforests",Eupomatia bennettii,Eupomatia bennettii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Eupomatiaceae,Eupomatia laurina,Eupomatia laurina,ae,stree,3,2,73,39,86,22,1,0,"Southeast Queensland, humid subtropical rainforests",Eupomatia laurina,Eupomatia laurina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,un,tclim,5,5,0,4,62,82,82,75,"Southeast Queensland, southern inland dry rainforests",Austrosteenisia blackii,Austrosteenisia blackii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Austrosteenisia glabristyla,Austrosteenisia glabristyla,un,tclim,2,5,0,57,10,2,0,0,"Southeast Queensland, cool humid subtropical rainforests",Austrosteenisia glabristyla,Austrosteenisia glabristyla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Austrocallerya australis,Callerya australis,ae,tclim,3,20,0,0,10,0,0,0,"Southeast Queensland, humid subtropical rainforests",Callerya australis,Austrocallerya australis,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Austrocallerya megasperma,Callerya megasperma,ae,tclim,1,25,82,30,52,10,0,0,"Southeast Queensland, warm humid subtropical rainforests",Callerya megasperma,Austrocallerya megasperma,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Castanospermum australe,Castanospennum australe,un,trees,3,40,0,13,48,22,13,0,"Southeast Queensland, humid subtropical rainforests",Castanospermum australe,Castanospermum australe,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Brachypterum involutum,Derris involuta,un,tclim,3,5,0,26,52,43,39,8,"Southeast Queensland, humid subtropical rainforests",Derris involuta,Brachypterum involutum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Erythrina numerosa,Erythrina  sp. (Croftby P.l.Forster+PIF6209),eu,trees,5,5,0,0,0,2,22,0,"Southeast Queensland, southern inland dry rainforests",Erythrina sp. (Croftby P.I.Forster PIF6209),Erythrina numerosa,Exact match of the first two words of the taxon name to an APC-known canonical name (2025-02-25),accepted
Fabaceae,Mucuna gigantea,Mucuna gigantea,ae,tclim,5,22,0,0,0,0,1,0,"Southeast Queensland, southern inland dry rainforests",Mucuna gigantea,Mucuna gigantea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fabaceae,Rhynchosia acuminatissima,Rhynchosia acuminatissima,un,sclim,4,4,0,0,0,3,2,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Rhynchosia acuminatissima,Rhynchosia acuminatissima,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Fagaceae,Nothofagus moorei,Nothofagus moorei,wa,trees,2,3,0,4,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Nothofagus moorei,Nothofagus moorei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flacourtiaceae,Berberidopsis beckleri,Berberidopsis beckleri,ae,sclim,3,2,0,4,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Berberidopsis beckleri,Berberidopsis beckleri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flacourtiaceae,Casearia multinervosa,Casearia multinenosa,ae,stree,5,1.5,0,0,24,38,78,48,"Southeast Queensland, southern inland dry rainforests",Casearia multinervosa,Casearia multinervosa,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flacourtiaceae,Homalium alnifolium,Homalium alnifolium,un,stree,6,1,0,0,5,5,16,20,"Southeast Queensland, northern dry rainforests",Homalium alnifolium,Homalium alnifolium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flacourtiaceae,Scolopia braunii,Scolopia braunii,ae,trees,wide,3,36,43,52,30,16,10,"Southeast Queensland, subtropical rainforests - widespread",Scolopia braunii,Scolopia braunii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flacourtiaceae,Xylosma terrae-reginae,Xylosma terrae-reginae,ae,stree,6,3,0,0,14,5,13,23,"Southeast Queensland, northern dry rainforests",Xylosma terrae-reginae,Xylosma terrae-reginae,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Flagellariaceae,Flagellaria indica,Flagellaria indica,ae,tclim,1,3,82,48,52,25,2,8,"Southeast Queensland, warm humid subtropical rainforests",Flagellaria indica,Flagellaria indica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Abrophyllum ornans,Abrophyllum ornans,ae,stree,3,1,0,0,33,2,0,3,"Southeast Queensland, humid subtropical rainforests",Abrophyllum ornans,Abrophyllum ornans,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Anopterus macleayanus,Anopterus macleayanus,wa,stree,2,5,0,9,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Anopterus macleayanus,Anopterus macleayanus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Argophyllum nullumense,Argophyllum nullumense,un,stree,3,0.5,0,4,5,2,0,0,"Southeast Queensland, humid subtropical rainforests",Argophyllum nullumense,Argophyllum nullumense,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Polyosma cunninghamii,Polyosma cunninghamii,ae,trees,2,9,0,39,29,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Polyosma cunninghamii,Polyosma cunninghamii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Quintinia sieberi,Quintinia sieberi,un,trees,2,1,0,4,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Quintinia sieberi,Quintinia sieberi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Grossulariaceae,Quintinia verdonii,Quintinia verdonii,un,trees,3,0.5,0,9,14,0,0,0,"Southeast Queensland, humid subtropical rainforests",Quintinia verdonii,Quintinia verdonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
