floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,58,Amaranthaceae,,Deeringia,arborescens,Deeringia altissima,vine,,,July,December,berry,November,January,,,,,,3,4,,,,,15,,4,rainforest,,,,,,,,1,,,,,,,,,,,,,0,750,750,2,58,Bloomfield River,15.91666667,145.35,9,150,"Macleay River, NSW",32.15,152.2333333,,New Guinea & Indonesia,5,,16.2,27.2,10.9,15,15,32,32,16,27
,59,Amaryllidaceae,,Crinum,pedunculatum,Crinum taitense var. queenslandcum,lily,2,,October,February,capsule,December,February,,,,30,50,25,50,22,40,,,15,,4,dry rainforest/coastal,,,,,,1,1,,,1,,1,1,,,,,,,,0,0,0,1,18,Weipa,12.61666667,141.8666667,8,150,"Jervis Bay, NSW",35.05,150.7333333,,"New Guinea, Malesia & Pacific Islands",-10,,22.4,45.1,22.6,12,-10,29,29,16,39
,60,Amaryllidaceae,,Proiphys,alba,"Calostemma alba, Calostemma scott-sellickiana, Eurycles alba",lily,0.7,,November,February,,,,,,,,,,,,,,,15,,2,dry rainforest,,,,,,1,,,,,,1,,,,,1,,,,0,200,200,1,22,Iron Range,12.76666667,143.3166667,1,51,Laura,15.55,144.4333333,,,,,2.8,2.8,0,12,12,15,15,2,2
,61,Amaryllidaceae,,Proiphys,amboinensis,Eurycles amboinensis,lily,1,,December,April,capsule,January,May,,,,25,30,15,30,10,12,,,16,,4,rainforest/dry rainforest/coastal,,,,,,1,1,1,,1,,1,,,1,1,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,5,124,Paluma,19,146.2,,New Guinea & Indonesia,5,,9.7,14,4.3,9,9,19,19,9,14
,62,Amaryllidaceae,,Proiphys,infundibularis,,lily,0.5,,October,January,capsule,October,February,,,,20,35,10,20,10,12,,,16,,2,dry rainforest,,,,,,1,,,,,,,,1,,,,,,,100,300,200,5,128,Hervey Range,19.6,146.55,5,126,Home Hill near Townsville,19.65,147.4,Magnetic Island,,19.13,,0,0.5,0.5,19,19,19,19,0,0.5
,63,Anacardiaceae,,Belpharocarya,involucrigera,,tree,40,,August,April,nutlet,August,April,Double-eyed Fig Parrot & King Parrot,double-eyed_fig_parrot king_parrot,birds,7,10,4,5,,,,,16,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,3,92,Lake Eacham,17.28333333,145.6333333,,,,,8,8,0,9,9,17,17,8,8
,64,Anacardiaceae,,Buchanania,arborescens,,tree,25,,July,October,drupe,October,January,"fruit-doves, Metallic Starlings & Fawn-breasted Bowerbirds",fruit_doves metallic_starling fawn-breasted_bowerbird,birds,9,12,10,10,,,,,17,,4,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,,,,,,,,0,450,450,1,1,Torres Strait Islands,9.3,0,4,121,Ingham,18.65,146.15,NT & WA,"Solomon Islands, New Guinea, Malesia & SE Asia",-10,,9.4,28.7,19.3,9,-10,18,18,9,28
,65,Anacardiaceae,,Buchanania,mangoides,,tree,13,,September,September,drupe,September,December,,,,7,7,7,7,,,,,17,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,0,0,2,66,Snapper Island near Daintree River,16.28333333,145.5,3,116,Bedarra Island near Cardwell,18,146.1333333,,,,,1.7,1.7,0,16,16,18,18,1,1
7,66,Anacardiaceae,,Euroschinus,falcata,,tree,30,0.9,September,November,drupe,November,February,many bird species,many_birds,birds,7,9,7,9,,,"36, 38",65,17,,2,warm temperate/subtropical/tropical/dry/riverine rainforest,,,1,1,1,1,,1,,1,,1,,,,,1,,,,0,1080,1080,1,19,Pascoe River near Iron Range,12.48333333,143.2666667,10,150,"Jervis Bay, NSW",35.05,150.7333333,,,,,22.6,22.6,0,9,9,36,36,27,27
,67,Anacardiaceae,,Mangifera,indica,,tree,20,,July,October,drupe,December,January,many bird & mammal species,many_birds many_mammals,birds mammals,100,150,,,,,,,17,Introduced,,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,1,,,,,0,700,700,1,2,Cape York,10.68333333,142.5166667,8,150,NSW,29.5,0,,India - Burma area,,,18.8,18.8,0,10,10,29,29,18,18
