species_name,Sams,Zanne,Ilic,Metcalfe,Kooyman,,Zanne,Ilic,Metcalfe,Kooyman,,,,,,,,,,,
Garcinia gibbsiae,0.82,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Glochidion hylandii,0.66,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Gossia shepherdii,0.7,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Haplostichanthus johnsonii,0.62,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Oraniopsis appendiculata,0.17,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Beccariella brownlessiana,0.66,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Planchonella xylocarpa,0.58,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Pseuduvaria hylandii,0.58,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Rhodomyrtus trineura subsp. capensis,0.74,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Syzygium mulgraveanum,0.7,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Wilkiea cordata,0.68,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
