dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Elaeocarpus reticulatus,NA,Kooyman_2011_0251,plant_height,15,m,expert_max,NA,Elaeocarpus reticulatus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus ruminatus,NA,Kooyman_2011_0252,plant_height,30,m,expert_max,NA,Elaeocarpus ruminatus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus sedentarius,NA,Kooyman_2011_0253,plant_height,35,m,expert_max,NA,Elaeocarpus sedentarius,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus sericopetalus,NA,Kooyman_2011_0254,plant_height,20,m,expert_max,NA,Elaeocarpus sericopetalus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus stellaris,NA,Kooyman_2011_0255,plant_height,25,m,expert_max,NA,Elaeocarpus stellaris,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus thelmae,NA,Kooyman_2011_0256,plant_height,35,m,expert_max,NA,Elaeocarpus thelmae,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus williamsianus,NA,Kooyman_2011_0257,plant_height,20,m,expert_max,NA,Elaeocarpus williamsianus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus Windsor-Tableland,NA,Kooyman_2011_0258,plant_height,20,m,expert_max,NA,Elaeocarpus Windsor-Tableland,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Actephila mearsii,NA,Kooyman_2011_0259,plant_height,30,m,expert_max,NA,Peripentadenia mearsii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Sloanea australis subsp. parviflora,NA,Kooyman_2011_0260,plant_height,35,m,expert_max,NA,Sloanea australis-parviflora,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Sloanea macbrydei,NA,Kooyman_2011_0261,plant_height,35,m,expert_max,NA,Sloanea macbrydei,Sams_2017,NA,Sams_2017_225,plant_height,35,m,unknown,Sloenea macbriddii
Kooyman_2011,Sloanea woollsii,NA,Kooyman_2011_0262,plant_height,45,m,expert_max,NA,Sloanea woollsii,Sams_2017,NA,Sams_2017_041,plant_height,45,m,unknown,Sloenea woollsii
