Species,Date,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
W. nobilis,16/04/2009,Amb,640,6,4.684,0.02032,253.6,0.399137547,0.288,1.426,21.246,18.086,23.684,640.914,635.368,6.1752,6.5008,24.648,25.948,500.76,699
W. nobilis,16/04/2009,Amb,640,8,2.674,0.0167,367.6,0.575824619,0.269,1.616,23.06,19.192,25.588,641.682,638.386,5.7796,6.0896,20.652,21.76,500.7,699.4
W. nobilis,23/06/2009,Elv,400,405,1.3747,0.01893,153.7,0.551028862,0.4542,2.377,30.649,30.499,31.028,280.68,278.91,19.2436,19.7689,44.199,45.405,500.08,699.1
W. nobilis,23/06/2009,Elv,400,405,1.924,0.01697,204,0.514487385,0.3533,2.049,31.34,32.415,31.011,398.947,396.509,27.5696,27.9747,60.853,61.746,500.18,699
W. nobilis,23/06/2009,Elv,400,402,1.1065,0.03653,338.2,0.848880622,0.6867,1.86,31.44,32.56,31.01,400.034,398.407,29.4388,30.2244,64.612,66.335,500.27,700
W. nobilis,23/06/2009,Elv,400,407,3.111,0.03144,226.9,0.57244435,0.5914,1.86,31.45,32.33,31.01,400.316,396.37,28.9384,29.6153,63.491,64.976,500.2,699
W. nobilis,23/06/2009,Elv,400,403,3.708,0.03526,215.4,0.54521246,0.6816,1.91,31.48,32.665,31.01,399.766,395.076,29.2504,30.0302,64.041,65.748,500.2,699
W. nobilis,23/06/2009,Elv,400,401,2.038,0.02074,229.5,0.577455802,0.3946,1.87,31.476,32.515,31.01,399.979,397.434,29.5795,30.0233,64.767,65.739,500.2,699
W. nobilis,23/06/2009,Elv,640,504,6.148,0.03229,310,0.489875259,0.637,1.944,31.45,32.791,31.01,640.413,632.814,29.3417,30.0579,64.306,65.877,500.2,699
W. nobilis,23/06/2009,Elv,640,507,4.787,0.02202,269.4,0.425085194,0.4298,1.919,31.5,32.82,31.01,639.624,633.755,29.9482,30.4314,65.403,66.457,500.2,699
W. nobilis,23/06/2009,Elv,640,503,6.22,0.03467,326.2,0.515223576,0.741,2.111,31.18,32.07,31.01,640.879,633.123,25.6129,26.4495,56.943,58.802,500.18,700
W. nobilis,23/06/2009,Elv,640,501,4.656,0.02415,307.8,0.484436888,0.5267,2.15,31.27,32.247,31.01,641.163,635.376,26.0072,26.6017,57.531,58.845,500.16,701
W. nobilis,23/06/2009,Elv,640,509,1.603,0.01908,483.3,0.757253292,0.415,2.139,31.29,32.301,31.01,640.396,638.227,26.3846,26.853,58.295,59.33,500.18,700
W. nobilis,23/06/2009,Amb,640,6,13.01,0.07909,342.7,0.549625314,1.073,1.377,25.766,25.732,25.94,639.383,623.516,17.9607,19.181,54.666,58.381,500.12,701.1
W. nobilis,23/06/2009,Amb,640,10,6.417,0.03716,338.9,0.536374044,0.6245,1.684,25.808,25.567,25.954,639.733,631.835,15.1279,15.8406,45.92,48.084,500.18,699
W. nobilis,23/06/2009,Amb,640,5,5.649,0.03161,332.6,0.524714956,0.4931,1.564,25.36,23.944,25.961,640.804,633.892,13.4747,14.0386,41.998,43.756,500.2,699.7
W. nobilis,23/06/2009,Amb,640,8,9.329,0.04833,300.6,0.478516045,0.8912,1.857,25.776,25.717,25.956,639.658,628.192,13.4163,14.4351,40.79,43.887,500.17,699
W. nobilis,23/06/2009,Amb,640,1,6.744,0.04109,353,0.557696907,0.7177,1.756,25.597,24.839,25.963,641.305,632.96,12.9521,13.7726,39.792,42.315,500.22,699
W. nobilis,23/06/2009,Elv,280,310,3.567,0.05605,167.2,0.603816788,0.9137,1.65,26.14,26.412,26.036,281.41,276.905,16.7248,17.7825,49.979,53.14,500.48,699.2
W. nobilis,23/06/2009,Elv,280,306,2.323,0.05135,197.5,0.710927322,0.8792,1.724,29.633,27.987,31.157,280.833,277.806,19.3363,20.3515,47.12,49.592,500.51,700
W. nobilis,23/06/2009,Elv,280,310,3.297,0.05767,175.9,0.636037399,1.168,2.039,30.737,29.95,31.1,280.823,276.556,20.4014,21.7484,46.654,49.737,500.4,700
W. nobilis,23/06/2009,Elv,280,301,1.716,0.02221,146.8,0.526694067,0.4887,2.18,30.95,30.703,31.1,280.901,278.719,21.619,22.1821,48.842,50.115,500.45,700
W. nobilis,23/06/2009,Elv,280,302,2.388,0.03469,157.8,0.569715436,0.7551,2.161,31.14,31.567,31.1,280.042,276.98,23.6919,24.5606,52.944,54.886,500.45,700
W. nobilis,23/06/2009,Elv,280,308,2.289,0.02947,144.6,0.521773216,0.6236,2.1,31.22,31.739,31.1,280.033,277.131,24.9478,25.6643,55.494,57.089,500.44,699
W. nobilis,23/06/2009,Amb,280,208,3.01,0.03301,125,0.450658169,0.47,1.42,26.61,28.192,26.028,281.067,277.363,23.2507,23.7918,67.543,69.115,500.41,700
W. nobilis,23/06/2009,Amb,280,204,2.882,0.03005,116.7,0.421467561,0.4788,1.588,26.64,28.486,26.017,280.446,276.889,22.2543,22.806,64.508,66.108,500.43,700.5
W. nobilis,23/06/2009,Amb,280,209,3.246,0.03761,131.4,0.474832527,0.646,1.718,26.666,28.444,26.03,280.763,276.729,20.7047,21.4498,59.907,62.063,500.44,699
W. nobilis,23/06/2009,Amb,280,210,0.1564,0.03691,267,0.952662885,0.536,1.454,26.276,26.986,26.03,280.628,280.267,20.2936,20.9127,60.068,61.898,500.43,700
W. nobilis,23/06/2009,Amb,280,207,3.105,0.03858,140.7,0.508054659,0.668,1.73,26.612,28.495,26.023,280.817,276.938,20.6618,21.4325,59.94,62.175,500.41,699.2
W. nobilis,23/06/2009,Amb,280,205,2.786,0.02959,120.7,0.435109132,0.3993,1.348,26.189,26.592,26.03,280.817,277.401,20.6926,21.1536,61.541,62.911,500.4,699
W. nobilis,23/06/2009,Amb,400,105,3.174,0.03388,237.2,0.597579776,0.537,1.586,26.17,26.589,26.03,400.929,396.934,18.186,18.8072,54.139,55.986,500.42,699
W. nobilis,23/06/2009,Amb,400,103,4.915,0.03727,173.5,0.43913583,0.6534,1.754,26.298,27.151,26.03,401.193,395.094,17.5435,18.2996,51.821,54.057,500.45,699
W. nobilis,23/06/2009,Amb,400,109,4.095,0.03813,213.4,0.539986046,0.5973,1.573,25.63,24.837,26.039,400.214,395.195,14.8509,15.5324,45.623,47.719,500.5,699
W. nobilis,23/06/2009,Amb,400,102,3.58,0.02723,175,0.441517732,0.5378,1.97,26.209,26.909,26.03,400.832,396.36,15.0285,15.6529,44.606,46.457,500.43,699
W. nobilis,23/06/2009,Amb,400,101,3.082,0.02217,165.1,0.416597937,0.346,1.559,25.733,24.902,26.02,400.1,396.305,15.4079,15.8094,47.029,48.254,500.47,700.6
