species,germination,days_to_50%_germination,temperature_treatment,site_name
Pittosporum phylliraeoides,10,8,28,Alice Springs
Psoralea cinerea,35,3,28,Alice Springs
Malvastrum americanum ,55,4,28,Alice Springs
Panicum decompositum,50,2,28,Alice Springs
Portulaca filifolia,10,4,28,Alice Springs
Psoralea patens,75,4,28,Alice Springs
Pterocaulon sphacelatum,35,2,28,Alice Springs
Rumex vesicarius,100,2,28,Alice Springs
Salsola kali,55,1,28,Alice Springs
Sclerolaena diacantha ,25,1,28,Alice Springs
Rhynchelytrum repens,30,4,28,Alice Springs
Rutidosis helichrysoides,5,5,28,Alice Springs
Sclerolaena bicornis,80,4,28,Alice Springs
Senecio gregori,5,6,28,Alice Springs
Senecio magnificus,10,3,28,Alice Springs
Sida sp. 1,10,5,28,Alice Springs
Sisymbrium erysimoides,40,3,28,Alice Springs
Sporobulus actinocladus,20,5,28,Alice Springs
Sida spinosa,20,5,28,Alice Springs
Sida sp. 2,15,2,28,Alice Springs
Solanum quadriloculatum,45,5,28,Alice Springs
Sporobulus caroli,55,3,28,Alice Springs
Stenopetalum anfractum,5,9,28,Alice Springs
Swainsona canescens,100,2,28,Alice Springs
Trichodesma zeylanicum,25,1,28,Alice Springs
Triraphis mollis,5,4,28,Alice Springs
Steptoglossa adora,5,5,28,Alice Springs
Tragus australianus,55,1,28,Alice Springs
Tripogon loliiformis,70,2,28,Alice Springs
Ventilago viminalis,65,2,28,Alice Springs
Vittadina eremaea,0,0,28,Alice Springs
