taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Patersonia occidentalis,population,,Classon Park Leeming,proportion_flowers_set_fruit,6 (+/-1.79),,6,mean,%,SE,1.79,142,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,proportion_flowers_set_fruit,14 (+/-6.52),,14,mean,%,SE,6.52,160,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,proportion_flowers_set_fruit,48 (+/-3.54),,48,mean,%,SE,3.54,140,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,3 (+/-5.0),,3,mean,%,SE,5.0,40,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,98,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,107,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,1 (+/-0.8),,1,mean,%,SE,0.8,167,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Table 3 footnote: 'A small proportion of treatments setting fruit prevented T. elatior results from inclusion in statistical analysis.'"
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,52,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,21 (+/-4.07),,21,mean,%,SE,4.07,,pooled across all pollination treatments,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,proportion_flowers_set_fruit,65 (+/-6.13),,65,mean,%,SE,6.13,,pooled across all pollination treatments,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,17 (+/-3.37),,17,mean,%,SE,3.37,,pooled across all pollination treatments,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,proportion_flowers_set_fruit,25 (+/-4.01),,25,mean,%,SE,4.01,,pooled across all pollination treatments,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,proportion_flowers_set_fruit,1 (+/-0.66),,1,mean,%,SE,0.66,,pooled across all pollination treatments,"Table 3, p.29","Candidate trait, not in config/traits.yml. Table 3 footnote: 'A small proportion of treatments setting fruit prevented T. elatior results from inclusion in statistical analysis.'"
Dianella revoluta,population,,Wireless Hill,fruit_set_source_percentage,22,,22,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: open pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Dianella revoluta,population,,Wireless Hill,fruit_set_source_percentage,0,,0,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: autogamy pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Dianella revoluta,population,,Wireless Hill,fruit_set_source_percentage,78,,78,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: insect-simulated pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_set_source_percentage,24,,24,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: open pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_set_source_percentage,21,,21,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: autogamy pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_set_source_percentage,55,,55,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: insect-simulated pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Jacksonia sericea,population,,Wireless Hill,fruit_set_source_percentage,28,,28,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: open pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Jacksonia sericea,population,,Wireless Hill,fruit_set_source_percentage,0,,0,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: autogamy pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Jacksonia sericea,population,,Wireless Hill,fruit_set_source_percentage,72,,72,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: insect-simulated pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Patersonia occidentalis,population,,Classon Park Leeming,fruit_set_source_percentage,36,,36,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: open pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Patersonia occidentalis,population,,Classon Park Leeming,fruit_set_source_percentage,6,,6,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: autogamy pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Patersonia occidentalis,population,,Classon Park Leeming,fruit_set_source_percentage,58,,58,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: insect-simulated pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Tricoryne elatior,population,,Wireless Hill,fruit_set_source_percentage,33,,33,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: open pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Tricoryne elatior,population,,Wireless Hill,fruit_set_source_percentage,0,,0,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: autogamy pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined)."
Tricoryne elatior,population,,Wireless Hill,fruit_set_source_percentage,67,,67,raw,% of total fruit produced,,,,share of this species' total fruit output attributable to: insect-simulated pollination,"Table 3, p.29","Candidate trait, not in config/traits.yml. 'Insect-simulated' = fruit attributable to hand pollinations that simulate or rely on insect-mediated pollen transfer (self + outcross + supplementary treatments combined). Table 3 footnote: 'A small proportion of treatments setting fruit prevented T. elatior results from inclusion in statistical analysis.'"
Dianella revoluta,population,,Wireless Hill,pollen_limitation_index,0.51,,0.51,raw,{dimensionless},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml. L = 1-(Po/Ps) where Po = % fruit set from open pollination and Ps = % fruit set from supplementary pollination (Larson and Barrett 2000); not available for H. pungens, P. occidentalis or T. elatior as supplementary pollination was not carried out for the first two and T. elatior's data were too sparse"
Jacksonia sericea,population,,Wireless Hill,pollen_limitation_index,0.34,,0.34,raw,{dimensionless},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml. L = 1-(Po/Ps) where Po = % fruit set from open pollination and Ps = % fruit set from supplementary pollination (Larson and Barrett 2000); not available for H. pungens, P. occidentalis or T. elatior as supplementary pollination was not carried out for the first two and T. elatior's data were too sparse"
Dianella revoluta,species,,Wireless Hill,seeds_per_fruit_potential,1-6,,1,minimum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Dianella revoluta,species,,Wireless Hill,seeds_per_fruit_potential,1-6,,6,maximum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Hemiandra pungens,species,,Nicholson Road Reserve,seeds_per_fruit_potential,1-4,,1,minimum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Hemiandra pungens,species,,Nicholson Road Reserve,seeds_per_fruit_potential,1-4,,4,maximum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Jacksonia sericea,species,,Wireless Hill,seeds_per_fruit_potential,1-2,,1,minimum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Jacksonia sericea,species,,Wireless Hill,seeds_per_fruit_potential,1-2,,2,maximum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Patersonia occidentalis,species,,Classon Park Leeming,seeds_per_fruit_potential,1-40+,,1,minimum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml"
Patersonia occidentalis,species,,Classon Park Leeming,seeds_per_fruit_potential,1-40+,,40,maximum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml. Source states '40+', i.e. at least 40; recorded as 40 (a lower bound on the true maximum)"
Tricoryne elatior,species,,Wireless Hill,seeds_per_fruit_potential,"<=3, 1-seeded mericarps",,3,maximum,{count},,,,,"Table 3, p.29","Candidate trait, not in config/traits.yml. T. elatior's fruit is schizocarpic, splitting into up to 3 one-seeded mericarps, structurally different from the other species' single-fruit seed counts"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1.5 (+/-0.14),,1.5,mean,{count},SE,0.14,,pooled across all pollination treatments that set fruit,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,3.2 (+/-0.07),,3.2,mean,{count},SE,0.07,,pooled across all pollination treatments that set fruit,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1.2 (+/-0.06),,1.2,mean,{count},SE,0.06,,pooled across all pollination treatments that set fruit,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,5.5 (+/-0.7),,5.5,mean,{count},SE,0.7,,pooled across all pollination treatments that set fruit,"Table 3, p.29","Candidate trait, not in config/traits.yml."
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,1,,1,raw,{count},,,,pooled across all pollination treatments that set fruit,"Table 3, p.29","Candidate trait, not in config/traits.yml. Based on a single fruit produced across the whole experiment (Number of fruits produced, Total=3, of which only this one is reflected here per Table 3); no SE given"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-3,,1,minimum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-3,,3,maximum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1,,1,raw,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment. Reproduced as printed even though it appears internally inconsistent: Table 3 lists 0 fruits produced under Autogamy for D. revoluta (fruit_count_produced row), so a seed range of '1' from zero fruits cannot be correct as stated -- likely a table typo in the source, flagged rather than silently corrected."
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-6,,1,minimum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-6,,6,maximum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-4,,1,minimum,{count},,,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1-4,,4,maximum,{count},,,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,1,minimum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,4,maximum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,1,minimum,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,4,maximum,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,1,minimum,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,4,maximum,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,1,minimum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,1-4,,4,maximum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1-2,,1,minimum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1-2,,2,maximum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0-2,,0,minimum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0-2,,2,maximum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1-2,,1,minimum,{count},,,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1-2,,2,maximum,{count},,,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-19,,1,minimum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-19,,19,maximum,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-11,,1,minimum,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-11,,11,maximum,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-8,,1,minimum,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-8,,8,maximum,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-41,,1,minimum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,1-41,,41,maximum,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,1,,1,raw,{count},,,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,1,,1,raw,{count},,,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Tricoryne elatior,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. Range of seeds observed across fruits from this treatment"
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1.5 (+/-0.17),,1.5,mean,{count},SE,0.17,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,1 (+/-0.0),,1,mean,{count},SE,0.0,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,2.2 (+/-0.33),,2.2,mean,{count},SE,0.33,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,seeds_per_fruit,2.1 (+/-0.19),,2.1,mean,{count},SE,0.19,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination); model-estimated mean number of seeds produced (as distinct from the raw range above),"Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,3.2 (+/-0.15),,3.2,mean,{count},SE,0.15,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,3.2 (+/-0.18),,3.2,mean,{count},SE,0.18,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,3.4 (+/-0.13),,3.4,mean,{count},SE,0.13,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,seeds_per_fruit,2.9 (+/-0.14),,2.9,mean,{count},SE,0.14,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1.2 (+/-0.11),,1.2,mean,{count},SE,0.11,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,0,,0,raw,{count},,,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1.3 (+/-0.11),,1.3,mean,{count},SE,0.11,,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,seeds_per_fruit,1.2 (+/-0.1),,1.2,mean,{count},SE,0.1,,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination); model-estimated mean number of seeds produced (as distinct from the raw range above),"Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,5.5 (+/-0.63),,5.5,mean,{count},SE,0.63,,"Open pollination treatment (flowers unmanipulated, free access to insect visitors); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,2.7 (+/-1.05),,2.7,mean,{count},SE,1.05,,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,seeds_per_fruit,3.2 (+/-0.5),,3.2,mean,{count},SE,0.5,,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy)); model-estimated mean number of seeds produced (as distinct from the raw range above)","Table 3, p.29","Candidate trait, not in config/traits.yml."
