Growth.Form,Species.Code.OLD,Species.Old,Individual,Species,BranchCode,Length,Diameter,Fresh.Weight,Vol.measured,Vol.waterDisp,Dry.Weight,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio
L,TET STIG,Tetrastigma crenatum,3,TET STIG,TET STIG_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.49348443,2.354684384,46.66801742,2.03050767,22.98342336,43.164,22.388,5.073,17.315,0.401144472
L,TET STIG,Tetrastigma crenatum,4,TET STIG,TET STIG_4,54.9,6.76,2.2435,1.97040553,2.0933,0.722,0.344909951,3.611702032,0.534478564,-29.10443668,43.41033975,-30.65991706,2.461159856,47.25165393,1.55360174,30.4142643,66.575,36.04,5.117,30.923,0.464483665
L,TET STIG,Tetrastigma crenatum,5,TET STIG,TET STIG_5,72.57,7.81,3.9284,3.476554742,3.9206,1.1165,0.28477784,3.560692509,0.58060099,-30.93221063,43.382701,-31.79422761,3.864354469,47.48967834,1.886867488,25.1685286,73.333,42.682,5.457,37.225,0.507615944
L,TET STIG,Tetrastigma crenatum,6,TET STIG,TET STIG_6,84.73,8,4.9554,4.258994329,4.7,1.3965,0.29712766,1.729696381,0.53136206,-30.27540247,44.22192835,-30.44911598,3.083851232,45.93308949,1.87155266,24.54277161,50.106,25.199,3.816,21.383,0.426755279
L,TET STIG,Tetrastigma crenatum,7,TET STIG,TET STIG_7,,,,,,,,,,,,-31.54227013,2.909877917,46.22115595,1.675021215,27.59437047,88.804,32.937,2.151,30.786,0.346673573
L,UNK D,NA,1,UNK D,UNK D_1,47.24,9.69,3.8996,3.483752749,3.4916,1.0864,0.311146752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,UNK E,NA,1,UNK E,UNK E_1,33.54,8.65,2.4907,1.97099333,2.4841,0.6595,0.265488507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,UNK G,Ichnocarpus,1,ICH,ICH_1,40.43,8.4,2.3458,2.240537385,2.4583,1.1109,0.451897653,3.800999976,0.51642258,-27.12477585,45.05160253,-27.68327136,1.628158835,46.84075303,2.138581825,21.90271725,78.239,44.357,3.335,41.022,0.524316517
L,UNK G,Ichnocarpus,2,ICH,ICH_2,44.38,8.79,2.635,2.69311519,2.8451,1.0187,0.358054198,2.574952869,0.624470463,-28.60977804,44.6145326,-30.63039393,2.39780764,45.46685191,2.222547237,20.45709137,74.686,38.468,4.922,33.546,0.449160485
L,UNK G,Ichnocarpus,3,ICH,ICH_3,51.13,9.63,3.6582,3.724073539,4.0154,1.8111,0.451038502,1.42514144,0.390616408,,,-29.70002418,4.868725329,45.41271102,2.211607263,20.53380443,80.662,56.939,3.697,53.242,0.660062979
L,,Ichnocarpus,4,ICH,ICH_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.05498998,45.09391242,-28.71452426,2.917483307,45.84092372,2.380004897,19.26085269,NA,NA,NA,NA,NA
L,UNK K,NA,1,UNK K,UNK K_1,28.58,13.57,4.5119,4.133441554,4.2217,1.8286,0.433143047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,UNK L,NA,1,UNK L,UNK L_1,41.59,9.2,3.5159,2.764741022,3.3402,1.5162,0.453924915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
