treeid,Species,Date Collected,Collector,Latitude,Longitude,Sample Type,Date Imaged: Fresh,Date Imaged: Dried (T) ,Date Imaged: Dried (C) 
206,Eucalyptus paniculata,31-Dec-17,P.A. Vesk,-32.22542,152.45153,Dried, ,24-Sep-18,24-Sep-18
207,Eucalyptus rubida,15-Apr-17,P.A. Vesk,-35.690556,148.662741,Dried, ,24-Sep-18,24-Sep-18
208,Eucalyptus rubida,15-Apr-17,P.A. Vesk,-35.690556,148.663056,Dried, ,24-Sep-18,24-Sep-18
209,Eucalyptus rubida,15-Apr-17,P.A. Vesk,-35.690833,148.663056,Dried, ,24-Sep-18,24-Sep-18
210,Eucalyptus stellulata,14-Apr-17,P.A. Vesk,-35.679167,148.684722,Dried, ,24-Sep-18,24-Sep-18
211,Eucalyptus stellulata,14-Apr-17,P.A. Vesk,-35.678611,148.684722,Dried, ,24-Sep-18,24-Sep-18
212,Eucalyptus stellulata,14-Apr-17,P.A. Vesk,-35.678056,148.684444,Dried, ,24-Sep-18,24-Sep-18
213,Eucalyptus stellulata,14-Apr-17,P.A. Vesk,-35.685,148.666667,Dried, ,24-Sep-18,24-Sep-18
214,Eucalyptus regnans,7-Nov-17,W.C. Neal,-37.71505,145.63222,Dried, ,24-Sep-18,24-Sep-18
215,Eucalyptus delegatensis,7-Nov-17,W.C. Neal,-37.71181,145.66707,Dried, ,24-Sep-18,24-Sep-18
216,Eucalyptus delegatensis,7-Nov-17,W.C. Neal,-37.71252,145.66882,Dried, ,24-Sep-18,24-Sep-18
217,Eucalyptus baxteri,7-Nov-17,W.C. Neal,-37.69544,145.58032,Dried, ,24-Sep-18,24-Sep-18
218,Eucalyptus delegatensis,1-Feb-18,P.A. Vesk,-36.84363,147.25432,Dried, ,24-Sep-18,24-Sep-18
219,Eucalyptus delegatensis,1-Feb-18,P.A. Vesk,-36.84543,147.26108,Dried, ,24-Sep-18,24-Sep-18
220,Eucalyptus albens,12-Nov-17,P.A. Vesk,-36.597254,144.868094,Dried, ,24-Sep-18,24-Sep-18
221,Eucalyptus albens,12-Nov-17,P.A. Vesk,-36.597405,144.867938,Dried, ,24-Sep-18,24-Sep-18
222,Eucalyptus albens,12-Nov-17,P.A. Vesk,-36.596739,144.86729,Dried, ,24-Sep-18,24-Sep-18
223,Eucalyptus mannifera,13-Dec-17,P.A. Vesk,-37.58598,146.57316,Dried, ,24-Sep-18,24-Sep-18
224,Eucalyptus mannifera,13-Dec-17,P.A. Vesk,-37.58239,146.56737,Dried, ,24-Sep-18,24-Sep-18
225,Eucalyptus mannifera,13-Dec-17,P.A. Vesk,-37.58239,146.56737,Dried, ,24-Sep-18,24-Sep-18
226,Eucalyptus kybeanensis,13-Dec-17,P.A. Vesk,-37.62879,146.4617,Dried, ,24-Sep-18,24-Sep-18
227,Eucalyptus kybeanensis,13-Dec-17,P.A. Vesk,-37.62879,146.4617,Dried, ,24-Sep-18,24-Sep-18
228,Eucalyptus kybeanensis,13-Dec-17,P.A. Vesk,-37.62879,146.4617,Dried, ,24-Sep-18,24-Sep-18
229,Eucalyptus angophoroides,13-Dec-17,P.A. Vesk,-38.0231,146.34221,Dried, ,24-Sep-18,24-Sep-18
230,Eucalyptus angophoroides,13-Dec-17,P.A. Vesk,-38.0231,146.34221,Dried, ,24-Sep-18,24-Sep-18
231,Eucalyptus angophoroides,13-Dec-17,P.A. Vesk,-38.0231,146.34221,Dried, ,24-Sep-18,24-Sep-18
232,Eucalyptus conspicua,13-Dec-17,P.A. Vesk,-38.13147,146.27565,Dried, ,24-Sep-18,24-Sep-18
233,*Eucalyptus paniculata,,,,,,,,
234,Eucalyptus paniculata,26-Sep-17,P.A. Vesk,-36.098115,150.109259,Dried, ,24-Sep-18,24-Sep-18
235,Eucalyptus regnans,10-Jun-17,P.A. Vesk,-37.749969,145.686361,Dried, ,24-Sep-18,24-Sep-18
236,Eucalyptus regnans,10-Jun-17,P.A. Vesk,-37.748306,145.685056,Dried, ,24-Sep-18,24-Sep-18
237,Eucalyptus ovata,9-Jun-17,P.A. Vesk,-37.725911,145.777747,Dried, ,4-Oct-18,4-Oct-18
238,Eucalyptus ovata,30-Jul-17,W.C. Neal,-37.83011,144.18314,Dried, ,4-Oct-18,4-Oct-18
239,Eucalyptus ovata,18-Aug-17,P.A. Vesk,-37.96494,145.39347,Dried, ,4-Oct-18,4-Oct-18
240,Eucalyptus ovata,30-Jul-17,P.A. Vesk,-38.607331,143.918278,Dried, ,4-Oct-18,4-Oct-18
241,Eucalyptus ovata,12-Dec-17,P.A. Vesk,-38.2222,146.04262,Dried, ,4-Oct-18,4-Oct-18
242,Eucalyptus baueriana,27-Sep-17,P.A. Vesk,-36.09615,150.043862,Dried, ,4-Oct-18,4-Oct-18
243,Eucalyptus baueriana,27-Sep-17,P.A. Vesk,-36.09615,150.043862,Dried, ,4-Oct-18,4-Oct-18
244,Eucalyptus baueriana,27-Sep-17,P.A. Vesk,-36.0982432,150.0209547,Dried, ,4-Oct-18,4-Oct-18
245,Angophora costata,27-Sep-17,P.A. Vesk,-36.103426,149.97743,Dried, ,4-Oct-18,4-Oct-18
246,Angophora costata,27-Sep-17,P.A. Vesk,-36.0611056,150.1274389,Dried, ,4-Oct-18,4-Oct-18
247,Angophora costata,28-Sep-17,P.A. Vesk,-35.965312,150.007712,Dried, ,4-Oct-18,4-Oct-18
248,Corymbia maculata,29-Sep-17,P.A. Vesk,-36.1305138,150.0640288,Dried, ,4-Oct-18,4-Oct-18
249,Corymbia maculata,29-Sep-17,P.A. Vesk,-36.14859,150.123758,Dried, ,4-Oct-18,4-Oct-18
250,Corymbia maculata,29-Sep-17,P.A. Vesk,-36.133439,150.091648,Dried, ,4-Oct-18,4-Oct-18
251,Corymbia maculata,29-Sep-17,P.A. Vesk,-36.061393,150.04548,Dried, ,4-Oct-18,4-Oct-18
252,Angophora costata,29-Sep-17,P.A. Vesk,-36.0243516,150.0725072,Dried, ,4-Oct-18,4-Oct-18
253,Eucalyptus fibrosa,26-Sep-17,P.A. Vesk,-36.093531,150.100495,Dried, ,4-Oct-18,4-Oct-18
254,Eucalyptus fibrosa,26-Sep-17,P.A. Vesk,-36.098115,150.109259,Dried, ,4-Oct-18,4-Oct-18
255,Eucalyptus fibrosa,28-Sep-17,P.A. Vesk,-36.039279,150.068266,Dried, ,4-Oct-18,4-Oct-18
256,Eucalyptus botryoides,27-Dec-17,P.A. Vesk,-34.7694,150.68094,Dried, ,4-Oct-18,4-Oct-18
257,Eucalyptus botryoides,6-Apr-17,P.A. Vesk,-37.75446,148.72549,Dried, ,4-Oct-18,4-Oct-18
258,Eucalyptus botryoides,6-Apr-17,P.A. Vesk,-37.80139,148.72324,Dried, ,4-Oct-18,4-Oct-18
