Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,54.18,2.05,630,16.50906462,304.7077265,2.443181818,2.9,1.57122,147.1002818,0.101787229,55.14832049,9.280083214
NA,Banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,107.78,4.47,550,21.06183593,195.4150671,3.782837128,2.51,2.705278,108.9964518,0.114970493,123.9151969,5.269062473
NA,Banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,110.04,4.85,650,20.64681763,187.6301129,2.819767442,1.92,2.112768,136.813624,0.089125881,98.07411996,6.526200253
NA,Banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,95.73,3.64,640,19.62424381,204.9957569,3.187919463,2.1,2.01033,136.6638379,0.099867628,95.60328058,6.363291661
NA,Banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120.26,5.93,680,20.1147039,167.2601355,3.050847458,2.34,2.814084,100.0701666,0.11544716,138.8367544,4.491287797
NA,Banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91.16,4.42,820,20.76520215,227.7885273,2.715053763,1.83,1.668228,174.2644471,0.107927762,98.38694801,6.542750635
NA,Banksia woodland,Hakea prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,202.5,NA,400,20.98086343,103.6092021,2.825229961,1.39,2.81475,104.3545921,0.038271829,77.50045443,8.392296162
NA,Banksia woodland,Hakea prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,196.6,NA,380,15.88686403,80.80805711,2.476780186,1.02,2.00532,110.9130196,0.057523437,113.0910764,4.354833295
NA,Banksia woodland,Hakea prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,226.67,NA,1570,25.22039664,111.2648195,3.665223665,1.52,3.445384,102.4807548,0.07717554,174.9337959,4.469303898
NA,Banksia woodland,Hakea prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,227.64,NA,420,14.13308946,62.08526382,2.064896755,1.27,2.891028,68.4404483,0.039545453,90.0212696,4.866913954
NA,Banksia woodland,Hakea prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,141.81,NA,360,20.51587041,144.6715352,2.945945946,1.21,1.715901,167.3885532,0.105414155,149.4878131,4.25447379
NA,Banksia woodland,Kennedia prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,105.15,2.52,110,24.35263263,231.5989789,3.39307049,2.79,2.933685,116.2145414,0.093415043,98.22591811,7.685666126
NA,Banksia woodland,Kennedia prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89.43,2.38,180,28.02256576,313.3463688,4.281949934,2.68,2.396724,163.6884016,0.105379087,94.24051791,9.217898605
NA,Banksia woodland,Kennedia prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,94.33,2.07,90,22.13472685,234.6520391,3.250311333,2.94,2.773302,111.7390663,0.135965047,128.2558291,5.350061182
NA,Banksia woodland,Kennedia prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,103.69,NA,100,17.06030664,164.5318415,2.99382716,2.81,2.913689,81.97315946,0.079961485,82.91206339,6.378679824
NA,Banksia woodland,Kennedia prostrata,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,86.45,1.32,80,15.70769798,181.6969113,2.375621891,2.97,2.567565,85.64837571,0.089352134,77.24491989,6.303827335
NA,Banksia woodland,Lupinus cosentinii,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,87.29,2.78,260,27.76361653,318.061823,3.657678781,3.13,2.732177,142.2640742,0.083011724,72.46093366,11.87773975
NA,Banksia woodland,Lupinus cosentinii,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,69.89,2.34,280,24.55578432,351.3490388,3.09255079,3.93,2.746677,125.1625074,0.083602009,58.42944379,13.02818005
NA,Banksia woodland,Lupinus cosentinii,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,84.1,NA,250,20.50611774,243.8301753,3.347701149,3.46,2.90986,98.65960851,0.069385923,58.3535613,10.89375928
NA,Banksia woodland,Lupinus cosentinii,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,78.83,3.56,320,32.28570783,409.5611801,3.280373832,3.64,2.869412,157.5235308,0.083900002,66.13837129,15.13277275
NA,Banksia woodland,Lupinus cosentinii,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74.9,NA,300,25.63596059,342.2691668,3.211111111,3.41,2.55409,140.5210655,0.085643381,64.14689259,12.38898326
NA,Banksia woodland,Mesomelaena pseudostygia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,455.21,NA,650,11.40864946,25.06238761,2.330275229,0.73,3.323033,48.06485294,0.010305,46.90939189,7.539388575
