Family,Genera,Species,Sex ('D'ioecious/'N'on-'D'ioecious),Growth Form,Binary GF,Pollination,pollination_new,Binary Pollination,Seed dispersal,seed_dispersal_new,Binary Seed Dispersal,Growth Form Reference,Pollination Reference,Seed Dispersal Reference,dispersal_syndrome,dispersers,dispersal_unit,latitude (deg),longitude (deg),Sex,Height (cm),Diameter (cm),Site,Date,replicates
Casuarinaceae,Allocasuarina,Allocasuarina striata,D,Tree,Woody,Wind and insects (ref for other member in genus),insect wind,Abiotic,"Wind (1,2) and by animal gut (3), ref for other in genus. Seeds are winged, so I've classified them as abiotic.",biotic abiotic wind gut,Abiotic,Flora of South Australia Online 4th Edition,"Moncur MW, Boland DJ, Harbara JL (1997) Aspects of the floral biology of Allocasuarina verticillata (Casuarinaceae). Australian Journal of Botany 45, 857-869., Paton DC (1993) Honeybees in the Australian environment. BioScience 43, 95-103.","Llorens TM, Tapper S, Coates DJ, McArthur S, Hankinson M, Byrne M (2016) Does population distribution matter? Influence of a patchy versus continuous distribution on genetic patterns in a wind-pollinated shrub. Journal of Biogeography 44(2), 361 - 374. Broadhurst L (2015) Pollen dispersal in fragmented populations of the dioecious wind pollinated tree, Allocasuarina verticillata (drooping sheoak, drooping she-oak; Allocasuarinaceae). PLoS One 10(3), e0119498. Calvino-Cancela M, Dunn RR, Van Etten EJB, Lamont BB (2006) Emus as non-standard seed dispersers and their potential for long-distance dispersal. Ecography 29(4), 632 - 340.",zoochory anemochory endozoochory,animals abiotic wind vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarinaceae,Allocasuarina,Allocasuarina verticillata,D,Tree,Woody,Wind and insects (ref for other member in genus),insect wind,Abiotic,"Wind (1,2) and by animal gut (3), ref for other in genus. Seeds are winged, so I've classified them as abiotic.",biotic abiotic wind gut,Abiotic,Flora of South Australia Online 4th Edition,"Moncur MW, Boland DJ, Harbara JL (1997) Aspects of the floral biology of Allocasuarina verticillata (Casuarinaceae). Australian Journal of Botany 45, 857-869., Paton DC (1993) Honeybees in the Australian environment. BioScience 43, 95-103.","Llorens TM, Tapper S, Coates DJ, McArthur S, Hankinson M, Byrne M (2016) Does population distribution matter? Influence of a patchy versus continuous distribution on genetic patterns in a wind-pollinated shrub. Journal of Biogeography 44(2), 361 - 374. Broadhurst L (2015) Pollen dispersal in fragmented populations of the dioecious wind pollinated tree, Allocasuarina verticillata (drooping sheoak, drooping she-oak; Allocasuarinaceae). PLoS One 10(3), e0119498. Calvino-Cancela M, Dunn RR, Van Etten EJB, Lamont BB (2006) Emus as non-standard seed dispersers and their potential for long-distance dispersal. Ecography 29(4), 632 - 340.",zoochory anemochory endozoochory,animals abiotic wind vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarinaceae,Casuarina,Casuarina cristata,D,Tree,Woody,Wind (ref for genus),wind,Abiotic,Wind (ref for other species in genus),wind,Abiotic,Flora of New South Wales Online,"Barlow, B. A. (1981). Casuarinas—a taxonomic and biogeographic review. In ‘Casuarina Ecology Management and Utilization’. (Eds S. J. Midgley, J. W. Turnbull and R. D. Johnson.) pp. 10–18. (CSIRO: Canberra.)","Dunstan H, Florentine SK, Calvino-Cancela M, Westbrooke ME, Palmer GC (2013) Dietary characterisitics of emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germinatino of ingested seeds. Emu 113, 168 - 176.",anemochory,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarinaceae,Casuarina,Casuarina obesa,D,Tree,Woody,Wind (ref for genus),wind,Abiotic,Wind (ref for other species in genus),wind,Abiotic,Flora of Western Australia Online,"Barlow, B. A. (1981). Casuarinas—a taxonomic and biogeographic review. In ‘Casuarina Ecology Management and Utilization’. (Eds S. J. Midgley, J. W. Turnbull and R. D. Johnson.) pp. 10–18. (CSIRO: Canberra.)","Dunstan H, Florentine SK, Calvino-Cancela M, Westbrooke ME, Palmer GC (2013) Dietary characterisitics of emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germinatino of ingested seeds. Emu 113, 168 - 176.",anemochory,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarinaceae,Casuarina,Casuarina pauper,D,Tree,Woody,Wind (ref for genus),wind,Abiotic,Wind (ref for other species in genus),wind,Abiotic,Flora of South Australia Online 4th Edition,"Barlow, B. A. (1981). Casuarinas—a taxonomic and biogeographic review. In ‘Casuarina Ecology Management and Utilization’. (Eds S. J. Midgley, J. W. Turnbull and R. D. Johnson.) pp. 10–18. (CSIRO: Canberra.)","Dunstan H, Florentine SK, Calvino-Cancela M, Westbrooke ME, Palmer GC (2013) Dietary characterisitics of emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germinatino of ingested seeds. Emu 113, 168 - 176.",anemochory,wind,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celastraceae,Denhamia,Denhamia bilocularis,ND,Shrub,Woody,Insects (ref for species in genus),insect,Biotic,"Ingestion (likely, based on morphology)",ingest,Biotic,Flora of New South Wales Online,Halford JJ (2019) Nomination to change the conservation status of Denhamia sp. (Junee Tableland) in Queensland. chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://www.environment.gov.au/biodiversity/threatened/species/pubs/90822-conservation-advice-05102022.pdf,"Jesus, MCD, Wapling, J, Kiem, E, Stockdale, T, Whittaker, JJ, Clegg, JK, … Blanchfield, JT 2022, ‘Phytochemical composition of Denhamia obscura (A. Rich.) Meisn. Ex Walp. root bark, seeds and leaves’, ARKIVOC Free Online Journal of Organic Chemistry, vol. 2022, no. 4, pp. 123–142.",endozoochory,vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celastraceae,Denhamia,Denhamia cunninghamii,ND,Shrub,Woody,Insects (ref for species in genus),insect,Biotic,"Ingestion (likely, based on morphology)",ingest,Biotic,Flora of New South Wales Online,Halford JJ (2019) Nomination to change the conservation status of Denhamia sp. (Junee Tableland) in Queensland. chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://www.environment.gov.au/biodiversity/threatened/species/pubs/90822-conservation-advice-05102022.pdf,"Jesus, MCD, Wapling, J, Kiem, E, Stockdale, T, Whittaker, JJ, Clegg, JK, … Blanchfield, JT 2022, ‘Phytochemical composition of Denhamia obscura (A. Rich.) Meisn. Ex Walp. root bark, seeds and leaves’, ARKIVOC Free Online Journal of Organic Chemistry, vol. 2022, no. 4, pp. 123–142.",endozoochory,vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Aphelia,Aphelia gracilis,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,Unassisted (ref for genus),unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke DA (1995) A taxonomic revision of Aphelia (Centrolepidaceae). Journal of the Adelaide Botanic Gardens 16, 95 - 109.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Aphelia,Aphelia pumilio,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,Unassisted (ref for genus),unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke DA (1995) A taxonomic revision of Aphelia (Centrolepidaceae). Journal of the Adelaide Botanic Gardens 16, 95 - 109.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis aristata,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis cephaloformis,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis drummondiana,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis eremica,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis fascicularis,ND,Perennial,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis glabra,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis polygyna,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepidaceae,Centrolepis,Centrolepis strigosa,ND,Herb,Non-woody,Wind (ref for family),wind,Abiotic,"Wind, brushed off by animals (ref for species in genus). Dispersal is largely by being carried by wind or water after being shaken from heads, or if the head is shed as a unit. Only then can adhesion to the mud on bird's feet occur to disperse seeds further.",water adhesion wind bird brush,Abiotic,Flora of South Australia Online 4th Edition,"Linder HP, Rudall PJ (2005) Evolutionary History of Poales. Annual Review of Ecology, Ecolution and Systematics 36, 107-124.","Cooke D (1992) A taxonomic revision of Centrolepis in Australia. Journal of the Adelaide Botanical Gardens 15(1), 1 - 63.",hydrochory epizoochory anemochory zoochory,water wind birds vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratophyllaceae,Ceratophyllum,Ceratophyllum demersum,ND,Herb,Non-woody,Water (ref for species in genus),water,Abiotic,Ingestion (ref for genus),ingest,Biotic,Flora of South Australia Online 4th Edition,"Les DH (1991) Genetic diversity in the monoecious hydrophile Ceratophyllum (Ceratophyllaceae). American Journal of Botany 78(8), 1070 - 1082.","Les DH (1993) Ceratophyllaceae. In 'The Families and Genera of Vascular Plants - Flowering Plants. Dicotyledons' (Eds K Kubitzki, JG Rohwer, V Bittrich) Vol. 2, 246 - 250.",endozoochory,vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriples nessorhina,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex acutibractea,ND,Shrub,Woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex acutiloba,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex angulata,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex australasica,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex bunburyana,D,Shrub,Woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of Western Australia Online,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex cinerea,D,Shrub,Woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex cordifolia,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex crassipes,ND,Herb,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex cryptocarpa,ND,Shrub,Woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodiaceae,Atriplex,Atriplex eardleyae,ND,Perennial,Non-woody,"Wind (ref for other member in genus, ref for family)",wind,Abiotic,"Wind (1, 2 refs for genus), unassisted (3, ref for other in genus)",wind unassisted,Abiotic,Flora of South Australia Online 4th Edition,"Cázares-Martínez J, Montaña C, Franco M (2010) The role of pollen limitation on the coexistence of two dioecious, wind-pollinated, closely related shrubs in a fluctuating environment. Oecologia 164, 679-687., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Osmond, CB (Eds O Björkman, DJ Anderson (1980) 'Physiological Processes in Plant Ecology Toward a Synthesis with Atriplex.' (Springer Berlin Heidelberg: Berlin, Heidelberg). Farrell, C, Hobbs, R, Colmer, T (2012) Microsite and litter cover effects on seed banks vary with seed size and dispersal mechanisms: implications for revegetation of degraded saline land. Plant Ecology 213, 1145-1155. Dunstan, H, Florentine, SK, Calviño-Cancela, M, Westbrooke, ME, Palmer, GC (2013) Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds. Emu - Austral Ornithology 113, 168-176.",anemochory barochory,wind passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
