"","plot","species","fresh","dry","count","area","sla","lma","ldmc","N_mature","P_mature","K_mature","C_mature","d15N","d13C","Ca_mature","Cu_mature","Fe_mature","Mg_mature","Mn_mature","Mo_mature","Na_mature","S_mature","Zn_mature","N_senesced","P_senesced","K_senesced","family","genus","growthform","strategy"
"36","B.NL.1","Eremaea asterocarpa subsp. asterocarpa",0.0718,0.0314,10,236.276497,7.524729204,132.8951478,437.3259053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Eremaea","shrub","AM, Ectomycorrhizal"
"37","B.NL.1","Eremaea asterocarpa subsp. asterocarpa",0.0659,0.0283,10,207.407505,7.328887103,136.4463644,429.4385432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Eremaea","shrub","AM, Ectomycorrhizal"
"38","B.NL.1","Hibbertia huegelii",0.5043,0.2347,10,938.3169925,3.997942022,250.1286899,465.3975808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dilleniaceae","Hibbertia","shrub","AM"
"39","B.NL.1","Hibbertia hypericoides (Yellow Buttercups)",0.5345,0.2089,50,1119.925359,5.36105964,186.5302883,390.8325538,8145.767,222.739595238095,4547.97117619048,43.32706604,-1.2095826,-28.0561601,17469.1349809524,1.56662361809524,94.9806457904762,4370.3985047619,21.6770438657143,0.804536149523809,2036.96856190476,2581.00763333333,8.92826951761905,7687.5788,68.4779875,798.3767,"Dilleniaceae","Hibbertia","shrub","AM"
"40","B.NL.1","Jacksonia floribunda (Holly Pea)",4.2507,1.7596,10,5581.84581,3.172224261,315.2362247,413.9553485,14633.77876,258.763195238095,8685.56337619048,48.36610858,-0.922594793,-27.0468402,7133.69128095238,1.87101400809524,60.9805076904762,2098.6629047619,14.4585020457143,0.0254198395238095,2591.28536190476,1054.23993333333,6.02154868761905,10053.5515,24.0115875,5523.6731,"Fabaceae","Jacksonia","shrub","AM, Ectomycorrhizal, Nitrogen fixer"
"41","B.NL.1","Melaleuca leuropoma",2.061,1.2025,3,1697.036324,1.411256818,708.5882506,583.4546337,6471.125,239.895295238095,4480.03997619048,48.10828703,0.566976,-28.56339087,12905.8504809524,1.37330681809524,43.9953538104762,4684.7519047619,10.8912487557143,0.0534066195238095,4428.44306190476,1726.48713333333,2.37884090761905,5332.4587,67.4552875,479.2476,"Myrtaceae","Melaleuca","shrub","AM, Ectomycorrhizal"
"42","B.NL.1","Stirlingia latifolia (Blueboy)",6.4863,2.585,3,7143.505709,2.763445148,361.8671427,398.5322911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proteaceae","Stirlingia","shrub","Cluster roots"
"43","B.NL.1","Stirlingia latifolia (Blueboy)",8.5405,3.582,3,9300.406864,2.596428494,385.1444407,419.4133833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proteaceae","Stirlingia","shrub","Cluster roots"
"44","B.NL.1","Xanthorrhoea preissii (Grass tree)",2.2902,1.2417,1,1671.452853,1.346100389,742.8866438,542.1797223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xanthorrhoeaceae","Xanthorrhoea","shrub","AM"
"45","B.NL.1","Xanthorrhoea preissii (Grass tree)",3.2962,1.6823,1,1809.021426,1.075326295,929.9502902,510.375584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xanthorrhoeaceae","Xanthorrhoea","shrub","AM"
"46","Q.M.23","Acacia lasiocarpa",0.2232,0.0769,20,704.4397903,9.160465413,109.1647591,344.5340502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","shrub","AM, Nitrogen fixer"
"47","Q.M.23","Acacia rostellifera (Summer-scented Wattle)",2.3173,0.9581,10,3665.511782,3.825813362,261.3823272,413.4553144,17594.33491,879.042695238095,5458.17987619048,44.18436706,-1.090109329,-29.93465164,55237.4658809524,0.566808168095238,86.2728211604762,4853.2821047619,4.00894630571429,1.92536880952381,2606.34406190476,17457.5324333333,2.83154407761905,10937.6291,317.045295238095,4439.81057619048,"Fabaceae","Acacia","tree","AM, Ectomycorrhizal, Nitrogen fixer"
"48","Q.M.23","Acanthocarpus preissii",0.1393,0.0649,20,545.6288121,8.407223606,118.9453316,465.9009332,14940.79297,716.019995238095,6489.91367619048,46.84930157,-2.353025548,-25.51366623,11974.3273809524,0.347032668095238,90.9646932504762,1960.4058047619,3.26522401571429,0,1698.77806190476,1701.30473333333,2.30821877761905,10800.6312,526.408895238095,1123.60597619048,"Asparagaceae","Acanthocarpus","perennial herb","AM"
"49","Q.M.23","Conostylis candicans subsp. calcicola",0.8554,0.1888,20,2800.113897,14.83111174,67.42582871,220.7154548,8777.73402,321.820095238095,8650.58927619048,46.02217675,0.270928915,-27.52262126,7987.14748095238,0.426132038095238,100.020220010476,2083.9590047619,33.4085208457143,0.24976233952381,1868.10466190476,906.425733333333,6.74046423761905,8256.0344,142.7208875,489.9672,"Haemodoraceae","Conostylis","sedge","Sand-binding"
"50","Q.M.23","Lepidosperma squamatum",1.282,0.4836,10,2257.019475,4.667120503,214.2648769,377.2230889,8923.27741,278.098795238095,3660.55847619048,45.84400591,-2.002111502,-28.27226604,5170.84838095238,0.933931858095238,24.5481958704762,1183.0113047619,15.9553789857143,0.0787225895238095,1650.56826190476,900.803533333333,3.58275421761905,5938.1186,85.3171875,304.5212,"Cyperaceae","Lepidosperma","sedge","Dauciform"
"51","Q.M.23","Melaleuca aff. systena",0.1881,0.0739,50,387.9850583,5.250136107,190.4712525,392.8761297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
