species_name,maximum height,maximum leaf length,maximum leaf width,maximum seed length,minimum height,minimum leaf length,minimum leaf width,minimum seed length
Enneapogon decipiens,0.62,NA,3,2.2,0.28,NA,1,1.3
Enneapogon eremophilus,0.36,NA,3,1.8,0.13,NA,1,1
Enneapogon gracilis,0.7,NA,2,1.8,0.125,NA,1,1
Enneapogon intermedius,0.7,NA,2,2.2,0.3,NA,1,1.3
Enneapogon lindleyanus,0.66,NA,4.4,2.2,0.135,NA,1,0.8
Enneapogon nigricans,0.55,NA,5,2.2,0.05,NA,1,1.1
Enneapogon pallidus,0.88,NA,3,2,0.3,NA,1,1.1
Enneapogon polyphyllus,0.48,NA,3,2,0.03,NA,1,1
Enneapogon purpurascens,0.75,NA,5,2,0.06,NA,1,1
Enneapogon robustissimus,1.07,NA,5,1.6,0.31,NA,2,1.3
Enneapogon truncatus,0.5,240,3,1.8,0.3,60,2,1.1
Enneapogon virens,0.6,NA,3,1.9,0.1,NA,1,1
Enteropogon acicularis,1,200,4,NA,0.25,50,1.8,NA
Enteropogon dolichostachyus,1,300,8,NA,0.6,80,2.5,NA
Enteropogon minutus,0.9,150,3.5,2.3,0.6,50,2,1.8
Enteropogon paucispiceus,0.6,100,0.7,5,0.45,30,0.5,2
Enteropogon ramosus,1,200,5,5,0.3,30,1.5,2
Enteropogon unispiceus,0.5,100,1.5,NA,0.2,30,0.5,NA
Entolasia marginata,0.6,200,15,NA,0.2,30,2,NA
Entolasia minutifolia,0.35,16,1.5,NA,0.1,5,1,NA
Entolasia stricta,0.8,100,7,NA,0.2,5,1,NA
Entolasia whiteana,0.8,100,5,3,0.2,10,1,2.5
Eragrostiella bifaria,0.6,160,2.1,0.6,0.23,40,0.6,0.4
Eragrostiella bifaria var. bifaria,0.6,160,2.1,0.6,0.23,40,0.6,0.4
Eragrostis alveiformis,1.15,250,2.5,1.2,0.34,120,1,0.8
Eragrostis australasica,3,200,6,1,1,30,2,NA
Eragrostis basedowii,0.55,100,3.5,NA,0.025,30,2,NA
Eragrostis brownii,0.6,250,3,0.7,0.11,100,1,NA
Eragrostis capitula,0.5,250,4,0.6,0.13,120,2,0.5
Eragrostis cassa,0.8,NA,1.5,0.7,0.6,NA,NA,0.6
Eragrostis concinna,1.2,200,5,0.5,0.3,60,1,NA
Eragrostis confertiflora,0.4,120,3.3,NA,0.16,60,1,NA
Eragrostis crateriformis,0.42,NA,3,0.4,0.17,NA,1,0.3
Eragrostis cumingii,1,100,3.5,4,0.03,50,1,NA
Eragrostis desertorum,0.6,120,2,NA,0.3,50,1,NA
Eragrostis dielsii,0.55,80,3.5,NA,0.03,40,1,NA
Eragrostis ecarinata,0.92,250,4,0.7,0.6,120,2.5,0.6
Eragrostis elongata,0.9,210,0.4,NA,0.21,100,0.2,NA
Eragrostis eriopoda,0.6,10,3,0.75,0.22,NA,2,NA
Eragrostis exigua,1.24,NA,5,0.5,0.03,NA,2,0.3
Eragrostis falcata,0.6,80,1,1,0.1,20,1,NA
Eragrostis fallax,0.9,300,5,0.6,0.4,150,2,0.4
Eragrostis fenshamii,0.5,80,4,1,0.3,30,3,1
Eragrostis filicaulis,0.6,NA,NA,0.5,0.11,NA,NA,0.3
Eragrostis hirticaulis,0.5,NA,3,0.5,0.4,NA,2,0.3
Eragrostis infecunda,0.7,80,2,NA,0.35,30,1,NA
Eragrostis interrupta,1.5,350,6,0.6,0.3,NA,2,NA
Eragrostis jacobsiana,0.6,90,3,0.5,0.2,50,2,NA
Eragrostis jerichoensis,0.45,90,2.5,NA,0.3,30,2,NA
Eragrostis kennedyae,0.76,60,2.3,NA,0.12,30,1,NA
Eragrostis lacunaria,0.6,70,2,0.5,0.12,20,1,NA
Eragrostis lanicaulis,0.5,70,2,0.8,0.4,20,1,0.6
Eragrostis laniflora,0.75,100,3,NA,0.21,50,1,NA
Eragrostis lanipes,0.9,100,3,NA,0.15,50,1,NA
Eragrostis leptocarpa,0.85,150,3.8,1.25,0.09,100,2,0.75
Eragrostis leptostachya,1,250,3,1,0.2,150,2,NA
Eragrostis longipedicellata,0.8,100,1,0.6,0.3,50,1,NA
Eragrostis megalosperma,1.2,NA,NA,NA,0.6,NA,NA,NA
Eragrostis microcarpa,0.6,100,2,0.4,0.2,50,1,NA
Eragrostis olida,0.5,20,2,0.8,0.17,10,1,0.6
Eragrostis parviflora,1.35,300,5,0.5,0.3,60,2,NA
Eragrostis pergracilis,0.45,50,1.5,0.55,0.03,10,1,0.45
Eragrostis petraea,1.5,300,4.4,0.6,0.7,150,2,0.5
Eragrostis potamophila,1.25,350,9,0.7,0.4,150,4,0.5
Eragrostis pubescens,0.8,150,5.5,5,0.4,70,2,NA
Eragrostis rigidiuscula,1,300,5,NA,0.55,200,1,NA
Eragrostis schultzii,1.5,300,8,NA,0.5,100,3,NA
Eragrostis setifolia,0.6,130,2,0.9,0.12,40,1,NA
Eragrostis sororia,0.7,NA,3,NA,0.2,NA,2,NA
Eragrostis spartinoides,0.85,NA,3,NA,0.7,NA,1,NA
Eragrostis speciosa,1.4,250,2,0.5,0.15,150,1,NA
Eragrostis stagnalis,0.95,NA,2.8,0.8,0.35,NA,1,0.5
Eragrostis stenostachya,0.6,150,2,NA,0.22,50,1,NA
Eragrostis sterilis,0.9,160,2,0.5,0.6,100,1,NA
Eragrostis subtilis,0.6,NA,NA,0.5,0.5,NA,NA,0.4
Eragrostis tenellula,0.96,300,6,NA,0.06,NA,2,NA
Eragrostis trachycarpa,0.8,NA,3,0.5,0.14,NA,1,NA
Eragrostis triquetra,0.3,NA,1.5,0.6,0.16,NA,1,0.3
Eragrostis unioloides,0.72,100,5,0.7,0.07,30,2,NA
Eragrostis uvida,0.8,NA,4,0.5,0.47,NA,2,0.4
Eragrostis xerophila,0.5,80,4.5,NA,0.16,20,0.5,NA
Eremochloa bimaculata,0.8,120,5,NA,0.3,50,2,NA
Eremochloa ciliaris,0.95,270,3,NA,0.1,40,2,NA
Eremochloa muricata,0.6,170,6,NA,0.16,10,2,NA
Eriachne agrostidea,0.44,90,0.5,2,0.05,15,NA,1.5
Eriachne aristidea,0.47,190,6,3.8,0.06,70,3,2.8
Eriachne armittii,0.5,NA,6,2.5,0.05,NA,2,1.5
Eriachne avenacea,0.68,200,1,4.3,0.17,100,1,2.5
Eriachne axillaris,0.25,25,1,1.7,0.15,10,1,1.5
Eriachne basalis,0.6,200,3,2,0.35,100,2,NA
Eriachne basedowii,0.8,320,2,4,0.35,50,1,3
Eriachne benthamii,0.9,180,4.5,3,0.45,90,2,1.5
Eriachne bleeseri,0.42,230,2,1,0.15,100,1,NA
Eriachne burkittii,1.25,350,5,2.8,0.4,100,3,2
Eriachne capillaris,0.5,20,1,1,0.125,10,0.5,1
Eriachne ciliata,0.35,50,4,1.5,0.07,10,1,1.3
Eriachne compacta,0.4,40,3,1.6,0.05,25,2,1.2
Eriachne fastigiata,0.5,25,3,2.8,0.27,15,1.5,2
Eriachne festucacea,1.05,250,3,2,0.53,100,2,1.4
Eriachne filiformis,0.6,50,0.5,3,0.03,20,0.5,1
Eriachne flaccida,0.5,200,2.5,2,0.07,80,1,1.3
Eriachne gardneri,0.7,200,5,5,0.3,100,2,3
Eriachne glabrata,0.4,40,2,2,0.07,20,1,1.5
Eriachne glandulosa,0.3,145,3.3,1.7,0.1,50,2,1.5
Eriachne glauca,1.2,NA,5,2,0.45,NA,2,2
Eriachne glauca var. barbinodis,1.2,NA,5,2,0.45,NA,2,2
Eriachne glauca var. glauca,1.2,NA,5,2,0.45,NA,2,2
Eriachne helmsii,0.9,160,3,3.5,0.4,25,2,2.7
Eriachne humilis,0.46,5,1,2.6,0.025,5,0.5,1.8
Eriachne imbricata,0.5,90,2,5,0.23,40,1,2.7
Eriachne insularis,0.8,80,2,1.8,0.5,50,1,1.5
Eriachne lanata,0.6,NA,3,2.5,0.45,NA,2,1.5
Eriachne major,1.05,200,3,NA,0.45,100,2,NA
Eriachne melicacea,0.455,150,2,4.8,0.03,30,1,3.8
Eriachne minuta,0.15,NA,3,1,0.045,NA,2,1
Eriachne mucronata,0.8,50,2,2,0.1,20,1,2
Eriachne nervosa,1.05,300,4,3.5,0.6,80,2,3
Eriachne nodosa,0.62,80,4,2.5,0.32,14,2,1.4
Eriachne obtusa,0.6,160,4,2,0.3,50,1,1.5
Eriachne ovata,0.42,NA,NA,2.5,0.03,NA,NA,1.8
Eriachne pallescens,1.05,180,3.5,3.3,0.23,50,1,1.7
Eriachne pallescens var. gracilis,1.05,180,3.5,3.3,0.23,50,1,1.7
Eriachne pallescens var. pallescens,1.05,180,3.5,3.3,0.23,50,1,1.7
Eriachne pauciflora,0.85,19,4,3,0.14,NA,1,2
Eriachne pulchella,0.3,200,3.5,1.5,0.02,NA,1,1.3
Eriachne pulchella subsp. dominii,0.3,200,3.5,1.5,0.02,NA,1,1.3
Eriachne pulchella subsp. pulchella,0.3,200,3.5,1.5,0.02,NA,1,1.3
Eriachne rara,0.75,200,3,3,0.16,40,1,1.8
Eriachne schultziana,1.5,370,9,3.3,0.675,70,2,2
Eriachne scleranthoides,1.05,120,1,NA,0.6,25,0.5,NA
Eriachne semiciliata,0.54,40,3,2.5,0.2,20,2,1.5
Eriachne squarrosa,0.9,300,5,2.3,0.38,150,3,2.3
Eriachne stipacea,1,230,7.5,NA,0.375,100,2,NA
Eriachne sulcata,0.8,30,7,4,0.3,10,1,2.5
Eriachne tenuiculmis,0.65,90,2,4.5,0.6,90,1.5,4.5
Eriachne triodioides,1.2,400,90,3.8,0.75,100,2,2.8
Eriachne triseta,1.2,250,2,4,0.5,50,1,2.8
Eriachne vesiculosa,0.9,300,3,3,0.3,150,2,2.5
Eriochloa australiensis,0.7,170,7,NA,0.2,20,3,NA
Eriochloa crebra,1,250,7,NA,0.35,40,2,NA
Eriochloa fatmensis,1.2,300,10,NA,0.1,30,2,NA
Eriochloa procera,1.2,400,8,NA,0.2,20,2,NA
Eriochloa pseudoacrotricha,1,300,7,NA,0.2,70,1.5,NA
Eulalia annua,0.45,70,3,NA,0.1,30,1,NA
Eulalia aurea,1.5,300,6,NA,0.4,30,2,NA
Eulalia mackinlayi,2.5,350,6,NA,1.4,150,1,NA
Eulalia trispicata,1.3,350,5,NA,0.3,40,1,NA
Festuca asperula,1.05,300,1,NA,0.48,105,0.4,NA
Festuca benthamiana,0.9,200,2.5,NA,0.3,80,0.3,NA
Festuca muelleri,1.69,490,8,5,0.53,150,4.3,NA
Festuca plebeia,0.9,145,1.5,NA,0.7,23,0.4,NA
Garnotia stricta,0.8,400,15,2,0.1,30,2,2
Garnotia stricta var. longiseta,0.8,400,15,2,0.1,30,2,2
Germainia capitata,0.9,380,9,NA,0.3,70,3,NA
Germainia grandiflora,1,300,5,NA,0.3,70,2,NA
Germainia truncatiglumis,1.5,500,10,NA,0.55,100,2,NA
Glyceria australis,1.5,200,5,3.5,0.3,90,2,3.5
Glyceria drummondii,1,1100,3.5,NA,0.2,170,1.6,NA
Glyceria latispicea,1.1,NA,NA,NA,NA,NA,NA,NA
Hemarthria uncinata,1.1,150,5,NA,0.2,50,1.5,NA
Hemarthria uncinata var. spathacea,1.1,150,5,NA,0.2,50,1.5,NA
Hemarthria uncinata var. uncinata,1.1,150,5,NA,0.2,50,1.5,NA
Heterachne abortiva,0.35,180,4,1.5,0.1,50,0.8,1.3
Heterachne baileyi,0.45,80,3.5,NA,0.09,30,0.6,NA
Heterachne gulliveri,0.66,160,3.5,1,0.1,35,0.5,1
Heterachne gulliveri var. gulliveri,0.66,160,3.5,1,0.1,35,0.5,1
Heterachne gulliveri var. major,0.66,160,3.5,1,0.1,35,0.5,1
Heteropogon contortus,1,300,8,NA,0.3,30,2,NA
Heteropogon triticeus,1.6,800,16,NA,1,200,3,NA
Hierochloe fraseri,0.5,135,8,NA,0.1,22,1.5,NA
Hierochloe rariflora,1,435,10.8,NA,0.27,75,2,NA
Hierochloe redolens,1,450,12,NA,0.36,80,5,NA
Hierochloe submutica,0.7,250,8,NA,0.3,50,4,NA
Holcolemma dispar,0.45,100,3,NA,0.25,20,1,NA
Homopholis belsonii,0.4,150,4.5,NA,0.2,30,2,NA
Hookerochloa eriopoda,1.6,265,0.65,NA,0.5,60,0.2,NA
Hookerochloa hookeriana,1.85,760,6.8,NA,0.55,50,2,NA
Hygrochloa aquatica,2,160,6,NA,0.15,20,2.5,NA
Hygrochloa cravenii,1,220,1.4,NA,0.6,20,1,NA
Hymenachne acutigluma,2,450,30,NA,0.3,120,6,NA
Hyparrhenia filipendula,2,300,5,NA,0.6,150,1.5,NA
Isachne confusa,0.45,25,10,NA,0.1,7,2,NA
Isachne globosa,0.9,140,20,NA,0.1,10,3,NA
Isachne myosotis,0.06,150,4,NA,0.02,50,2,NA
Isachne sharpii,0.44,55,13,NA,0.26,25,7,NA
Ischaemum afrum,NA,NA,NA,NA,NA,NA,NA,NA
Ischaemum albovillosum,0.4,120,5,2.5,0.2,50,2,NA
Ischaemum australe,1.5,200,5,NA,0.5,100,3,NA
Ischaemum australe var. arundinaceum,1.5,200,5,NA,0.5,100,3,NA
Ischaemum australe var. australe,1.5,200,5,NA,0.5,100,3,NA
Ischaemum australe var. villosum,1.5,200,5,NA,0.5,100,3,NA
Ischaemum barbatum,1.6,200,10,1,0.6,70,4,NA
Ischaemum decumbens,0.4,50,6,1,0.05,10,1,1
Ischaemum fragile,1.1,330,7,NA,0.4,60,3,NA
Ischaemum muticum,0.4,150,14,NA,0.15,20,4,NA
Ischaemum polystachyum,1.2,140,14,NA,NA,NA,NA,NA
Ischaemum rugosum,1,300,15,2.5,0.1,50,3,2
Ischaemum rugosum var. rugosum,1,300,15,2.5,0.1,50,3,2
Ischaemum rugosum var. segetum,1,300,15,2.5,0.1,50,3,2
Ischaemum triticeum,2,330,12,NA,0.5,60,3,NA
Ischaemum tropicum,1.2,200,4,NA,0.8,80,2,NA
Iseilema calvum,0.4,250,6,3,0.15,100,3,3
Iseilema ciliatum,0.35,120,3,3.5,0.15,60,2,3.5
Iseilema convexum,0.7,180,5.5,2.5,0.3,90,3,2.5
Iseilema dolichotrichum,0.08,40,2.5,1,0.06,20,1,1
Iseilema eremaeum,0.2,60,4,2.5,0.05,20,1,2.5
Iseilema fragile,0.2,70,4,3.75,0.1,30,2,3.75
Iseilema holmesii,0.4,300,5,3,0.2,60,4,2.5
Iseilema macratherum,0.7,250,6,2.5,0.25,100,2,2.5
Iseilema membranaceum,0.4,200,5,2.2,0.05,20,2,2
Iseilema trichopus,0.25,120,5.5,3.5,0.1,60,3,3
Iseilema vaginiflorum,0.75,200,6,3,0.45,100,2.5,2.5
Iseilema windersii,0.4,160,6,3.5,0.2,80,3,2.5
Lachnagrostis adamsonii,0.7,250,3.5,NA,0.45,80,1,NA
Lachnagrostis aemula,0.65,200,5,NA,0.25,80,1,NA
Lachnagrostis billardierei,0.75,400,8,NA,0.25,50,1,NA
Lachnagrostis billardierei subsp. billardierei,0.75,400,8,NA,0.25,50,1,NA
Lachnagrostis billardierei subsp. tenuiseta,0.75,400,8,NA,0.25,50,1,NA
Lachnagrostis collicola,0.2,150,2,NA,0.1,50,1,NA
Lachnagrostis drummondiana,0.6,150,3,NA,0.4,30,1,NA
Lachnagrostis filiformis,0.8,300,3.5,NA,0.15,80,1,NA
Lachnagrostis lacunarum,0.4,200,2.5,NA,0.2,100,1.5,NA
Lachnagrostis limitanea,0.45,120,25,NA,0.3,30,15,NA
Lachnagrostis meionectes,0.2,60,1.8,NA,NA,60,0.4,NA
Lachnagrostis plebeia,0.3,70,1,NA,0.2,20,0.5,NA
Lachnagrostis preissii,0.45,120,0.5,NA,0.12,20,0.5,NA
Lachnagrostis punicea,0.65,250,1,NA,0.2,50,0.2,NA
Lachnagrostis punicea subsp. filifolia,0.65,250,1,NA,0.2,50,0.2,NA
Lachnagrostis robusta,0.75,500,1,NA,0.25,100,0.2,NA
Lachnagrostis scabra,0.8,170,5,NA,0.6,100,3.5,NA
Lachnagrostis scabra subsp. curviseta,0.8,170,5,NA,0.6,100,3.5,NA
Leersia hexandra,1.5,200,16,NA,0.3,60,2,NA
Leptaspis banksii,1,390,40,NA,0.2,95,9,NA
Leptochloa decipiens,1.3,NA,3,NA,NA,NA,NA,NA
Leptochloa decipiens subsp. asthenes,1.3,NA,3,NA,NA,NA,NA,NA
Leptochloa decipiens subsp. peacockii,1.3,NA,3,NA,NA,NA,NA,NA
Leptochloa digitata,3,220,7,NA,1,50,2,NA
Leptochloa divaricatissima,0.6,240,4,NA,0.3,30,1.5,NA
Leptochloa fusca,1.5,550,5,NA,0.6,250,3,NA
Leptochloa fusca subsp. fusca,1.5,550,5,NA,0.6,250,3,NA
Leptochloa fusca subsp. muelleri,1.5,550,5,NA,0.6,250,3,NA
Leptochloa ligulata,1.2,350,7,NA,0.6,150,3,NA
Leptochloa neesii,1.05,200,4,NA,0.6,100,2,NA
Leptochloa panicea,1.1,250,7,NA,0.25,30,1.5,NA
Leptochloa panicea subsp. brachiata,1.1,250,7,NA,0.25,30,1.5,NA
Leptochloa simoniana,1.4,350,91,NA,0.9,200,3.5,NA
Leptochloa southwoodii,1.7,550,12.5,NA,1.37,250,6,NA
Lepturus copeanus,0.4,45,5,NA,0.3,35,4,NA
Lepturus geminatus,1.2,230,7,NA,0.3,100,2,NA
Lepturus minutus,0.15,6,1.5,NA,0.05,3,1,NA
Lepturus repens,0.6,300,10,NA,0.1,30,2,NA
Lepturus xerophilus,0.9,110,5.5,2,0.3,25,0.5,2
Lophatherum gracile,1,200,50,NA,0.45,80,14,NA
Micraira adamsii,0.05,16,1.5,0.5,0.04,7,0.5,0.3
Micraira brevis,0.15,6,0.5,NA,0.03,3.5,0.3,NA
Micraira compacta,0.03,80,0.75,0.5,0.02,40,0.3,0.3
Micraira dentata,0.03,25,2,NA,0.02,11,2,NA
Micraira dunlopii,0.05,95,0.3,0.5,0.03,65,0.3,0.2
Micraira inserta,0.01,6,0.5,NA,0.01,5,0.3,NA
Micraira lazaridis,0.11,37,0.4,0.4,0.03,18,0.3,NA
Micraira multinervia,0.15,12.5,1.3,0.6,0.1,9,1.3,0.5
Micraira pungens,0.12,80,2,0.5,0.07,15,0.3,0.5
Micraira spiciforma,0.05,5,0.5,0.5,0.02,4,0.4,0.5
Micraira spinifera,0.05,100,1,0.5,0.02,70,0.3,0.5
Micraira subspicata,0.03,90,0.75,0.5,0.02,60,0.75,0.5
Micraira subulifolia,0.08,10,1,0.9,0.06,5,0.3,0.75
Micraira tenuis,0.1,200,0.3,0.5,0.04,60,0.3,0.3
Micraira viscidula,0.05,10,0.5,0.5,0.03,NA,NA,NA
Microchloa indica,0.1,80,1.8,1.25,0.05,10,0.3,0.9
Microlaena stipoides,0.75,250,5,NA,0.3,25,1,NA
Microlaena stipoides var. breviseta,0.75,250,5,NA,0.3,25,1,NA
Microlaena stipoides var. stipoides,0.75,250,5,NA,0.3,25,1,NA
Microlaena tasmanica,1,200,3,NA,0.06,60,1,NA
Microlaena tasmanica var. subalpina,1,200,3,NA,0.06,60,1,NA
Microlaena tasmanica var. tasmanica,1,200,3,NA,0.06,60,1,NA
Mnesithea annua,2,600,45,3.5,1,300,10,NA
Mnesithea formosa,0.6,120,4,NA,0.1,10,1,NA
Mnesithea pilosa,0.3,60,3,NA,0.25,30,1,NA
Mnesithea rottboellioides,3,500,20,NA,1,200,8,NA
Monachather paradoxus,0.7,160,5,1.8,0.25,70,2,1.2
Monodia stipoides,1.5,600,2,NA,0.5,300,2,NA
Mullerochloa moreheadiana,NA,300,30,NA,NA,300,30,NA
Neololeba atra,8,500,90,NA,4,250,45,NA
Neurachne alopecuroides,0.6,160,3,NA,0.2,40,1,NA
Neurachne lanigera,0.25,120,2,NA,0.15,20,1,NA
Neurachne minor,0.25,100,2.5,NA,0.13,30,0.5,NA
Neurachne munroi,0.5,100,2.5,NA,0.15,50,1.5,NA
Neurachne queenslandica,0.4,210,3,NA,0.2,30,1,NA
Neurachne tenuifolia,0.5,250,1.5,NA,0.3,80,0.8,NA
Notochloe microdon,1,300,3,2.4,0.3,150,2,2.4
Ophiuros exaltatus,2.5,1000,40,NA,1.5,500,10,NA
Oplismenus aemulus,NA,100,18,NA,NA,10,4,NA
Oplismenus burmannii,0.6,100,20,NA,0.1,10,5,NA
Oplismenus compositus,1.5,240,27,NA,0.15,20,8,NA
Oplismenus mollis,0.5,100,15,NA,0.12,10,4,NA
Oplismenus undulatifolius,NA,NA,NA,NA,NA,NA,NA,NA
Oryza australiensis,2.2,350,14,6.4,1,100,3,4.7
Oryza meridionalis,2,300,12,6.4,1,180,9,6
Oryza minuta,1,280,13,NA,0.5,140,6,NA
Oryza rufipogon,0.9,400,25,6.7,0.7,200,5,5.2
Ottochloa gracillima,0.6,100,7,NA,0.05,10,1.5,NA
Ottochloa nodosa,2,200,20,NA,0.2,15,2,NA
Oxychloris scariosa,0.5,160,3.5,2.1,0.15,50,0.5,1.3
Panicum bisulcatum,0.8,250,13,NA,0.2,20,4,NA
Panicum bombycinum,0.35,210,4,NA,0.15,90,2,NA
Panicum buncei,0.8,200,5,NA,0.3,50,1.5,NA
Panicum chillagoanum,0.6,120,5,NA,0.15,20,2,NA
Panicum decompositum,0.8,500,12,1.5,0.3,70,2.5,NA
Panicum decompositum var. decompositum,0.8,500,12,1.5,0.3,70,2.5,NA
Panicum decompositum var. tenuius,0.8,500,12,1.5,0.3,70,2.5,NA
Panicum distachyum var. trichophorum,0.8,500,12,1.5,0.3,70,2.5,NA
Panicum effusum,1,250,6,NA,0.02,50,2,NA
Panicum incomtum,15,400,20,NA,1,300,10,NA
Panicum lachnophyllum,0.3,100,9,NA,0.1,15,3,NA
Panicum laevinode,1.2,200,8,1.5,0.15,50,2.5,NA
Panicum larcomianum,1,350,4,NA,0.4,90,2,NA
Panicum latzii,0.8,400,8,NA,0.4,140,2.5,NA
Panicum luzonense,1.2,250,15,1.4,0.1,180,6,NA
Panicum mindanaense,0.8,180,4.5,NA,0.2,30,1.5,NA
Panicum mitchellii,2,500,14,NA,1,100,6,NA
Panicum obseptum,0.3,100,5,NA,0.1,10,1.25,NA
Panicum paludosum,1.3,300,15,1.5,0.25,70,5,NA
Panicum pygmaeum,0.29,45,6,NA,0.08,10,1,NA
Panicum queenslandicum,0.8,350,4,NA,0.3,100,1,NA
Panicum queenslandicum var. acuminatum,0.8,350,4,NA,0.3,100,1,NA
Panicum queenslandicum var. queenslandicum,0.8,350,4,NA,0.3,100,1,NA
Panicum seminudum,0.9,300,9,NA,0.4,40,3,NA
Panicum seminudum var. cairnsianum,0.9,300,9,NA,0.4,40,3,NA
Panicum seminudum var. seminudum,0.9,300,9,NA,0.4,40,3,NA
Panicum simile,0.7,150,3.5,NA,0.2,30,1,NA
Panicum trachyrhachis,0.6,450,7,NA,0.3,120,3,NA
Paractaenum novae-hollandiae,0.6,190,8,NA,0.2,30,2,NA
Paractaenum novae-hollandiae subsp. novae-hollandiae,0.6,190,8,NA,0.2,30,2,NA
Paractaenum novae-hollandiae subsp. reversum,0.6,190,8,NA,0.2,30,2,NA
Paraneurachne muelleri,0.45,120,4,3.25,0.15,10,2,2.1
Paspalidium albovillosum,0.7,150,4.5,NA,0.2,35,1,NA
Paspalidium aversum,0.9,250,9,NA,0.4,80,3,NA
Paspalidium basicladum,0.7,120,3,NA,0.2,60,3,NA
Paspalidium caespitosum,0.7,250,4,NA,0.2,80,1,NA
Paspalidium clementii,0.4,120,4.5,NA,0.1,50,2,NA
Paspalidium constrictum,0.6,150,4,NA,0.1,60,1,NA
Paspalidium criniforme,0.6,120,3,NA,0.1,30,1,NA
Paspalidium distans,0.7,120,6.5,NA,0.3,80,1,NA
Paspalidium flavidum,1,200,8,NA,0.1,40,4,NA
Paspalidium gausum,0.8,240,9,NA,0.35,70,2,NA
Paspalidium globoideum,0.8,250,6,NA,0.25,60,3,NA
Paspalidium gracile,0.9,140,4,NA,0.1,70,1,NA
Paspalidium grandispiculatum,1.5,90,5,NA,0.4,35,2,NA
Paspalidium johnsonii,0.2,40,7,NA,0.07,10,5,NA
Paspalidium jubiflorum,1.2,250,10,NA,0.3,70,2.5,NA
Paspalidium rarum,0.45,190,3.5,NA,0.15,30,1,NA
Paspalidium reflexum,0.55,260,4.5,NA,0.2,80,2,NA
Paspalidium retiglume,0.5,100,5,NA,0.1,40,3,NA
Paspalidium spartellum,1.15,60,4,NA,0.5,10,0.1,NA
Paspalidium tabulatum,0.6,80,3,NA,0.4,50,1.5,NA
Paspalidium udum,0.9,200,11,NA,0.4,150,5,NA
Paspalum longifolium,1.3,350,9,NA,0.3,90,3,NA
Paspalum multinodum,2,380,5,NA,1.5,150,2,NA
Paspalum scrobiculatum,1.5,400,15,NA,0.1,50,3,NA
Pentapogon quadrifidus,0.7,150,1.5,NA,0.1,20,0.3,NA
Pentapogon quadrifidus var. parviflorus,0.7,150,1.5,NA,0.1,20,0.3,NA
Pentapogon quadrifidus var. quadrifidus,0.7,150,1.5,NA,0.1,20,0.3,NA
Perotis clarksonii,0.4,35,3.5,NA,0.15,17,1.7,NA
Perotis rara,0.4,50,4,NA,0.15,20,1,NA
Pheidochloa gracilis,0.5,40,0.4,2,0.06,3,0.2,NA
Phragmites australis,6,600,32,1.4,1,200,8,NA
Phragmites karka,10,800,40,1.1,1,200,10,NA
Plinthanthesis paradoxa,1,400,3,1.5,0.25,200,2,NA
Plinthanthesis rodwayi,0.6,200,2,1.5,0.2,100,1,1.4
Plinthanthesis urvillei,0.8,300,1.5,1.4,0.3,200,0.5,1.3
Poa affinis,1.2,300,5,NA,0.1,100,1,NA
Poa annua,0.46,140,5,NA,0.02,5,1,NA
Poa billardierei,0.75,500,2,NA,0.08,85,0.6,NA
Poa cheelii,1,250,4,2,0.25,60,0.6,NA
Poa clelandii,0.75,195,5,1.5,0.05,75,1,NA
Poa clivicola,0.6,150,0.4,NA,0.15,30,0.2,NA
Poa costiniana,0.8,220,0.9,2.5,0.15,100,0.5,NA
Poa crassicaudex,0.9,300,3,NA,0.4,150,0.75,NA
Poa drummondiana,0.9,300,4.3,5,0.18,80,1.5,NA
Poa ensiformis,1.1,185,5,2,0.2,50,2,2
Poa fawcettiae,0.6,350,2,NA,0.2,10,0.9,NA
Poa fax,0.3,150,3.4,2,0.02,10,0.9,0.6
Poa fordeana,1,200,5,NA,0.2,50,1.5,NA
Poa gunnii,0.4,65,1,NA,0.05,20,0.3,NA
Poa halmaturina,0.12,250,0.7,NA,0.05,20,0.4,NA
Poa helmsii,1.5,280,7.2,NA,0.5,195,6.8,NA
Poa hiemata,0.6,150,2,NA,0.15,70,0.4,NA
Poa homomalla,0.75,200,4,NA,0.14,60,1.3,NA
Poa hookeri,0.5,150,1,NA,0.1,20,0.4,NA
Poa hothamensis,0.9,300,5.5,NA,0.15,65,1.5,NA
Poa hothamensis var. hothamensis,0.9,300,5.5,NA,0.15,65,1.5,NA
Poa hothamensis var. parviflora,0.9,300,5.5,NA,0.15,65,1.5,NA
Poa induta,0.9,355,0.9,NA,0.28,50,0.6,NA
Poa jugicola,1,350,2,NA,0.3,35,0.3,NA
Poa labillardierei,1.2,610,5,NA,0.3,150,0.6,NA
Poa labillardierei var. acris,1.2,610,5,NA,0.3,150,0.6,NA
Poa labillardierei var. labillardierei,1.2,610,5,NA,0.3,150,0.6,NA
Poa lowanensis,0.9,400,3,NA,0.3,45,0.4,NA
Poa meionectes,1,210,0.5,NA,0.1,50,0.2,NA
Poa mollis,0.8,200,3,NA,0.25,45,0.9,NA
Poa morrisii,0.95,300,1,NA,0.45,150,0.6,NA
Poa orba,0.15,80,1.5,NA,0.05,40,0.8,NA
Poa petrophila,0.7,250,0.8,NA,0.2,50,0.5,NA
Poa phillipsiana,1,250,0.75,NA,0.35,40,0.3,NA
