Genus Authority,Photosynthetic types,Species sampled,References,Notes
Bromus L.,C3,"Bromus diandrus Roth, Bromus erectus Huds. (= Zerna), Bromus mollis L. (= B. hordeaceus L.), Bromus unioloides Kunth, Bromus carinatus Hook. & Arn (Bromus laciniatus Beal), Bromus coloratus Steud, Bromus riparius Rehmann (=Bromus fibrosus Hack.), Bromus inermis Leyss., Bromus japonicus Thunb., Bromus sterilis L., Bromus tectorum L., Bromus arvensis L., Bromus ciliatus L., Bromus lanceolatus Roth  (=Bromus macrostachys Desf.), Bromus rigidus Roth (=Bromus maximus Desf.), Bromus kalmii A.Gray (=Bromus purgans L.), Bromus ramosus Huds., Bromus secalinus L. (=Bromus velutinus Schrad.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Brylkinia Schmidt,C3,Brylkinia caudata (Munro) Fr. Schmidt,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Buchloe Engelm.,C4,Buchloë dactyloides (Nutt.) Engelm,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Buchlomimus J. & C. Reeder & Rzedowski,C4,Buchlomimus nervatus (Swallen) Reeder & Rzedowski,Watson & Dallwitz (1992 onwards),
Buergersiochloa Pilger,C3,Buergersiochloa bambusoides Pilger,Watson & Dallwitz (1992 onwards),
Calamagrostis Adanson,C3,Calamagrostis epigejos (L.) Roth,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Calamovilfa Scribn.,C4,Calamovilfa longifolia (Hook.) Hack.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Calderonella Sod. & Deck.,C3,Calderonella sylvatica Soderstrom & Decker,Watson & Dallwitz (1992 onwards),
Calyptochloa C.E.Hubbard,C3,Calyptochloa gracillima Hubbard,Watson & Dallwitz (1992 onwards),
"Canastra Morrone, Zuloaga, Davidse & Filg.",C3,"Canastra lanceolata (Filgueras) Morrone, Zuloaga, Davidse & Filgueras",Morrone et al. (2001),
Capeochloa H. P. Linder & N. P. Barker,C3,Capeochloa cincta (Nees) N. P. & N. P. Barker,Linder et al. (2010); Linder pers. comm.,
Capillipedium Stapf,C4,Capillipedium spicigerum Blake,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Castellia Tineo,C3,Castellia tuberculosa (Moris) Bor,Watson & Dallwitz (1992 onwards),
Catabrosa Beauv.,C3,Catabrosa aquatica (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
