Genus Authority,Photosynthetic types,Species sampled,References,Notes
Pseudechinolaena Stapf,C3,Pseudechinolaena polystachya (H.B.K.) Stapf,Watson & Dallwitz (1992 onwards),
Pseudochaetochloa Hitchc.,C4,Pseudochaetochloa australiensis,Watson & Dallwitz (1992 onwards),
Pseudodanthonia Bor & Hubbard,C3,Pseudodanthonia himalaica Bor & C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Pseudodichanthium Bor,C4,Pseudodichanthium serrafalcoides (Cooke & Stapf) Bor,Renvoize (1982),
Pseudopentameris Conert,C3,Pseudopentameris macrantha (Schrad.) Conert,Renvoize (1986),
Pseudoraphis Griff. ex Pilger,C4,"Pseudoraphis abortiva (R.Br.) Pilger, Pseudoraphis paradoxa (R.Br.) Pilger, Pseudoraphis spinescens Vickery",Watson & Dallwitz (1992 onwards),
Pseudosasa Nakai,C3,Pseudosasa japonica (Sieb. & Zucc. ex Steud.) Makino ex Nakai,Watson & Dallwitz (1992 onwards),
Pseudosclerochloa Tzvelev,C3, -,BEP clade,
Pseudosorghum A.Camus,C4,Pseudosorghum fasciculare (Roxb.) A.Camus,Renvoize (1982),
Pseudostachyum Munro,C3,Pseudostachyum polymorphum Munro,Metcalfe (1960),
Pseudoxytenanthera Soderstrom & Ellis,C3,Pseudoxytenanthera monadelpha (Thwaites) Soderstrom & Ellis,Soderstrom & Ellis (1988),
Pseudozoysia Chiov.,C4,Pseudozoysia sessilis Chiov.,Watson & Dallwitz (1992 onwards),
Psilolemma S.M.Phillips,C4,Psilolemma jaegeri (Pilger) S.M. Phillips,Watson & Dallwitz (1992 onwards),
Psilurus Trin.,C3,Psilurus incurvus (Gouan) Schinz & Thell.,Watson & Dallwitz (1992 onwards),
Puccinellia Parl.,C3,"Puccinellia stricta (Hook.f.) Blom, Puccinellia fasciculata (Torr.) E.P.Bicknell, Puccinellia maritima (Huds.) Parl.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Puelia Franch.,C3,"Puelia ciliata Franch., P. dewevrei Wild. & Dur.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pyrrhanthera Zotov,C3,Pyrrhanthera exigua (Kirk) Zotov,Watson & Dallwitz (1992 onwards),
Racemobambos Holttum,C3,Racemobambos gibbsiae (Stapf) Holttum,Watson & Dallwitz (1992 onwards),
Raddia Bertoloni,C3,Raddia brasiliensis A. Bertoloni,Watson & Dallwitz (1992 onwards),
Raddiella Swallen,C3,Raddiella esenbeckiana (Steud.) Calderon & Soderstrom,Watson & Dallwitz (1992 onwards),
Ratzeburgia Kunth,C4,Ratzeburgia pulcherrima Kunth,Renvoize (1982),
Redfieldia Vasey,C4,Redfieldia flexuosa (Thurb.) Vasey,Watson & Dallwitz (1992 onwards),
Reederochloa Sod. & Deck.,C4,Reederochloa eludens Soderstrom & Decker,Van den Borre (1994),
Rehia Fijten,C3,Rehia nervata (Swallen) Fitjen,Watson & Dallwitz (1992 onwards),
Reimarochloa Hitchc.,C4,Reimarochloa brasiliensis Hitchc.,Watson & Dallwitz (1992 onwards),
Reitzia Swallen,C3,Reitzia smithii Swallen,Watson & Dallwitz (1992 onwards),
Relchela Steud.,C3,Relchela panicoides Steud.,Watson & Dallwitz (1992 onwards),
Reynaudia Kunth,C4,Reynaudia filiformis Kunth.,Watson & Dallwitz (1992 onwards),
"Rheochloa Filg., Peterson & Herrera",C4,"Rheochloa scabriflora Filg., P.M.Peterson & Y.Herrera",Filigueiras et al. (1999),
Rhipidocladum McClure,C3,"Rhipidocladum pittieri (Hack.) McClure, Rhipidocladum racemiflorum (Steud.) McClure",Watson & Dallwitz (1992 onwards),
Rhizocephalus Boiss.,C3,Rhizocephalus orientalis Boiss.,Watson & Dallwitz (1992 onwards),
Rhombolytrum Link,C3,Rhomboelytrum monandrum (Hack.) Nicora & Rugolo,Watson & Dallwitz (1992 onwards),
Rhynchoryza Baillon,C3,Rhynchoryza suloulata (Nees) Baillon,Watson & Dallwitz (1992 onwards),
Rhytachne Desv.,C4,Rhytachne rottboellioides Desv.,Metcalfe (1960),
Richardsiella Ellfers & O'Byrne,C4,Richardsiella eruciformis Elffers & Kennedy O’Byrne,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Rostraria Trin.,C3,Lophochloa cristata (L.) Hyl. = Rostraria cristata (L.) Tzvelev (=Koeleria phleoides (Vill.) Pers),Watson & Dallwitz (1992 onwards),
Rottboellia L.f.,C4,Rottboellia exaltata L. f,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Rytidosperma Steud.,C3,"Danthonia dimidiata Vickery (= Rytidosperma), Danthonia nivicola Vickery (= Rytidosperma), Danthonia nudiflora Morris (= Rytidosperma), Danthonia procera Vickery (= Rytidosperma?), Rytidosperma buchananii (Hook.f.) Connor & Edgar (=Danthonia buchananii Hook.f.), Rytidosperma pilosum (R.Br.) Connor & Edgar  (=Danthonia pilosa R.Br.), Rytidosperma semiannulare (Labill.) Connor & Edgar (=Danthonia semiannularis (Labill.) R.Br.)",Watson & Dallwitz (1992 onwards),
Saccharum L.,C4,"Saccharum robustum Brandes & Jeswiet, Saccharum spontaneum L., Saccharum bengalense Retz., Saccharum officinarum L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Sacciolepis Nash,C3,"Sacciolepis indica (L.) Chase, Sacciolepis africana C.E.Hubb. & Snowden, Sacciolepis chevalieri Stapf, Sacciolepis myosuroides (R.Br.) A.Camus (=Sacciolepis huillensis (Rendle) Stapf), Sacciolepis interrupta (Willd.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Sartidia de Winter,C3,"Sartidia angolensis (C.E.Hubb.) De Winter, Sartidia dewinteri J. Munday & L. Fish, Sartidia jucunda (Schweick.) De Winter, Sartidia perrieri (A.Camus) Bourreil, Sartidia vanderystii (De Wild.) De Winter",de Winter (1965); Brown (1975); Renvoize (1986); Balkwill et al. (2011),
Sasa Mak. & Shib.,C3,Sasa kurilensis (Rupr.) Makino & Shibata,Watson & Dallwitz (1992 onwards),
Schaffnerella Nash,C4,Schaffnerella gracilis (Benth.) Nash,Watson & Dallwitz (1992 onwards),
Schedonnardus Steud.,C4,Schedonnardus paniculatus (Nutt.) Trel.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Schismus Beauv.,C3,Schismus barbatus (L.) Thell. (=Schismus calycinus (Loefl.) K.Koch),Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Schizachne Hack,C3,Schizachne purpurascens (Torr.) Swallen,Watson & Dallwitz (1992 onwards),
Schizachyrium Nees,C4,"Schizachyrium fragile (R. Br.) A. Camus, Schizachyrium jeffreysii (Hack.) Stapf,  Schizachyrium exile (Hochst.) Pilg., Schizachyrium sanguineum (Retz.) Alston","Metcalfe (1960); Watson & Dallwitz (1992 onwards); C.B. de Yong, pers. comm.",
Schizostachyum Nees,C3,"Schizostachyum lima Merril, Schizostachyum gracile (Munro) Holttum (=Schizostachyum gracile var. erectum Holttum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Schmidtia Steud.,C4,"Schmidtia pappophoroides Steud. ex Schmidt, Schmidtia kalahariensis Stent ",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Schoenefeldia Kunth,C4,Schoenefeldia transiens Chiov.,Watson & Dallwitz (1992 onwards),
Sclerochloa Beauv.,C3,Sclerochloa dura (L.) Beauv.,Watson & Dallwitz (1992 onwards),
Sclerodactylon Stapf,C4,Sclerodactylon macrostachyum (Benth.) A. Camus,Watson & Dallwitz (1992 onwards),
Scleropogon Phil.,C4,Scleropogon brevifolius Phil.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Scolochloa Link,C3,Scolochloa festucacea (Willd.) Link,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Scribneria Hack.,C3,Scribneria bolanderi (Thurb.) Hack.,Watson & Dallwitz (1992 onwards),
Scrotochloa Jud.,C3,Scrotochloa urceolata (Roxb.) Judziewicz,Watson & Dallwitz (1992 onwards),
Scutachne Hitchc. & Chase,C4,Scutachne dura (Griseb.) Hitchc. & Chase,Watson & Dallwitz (1992 onwards),
Secale L.,C3,Secale cereale L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Sehima Forssk.,C4,Sehima nervosa (Rottb.) Stapf,Watson & Dallwitz (1992 onwards),
Semiarundinaria Nakai,C3,Semiarundinaria fastuosa (Mitford) Makino,Metcalfe (1960),
Sesleria Scop.,C3,"Sesleria caerulea (L.) Ard., Sesleriella (Sesleria) sphaerocephala",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Setaria Beauv.,C4,"Setaria geniculata (Lam.) Beauv., Setaria palmifolia (Koenig) Stapf, Setaria verticillata (L.) Beauv., Setaria barbata (Lam.) Kunth, Setaria italica (L.) P.Beauv., Setaria plicata (Lam.) T.Cooke, Setaria viridis (L.) P.Beauv., Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex Moss (=Setaria aurea Hochst. ex A.Braun), Setaria glauca (L.) P.Beauv. (Pennisetum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Setariopsis Scribn. & Millsp.,C4,Setariopsis auriculata Scribn.,Watson & Dallwitz (1992 onwards),
Shibataea Nakai,C3,Shibataea kumasaca (Steud.) Makino (=Shibataea ruscifolia (Siebold ex Munro) Makino),Metcalfe (1960),
"Silentvalleya Nair, Sreek., Vaj. & Bargh.",C4,"Silentvalleya naivii Nair, Sreekumar, Vajravdu & Bhargavan",Van den Borre (1994); Watson & Dallwitz (1992 onwards),
Simplicia T.Kirk,C3,Simplicia buchananii Zotov,Watson & Dallwitz (1992 onwards),
Sinobambusa Nakai,C3,Sinobambusa tootsik Makino,Watson & Dallwitz (1992 onwards),
Sinochasea Keng,C3, -,BEP clade,
Sirochloa S.Dransfield,C3, -,BEP clade,
Snowdenia C.E.Hubbard,C4,Snowdenia polystachya (Fresen) C.E. Hubbard,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Soderstromia Morton,C4,Soderstromia mexicana (Scribn.) Morton,Watson & Dallwitz (1992 onwards),
Soejatmia K. M. Wong,C3, -,BEP clade,
Sohnsia Airy-Shaw,C4,Sohnsia filifolia (Fourn.) Airy Shaw,Watson & Dallwitz (1992 onwards),
Sorghastrum Nash,C4,"Sorghastrum nudipes Nash, Sorghastrum stipoides (Kunth) Nash ",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Sorghum Moench,C4,"Sorghum leiocladum (Hackel) Hubbard, Sorghum halepense (L.) Pers",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Spartina Schreb.,C4,"Spartina maritima (Curtis) Fernald, Spartina × townsendii H.Groves & J.Groves",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Spartochloa C.E.Hubbard,C3,Spartochloa scirpioides Hubbard,Watson & Dallwitz (1992 onwards),
Spathia Ewart & Davies,C4,Spathia neurosa Ewart & Archer,Watson & Dallwitz (1992 onwards),
Sphaerobambos S.Dransfield,C3, -,BEP clade,
Sphaerocaryum Hook.f.,C3,Sphaerocaryum malacense (Trin.) Pilger,Watson & Dallwitz (1992 onwards),
Spheneria Kuhlm.,C4,Spheneria kegelii (C. Muell.) Pilger,Watson & Dallwitz (1992 onwards),
Sphenopholis Scribn.,C3,Sphenopholis obtusata (Michx.) Scribner,Watson & Dallwitz (1992 onwards),
Sphenopus Trin.,C3,"Sphenopus divaricatus (Gouan) Reichenb., Sphenopus sp.",Watson & Dallwitz (1992 onwards),
Spinifex L.,C4,"Spinifex hirsutus Labill., Spinifex longifolius R. Br., Spinifex sericeus R. Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Spodiopogon Trin.,C4,Spodiopogon lacei Hole,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Sporobolus R.Br.,C4,"Sporobolus crebar de Nardi, Sporobolus elongatus R. Br., Sporobolus pulchellus R. Br., Sporobolus africanus (Poir.) Robyns & Tournay, Sporobolus diandrus (Retz.) P.Beauv.  (=Sporobolus diander (Retz.) P. Beauv.), Sporobolus indicus (L.) R.Br., Sporobolus molleri Hack., Sporobolus junceus (P.Beauv.) Kunth  (=Sporobolus poiretii (Roem. & Schult.) Hitchc.), Sporobolus pyramidalis P.Beauv., Sporobolus virginicus (L.) Kunth, Sporobolus wrightii Scribn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Steinchisma Raf.,"C3, C3-C4","Steinchisma hians (Panicum hians Ell.), Steinchisma decipiens (Nees ex Trin.) W.V.Br., Steinchisma laxa (Sw.) Zuloaga, Steinchisma spathellosum (Döll) Renvoize, Steinchisma exiguiflorum (Griseb.) W.V.Br., Steinchisma cupreum (Hitchc. & Chase) W.V.Br., Steinchisma stenophylla (Hack.) Zuloaga & Morrone",Brown (1977); Morgan & Brown (1979); Renvoize (1987); Watson & Dallwitz (1992 onwards); Zuloaga et al. (1998),
Steirachne Ekman,C4,Steirachne diandra Ekman,Watson & Dallwitz (1992 onwards),
Stenostachys Turcz.,C3, -,BEP clade,
Stenotaphrum Trin.,C4,"Stenotaphrum micranthum (Desv.) C.E. Hubb., Stenotaphrum secundatum (Walter) Kuntze, Stenotaphrum dimidiatum (L.) Brongn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Stephanachne Keng,C3,Stephanachne (Pappagrostis) pappophorea,Watson & Dallwitz (1992 onwards),
Stereochlaena Hack.,C4,Stereochlaena cameronii (Stapf) Pilger,Watson & Dallwitz (1992 onwards),
Steyermarkochloa Davidse & Ellis,C3,Steyermarkochloa uniflora Davidse & Ellis,Watson & Dallwitz (1992 onwards),
Stipa L.,C3,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Stipagrostis Nees,C4,"Stipagrostis ciliata (Desf.) de Winter, Stipagrostis pungens (Desf.) De Winter (=Aristida pungens Desf.), Stipagrostis uniplumis (Licht.) de Winter",Metcalfe (1960); Renvoize (1986); Watson & Dallwitz (1992 onwards); Sage et al. (1999); This study.,"Kranz anatomy and C4 isotope values in all species studied to-date. S. paradisea, C4 isotope value = -12.5"
Streptochaeta Schrad.,C3,Streptochaeta spicata Schrad. ex Nees,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Streptogyna Beauv.,C3,"Streptogyna americana C.E. Hubb., Streptogyna crinita P.Beauv. (=Streptogyna gerontogaea Hook.f.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Streptolophus Hughes,C4,Streptolophus sagittifolius Hughes,Watson & Dallwitz (1992 onwards),
Streptostachys Desv.,C4 (& C3-C4?) & C3,"Streptostachys asperifolia Desf., Streptostachys lanciflora R.P.Oliveira & Longhi-Wagner, Streptostachys macrantha (Trin.) Zuloaga & Soderstr, Streptostachys ramosa Zuloaga & Soderstr, Streptostachys rigidifolia Filg., Morrone & Zuloaga",Morrone and Zuloaga (1991); Watson & Dallwitz (1992 onwards); Sede et al. (2009); P-A Christin (pers. comm.),"S. asperifolia is characterised by large bundle sheath cells containing a high concentration of chloroplasts, a trait combination often associated with C3-C4 intermediates (P-A Christin, pers. comm.)"
Styppeiochloa de Winter,C3,Styppeiochloa gynoglossa (Gooss.) De Winter,Renvoize (1986),
Sucrea Soderstrom,C3,Sucrea maculata Soderstrom,Watson & Dallwitz (1992 onwards),
Suddia Renvoize,C3, -,BEP clade,
Swallenia Sod. & Deck.,C4,Swallenia alexandrae (Swallen) Soderstrom & Decker,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Symplectrodia Lazarides,C4,"Symplectrodia lanosa M. Lazarides, Symplectrodia gracilis M. Lazarides",Watson & Dallwitz (1992 onwards),
Taeniatherum Nevski,C3,Taeniatherum caput-medusae (L.) Nevski (=Elymus caput-medusae L.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Taeniorhachis Cope,unknown, -,NA,
Tarigidia Stent,C4,Tarigidia aequiglumis (Goossens) Stent,Watson & Dallwitz (1992 onwards),
Tatianyx Zul. & Sod.,C4,Tatianyx arnactites (Trin.) Zuloaga & Soderstrom,Watson & Dallwitz (1992 onwards),Described by Watson & Dallwitz (1992 onwards) from poorly preserved material
Temburongia S. Dransfield & K.M. Wong,C3, -,BEP clade,
Temochloa S. Dransfield,C3, -,BEP clade,
Tenaxia N. P. Barker & H. P. Linder,C3,"Tenaxia aureocephala (J.G.Anderson) N.P.Barker & H.P.Linder, Tenaxia stricta (Schrad.) N. P. Barker & H.P. Linder","Ellis (1980, 1981); Linder et al. (2010)",
Tetrachaete Chiov.,C4,Tetrachaete elionuroides Chiov.,Watson & Dallwitz (1992 onwards),
Tetrachne Nees,C4,Tetrachne dregei Nees,Watson & Dallwitz (1992 onwards),
Tetrapogon Desf.,C4,Tetrapogon tenellus Chiov.,Watson & Dallwitz (1992 onwards),
Thamnocalamus Munro,C3,Thamnocalamus tessellatus (Nees) Soderstr. & R.P.Ellis,Metcalfe (1960); Soderstrom and Ellis (1982),
Thaumastochloa C.E.Hubbard,C4,Thaumastochloa sp.,Watson & Dallwitz (1992 onwards),
Thedachloa S.W.L.Jacobs,C4,Thedachloa annua S.W.L. Jacobs,This study,T. annua: C4 isotope value = -11.3
Thelepogon Roem. & Schult.,C4,Thelepogon elegans Roth,Watson & Dallwitz (1992 onwards),
Themeda Forssk.,C4,"Themeda australis (R. Br.) Stapf, Themeda quadrivalvis (L.) Kuntze, Themeda tremula (Nees ex Steud.) Hack., Themeda triandra Forssk.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Thrasya Kunth,C4,"Thrasya petrosa (Trin.) Chase, Thrasya reticulata Swallen, Thrasya thrasyoides (Trin.) Chase",Watson & Dallwitz (1992 onwards),
Thuarea Pers.,C4,Thuarea involuta (Forster f.) R. Br. ex Roem. & Schultes,Watson & Dallwitz (1992 onwards),
Thyridachne C.E.Hubbard,C3,Thyridachne tisserantii C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Thyridolepis S.T.Blake,C3,"Thyridolepis mitchelliana (Nees) Blake (=Neurachne mitchelliana Nees), Thyridolepis multiculmis (Pilger) Blake, Thyridolepis xerophila (Domin) Blake",Hattersley et al. (1982); Watson & Dallwitz (1992 onwards),
Thyrsostachys Gamble,C3,Thyrsostachys oliveri Gamble,Metcalfe (1960),
Thysanolaena Nees,C3,Thysanolaena maxima (Roxb.) O.K.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Toliara Judziewicz,C4,"in revision, synonym of Perotis Ait.","Peterson, unpublished",
Torreyochloa Church,C3,Torreyochloa pallida Church,Watson & Dallwitz (1992 onwards),
Tovarochloa Macfarlane & But,C3,Tovarochloa peruviana T.D.Macfarl. & But,Macfarlane & But (1982),
Trachypogon Nees,C4,Trachypogon plumosus Nees,Watson & Dallwitz (1992 onwards),
Trachys Pers.,C4,Trachys muricata Steud.,Watson & Dallwitz (1992 onwards),
Tragus Haller,C4,"Tragus australianus Blake, Tragus berteronianus Schult., Tragus racemosus (L.) All.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Tribolium Desv.,C3,"Lasiochloa echinata (Thunb.) Henr. (= Tribolium), Plagiochloa acutiflora (Nees) Adamson & Sprague (= Tribolium), Plagiochloa uniolae (L.f.) Adamson & Sprague (= Tribolium)",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Trichloris Benth.,C4,Trichloris Benth. sp.,Brown (1958),
Tricholaena Schult,C4,"Tricholaena monachne (Trin.) Stapf & Hubbard, Tricholaena teneriffae Parl.",Watson & Dallwitz (1992 onwards),
Trichoneura Anderss.,C4,Trichoneura arenaria (Hochst. & Steud.) Ekman,Watson & Dallwitz (1992 onwards),
Trichopteryx Nees,C4,"Trichopteryx stolziana Henrard, Trichopteryx dregeana Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Tridens Roem. & Schult.,C4,"Tridens braziliensis Nees, Tridens flavus (L.) Hitchc., Tridens grandiflorus (Vasey) Wooton & Stand. (Erioneuron), Tridens muticus (Torr.) Nash (=Triodia mutica (Torr.) Scribn.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Trilobachne Henr.,C4,Trilobachne cookei (Stapf) Schenck ex Henrard,Renvoize (1982),
Triniochloa Hitchc.,C3,Triniochloa stipoides (H.B.K.) Hitchcock,Watson & Dallwitz (1992 onwards),
Triodia R.Br.,C4,"Triodia basedowii Pritzel, Triodia clelandii N.T. Burbidge, Triodia concinna N.T. Burbidge, Triodia hubbardii N.T. Burbidge, Triodia irritans R. Br., Triodia longiceps J.M. Black, Triodia marginata N.T. Burbidge, Triodia pungens R. Br., Triodia racemigera Gardner, Triodia secunda N.T. Burbidge, Triodia spicata N.T. Burbidge",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Triplachne Link,C3,Triplachne nitens (Guss.) Link,Watson & Dallwitz (1992 onwards),
Triplasis Beauv.,C4,"Triplasis americana Beauv., Triplasis purpurea (Walt.) Chapm.",Watson & Dallwitz (1992 onwards),
Triplopogon Bor,C4,Triplopogon ramosissimus (Hack.) Bor (=Triplopogon spathiflorus (Hook. f.) Bor),Metcalfe (1960),
Tripogon Roem. & Schult.,C4,"Tripogon loliiformis (Muell.) Hubbard, Tripogon minimus (A.Rich.) Hochst. ex Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Tripsacum L.,C4,"Tripsacum laxum Nash, Tripsacum dactyloides (L.) L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Triraphis R.Br.,C4,"Triraphis mollis R. Br., Triraphis pumilio R.Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Triscenia Griseb.,C3,Triscenia ovina Griseb.,Watson & Dallwitz (1992 onwards),
Trisetaria Forssk.,C3, -,Watson & Dallwitz (1992 onwards),"Trisetum Pers. including Trisetaria Forssk. C3 , Watson & Dallwitz (1992 onwards)"
Trisetum Pers.,C3,"Trisetum pumilum (Desf.) Kunth (= Lophochloa pumila (Desf.) Bor), Trisetum spicatum (L.) Richter, Trisetum flavescens (L.) P.Beauv., Trisetum altijugum (Fourn.) Scribn. (Peyritschia), Trisetum kochianum I. Holz. T. (Peyritschia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Tristachya Nees,C4,"Tristachya bequartii de Willd., Tristachya superba (De Not.) Schweinf. & Asch. (=Loudetia superba De Not), Tristachya leucothrix Trin. ex Nees (=Tristachya hispida K.Schum.), Tristachya inamoena K.Schum. (Zonotriche)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Triticum L.,C3,"Triticum aestivum L., Triticum dicoccoides (Körn. ex Asch. & Graebn.) Schweinf., Triticum dicoccum Schrank, Triticum polonicum L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Tuctoria Reeder,C4,Tuctoria greenei (Vasey) J. Reeder,Watson & Dallwitz (1992 onwards),
Uniola L.,C4,"Uniola paniculata L., Uniola pittieri Hack.",Watson & Dallwitz (1992 onwards),
Uranthoecium Stapf,C4,Uranthoecium truncatum (Maiden & Betche) Stapf,Watson & Dallwitz (1992 onwards),
Urelytrum Hack.,C4,"Urelytrum squarrosum Hack., Urelytrum agropyroides (Hack.) Hack., Urelytrum annuum Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Urochloa Beauv.,C4,"Urochloa decumbens (Stapf) Webster, Urochloa foliosa (R.Br.) Webster, Urochloa mosambicensis (Hackel) Dandy (=Urochloa pullulans Stapf), Urochloa glumaris (Trin.) Veldkamp (= Brachiaria paspaloides (J.Presl) C.E.Hubb.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Urochondra C.E.Hubbard,C4,Urochondra setulosa (Trin.) Hubbard,Watson & Dallwitz (1992 onwards),
Valiha S.Dransfield,C3, -,BEP clade,
Vaseyochloa Hitchc.,C4,Vaseyochloa multinervosa (Vasey) Hitchc.,Watson & Dallwitz (1992 onwards),
Veldkampia Ibaragi & Kobay,unknown, -,NA,
Ventenata Koel.,C3,Ventenata dubia (Leers) Coss.,Watson & Dallwitz (1992 onwards),
Vietnamocalamus Nguyen,C3, -,BEP clade,
Vietnamochloa Veldkamp & Nowack,C4,Vietnamochloa aurea Veldkamp & R.Nowack,Van den Borre (1994),
Vietnamosasa Nguyen,C3, -,BEP clade,
Viguierella A.Camus,C4,Viguierella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),
Vossia Wall. & Griff.,C4,Vossia cuspidata Wall. & Griff,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Vulpia Gmel.,C3,"Vulpia bromoides (L.) Gray, Vulpia incrassata (Salz. ex Loesel.) Parl., Vulpia inops Hack., Vulpia megalura (Nutt.) Rudb., Vulpia myuros (L.) Gmelin, Vulpia unilateralis (L.) Stace (= Vulpia Sect. Nardurus)",Watson & Dallwitz (1992 onwards),
Vulpiella Burollet,C3,Vulpiella stipoides (L.) Maire,Watson & Dallwitz (1992 onwards),
Wangenheimia Moench,C3,Wangenheimia lima (L.) Trin.,Watson & Dallwitz (1992 onwards),
Whiteochloa C.E.Hubbard,C4,"Whiteochloa cymbiformis (Hughes) B.K. Simon, Whiteochloa semitonsa (Muell. ex Benth.) Hubbard",Watson & Dallwitz (1992 onwards),
Willkommia Hack.,C4,Willkommia sarmentosa Hack.,Watson & Dallwitz (1992 onwards),
Xerochloa R.Br.,C4,"Xerochloa barbata R. Br., Xerochloa imberbis R. Br., Xerochloa laniflora Benth.",Watson & Dallwitz (1992 onwards),
Yakirra Lazarides & Webster,C4,"Yakirra australiensis (Domin) Lazarides & Webster, Yakirra majuscula (F. Muell. ex Benth.) Lazarides & Webster, Yakirra muelleri (Hughes) Lazarides & Webster, Yakirra nulla Lazarides & Webster Yakirra pauciflora (R.Br.) Lazarides & Webster",Watson & Dallwitz (1992 onwards),
Yushania Keng f.,C3, -,BEP clade,
Yvesia A.Camus,C4,Yvesia madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),
Zea L.,C4,Zea mays L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Zenkeria Trin.,C3,Zenkeria elegans Trin.,Watson & Dallwitz (1992 onwards),
Zeugites P.Browne,C3,"Zeugites mexicana (Kunth) Trin. ex Steud., Zeugites pittieri Hack.",Watson & Dallwitz (1992 onwards),
Zingeria Smirnov,C3,"Zingeria kochii (Mez) Tsvelev, Zingeria trichopoda (Boiss.) P. Smirn.",Watson & Dallwitz (1992 onwards),
Zizania L.,C3,Zizania latifolia (Griseb.) Turcz. ex Stapf,Metcalfe (1960),
