species_name,Authority,Pathway,k=Kranz n=non-Kranz,d13C value,Other evidence,Reference
Panicum sellowii,Nees,C3,,-28.1,,Brown (1977)
Panicum seminudum,Domin,C4,k,-12.3,,Brown (1977)
Panicum sendulskyi,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum shinyangense,S.A. Renvoize,unknown,,,,NA
Panicum silvestre,Fish,C3,,-28.3,,This study
Panicum simulans,L. Smook,C4,k,-13.2,,Schulze et al. (1996)
Panicum sipapoense,Swallen,C3,n,,,Zuloaga (1986)
Panicum smithii,M.M. Rahman,unknown,,,,NA
Panicum socotranum,T.A. Cope,unknown,,,,NA
Panicum soderstromii,F.O. Zuloaga & T. Sendulsky,C3,n,,,Zuloaga (1986)
Panicum sparsicomum  ,Nees ex Steud.,C3,,-27.4,,This study
Panicum spergulifolium,A.Camus,C3,n,,,Brown (1977)
Panicum sphaerocarpon,Ell.,C3,n,-27,,Brown & Smith (1975); Zuloaga (1986)
Panicum spongiosum  ,Stapf,C3,,-28.3,,This study
Panicum stagnatile,Hitchcock & Chase,C3,n,,,Brown (1977)
Panicum stapfianum  ,Fourc.,C4,k,-11.6,low compensation point,Downton (1971); Brown (1977); Hattersley (1982)
Panicum stenodes,Griseb.,C4,k,-11.6,,Brown (1977)
Panicum stevensianum,Hitchcock & Chase,C3,n,-25.2,,Brown (1977)
Panicum steyermarkii,Swallen,C3,n,,,Zuloaga (1986)
Panicum stigmosum,Trin.,C3,n,-26.1,,Brown & Smith (1975); Zuloaga (1986)
Panicum stipiflorum,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum stoloniferum,Poir.,C3,n,-34.6,,Brown (1977)
Panicum stramineum,Hitchcock & Chase,C4,k,,,Brown (1977)
Panicum strictissimum,Afzel. ex Sw.,C3,,-24.7,,This study
Panicum strigosum,Muhl. ex Ell.,C3,n,-26.3,,Brown & Smith (1975); Ellis (1977); Zuloaga (1986)
Panicum subalbidum,Kunth,C4,k,-11.4,,Brown (1977)
Panicum subflabellatum,Stapf,C4,k,,,Brown (1977)
Panicum subhystrix,A.Camus,C3,,-29.6,,This study
Panicum sublaeve,Swallen,C4,k,,,Zuloaga (1986)
Panicum subtilissimum,S.A. Renvoize,C3,,-28.1,,This study
Panicum subtiramulosum,S.A. Renvoize & F. Zuloaga,C3,n ,,,Zuloaga (1986)
Panicum subulatum,Spreng.,C3,n,,,Zuloaga (1986)
Panicum subxerophilum,Domin,C3,n,-25.8,,Brown (1977)
Panicum sumatrense,Roth ex Roem. & Schult.,C4,,-10.5,,This study
Panicum superatum,Hack.,C3,n,,,Zuloaga (1986)
Panicum surrectum,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum tamaulipense,F.R. Waller & C.W. Morden,C4,k,,,Brown (1977)
Panicum telmatum,Swallen,C3,n,,,Zuloaga (1986)
Panicum tenellum,Lam.,C3,n,,,Brown (1977)
Panicum tenerum,"Beyreich, ex Trin.",C4,k,-11.4,,Downton (1975); Brown (1977)
Panicum tenuifolium,Hook. & Arn.,C4,k,-11.5,,Brown (1977)
Panicum tepuianum,G. Davidse & F. Zuloaga,C3,n,,,Aliscioni et al. (2003)
Panicum teretifolium,Hack.,C3,n,,,Zuloaga (1986)
Panicum tijucae,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum torridum,Gaudich.,C4,k,-11.8,,Brown (1977)
Panicum trachyrhachis,Benth.,C4,k,-13.3,,Brown (1977)
Panicum trichanthum,Nees,C3,n,-28.4,,Brown (1977)
Panicum trichidiachne,Doell,C3,n,-27.7,,Brown (1977)
Panicum trichocladum  ,K. Schum.,C4,k,,,Brown (1977)
Panicum trichoides  ,Sw.,C3,n,-25.3,,Brown (1977)
Panicum tricholaenoides,Steud.,C4,k,,,Brown (1977)
Panicum trichonode,Launert & Renvoize,C4,k,-11.9,,Schulze et al. (1996)
Panicum trinii,Kunth,C3,n,,,Zuloaga (1986)
Panicum tsaratananense,A. Camus,unknown,,,,NA
Panicum tuerckheimii,Hack.,C4,k,-13.5,,Brown (1977)
Panicum turgidum,Forsk.,C4,k,-12.6,low compensation point,Downton (1971); Brown (1977)
Panicum umbonulatum,Swallen,C3,n,,,Zuloaga (1986)
Panicum urvilleanum,Kunth,C4,k,-12.1,,Downton (1975); Brown (1977)
Panicum vaginiviscosum,S.A. Renvoize & F. Zuloaga,C3,n,,,Aliscioni et al. (2003)
Panicum validum,Mez,C4,k,,,Zuloaga (1986)
Panicum vaseyanum,Scribn. ex Beal,C4,k,,,Brown (1977)
Panicum vatovae  ,Chiov.apud Chiarugi,C3,,-26,,This study
Panicum venezuelae  ,Hack.,C3,n,,,Brown (1977)
Panicum verrucosum,Muhl.,C3,,-25.6,,Brown (1977)
Panicum virgatum,L.,C4,k,-13.7,low compensation point,Bender (1971); Downton (1971); Brown (1977)
Panicum viscidellum,Scribn.,C3,n,-24.9,,Brown & Smith (1975); Zuloaga (1986)
Panicum voeltzkowii,Mez,C4,k,-12.6,,Brown (1977)
Panicum vohitrense,A. Camus,unknown,,,,NA
Panicum vollesenii,S.A. Renvoize,C4,,-13.6,,This study
Panicum volutans,J. G. Anders.,C4,k,,,Ellis (1977)
Panicum wettsteinii,Hack.,C3,n,,,Brown (1977)
Panicum wiehei,S.A. Renvoize,C3,,-28.8,,This study
Panicum wilcoxianum,Vasey,C3,,,high compensation point,Brown & Smith (1975)
Panicum xanthophysum,A.Gray,C3,n,,,Brown & Smith (1975)
Panicum xerophilum,(Hillebr.) Hitchcock,C4,k,,,Brown (1977)
Panicum yavitaense,Swallen,C3,,-30.1,,Brown (1977)
Panicum zambesiense,S.A. Renvoize,C4,,-11.9,,This study
