Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Ctenium Panz.,C4,Ctenium polystachyum Balansa,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Ctenium
Cutandia Willk.,C3,"Cutandia dichotoma (Forsk.) Trab., Cutandia memphitica (Spreng.) Richt., Cutandia philistaea Benth.",Watson & Dallwitz (1992 onwards),NA,Cutandia
Cyathopus Stapf,C3,-,BEP clade,NA,Cyathopus
Cyclostachya J. & C. Reeder,C4,Cyclostachya stolonifera (Scribn.) Reeder & Reeder,Watson & Dallwitz (1992 onwards),NA,Cyclostachya
Cymbopogon Spreng.,C4,"Cymbopogon refractus (R. Br.) Camus, Cymbopogon citratus (DC.) Stapf, Cymbopogon giganteus Chiov., Cymbopogon martini (Roxb.) W.Watson, Cymbopogon nardus (L.) Rendle (=Cymbopogon validus (Stapf) Stapf ex Burtt Davy)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cymbopogon
Cynodon L. Rich.,C4,Cynodon dactylon (L.) Pers.,Watson & Dallwitz (1992 onwards),NA,Cynodon
Cynosurus L.,C3,"Cynosurus cristatus L., Cynosurus echinatus L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cynosurus
Cyperochloa Lazarides & Watson,C3,Cyperochloa hirsuta Lazarides & Watson,Watson & Dallwitz (1992 onwards),NA,Cyperochloa
Cyphochlaena Hack.,C3,Cyphochlaena madagascariensis Hack.,Watson & Dallwitz (1992 onwards),NA,Cyphochlaena
Cyrtochloa S.Dransfield,C3,-,BEP clade,NA,Cyrtochloa
Cyrtococcum Stapf,C3,"Cyrtococcum sp., Cyrtococcum trigonum (Retz.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cyrtococcum
Dactylis L.,C3,Dactylis glomerata L.,Watson & Dallwitz (1992 onwards),NA,Dactylis
Dactyloctenium Willd.,C4,"Dactyloctenium aegyptium (L.) Beauv., Dactyloctenium giganteum B.S.Fisher & Schweick",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dactyloctenium
Dallwatsonia Simon,C3,Dallwatsonia felliana B.K. Simon,Watson & Dallwitz (1992 onwards),NA,Dallwatsonia
Danthonia DC.,C3,"Danthonia aff. alpicola Vickery (= Notodanthonia), Danthonia caespitosa Gaudich. (= Notodanthonia), Danthonia carphoides F. Muell. ex Benth. (= Notodanthonia), Danthonia dimidiata Vickery (= Rytidosperma), Danthonia linkii Kunth (= Notodanthonia), Danthonia nivicola Vickery (= Rytidosperma), Danthonia nudiflora Morris (= Rytidosperma), Danthonia procera Vickery (= Rytidosperma?), Danthonia ‘robusta’ (= Joycea pallida), Danthonia setacea R. Br. (= Notodanthonia), Danthonia alpina Vest  (=Danthonia calycina (Vill.) Rchb.), Danthonia compressa Austin, Danthonia decumbens (L.) DC., Danthonia spicata (L.) Roem. & Schult., Danthonia australis (Buchanan) Buchanan (Chionochloa), Danthonia bromoides Hook.f (Chionochloa), Danthonia buchananii Hook.f. (Rytidosperma), Danthonia crassiuscula Kirk (Chionochloa), Danthonia flavescens Hook.f. (Chionochloa), Danthonia oreophila Petrie (Chionochloa), Danthonia pilosa R.Br. (Rytidosperma), Danthonia planifolia Petrie (Chionochloa), Danthonia semiannularis (Labill.) R.Br. (Rytidosperma), Danthonia teretifolia Petrie (Chionochloa), Danthonia cunninghamii Hook.f. (Chionochloa), Danthonia pungens Cheeseman (Chionochloa), Danthonia rigida Raoul (Chionochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Danthonia
Danthonidium C.E.Hubbard,C3,Danthonidium gammiei C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Danthonidium
Danthoniopsis Stapf,C4,"Danthoniopsis barbata (Nees) C.E. Hubb., Danthoniopsis dinteri (Pilg.) C.E.Hubb., Danthoniopsis occidentalis Jac.-Fél., Danthoniopsis pruinosa C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos of D. dinteri and D. pruinosa provided by R.P. Ellis,NA,Danthoniopsis
Dasypyrum Dur.,C3,Dasypyrum villosum (Coss. & Dur.) Dur.,Watson & Dallwitz (1992 onwards),NA,Dasypyrum
Davidsea Soderstrom & Ellis,C3,-,BEP clade,NA,Davidsea
Decaryella A.Camus,C4,Decaryella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),NA,Decaryella
Decaryochloa A. Camus,C3,Decaryochloa diadelpha A. Camus,Watson & Dallwitz (1992 onwards),NA,Decaryochloa
Dendrocalamus Nees,C3,"Dendrocalamus gigantus Munro, Dendrocalamus brandisii (Munro) Kurz",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dendrocalamus
Deschampsia Beauv.,C3,"Deschampsia caespitosa (L.) Beauv., Deschampsia flexuosa (L.) Trin.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Deschampsia
Desmazeria Dumort.,C3,Desmazeria marina (L.) Druce (Catapodium),Watson & Dallwitz (1992 onwards),NA,Desmazeria
Desmostachya Stapf,C4,Desmostachya bipinnata (L.) Stapf,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Desmostachya
Diandrolyra Stapf,C3,-,BEP clade,NA,Diandrolyra
Diarrhena Beauv.,C3,"Diarrhena americana P. Beauv., Diarrhena japonica Franch. & Savat., Diarrhena mandshurica Maxim. (= Neomolinia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Diarrhena
Dichaetaria Steud.,C3,Dichaetaria wightii Nees,Watson & Dallwitz (1992 onwards),NA,Dichaetaria
Dichanthium Willemet,C4,"Dichanthium annulatum (Forssk.) Stapf, Dichanthium aristatum (Poir.) C.E.Hubb., Dichanthium sericeum (R.Br.) A.Camus, Dichanthium polyptychum (Steud.) A.Camus (Andropogon)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dichanthium
Dichelachne Endl.,C3,"Dichelachne micrantha (Cav.) Domin, Dichelachne crinita (L.f.) Hook.f.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dichelachne
"Didymogonyx (L.G. Clark & Londoño) C.D. Tyrrell, L.G. Clark & Londoño",C3,NA,BEP clade,NA,Didymogonyxï¿½oï¿½o
Dielsiochloa Pilger,C3,Dielsiochloa floribunda (Pilg.) Pilg.,Watson & Dallwitz (1992 onwards),NA,Dielsiochloa
Digitaria Hall.,C4,"Digitaria aequiglumis (Hackel ex Arechav.) Parodi, Digitaria ammophila (F. Muell.) Hughes, Digitaria bicornis (Lam.) Roem. & Schult., Digitaria breviglumis (Domin) Henr., Digitaria brownii (Roemer & Schultes) Hughes, Digitaria coenicola (F. Muell.) Hughes, Digitaria divaricatissima (R. Br.) Hughes, Digitaria milanjiana (Rendle) Stapf, Digitaria parviflora (R. Br.) Hughes, Digitaria sanguinalis (L.) Scop., Digitaria nuda Schumach.  (=Digitaria borbonica Desv.), Digitaria brazzae (Franch.) Stapf, Digitaria horizontalis Willd., Digitaria wallichiana (Steud.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Digitaria
Dignathia Stapf,C4,Dignathia villosa Hubbard,Watson & Dallwitz (1992 onwards),NA,Dignathia
Diheteropogon Stapf,C4,"Diheteropogon amplectens (Nees) Clayton, Diheteropogon filifolius (Nees) Clayton",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Diheteropogon
Dilophotriche Jacq.-Fel.,C4,"Dilophotriche pobeguinii Jac.-Fél., Dilophotriche occidentalis Jac.-Fél., Dilophotriche tristachyoides (Trin.) Jacq.-Fél.",Jacques-Félix (1962); Watson & Dallwitz (1992 onwards),NA,Dilophotriche
Dimeria R.Br.,C4,"Dimeria sp., Dimeria thwaitesii Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dimeria
Dinebra Jacq.,C4,Dinebra retroflexa (Vahl) Panzer,Watson & Dallwitz (1992 onwards),NA,Dinebra
Dinochloa Buse,C3,"Dinochloa pubiramea Gamble, Dinochloa macclellandii (Munro) Kurz",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dinochloa
Dissanthelium Trin.,C3,Dissanthelium minimum Pilger,Watson & Dallwitz (1992 onwards),NA,Dissanthelium
Dissochondrus Kuntze,C4,Dissochondrus biflorus Kuntze,Watson & Dallwitz (1992 onwards),NA,Dissochondrus
Distichlis Raf.,C4,Distichlis distichophylla (Labill.) Fassett,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Distichlis
Drake-Brockmania Stapf,C4,Drake-Brockmania somalensis Stapf,Watson & Dallwitz (1992 onwards),NA,DrakeBrockmania
Dregeochloa Conert,C3 (& C3-C4?),"Dregeochloa calviniensis Conert, Dregeochloa pumila (Nees) Conert",Watson & Dallwitz (1992 onwards),"Watson & Dallwitz (1992, onwards) note - C3 in D. pumila, but but the anatomy of D. calvinensis is equivocal: most mesophyll cells are no more than one cell distant, and the only seeming exceptions are at the tops of the adaxial ribs. A candidate for intermediacy. Photos of D. pumila provided by R.P. Ellis",Dregeochloa
Drepanostachyum Keng f.,C3,-,BEP clade,NA,Drepanostachyum
Dryopoa Vickery,C3,Dryopoa dives Vickery,Watson & Dallwitz (1992 onwards),NA,Dryopoa
Dupoa Cayouette & Derbyshire,C3,-,BEP clade,NA,Dupoa
Dupontia R.Br.,C3,Dupontia pilosantha Rupr.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Dupontia
Duthiea Hack.,C3,Duthiea bromoides Hack.,Watson & Dallwitz (1992 onwards),NA,Duthiea
Eccoptocarpha Launert,C4,Eccoptocarpha obconiciventris Launert,Watson & Dallwitz (1992 onwards),NA,Eccoptocarpha
Echinaria Desf.,C3,Echinaria capitata (L.) Desf.,Watson & Dallwitz (1992 onwards),NA,Echinaria
Echinochloa Beauv.,C4,"Echinochloa colona (L.) Link, Echinochloa crus-galli (L.) Beauv.",Watson & Dallwitz (1992 onwards),NA,Echinochloa
Echinolaena Desv.,C3,"Echinolaena gracilis Swallen, Echinolaena inflexa Chase",Watson & Dallwitz (1992 onwards),NA,Echinolaena
Echinopogon Beauv.,C3,"Echinopogon cheelii Hubbard, Echinopogon ovatus (Forst.) Beauv.",Watson & Dallwitz (1992 onwards),NA,Echinopogon
Ectrosia R.Br.,C4,"Ectrosia agrostoides Benth., Ectrosia eragrostoides Domin (= E. lasioclada (Merr.) S.T. Blake), Ectrosia leporina R. Br.",Watson & Dallwitz (1992 onwards),NA,Ectrosia
Ehrharta Thunb.,C3,"Ehrharta barbinodis Nees ex Trin., Ehrharta brevifolia Schrad. var brevifolia, Ehrharta capensis Thunb., Ehrharta calycina J.C. Sm., Ehrharta dura Nees ex Trin., Ehrharta delicatula (Nees) Stapf, Ehrharta erecta Lam. subsp. natalensis, Ehrharta longiflora Smith, Ehrharta melicoides Thunb., Ehrharta pusilla Nees ex Trin., Ehrharta ramosa Thunb., Ehrharta rehmannii Stapf, Ehrharta rehmanii Stapf var. filiformis, Ehrharta rupestris Nees ex Trin., Ehrharta setacea Nees ex Trin., Ehrharta subspicata Stapf, Ehrharta uniflora Burch. ex Stapf, Ehrharta triandra Nees ex Trin., Ehrharta villosa Schult.","Ellis (1987a, 1987b); Watson & Dallwitz (1992 onwards)",NA,Ehrharta
Ekmanochloa Hitchc.,C3,Ekmanochloa aristata Ekman,Watson & Dallwitz (1992 onwards); Zuloaga et al. (1993),NA,Ekmanochloa
Eleusine Gaertn.,C4,"Eleusine indica (L.) Gaertn., Eleusine coracana (L.) Gaertn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Eleusine
Elionurus Kunth ex Willd.,C4,"Elionurus citreus (R. Br.) Munro ex Benth., Elionurus muticus (Spreng.) Kuntze  (=Elionurus chevalieri Stapf), Elionurus hirtifolius Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Elionurus
Ellisochloa P.M. Peterson & N.P. Barker,C3,"Ellisochloa papposa (Nees) P.M. Peterson & N.P. Barker, Ellisochloa rangei (Pilg.) P.M. Peterson & N.P. Barker",Peterson et al. (2011),NA,Ellisochloa
Elymandra Stapf,C4,"Elymandra androphila (Stapf) Stapf, Elymandra archaelymandra (Jac.-Fél.) W.D. Clayton, Elymandra grallata (Stapf) Clayton, Elymandra subulata Jac.-Fél.",Watson & Dallwitz (1992 onwards),"Most of the material seen poor (Watson & Dallwitz, 1992 onwards)",Elymandra
Elymus L.,C3,"Elymus scabrus (R.Br.) Á.Löve (=Agropyron scabrum (R.Br.) P.Beauv.), Elymus caninus (L.) L. (=Agropyron caninum (L.) P.Beauv.), Elymus elongatus (Host) Runemark (=Agropyron elongatum (Host) P.Beauv.), Elymus × littoreus (Schumach.) Lambinon (=Agropyron × laxum (Fr.) Tutin), Elymus hispidus (Opiz) Melderis (=Agropyron intermedium (Host) P. Beauv.), Elymus canadensis L., Elymus interruptus Buckley, Elymus virginicus L., Elymus arenarius L. (Leymus), Elymus caput-medusae L. (Taeniatherum), Elymus condensatus J.Presl (Leymus)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Elymus
Elytrophorus Beauv.,C3,Elytrophorus spicatus (Willd.) A. Camus,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Elytrophorus
Elytrostachys McClure,C3,Elytrostachys clavigera McClure,Watson & Dallwitz (1992 onwards),NA,Elytrostachys
Enneapogon Beauv.,C4,"Enneapogon avenaceus (Lindl.) C.E. Hubb., Enneapogon brachystachyus (Jaub. & Spach.) Stapf, Enneapogon caerulescens (Gaudich.) N.T. Burbidge, Enneapogon cenchroides (Roem. & Schult.) C.E. Hubb., Enneapogon clelandii N.T. Burbidge, Enneapogon cylindricus N.T. Burbidge, Enneapogon desvauxii Beauv., Enneapogon elegans (Nees) Stapf, Enneapogon glaber N.T. Burbidge, Enneapogon gracilis (R. Br.) Beauv., Enneapogon nigricans (R. Br.) Beauv., Enneapogon oblongus N.T. Burbidge, Enneapogon planifolius N.T. Burbidge, Enneapogon polyphyllus (Domin) N.T. Burbidge, Enneapogon purpurascens (R. Br.) N.T. Burbidge, Enneapogon scoparius Stapf, Enneapogon scaber Lehm",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Enneapogon
Enteropogon Nees,C4,Enteropogon acicularis (Lindl.) Lazarides,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Enteropogon
Entolasia Stapf,C3,"Entolasia imbricata Stapf, Entolasia marginata (R. Br.) Hughes, Entolasia olivacea Stapf, Entolasia stricta (R. Br.) Hughes, Entolasia whiteana C.E. Hubb.",Watson & Dallwitz (1992 onwards),NA,Entolasia
Entoplocamia Stapf,C4,Entoplocamia aristulata Stapf,Watson & Dallwitz (1992 onwards); Photos of E. africana provided by R.P. Ellis,NA,Entoplocamia
Eragrostiella Bor,C4,Eragrostiella bifaria (Vahl) Bor,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Eragrostiella
Eragrostis Wolf,"C4 (and C3, but see main text for explanation)","Eragrostis advena (Stapf) S.M.Phillips, Eragrostis amabilis (L.) Wight & Arn. (=Eragrostis tenella (L.) Roem. & Schult.), Eragrostis aspera (Jacq.) Nees, Eragrostis australasica (Steud.) C.E.Hubb., Eragrostis barrelieri Daveau, Eragrostis basedowii Jedwabn., Eragrostis benthamii Mattei, Eragrostis cassa Lazarides, Eragrostis chloromelas Steudel, Eragrostis cilianensis (All.) Janch., Eragrostis concinna (R.Br.) Steud., Eragrostis confertiflora J.M. Black (= Diandrochloa), Eragrostis cumingii Steud., Eragrostis curvula (Schrad.) Nees, Eragrostis desertorum Domin, Eragrostis dielsii Pilg., Eragrostis ecarinata Lazarides, Eragrostis elongata (Willd.) Jacq., Eragrostis eriopoda Benth., Eragrostis falcata (Gaudich.) Steud., Eragrostis fallax Lazarides, Eragrostis filicaulis Lazarides, Eragrostis frankii Steud., Eragrostis gangetica (Roxb.) Steud. (inc. Eragrostis brownii (Kunth) Nees ex Steud.), Eragrostis hirticaulis Lazarides, Eragrostis infecunda J.M.Black, Eragrostis interrupta P.Beauv., Eragrostis japonica (Thunb.) Trin. (=Eragrostis diplachnoides Steud.), Eragrostis kennedyae F. Turner, Eragrostis lacunaria F.Muell., Eragrostis lanicaulis Lazarides, Eragrostis laniflora Benth., Eragrostis lanipes C.E.Hubb., Eragrostis leptocarpa Benth., Eragrostis leptostachya (R.Br.) Steud. (inc. Eragrostis molybdea Vickery), Eragrostis longipedicellata B.K.Simon, Eragrostis megalosperma F.Muell. ex Benth., Eragrostis mexicana (Hornem.) Link (=Eragrostis neomexicana Vasey), Eragrostis microcarpa Vickery, Eragrostis minor Host, Eragrostis nindensis Fical. & Hiern, Eragrostis olida Lazarides, Eragrostis pallens Hack., Eragrostis paniciformis (R.Br.) Steud., Eragrostis parviflora (R. Br.) Trin., Eragrostis patula (Kunth) Steud. (=Eragrostis tenuifolia (A.Rich.) Hochst. ex Steud.), Eragrostis pergracilis S.T.Blake, Eragrostis petraea Lazarides, Eragrostis pilosa (L.) P.Beauv., Eragrostis potamophila Lazarides, Eragrostis pubescens (R.Br.) Steud., Eragrostis reptans (Michx.) Nees, Eragrostis rigidiuscula Domin, Eragrostis schultzii Benth., Eragrostis secundiflora J.Presl (=Eragrostis oxylepis (Torr.) Torr.), Eragrostis setifolia Nees, Eragrostis sororia Domin, Eragrostis spartinoides Steud., Eragrostis speciosa (Roem. & Schult.) Steud., Eragrostis stagnalis Lazarides, Eragrostis stenostachya (R.Br.) Steud., Eragrostis sterilis Domin, Eragrostis subtilis Lazarides, Eragrostis superba Peyr., Eragrostis tef (Zucc.) Trotter, Eragrostis tenellula (Kunth) Steud., Eragrostis trachycarpa (Benth.) Domin, Eragrostis triquetra Lazarides, Eragrostis unioloides (Retz.) Nees ex Steud., Eragrostis xerophila Domin, Eragrostis walteri Pilg.",Metcalfe (1960); Prendergast et al. (1986); Van den Borre & Watson (1994); Schulze et al. (1996); Watson & Dallwitz (1992 onwards); Ingram et al. (2011),"The only C3 member of this genus is E. walteri Pilg. However, phylogenetics show that this species is a member of the wholly C3 Arundinoideae lineage, and is misplaced as Eragrostis (see Ingram et al., 2011). Its taxonomy is under revision.",Eragrostis
Eremitis Doell,C3,-,BEP clade,NA,Eremitis
Eremocaulon Sod. & Lond.,C3,-,BEP clade,NA,Eremocaulon
Eremochloa Buse,C4,Eremochloa bimaculata Hackel,Watson & Dallwitz (1992 onwards),NA,Eremochloa
Eremopoa Roshev.,C3,Eremopoa altaica (Trin.) Roshev.,Watson & Dallwitz (1992 onwards),NA,Eremopoa
Eremopyrum Jaub. & Spach,C3,"Eremopyrum bonaepartis (Spreng.) Nevski, Eremopyrum distans (C. Koch) Nevski, Eremopyrum orientale (L.) Jaub. & Spach, Eremopyrum triticeum (Gaertn.) Nevski",Watson & Dallwitz (1992 onwards),NA,Eremopyrum
Eriachne R.Br.,C4,"Eriachne anomala Hartley, Eriachne aristidea F. Muell., Eriachne glabrata (Maiden) Hartley, Eriachne mucronata R. Br., Eriachne nervosa Ewart & Cookson, Eriachne obtusa R. Br., Eriachne ovata Nees, Eriachne pulchella Domin, Eriachne pallescens R.Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Eriachne
Erianthecium Parodi,C3,Erianthecium bulbosum Parodi,Watson & Dallwitz (1992 onwards),NA,Erianthecium
Eriochloa Kunth,C4,"Eriochloa australiensis Stapf ex Thell., Eriochloa crebra S.T. Blake, Eriochloa decumbens Bailey, Eriochloa procera (Retz.) C.E. Hubb., Eriochloa pseudoacrotricha (Stapf ex Thell.) Black",Watson & Dallwitz (1992 onwards),NA,Eriochloa
Eriochrysis Beauv.,C4,Eriochrysis cayennensis Beauv.,Watson & Dallwitz (1992 onwards),NA,Eriochrysis
Erioneuron Nash,C4,"Erioneuron pilosum (Buckley) Nash, Erioneuron avenaceum var. grandiflorum (Vasey) Gould (=Tridens grandiflorus (Vasey) Wooton & Stand.)",Watson & Dallwitz (1992 onwards),NA,Erioneuron
Euclasta Franch.,C4,Euclasta condylotricha (Steud.) Stapf,Metcalfe (1960),NA,Euclasta
Eulalia Kunth,C4,"Eulalia fulva (R. Br.) Kuntze, Eulalia aurea (Bory) Kunth  (=Eulalia geniculata Stapf), Eulalia phaeothrix (Hack.) Kuntze",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Eulalia
Eulaliopsis Honda,C4,Eulaliopsis binata (Retz.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Eulaliopsis
Eustachys Desv.,C4,"Eustachys distichophylla (Lag.) Nees, Eustachys uliginosa (Hack.) Herter (=Chloris uliginosa Hack.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Eustachys
Exotheca Anderss.,C4,Exotheca abyssinica (A. Rich.) Anderss.,Watson & Dallwitz (1992 onwards),NA,Exotheca
Fargesia Franch.,C3,-,BEP clade,NA,Fargesia
Farrago D.Clayton,C4,Farrago racemosa Clayton,Van den Borre (1994),NA,Farrago
Ferrocalamus Hsueh & Keng,C3,-,BEP clade,NA,Ferrocalamus
Festuca L.,C3,"Festuca arundinacea Schreb., Festuca asperula Vickery, Festuca hookeriana F. Muell. ex Hook. f. (= Hookerochloa), Festuca leptopogon Stapf, Festuca littoralis Labill. (= Austrofestuca), Festuca rubra L., Festuca glauca Vill., Festuca heterophylla Lam., Festuca punctoria Sm",Metcalfe (1960); Aiken et al. (1985); Watson & Dallwitz (1992 onwards),NA,Festuca
Filgueirasia Guala,C3,-,BEP clade,NA,Filgueirasia
Fimbribambusa Widjaja,C3,-,BEP clade,NA,Fimbribambusa
Fingerhuthia Nees,C4,Fingerhuthia africana Lehm.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Fingerhuthia
Froesiochloa G.A.Black,C3,-,BEP clade,NA,Froesiochloa
"Gaoligongshania Li, Hsueh & Xia",C3,-,BEP clade,NA,Gaoligongshania
Garnotia Brongn.,C4,"Garnotia stricta Brongn., Garnotia courtallensis (Arn. & Nees) Thwaites",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Garnotia
Gastridium Beauv.,C3,Gastridium ventricosum (Gouan) Schinz & Thell.,Watson & Dallwitz (1992 onwards),NA,Gastridium
Gaudinia Beauv.,C3,"Gaudinia fragilis (L.) Beauv., Gaudinia maroccana Trab. ex Pitard",Watson & Dallwitz (1992 onwards),NA,Gaudinia
Gelidocalamus Wen,C3,-,BEP clade,NA,Gelidocalamus
Geochloa H. P. Linder & N. P. Barker,C3,"Geochloa decora (Nees) H. P. Linder & N. P. Barker, Geochloa lupulina (L. f.) H. P. Linder & N. P. Barker, Geochloa rufa (Nees) N.P.Barker & H.P.Linder",Ellis (1983); Linder et al. (2010),NA,Geochloa
Germainia Bal. & Poitr.,C4,Germainia truncatiglumis (Muell. ex Benth.) Chaianan,Watson & Dallwitz (1992 onwards),NA,Germainia
"Gerritea Zuloaga, Morrone & Killeen",C3,"Gerritea pseudopetiolata Zuloaga, Morrone & Killeen",Zuloaga et al. (1993),NA,Gerritea
Gigantochloa Munro,C3,-,BEP clade,NA,Gigantochloa
Gilgiochloa Pilger,C4,Gilgiochloa indurata Pilger,Watson & Dallwitz (1992 onwards),NA,Gilgiochloa
Glaziophyton Franch.,C3,-,BEP clade,NA,Glaziophyton
Glyceria R.Br.,C3,"Glyceria australis C.E. Hubb., Glyceria septentionalis Hitchc., Glyceria fluitans (L.) R.Br., Glyceria maxima (Hartm.) Holmb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Glyceria
Glyphochloa D.Clayton,C4,Glyphochloa forficulata (C.E.C.Fisch.) Clayton,Renvoize (1982),NA,Glyphochloa
Gouinia Benth.,C4,"Gouinia guatemalensis (Hack.) Swallen (= G. latifolia (Griseb.) Vasey var.guatemalensis (Hack.) Ortiz), Gouinia longiramea Swallen (= G. virgata (Presl.) Scribn.)",Watson & Dallwitz (1992 onwards),NA,Gouinia
Graphephorum Desv.,C3,-,BEP clade,NA,Graphephorum
Greslania Balansa,C3,Greslania rivularis Balansa,Metcalfe (1960),NA,Greslania
Griffithsochloa Pierce,C4,Griffithsochloa multifida (Griffiths) G.J. Pierce,Pierce (1978),NA,Griffithsochloa
Guadua Kunth,C3,-,BEP clade,NA,Guadua
Guaduella Franch.,C3,"Guaduella foliosa Pilg., Guaduella marantifolia Franch., Guaduella zenkeri Pilg., Guaduella oblonga Hutch. ex Clayton",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Guaduella
Gymnopogon Beauv.,C4,"Gymnopogon foliosus (Willd.) Nees, Gymnopogon ambiguus (Michx.) Britton, Stern & Poggenb, Gymnopogon delicatulus (C.B.Clarke) Bor, Gymnopogon spicatus (Spreng.) Kuntze",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Gymnopogon
Gynerium Humb. & Bonpl.,C3,Gynerium sagittatum (Aubl.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Gynerium
Habrochloa C.E.Hubbard,C3,Habrochloa bullocki C.E. Hubb.,Watson & Dallwitz (1992 onwards),Watson & Dallwitz (1992 onwards) note - almost certainly C3 (though the material seen was poor),Habrochloa
Hackelochloa Kuntze,C4,Hackelochloa granularis (L.) Kuntze,Watson & Dallwitz (1992 onwards),NA,Hackelochloa
Hainardia Greuter,C3,Hainardia cylindrica (Willd.) Greuter,Watson & Dallwitz (1992 onwards),NA,Hainardia
Hakonechloa Honda,C3,Hakonechloa macra (Monro) Makino,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hakonechloa
Halopyrum Stapf,C4,Halopyrum mucronatum (L.) Stapf,Watson & Dallwitz (1992 onwards),NA,Halopyrum
Harpachne A.Rich.,C4,Harpachne schimperi A. Rich.,Watson & Dallwitz (1992 onwards),NA,Harpachne
Harpochloa Kunth,C4,Harpochloa fallax (L.f.) Kuntze,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Harpochloa
Helictotrichon Schult.,C3,"Helictotrichon pubescens (Huds.) Pilger, Helictotrichon marginatum (Lowe) Röser  (=Helictotrichon albinerve (Boiss.) Potztal), Helictotrichon planiculme (Schrad.) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Helictotrichon
Hemarthria R.Br.,C4,"Hemarthria uncinata R. Br., Hemarthria altissima (Poir.) Stapf & C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hemarthria
Hemisorghum C.E.Hubbard,C4,Hemisorghum venustum (Thwaites) Clayton,Renvoize (1982),NA,Hemisorghum
Henrardia C.E.Hubbard,C3,Henrardia persica (Boiss.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Henrardia
Heterachne Benth.,C4,Heterachne abortiva (R. Br.) Druce,Watson & Dallwitz (1992 onwards),NA,Heterachne
Heteranthelium Jaub. & Spach,C3,Heteranthelium piliferum (Banks and Soland.) Hochst.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Heteranthelium
Heteranthoecia Stapf,C3,Heteranthoecia guineensis (Franch.) Robyns,Metcalfe (1960),NA,Heteranthoecia
Heteropholis C.E.Hubbard,C4,Heteropholis nigrescens (Yhw.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Heteropholis
Heteropogon Pers.,C4,"Heteropogon triticeus (R. Br.) Stapf, Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Heteropogon
Hickelia A. Camus,C3,-,BEP clade,NA,Hickelia
Hierochloe R.Br.,C3,"Hierochloë rariflora Hook. f., Hierochloë redolens (Vahl) Roemer & Schultes, Hierochloe odorata (L.) P.Beauv.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Hierochloe
