Species,Site abbreviation,Latitude (S),Longitude (E),LAI,Seed mass (g),Light Treatment,Light Treatment (Categorical),Replicate,Total Seeds,Total Germinated,Proportion Germinated,Number Inviable,lat_lon_combined,park,description,Site
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,6/18,short,1,10,5,0.5,0, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,6/18,short,2,10,1,0.1,8, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,6/18,short,3,10,1,0.1,8, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia oblongifolia,T.N.P,-28.5207,152.7479,5.499945164,0.003923,12/12,control,1,9,0,0,7, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Breynia oblongifolia,T.N.P,-28.5207,152.7479,5.499945164,0.003923,18/6,long,1,9,2,0.222222222,7, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Breynia oblongifolia,T.N.P,-28.5207,152.7479,5.499945164,0.003923,6/18,short,1,9,0,0,9, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,12/12,control,1,25,9,0.36,16, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,12/12,control,2,25,15,0.6,10, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,18/6,long,1,25,8,0.32,17, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,18/6,long,2,25,10,0.4,15, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,6/18,short,1,25,3,0.12,22, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Bursaria spinosa,A.B.G,-34.0659,150.7691,1.466652036,0.001152,6/18,short,2,25,8,0.32,17, (site_at_-34.0659_S_and_150.7691_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7691_E)
Callistemon sieberi,K.N.P,-36.3513,148.5181,2.233310938,0.000036,12/12,control,1,33,23,0.696969697,0, (site_at_-36.3513_S_and_148.5181_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3513_S_and_148.5181_E)
Callistemon sieberi,K.N.P,-36.3513,148.5181,2.233310938,0.000036,18/6,long,1,33,16,0.484848485,1, (site_at_-36.3513_S_and_148.5181_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3513_S_and_148.5181_E)
